name,percent_change,price,symbol,volume
2GO Group,-3.97,9.2,2GO,20600
HOUSE PREF A,-0.6,98.8,8990P,20
Atok A,-0.2,10.2,AB,1200
ABACORE CAPITAL,1.05,0.48,ABA,470000
Asiabest Gorup,-0.37,8.08,ABG,10700
ABS-CBN,0.0,14.5,ABS,314700
ABS-CBN PDR,0.15,13.54,ABSP,3118700
Ayala Corp,3.21,675.0,AC,327370
Acesite Hotel,0.0,1.08,ACE,20000
AC ENERGY,5.39,2.15,ACEPH,9579000
AC ENEXOR,4.34,6.49,ACEX,18500
Alsons Cons,4.82,0.87,ACR,24000
Aboitiz,0.0,41.7,AEV,748100
Alliance Global,0.0,5.9,AGI,1801000
Arthaland,2.0,0.51,ALCO,108000
Ayala Land,-2.17,29.25,ALI,17920700
AYALA LAND LOG,-0.64,1.55,ALLHC,970000
AgriNurture,0.85,7.14,ANI,294000
Anscor,-3.07,6.0,ANS,12000
Aboitiz Power,-0.75,26.6,AP,332600
AC PREF B2R,0.81,498.0,APB2R,90
APC Group,3.45,0.3,APC,220000
APOLLO GLOBAL,0.0,0.04,APL,7600000
Anglo-Phil Hldg,0.0,0.5,APO,131000
Apex Mining A,-2.15,0.91,APX,297000
Abra Mining,0.0,0.0009,AR,1068000000
Araneta Prop,-0.98,1.01,ARA,17000
Atlas Mining,0.0,1.8,AT,300000
Asian Terminals,2.91,16.98,ATI,10000
ATN Holdings A,7.69,0.56,ATN,5787000
ATN Holdings B,5.66,0.56,ATNB,438000
ASIA UNITED,0.21,48.0,AUB,6000
AXELUM,0.78,2.59,AXLM,198000
Prime Gaming,0.98,2.07,BCOR,100000
Banco de Oro,1.28,87.0,BDO,3542970
Belle Corp.,0.74,1.36,BEL,401000
Boulevard Hldg.,4.0,0.026,BHI,1300000
Bright Kindle,-2.44,0.8,BKR,218000
Bloomberry,2.45,5.44,BLOOM,5101200
BPI,0.0,63.0,BPI,1509070
A. Brown,-1.85,0.53,BRN,402000
BASIC ENERGY,0.0,0.162,BSC,420000
CHELSEA,5.9,3.05,C,198000
Concrete A,-0.09,57.85,CA,10
5J,1.92,31.8,CEB,548800
Crown Equities,7.5,0.129,CEI,60020000
Cebu Holdings,0.0,5.5,CHI,1800
Chinabank,-0.42,18.9,CHIB,298300
Cemex Hldg,0.0,1.04,CHP,4149000
CEB LANDMASTERS,-3.13,3.71,CLI,816000
CENTURY FOOD,-0.13,15.08,CNPF,35800
COL Financial,0.64,15.7,COL,2200
COSCO CAPITAL,0.61,4.95,COSCO,908000
CPG,3.03,0.34,CPG,710000
CPG PREF A,0.4,100.0,CPGP,100
CENTURY PEAK,0.0,2.71,CPM,72000
CROWN ASIA,1.16,1.74,CROWN,20000
Cyber Bay,0.0,0.26,CYBR,60000
DOUBLEDRAGON,-1.53,16.7,DD,216800
DD PREF,1.0,101.0,DDPR,20040
DEL MONTE,1.19,4.25,DELM,56000
ISM Comm.,1.84,2.21,DITO,14712000
DMCI Holdings,1.78,4.0,DMC,4393000
USD DMPL A1,-0.2,9.98,DMPA1,16620
DM WENCESLAO,-0.47,6.42,DMW,40200
DNL INDUS,-6.44,4.5,DNL,4821000
EAGLE CEMENT,1.74,8.19,EAGLE,57100
Easycall,-2.99,6.5,ECP,34200
EEI Corp.,-0.45,4.41,EEI,530000
Empire East,0.0,0.285,ELI,110000
EMPERADOR,0.26,7.7,EMP,824000
Euromed,-3.06,2.22,EURO,1044000
Ever-Gotesco,0.76,0.133,EVER,5810000
EW,-2.04,6.25,EW,836900
Purefoods,0.65,61.75,FB,266000
FERRONOUX HLDG,0.87,2.32,FERRO,29000
First Gen,14.15,20.25,FGEN,7678800
First Gen G,-0.19,107.0,FGENG,4510
Filinvest Land,1.1,0.92,FLI,5076000
FIRST METRO ETF,0.36,84.0,FMETF,18070
FERRONICKEL,0.0,0.73,FNI,1651000
Tuna,1.85,0.55,FOOD,705000
First Phil Hldg,2.81,54.8,FPH,246420
FRUITAS HLDG,-0.83,1.2,FRUIT,8444000
GEOGRACE,0.0,0.199,GEO,2800000
Global-Estate,0.0,0.78,GERI,234000
Globe Telecom,-1.33,2220.0,GLO,139440
GLO PREF P,0.0,510.0,GLOPP,2000
GMA Network,1.91,4.79,GMA7,320000
GMA Holdings,-4.03,4.52,GMAP,3000
GREEN,7.8,1.52,GREEN,8495000
Ginebra,-0.17,29.85,GSMI,800
GT Capital,-1.44,370.0,GTCAP,241890
GTCAP PREF A,0.0,990.0,GTPPA,100
House of Inv,2.73,3.39,HI,1000
Holcim,1.05,7.68,HLCM,135400
ALLHOME,2.63,5.47,HOME,1847200
8990 HLDG,0.4,10.1,HOUSE,3000
GOLDEN BRIA,0.0,295.0,HVN,80
IRemit,-16.04,0.89,I,40000
Intl Container,-0.35,85.0,ICT,1032720
Italpinas,4.19,1.74,IDC,969000
Integ. Micro,1.71,5.35,IMI,31200
Ionics,0.0,1.13,ION,235000
PHIL INFRADEV,1.28,0.79,IRC,159000
Island Info,-5.06,0.075,IS,30000
Jollibee,2.52,122.0,JFC,1051560
JG Summit,-0.82,48.4,JGS,1308000
Jolliville Hldg,0.0,5.72,JOH,1100
Keppel Prop,-5.22,3.27,KEP,81000
KEPWEALTH,1.69,6.0,KPPI,4400
City & Land,3.03,0.68,LAND,46000
LBC EXPRESS,0.0,13.88,LBC,1500
Lepanto A,-5.13,0.074,LC,2430000
Liberty Flour,2.56,40.0,LFM,400
Lodestar,-1.89,0.52,LIHC,129000
LMG Chemicals,-3.05,4.45,LMG,1000
Pacific Online,-0.52,1.9,LOTO,5000
Benpres Hldg.,-0.82,2.43,LPZ,3562000
Leisure,-1.39,1.42,LR,20000
LR WARRANT,5.97,0.71,LRW,3000
LorenzoShipping,7.04,0.76,LSC,184000
LT GROUP,1.07,7.57,LTG,1910500
Macroasia,12.12,4.07,MAC,11127000
MetroAlliance A,5.31,2.58,MAH,1411000
Marcventures,6.0,0.53,MARC,26000
MAXS GROUP,-1.09,5.43,MAXS,412700
Manila Bulletin,-2.7,0.36,MB,20000
MlaBroadcasting,-12.58,15.7,MBC,38100
Metrobank,1.81,33.8,MBT,2981800
Medco Hldg.,0.0,0.28,MED,300000
Megaworld,3.86,2.69,MEG,17040000
Meralco A,0.36,275.0,MER,187850
Makati Finance,8.86,1.72,MFIN,6000
Mabuhay Hldg.,0.0,0.54,MHC,1200000
Metro Pac Inv ,5.77,2.75,MPI,38658000
MRC Allied,0.0,0.142,MRC,1380000
Metro Retail,-3.23,1.5,MRSGI,1775000
Mabuhay Vinyl,0.0,3.45,MVC,2000
Manila Water,2.5,11.48,MWC,931500
Megawide,-1.49,4.63,MWIDE,2787000
MWIDE PREF,0.0,100.0,MWP,1000
NiHAO,0.0,1.0,NI,169000
NICKELASIA,2.05,1.49,NIKL,2054000
NOW CORP,0.62,1.62,NOW,588000
PhilNaRe,3.23,0.64,NRCP,93000
ORNTL PETROL A,-2.33,0.0084,OPM,5000000
Oriental P,-7.14,0.455,ORE,300000
PAL Holdings,-2.44,6.0,PAL,37700
Paxys,0.0,2.14,PAX,7000
PB BANK,3.16,9.8,PBB,200
PBCom,6.8,18.86,PBC,200
Petron,-0.34,2.92,PCOR,627000
PUREGOLD,-0.32,46.35,PGOLD,2250200
PremiereHorizon,-1.01,0.197,PHA,1330000
Phil Estates,1.75,0.29,PHES,20000
Phinma ,6.18,8.76,PHN,100
PH RESORTS GRP,16.75,2.44,PHR,282000
Pepsi-Cola,-0.52,1.9,PIP,108000
SHAKEYS PIZZA,1.09,5.57,PIZZA,176200
PREMIUM LEISURE,-1.72,0.285,PLC,630000
Panasonic,0.0,4.6,PMPC,5000
Phil Natl Bank,0.31,19.62,PNB,92100
PHX PETROLEUM,-0.89,11.08,PNX,120200
PNX PREF 3A,-1.0,99.0,PNX3A,6860
PNX PREF 3B,-5.55,100.5,PNX3B,1600
PNX PREF 4,0.0,999.0,PNX4,1260
Pryce Corp.,0.0,4.3,PPC,4956000
Phil. Racing ,-17.06,7.05,PRC,100
PCOR PREF 2B,-0.96,1030.0,PRF2B,80
PCOR PREF 3A,-2.93,993.0,PRF3A,200
PCOR PREF 3B,0.0,1023.0,PRF3B,290
Prime Media,-3.8,0.76,PRIM,54000
Primex Corp.,-0.67,1.49,PRMX,6000
PSE,3.03,170.0,PSE,220
PX MINING,0.0,2.3,PX,32000
PXP ENERGY,1.1,4.6,PXP,1502000
RCBC,9.9,15.98,RCB,14800
CADP Group,3.51,1.77,RCI,1469000
Robinsons Land,-1.66,14.26,RLC,1686400
ROCK,0.0,1.44,ROCK,16000
Roxas Hldg.,-6.76,1.38,ROX,37000
ROBINSONS RTL,-1.52,67.95,RRHI,295490
Semirara Mining,6.73,11.74,SCC,465800
Security Bank,1.3,78.1,SECB,2172940
11-Jul,-0.77,129.0,SEVN,50
Swift,0.0,0.102,SFI,10000
Solid Group,1.03,0.98,SGI,6000
PILIPINAS SHELL,1.58,16.72,SHLPH,424000
SHNG Properties,0.39,2.56,SHNG,151000
Sta.Lucia Land,-2.08,1.88,SLI,61000
SM Investments ,-0.12,837.0,SM,730300
San Miguel A,0.0,96.0,SMC,186670
SMCPrefs2C,0.0,77.5,SMC2C,1850
SMC Pref 2D,-0.8,74.5,SMC2D,700
SMC Pref 2E,-0.53,75.4,SMC2E,1930
SMC Pref 2G,-0.26,75.3,SMC2G,6380
SMC Pref 2I,0.0,76.5,SMC2I,800000
SM Prime Hldg.,1.02,29.8,SMPH,17783200
SPC POWER,0.13,7.63,SPC,101800
SSI GROUP,0.94,1.07,SSI,2182000
PHX SEMICNDCTR,2.4,1.28,SSP,3782000
STI_HOLDINGS,-1.72,0.285,STI,700000
Starmalls,0.56,3.56,STR,93000
Suntrust Home,-2.61,1.12,SUN,1228000
TKC METALS,0.0,0.74,T,38000
Transpacific Br,1.17,0.173,TBGI,330000
CHIPS,-0.82,7.3,TECH,1250400
PLDT,-0.08,1211.0,TEL,136920
TOP FRONTIER,0.29,136.0,TFHI,410
