chart_date,open,high,low,close,value
"Aug 03, 2009 00:00:00",0.91,0.95,0.9,0.95,531400.0
"Aug 04, 2009 00:00:00",0.9,0.94,0.9,0.94,1119100.0
"Aug 06, 2009 00:00:00",0.9,0.94,0.89,0.93,1331200.0
"Aug 07, 2009 00:00:00",0.9,0.91,0.89,0.91,234700.0
"Aug 10, 2009 00:00:00",0.9,0.9,0.88,0.9,427200.0
"Aug 11, 2009 00:00:00",0.88,0.92,0.87,0.92,745500.0
"Aug 12, 2009 00:00:00",0.91,0.92,0.91,0.92,18300.0
"Aug 13, 2009 00:00:00",0.91,0.92,0.89,0.92,163800.0
"Aug 14, 2009 00:00:00",0.9,0.92,0.9,0.92,45300.0
"Aug 17, 2009 00:00:00",0.91,0.93,0.91,0.92,428700.0
"Aug 18, 2009 00:00:00",0.88,0.91,0.88,0.91,187100.0
"Aug 19, 2009 00:00:00",0.92,0.92,0.92,0.92,9200.0
"Aug 20, 2009 00:00:00",0.91,0.92,0.91,0.92,63800.0
"Aug 24, 2009 00:00:00",0.9,0.9,0.9,0.9,9000.0
"Aug 25, 2009 00:00:00",0.91,0.93,0.89,0.93,525800.0
"Aug 26, 2009 00:00:00",0.92,0.93,0.89,0.9,534800.0
"Sep 03, 2009 00:00:00",0.91,0.95,0.91,0.95,482600.0
"Sep 04, 2009 00:00:00",0.89,0.94,0.89,0.94,426300.0
"Sep 16, 2009 00:00:00",0.98,0.98,0.91,0.95,542400.0
"Sep 17, 2009 00:00:00",0.93,0.94,0.93,0.94,55900.0
"Sep 18, 2009 00:00:00",0.91,0.94,0.91,0.94,466400.0
"Sep 22, 2009 00:00:00",0.91,0.93,0.9,0.91,711600.0
"Sep 23, 2009 00:00:00",0.89,0.94,0.89,0.94,1454400.0
"Sep 30, 2009 00:00:00",0.91,0.91,0.88,0.91,230600.0
"Oct 01, 2009 00:00:00",0.91,0.93,0.91,0.93,1401800.0
"Oct 02, 2009 00:00:00",0.89,0.93,0.89,0.93,539700.0
"Oct 05, 2009 00:00:00",0.9,0.92,0.88,0.91,284900.0
"Oct 06, 2009 00:00:00",0.91,0.92,0.89,0.91,728600.0
"Oct 07, 2009 00:00:00",0.88,0.91,0.88,0.91,383000.0
"Oct 08, 2009 00:00:00",0.91,0.91,0.88,0.91,266200.0
"Oct 09, 2009 00:00:00",0.9,0.94,0.9,0.93,6677000.0
"Oct 12, 2009 00:00:00",0.9,0.91,0.88,0.91,523100.0
"Oct 13, 2009 00:00:00",0.89,0.9,0.88,0.9,742400.0
"Oct 14, 2009 00:00:00",0.88,0.89,0.87,0.89,1552000.0
"Oct 15, 2009 00:00:00",0.87,0.88,0.85,0.88,542200.0
"Oct 16, 2009 00:00:00",0.87,0.89,0.87,0.89,1964600.0
"Oct 19, 2009 00:00:00",0.87,0.89,0.87,0.88,631700.0
"Oct 20, 2009 00:00:00",0.87,0.87,0.85,0.86,578300.0
"Oct 21, 2009 00:00:00",0.83,0.86,0.83,0.85,396600.0
"Oct 22, 2009 00:00:00",0.8,0.85,0.8,0.82,338900.0
"Oct 23, 2009 00:00:00",0.85,0.85,0.79,0.82,1566800.0
"Oct 26, 2009 00:00:00",0.83,0.85,0.82,0.85,214700.0
"Oct 27, 2009 00:00:00",0.83,0.83,0.8,0.83,129000.0
