chart_date,open,high,low,close,value
"Jun 22, 2011 00:00:00",11.0,17.0,11.0,15.02,31099460.0
"Jun 23, 2011 00:00:00",15.0,15.0,10.0,11.2,1037236.0
"Jun 24, 2011 00:00:00",10.6,12.72,10.6,12.5,695564.0
"Jun 27, 2011 00:00:00",13.0,16.48,12.5,16.2,9554584.0
"Jun 28, 2011 00:00:00",16.26,16.78,15.1,15.3,6393854.0
"Jun 29, 2011 00:00:00",15.9,15.9,15.12,15.38,384676.0
"Jun 30, 2011 00:00:00",15.4,16.2,15.0,16.0,2696046.0
"Jul 01, 2011 00:00:00",16.16,16.16,15.88,15.88,65616.0
"Jul 04, 2011 00:00:00",16.1,16.12,15.5,15.5,500004.0
"Jul 05, 2011 00:00:00",15.4,15.9,15.22,15.7,210906.0
"Jul 06, 2011 00:00:00",15.7,15.9,15.26,15.5,639536.0
"Jul 07, 2011 00:00:00",15.7,15.8,15.24,15.4,1315204.0
"Jul 08, 2011 00:00:00",15.8,15.8,15.18,15.18,223554.0
"Jul 11, 2011 00:00:00",15.5,15.5,15.1,15.1,119746.0
"Jul 12, 2011 00:00:00",15.4,15.4,15.0,15.24,644534.0
"Jul 13, 2011 00:00:00",15.28,15.28,15.0,15.08,474208.0
"Jul 14, 2011 00:00:00",15.18,15.3,15.1,15.28,1105498.0
"Jul 15, 2011 00:00:00",15.6,16.48,15.3,16.32,10598104.0
"Jul 18, 2011 00:00:00",16.4,17.5,16.4,17.5,4216102.0
"Jul 19, 2011 00:00:00",16.98,17.98,16.76,17.52,3003578.0
"Jul 20, 2011 00:00:00",17.8,19.5,17.5,19.2,9721502.0
"Jul 21, 2011 00:00:00",19.9,22.65,19.28,21.9,12168888.0
"Jul 22, 2011 00:00:00",22.7,23.75,21.95,23.5,22496220.0
"Jul 25, 2011 00:00:00",23.7,23.7,20.8,21.5,13700025.0
"Jul 26, 2011 00:00:00",22.0,23.75,21.6,21.65,12279255.0
"Jul 27, 2011 00:00:00",22.9,28.0,22.0,26.8,18405155.0
"Jul 28, 2011 00:00:00",27.35,29.2,25.65,28.5,13842605.0
"Jul 29, 2011 00:00:00",29.3,29.85,28.25,28.8,29169725.0
"Aug 01, 2011 00:00:00",29.7,31.0,28.8,30.3,16709360.0
"Aug 02, 2011 00:00:00",31.1,32.95,30.3,32.7,20906950.0
"Aug 03, 2011 00:00:00",32.65,34.95,32.2,34.75,25864475.0
"Aug 04, 2011 00:00:00",35.0,37.5,34.55,37.0,19760005.0
"Aug 05, 2011 00:00:00",36.0,37.5,34.65,37.0,24671020.0
"Aug 08, 2011 00:00:00",37.25,37.7,36.05,36.45,9856310.0
"Aug 09, 2011 00:00:00",35.15,35.85,30.5,33.1,20281570.0
"Aug 10, 2011 00:00:00",36.0,36.1,34.0,35.85,16949560.0
"Aug 11, 2011 00:00:00",34.75,40.3,34.0,39.05,27494145.0
"Aug 12, 2011 00:00:00",40.4,45.0,40.3,43.85,43060630.0
"Aug 15, 2011 00:00:00",47.0,49.0,44.5,47.85,37977290.0
"Aug 16, 2011 00:00:00",48.5,49.45,46.7,47.5,30768795.0
"Aug 17, 2011 00:00:00",48.6,49.0,46.8,46.9,22679755.0
"Aug 18, 2011 00:00:00",46.6,50.0,46.5,49.1,53862080.0
"Aug 19, 2011 00:00:00",48.05,48.5,47.85,48.0,9886410.0
"Aug 22, 2011 00:00:00",48.0,51.4,48.0,50.5,26461000.0
"Aug 23, 2011 00:00:00",51.0,53.4,50.45,50.45,36131495.0
"Aug 24, 2011 00:00:00",51.1,51.95,48.1,48.35,42442498.5
"Aug 25, 2011 00:00:00",49.5,49.5,42.05,44.5,23832070.0
"Aug 26, 2011 00:00:00",43.5,44.5,42.0,42.8,11361350.0
"Aug 31, 2011 00:00:00",44.0,44.0,40.05,40.05,18790795.0
"Sep 01, 2011 00:00:00",40.8,40.8,30.05,31.5,22658335.0
"Sep 02, 2011 00:00:00",29.5,32.1,25.95,30.55,32697360.0
"Sep 05, 2011 00:00:00",29.1,31.0,26.9,27.0,14325725.0
"Sep 06, 2011 00:00:00",27.4,27.4,22.5,22.5,13542305.0
"Sep 07, 2011 00:00:00",21.8,23.0,19.9,19.9,20150180.0
"Sep 08, 2011 00:00:00",21.1,29.85,20.05,29.85,33134695.0
"Sep 09, 2011 00:00:00",32.0,35.2,29.85,33.9,55768505.0
"Sep 12, 2011 00:00:00",34.5,34.55,29.0,29.2,16414885.0
"Sep 13, 2011 00:00:00",30.2,33.8,29.3,30.0,19089160.0
"Sep 14, 2011 00:00:00",30.65,31.95,28.5,28.5,12265310.0
"Sep 15, 2011 00:00:00",29.3,31.6,27.0,30.1,12978935.0
"Sep 16, 2011 00:00:00",31.0,34.0,31.0,33.95,28463765.0
"Sep 19, 2011 00:00:00",34.0,35.4,32.25,32.3,23037165.0
"Sep 20, 2011 00:00:00",32.25,34.3,31.7,31.7,16564210.0
"Sep 21, 2011 00:00:00",32.9,35.0,31.45,33.8,20732730.0
"Sep 22, 2011 00:00:00",33.1,35.0,31.15,31.15,27474735.0
"Sep 23, 2011 00:00:00",30.4,30.4,25.3,27.0,17241540.0
"Sep 26, 2011 00:00:00",26.55,28.8,22.5,23.0,4511465.0
"Sep 28, 2011 00:00:00",27.2,28.0,25.25,26.1,7197285.0
"Sep 29, 2011 00:00:00",25.9,28.1,24.4,28.0,6540995.0
"Oct 03, 2011 00:00:00",26.85,29.85,26.8,26.8,10703420.0
"Oct 04, 2011 00:00:00",26.0,27.5,25.0,26.8,7309685.0
"Oct 05, 2011 00:00:00",27.75,27.85,25.6,26.7,3676415.0
"Oct 06, 2011 00:00:00",26.9,27.5,26.2,26.75,1112755.0
"Oct 07, 2011 00:00:00",27.0,29.5,27.0,27.6,12604035.0
"Oct 10, 2011 00:00:00",27.9,29.5,27.9,29.5,7951085.0
