chart_date,open,high,low,close,value
"Aug 03, 2009 00:00:00",25.0,25.5,24.5,25.5,2802350.0
"Aug 04, 2009 00:00:00",25.5,26.0,25.5,26.0,4725650.0
"Aug 06, 2009 00:00:00",26.0,26.0,26.0,26.0,626600.0
"Aug 07, 2009 00:00:00",25.5,26.0,25.5,25.5,1405150.0
"Aug 10, 2009 00:00:00",25.5,26.0,25.5,26.0,3191900.0
"Aug 11, 2009 00:00:00",26.5,27.0,25.5,27.0,2529300.0
"Aug 12, 2009 00:00:00",27.0,27.5,26.5,27.5,7562100.0
"Aug 13, 2009 00:00:00",28.0,31.0,28.0,31.0,18352750.0
"Aug 14, 2009 00:00:00",32.0,32.0,30.0,31.0,3550400.0
"Aug 17, 2009 00:00:00",31.5,31.5,30.0,30.0,532050.0
"Aug 18, 2009 00:00:00",30.0,30.0,29.0,29.5,2093900.0
"Aug 19, 2009 00:00:00",30.0,31.0,30.0,30.5,1703200.0
"Aug 20, 2009 00:00:00",29.5,31.5,29.5,30.0,4075250.0
"Aug 24, 2009 00:00:00",31.5,32.0,31.0,31.5,3924150.0
"Aug 25, 2009 00:00:00",31.0,31.5,31.0,31.5,7634700.0
"Aug 26, 2009 00:00:00",31.5,31.5,30.5,30.5,1307750.0
"Sep 03, 2009 00:00:00",31.0,31.0,30.5,30.5,369500.0
"Sep 04, 2009 00:00:00",31.0,32.0,31.0,32.0,4000150.0
"Sep 16, 2009 00:00:00",30.0,30.0,29.5,30.0,865950.0
"Sep 17, 2009 00:00:00",30.0,30.0,30.0,30.0,642000.0
"Sep 18, 2009 00:00:00",30.0,31.0,30.0,31.0,4915500.0
"Sep 22, 2009 00:00:00",30.5,30.5,30.5,30.5,646600.0
"Sep 23, 2009 00:00:00",30.5,30.5,30.5,30.5,292800.0
"Sep 30, 2009 00:00:00",30.0,30.0,30.0,30.0,330000.0
"Oct 01, 2009 00:00:00",30.0,30.0,30.0,30.0,387000.0
"Oct 02, 2009 00:00:00",29.5,30.0,29.5,29.5,940550.0
"Oct 05, 2009 00:00:00",29.5,30.0,29.5,30.0,1082900.0
"Oct 06, 2009 00:00:00",30.0,30.0,30.0,30.0,906000.0
"Oct 07, 2009 00:00:00",30.0,30.5,29.5,30.5,4267700.0
"Oct 08, 2009 00:00:00",30.5,30.5,30.5,30.5,283650.0
"Oct 09, 2009 00:00:00",30.0,30.0,30.0,30.0,150000.0
"Oct 12, 2009 00:00:00",30.5,30.5,30.0,30.5,859950.0
"Oct 13, 2009 00:00:00",30.0,30.0,30.0,30.0,615000.0
"Oct 14, 2009 00:00:00",30.0,30.0,30.0,30.0,255000.0
"Oct 15, 2009 00:00:00",30.0,31.0,30.0,31.0,15100.0
"Oct 16, 2009 00:00:00",31.0,31.0,30.5,31.0,939100.0
"Oct 19, 2009 00:00:00",31.0,31.0,30.5,30.5,123950.0
"Oct 20, 2009 00:00:00",30.5,30.5,30.5,30.5,39650.0
"Oct 21, 2009 00:00:00",30.0,31.0,30.0,30.0,352350.0
"Oct 22, 2009 00:00:00",30.0,30.5,29.0,29.0,4961400.0
"Oct 23, 2009 00:00:00",28.5,30.5,28.5,28.5,3627800.0
"Oct 26, 2009 00:00:00",29.0,30.5,28.5,30.0,3645000.0
"Oct 27, 2009 00:00:00",29.5,29.5,29.0,29.0,2150350.0
"Oct 28, 2009 00:00:00",29.0,29.0,29.0,29.0,29000.0
"Oct 29, 2009 00:00:00",28.5,28.5,28.5,28.5,2257200.0
"Oct 30, 2009 00:00:00",29.0,30.0,28.5,30.0,7088650.0
"Nov 03, 2009 00:00:00",30.0,30.0,30.0,30.0,1500000.0
"Nov 04, 2009 00:00:00",30.0,30.0,29.0,29.0,892800.0
"Nov 05, 2009 00:00:00",29.0,29.0,28.5,28.5,715400.0
"Nov 06, 2009 00:00:00",29.0,29.0,29.0,29.0,4144100.0
"Nov 09, 2009 00:00:00",29.0,29.5,28.5,29.5,6735850.0
"Nov 10, 2009 00:00:00",29.5,29.5,29.0,29.0,5717300.0
"Nov 11, 2009 00:00:00",29.0,29.0,29.0,29.0,504600.0
"Dec 16, 2009 00:00:00",29.0,29.5,29.0,29.5,791150.0
"Dec 17, 2009 00:00:00",29.0,29.0,29.0,29.0,139200.0
"Dec 18, 2009 00:00:00",28.5,28.5,28.5,28.5,17100.0
"Dec 21, 2009 00:00:00",29.0,29.0,29.0,29.0,455300.0
"Dec 22, 2009 00:00:00",29.0,29.0,29.0,29.0,142100.0
"Dec 23, 2009 00:00:00",29.0,29.0,29.0,29.0,92800.0
"Dec 29, 2009 00:00:00",29.0,29.0,28.5,28.5,1173500.0
"Jan 04, 2010 00:00:00",29.0,30.0,29.0,29.0,608200.0
"Jan 05, 2010 00:00:00",28.5,29.0,28.5,29.0,135050.0
"Jan 06, 2010 00:00:00",29.0,29.0,29.0,29.0,197200.0
"Jan 07, 2010 00:00:00",29.0,29.0,29.0,29.0,2844900.0
"Jan 08, 2010 00:00:00",29.0,29.0,29.0,29.0,1310800.0
"Jan 11, 2010 00:00:00",29.0,29.5,28.5,29.0,3326200.0
"Jan 12, 2010 00:00:00",29.0,29.0,29.0,29.0,310300.0
"Jan 13, 2010 00:00:00",31.0,31.0,29.0,29.0,2842200.0
"Jan 14, 2010 00:00:00",29.0,29.0,29.0,29.0,49300.0
"Jan 15, 2010 00:00:00",28.5,29.0,28.0,28.5,1937400.0
"Jan 18, 2010 00:00:00",28.5,28.5,28.5,28.5,276450.0
"Jan 19, 2010 00:00:00",28.5,28.5,28.5,28.5,42750.0
"Jan 20, 2010 00:00:00",28.5,28.5,28.5,28.5,108300.0
"Jan 21, 2010 00:00:00",28.5,28.5,28.0,28.0,2402450.0
"Jan 22, 2010 00:00:00",28.0,28.5,28.0,28.5,163400.0
"Jan 25, 2010 00:00:00",28.0,28.0,27.0,27.5,1449050.0
"Jan 26, 2010 00:00:00",27.0,27.5,26.5,27.5,2184900.0
"Jan 27, 2010 00:00:00",26.5,27.5,26.5,27.5,450750.0
"Jan 28, 2010 00:00:00",27.5,28.5,27.5,28.5,2350550.0
"Feb 01, 2010 00:00:00",28.0,28.0,28.0,28.0,19600.0
"Feb 02, 2010 00:00:00",28.0,28.0,26.0,26.0,48400.0
"Feb 03, 2010 00:00:00",26.0,26.0,25.5,25.5,170900.0
"Feb 04, 2010 00:00:00",25.5,26.0,25.5,26.0,176050.0
"Feb 05, 2010 00:00:00",26.0,28.0,26.0,28.0,2410450.0
"Feb 08, 2010 00:00:00",27.0,28.0,27.0,28.0,1553050.0
"Feb 09, 2010 00:00:00",27.0,27.5,27.0,27.5,274250.0
"Feb 10, 2010 00:00:00",27.5,28.5,27.5,27.5,5883800.0
"Feb 11, 2010 00:00:00",27.5,28.0,27.0,28.0,6958800.0
"Mar 08, 2010 00:00:00",27.5,27.5,27.5,27.5,41250.0
"Mar 12, 2010 00:00:00",27.5,27.5,27.5,27.5,11709500.0
"Mar 15, 2010 00:00:00",28.0,28.0,27.0,27.5,1532250.0
"Mar 16, 2010 00:00:00",27.5,27.5,27.5,27.5,66000.0
"Mar 17, 2010 00:00:00",27.5,28.0,27.5,28.0,1271150.0
"Apr 20, 2010 00:00:00",29.5,29.5,29.0,29.0,1460650.0
"Apr 21, 2010 00:00:00",29.0,29.5,29.0,29.0,4428350.0
"Apr 22, 2010 00:00:00",30.0,30.0,29.5,30.0,3413900.0
"Apr 23, 2010 00:00:00",29.5,29.5,29.0,29.5,10850050.0
"Apr 29, 2010 00:00:00",30.0,31.0,30.0,31.0,3010200.0
"Apr 30, 2010 00:00:00",31.0,33.0,31.0,33.0,9593250.0
"May 04, 2010 00:00:00",33.0,33.0,32.0,32.0,833800.0
"May 05, 2010 00:00:00",32.0,32.0,31.0,31.0,5860400.0
"May 13, 2010 00:00:00",34.5,34.5,34.0,34.0,2411100.0
"May 14, 2010 00:00:00",34.0,35.5,34.0,35.0,5153300.0
"May 17, 2010 00:00:00",35.5,35.5,34.0,34.0,3578400.0
"May 18, 2010 00:00:00",34.0,34.5,34.0,34.5,1782300.0
"May 19, 2010 00:00:00",34.0,37.5,34.0,36.5,5873100.0
"May 20, 2010 00:00:00",37.5,38.0,37.5,37.5,7255500.0
"May 21, 2010 00:00:00",37.5,37.5,36.5,36.5,5416600.0
"May 24, 2010 00:00:00",37.0,37.0,36.0,36.5,17162500.0
"May 25, 2010 00:00:00",36.0,36.0,35.0,35.0,1295200.0
"May 26, 2010 00:00:00",35.0,35.5,34.5,35.5,935200.0
"May 27, 2010 00:00:00",35.0,37.5,35.0,37.5,3968150.0
"May 28, 2010 00:00:00",38.0,38.5,38.0,38.5,6240900.0
"May 31, 2010 00:00:00",38.0,38.0,37.0,37.5,3975200.0
"Jun 01, 2010 00:00:00",37.5,38.5,37.0,38.0,7328450.0
"Jun 02, 2010 00:00:00",38.0,38.0,37.0,37.5,2317900.0
"Jun 03, 2010 00:00:00",37.5,39.0,37.5,38.0,4828000.0
"Jun 04, 2010 00:00:00",38.5,39.0,37.5,37.5,2948600.0
"Jun 07, 2010 00:00:00",38.5,38.5,37.0,37.0,1735950.0
"Jun 08, 2010 00:00:00",36.5,37.0,36.5,36.5,1887100.0
"Jun 09, 2010 00:00:00",36.5,36.5,35.5,36.0,2214100.0
"Jun 10, 2010 00:00:00",36.0,36.0,35.5,36.0,698150.0
"Jun 11, 2010 00:00:00",36.5,36.5,36.0,36.0,677200.0
"Jun 15, 2010 00:00:00",36.0,36.5,36.0,36.5,3070300.0
"Jun 16, 2010 00:00:00",36.5,36.5,36.0,36.5,152300.0
"Jun 21, 2010 00:00:00",36.0,37.0,35.5,37.0,6401400.0
"Jun 22, 2010 00:00:00",37.0,37.0,37.0,37.0,1047100.0
"Jun 23, 2010 00:00:00",37.0,37.0,36.5,36.5,556850.0
"Jun 24, 2010 00:00:00",36.5,36.5,36.0,36.0,2816700.0
"Jun 25, 2010 00:00:00",36.0,36.5,36.0,36.5,219650.0
"Jun 28, 2010 00:00:00",36.5,36.5,36.0,36.0,710200.0
"Jun 29, 2010 00:00:00",36.0,36.5,36.0,36.5,36050.0
"Jul 01, 2010 00:00:00",36.5,37.0,36.0,37.0,2322500.0
"Jul 02, 2010 00:00:00",37.0,37.0,36.5,37.0,4583950.0
"Jul 06, 2010 00:00:00",37.0,37.0,36.5,36.5,497850.0
"Jul 07, 2010 00:00:00",36.5,37.0,36.5,37.0,1186400.0
"Jul 08, 2010 00:00:00",37.5,37.5,37.5,37.5,798750.0
"Jul 09, 2010 00:00:00",37.5,37.5,37.0,37.0,145800.0
"Jul 13, 2010 00:00:00",37.0,38.0,37.0,38.0,3547300.0
"Jul 15, 2010 00:00:00",37.5,38.0,37.0,38.0,6020800.0
