chart_date,open,high,low,close,value
"Aug 07, 2009 00:00:00",8.5,8.5,8.5,8.5,8500.0
"Aug 12, 2009 00:00:00",7.6,7.6,7.6,7.6,38000.0
"Aug 13, 2009 00:00:00",8.2,8.2,8.2,8.2,8200.0
"Aug 17, 2009 00:00:00",7.0,8.0,7.0,8.0,99800.0
"Aug 19, 2009 00:00:00",7.9,8.0,7.5,8.0,245000.0
"Aug 24, 2009 00:00:00",7.5,8.0,7.5,8.0,23400.0
"Aug 25, 2009 00:00:00",8.0,8.0,7.4,7.4,46800.0
"Aug 26, 2009 00:00:00",7.1,7.5,7.0,7.5,106600.0
"Sep 03, 2009 00:00:00",6.8,7.2,6.7,7.2,509800.0
"Sep 04, 2009 00:00:00",6.7,6.8,6.6,6.8,185100.0
"Sep 16, 2009 00:00:00",6.0,6.8,6.0,6.8,90800.0
"Sep 17, 2009 00:00:00",6.5,6.5,6.0,6.5,49500.0
"Sep 30, 2009 00:00:00",6.6,6.6,6.6,6.6,6600.0
"Oct 01, 2009 00:00:00",5.9,6.8,5.5,6.8,129800.0
"Oct 05, 2009 00:00:00",5.8,6.8,5.6,6.8,585200.0
"Oct 19, 2009 00:00:00",5.5,6.8,5.5,6.5,91300.0
"Oct 21, 2009 00:00:00",6.5,6.5,6.5,6.5,32500.0
"Oct 23, 2009 00:00:00",5.5,6.5,5.4,6.2,249900.0
"Oct 28, 2009 00:00:00",5.5,6.0,5.5,6.0,50000.0
"Oct 29, 2009 00:00:00",5.5,5.8,5.3,5.8,70000.0
"Oct 30, 2009 00:00:00",5.3,5.8,5.0,5.8,116700.0
"Nov 03, 2009 00:00:00",5.4,5.6,4.75,5.6,267350.0
"Nov 04, 2009 00:00:00",5.6,5.6,5.0,5.0,75600.0
"Nov 05, 2009 00:00:00",4.8,5.0,4.2,5.0,459400.0
"Nov 06, 2009 00:00:00",4.55,4.55,4.5,4.5,27200.0
"Nov 09, 2009 00:00:00",4.2,4.2,4.2,4.2,12600.0
"Nov 10, 2009 00:00:00",4.5,4.75,4.05,4.65,683250.0
"Nov 11, 2009 00:00:00",4.65,4.65,4.5,4.5,49650.0
"Dec 16, 2009 00:00:00",3.05,3.05,3.0,3.0,27050.0
"Dec 22, 2009 00:00:00",3.0,3.0,3.0,3.0,3000.0
"Jan 06, 2010 00:00:00",3.45,3.5,2.8,3.45,203550.0
"Jan 07, 2010 00:00:00",2.95,3.45,2.8,3.0,347300.0
"Jan 08, 2010 00:00:00",3.0,3.1,2.8,2.9,619650.0
"Jan 11, 2010 00:00:00",2.9,2.9,2.9,2.9,14500.0
"Jan 12, 2010 00:00:00",2.95,3.0,2.95,3.0,17750.0
"Jan 13, 2010 00:00:00",3.0,3.0,2.95,3.0,77150.0
"Jan 14, 2010 00:00:00",2.9,3.1,2.8,3.1,121250.0
"Jan 15, 2010 00:00:00",2.9,2.9,2.9,2.9,60900.0
"Jan 19, 2010 00:00:00",2.9,3.0,2.9,3.0,29900.0
"Jan 20, 2010 00:00:00",3.0,3.1,2.9,3.1,153400.0
"Jan 21, 2010 00:00:00",3.05,3.05,3.05,3.05,6100.0
"Jan 22, 2010 00:00:00",3.0,3.0,3.0,3.0,27000.0
"Jan 26, 2010 00:00:00",3.0,3.1,3.0,3.1,6100.0
"Jan 27, 2010 00:00:00",2.7,3.0,2.7,3.0,30000.0
"Jan 29, 2010 00:00:00",3.0,3.1,2.95,3.1,129150.0
"Feb 10, 2010 00:00:00",2.7,2.7,2.7,2.7,5400.0
"Mar 08, 2010 00:00:00",3.05,3.05,3.05,3.05,3050.0
"Apr 20, 2010 00:00:00",3.0,3.0,3.0,3.0,3000.0
"Apr 21, 2010 00:00:00",2.75,2.75,2.75,2.75,2750.0
"May 04, 2010 00:00:00",2.75,2.75,2.75,2.75,8250.0
"May 05, 2010 00:00:00",2.7,2.7,2.7,2.7,35100.0
"May 14, 2010 00:00:00",2.95,2.95,2.95,2.95,5900.0
"May 17, 2010 00:00:00",2.9,2.9,2.9,2.9,11600.0
"May 18, 2010 00:00:00",2.75,2.75,2.75,2.75,8250.0
"May 19, 2010 00:00:00",2.7,2.7,2.7,2.7,5400.0
"May 20, 2010 00:00:00",2.7,2.7,2.7,2.7,5400.0
"May 25, 2010 00:00:00",2.5,2.5,2.5,2.5,55000.0
"May 26, 2010 00:00:00",2.4,2.6,2.4,2.6,5000.0
"May 27, 2010 00:00:00",2.4,2.4,2.4,2.4,9600.0
"May 28, 2010 00:00:00",2.5,2.5,2.5,2.5,10000.0
"May 31, 2010 00:00:00",2.5,2.5,2.0,2.0,12000.0
"Jun 07, 2010 00:00:00",2.0,2.0,2.0,2.0,2000.0
"Jun 15, 2010 00:00:00",2.3,2.3,2.3,2.3,23000.0
"Jun 16, 2010 00:00:00",2.75,2.75,2.75,2.75,5500.0
"Jun 23, 2010 00:00:00",2.5,2.5,2.5,2.5,12500.0
"Jun 28, 2010 00:00:00",2.2,2.2,2.0,2.0,122000.0
"Jul 01, 2010 00:00:00",2.4,2.4,2.0,2.18,111160.0
"Jul 07, 2010 00:00:00",2.18,2.18,2.18,2.18,2180.0
"Jul 08, 2010 00:00:00",2.1,2.1,2.1,2.1,8400.0
"Jul 13, 2010 00:00:00",2.3,2.38,2.3,2.38,37520.0
"Jul 19, 2010 00:00:00",2.44,2.44,2.38,2.38,9660.0
"Jul 22, 2010 00:00:00",2.38,2.38,2.38,2.38,19040.0
"Sep 23, 2010 00:00:00",2.99,2.99,2.99,2.99,2990.0
"Sep 24, 2010 00:00:00",2.99,3.09,2.99,3.09,9080.0
"Sep 27, 2010 00:00:00",4.2,4.4,4.0,4.0,63200.0
"Oct 13, 2010 00:00:00",2.14,2.5,2.14,2.5,32140.0
"Oct 14, 2010 00:00:00",3.5,3.5,2.5,3.2,57100.0
"Oct 15, 2010 00:00:00",2.8,3.0,2.6,3.0,2746750.0
"Oct 18, 2010 00:00:00",2.55,3.0,2.55,3.0,38700.0
"Dec 03, 2010 00:00:00",2.8,2.8,2.36,2.36,46160.0
"Dec 06, 2010 00:00:00",2.5,2.6,2.5,2.6,2725000.0
"Dec 07, 2010 00:00:00",2.6,2.6,2.6,2.6,652600.0
"Dec 08, 2010 00:00:00",2.6,2.6,2.6,2.6,254800.0
"Jan 03, 2011 00:00:00",2.95,3.14,2.95,3.14,6090.0
"Jan 03, 2011 00:00:00",2.95,3.14,2.95,3.14,6090.0
"Jan 03, 2011 00:00:00",2.95,3.14,2.95,3.14,6090.0
"Jan 24, 2011 00:00:00",3.2,3.2,3.2,3.2,9600.0
"Jan 26, 2011 00:00:00",2.5,2.99,2.5,2.99,8480.0
"Feb 02, 2011 00:00:00",2.19,2.19,2.19,2.19,21900.0
"Feb 24, 2011 00:00:00",2.16,2.16,2.13,2.13,10720.0
"Feb 24, 2011 00:00:00",2.16,2.16,2.13,2.13,10720.0
"Feb 25, 2011 00:00:00",2.14,2.64,2.01,2.64,106150.0
"Feb 28, 2011 00:00:00",2.4,2.4,2.4,2.4,24000.0
"Mar 02, 2011 00:00:00",2.25,2.25,2.25,2.25,2250.0
"Mar 03, 2011 00:00:00",2.39,2.89,2.39,2.89,10470.0
"Mar 07, 2011 00:00:00",2.8,2.8,2.5,2.5,20790.0
"Mar 16, 2011 00:00:00",2.0,2.5,2.0,2.5,10500.0
"Mar 22, 2011 00:00:00",2.4,2.4,2.4,2.4,2400.0
"Mar 23, 2011 00:00:00",2.76,2.76,2.3,2.3,7360.0
"Apr 05, 2011 00:00:00",2.5,2.5,2.5,2.5,2500.0
"Apr 07, 2011 00:00:00",2.49,2.49,2.49,2.49,4980.0
"May 03, 2011 00:00:00",2.1,2.1,2.1,2.1,6300.0
"May 09, 2011 00:00:00",2.1,2.16,2.1,2.15,73080.0
"May 11, 2011 00:00:00",2.4,2.4,2.4,2.4,24000.0
"May 12, 2011 00:00:00",2.59,2.65,2.59,2.65,7830.0
"May 17, 2011 00:00:00",1.86,2.59,1.82,2.59,75990.0
"Jun 10, 2011 00:00:00",2.53,2.53,2.53,2.53,5060.0
"Jun 27, 2011 00:00:00",1.87,1.87,1.85,1.85,35190.0
"Jun 29, 2011 00:00:00",2.12,2.13,2.12,2.13,50980.0
"Jul 05, 2011 00:00:00",2.45,2.45,2.2,2.2,11500.0
"Jul 07, 2011 00:00:00",2.28,2.28,2.28,2.28,2280.0
"Jul 11, 2011 00:00:00",2.28,2.28,2.28,2.28,9120.0
"Jul 12, 2011 00:00:00",2.1,2.1,2.09,2.09,8390.0
"Jul 20, 2011 00:00:00",1.96,1.96,1.96,1.96,13720.0
"Jul 22, 2011 00:00:00",2.59,2.59,2.59,2.59,2590.0
"Jul 25, 2011 00:00:00",2.76,2.77,2.76,2.77,8290.0
"Jul 27, 2011 00:00:00",2.75,2.75,2.75,2.75,5500.0
"Jul 29, 2011 00:00:00",2.2,2.75,2.2,2.75,4950.0
"Aug 01, 2011 00:00:00",2.75,3.7,2.75,3.22,1008250.0
"Aug 02, 2011 00:00:00",3.2,3.21,2.8,2.8,226820.0
"Aug 03, 2011 00:00:00",2.95,2.95,2.7,2.7,197630.0
"Aug 04, 2011 00:00:00",2.71,4.0,2.71,4.0,16147220.0
"Aug 05, 2011 00:00:00",3.9,3.9,3.6,3.8,262670.0
"Aug 08, 2011 00:00:00",3.4,3.8,3.2,3.78,8044850.0
"Aug 09, 2011 00:00:00",3.8,3.8,3.25,3.77,431040.0
"Aug 10, 2011 00:00:00",3.3,3.97,3.3,3.97,34070.0
