chart_date,open,high,low,close,value
"Aug 28, 2014 00:00:00",8.05,9.0,6.51,7.4,85906690.0
"Aug 29, 2014 00:00:00",7.55,7.79,5.65,6.01,35859028.0
"Sep 01, 2014 00:00:00",5.9,6.0,5.1,5.81,13842564.0
"Sep 02, 2014 00:00:00",5.78,5.78,5.51,5.6,8388332.0
"Sep 03, 2014 00:00:00",5.51,6.2,5.51,5.76,9878909.0
"Sep 04, 2014 00:00:00",5.98,5.98,5.73,5.73,3573215.0
"Sep 05, 2014 00:00:00",5.76,5.85,5.6,5.62,3172725.0
"Sep 08, 2014 00:00:00",5.65,5.65,5.19,5.25,5710996.0
"Sep 09, 2014 00:00:00",5.25,5.37,4.9,4.9,5572838.0
"Sep 10, 2014 00:00:00",5.0,5.0,4.61,4.66,3979330.0
"Sep 11, 2014 00:00:00",4.8,4.8,4.6,4.61,4773330.0
"Sep 12, 2014 00:00:00",4.65,4.79,4.4,4.43,3893710.0
"Sep 15, 2014 00:00:00",4.4,4.6,4.3,4.3,1800550.0
"Sep 16, 2014 00:00:00",4.3,5.9,4.3,5.08,15965450.0
"Sep 17, 2014 00:00:00",5.15,5.44,5.15,5.18,2510755.0
"Sep 18, 2014 00:00:00",5.2,5.4,5.0,5.12,2284952.0
"Sep 22, 2014 00:00:00",5.2,5.21,5.0,5.16,542918.0
"Sep 23, 2014 00:00:00",5.28,5.28,5.07,5.21,689708.0
"Sep 24, 2014 00:00:00",5.24,5.43,5.18,5.34,1350523.0
"Sep 25, 2014 00:00:00",5.45,5.7,5.16,5.16,7715547.0
"Sep 26, 2014 00:00:00",5.32,5.32,5.1,5.18,1017377.0
"Sep 29, 2014 00:00:00",5.35,5.35,5.11,5.12,373086.0
"Sep 30, 2014 00:00:00",5.12,5.27,5.09,5.09,1727026.0
"Oct 01, 2014 00:00:00",5.08,5.15,5.04,5.08,766907.0
"Oct 02, 2014 00:00:00",5.08,5.27,5.01,5.07,718472.0
"Oct 03, 2014 00:00:00",5.07,5.2,5.04,5.04,333185.0
"Oct 07, 2014 00:00:00",5.05,5.06,5.01,5.04,368576.0
"Oct 08, 2014 00:00:00",5.05,5.05,4.89,5.04,1635887.0
"Oct 09, 2014 00:00:00",5.04,5.04,4.93,5.0,297499.0
"Oct 10, 2014 00:00:00",5.0,5.0,4.86,4.88,1116453.0
"Oct 13, 2014 00:00:00",4.85,4.99,4.6,4.8,381150.0
"Oct 14, 2014 00:00:00",4.61,4.68,4.3,4.6,1261960.0
"Oct 15, 2014 00:00:00",4.45,5.0,4.45,4.75,727040.0
"Oct 16, 2014 00:00:00",4.6,4.69,4.45,4.58,384620.0
"Oct 17, 2014 00:00:00",5.21,5.49,4.8,5.1,6556710.0
"Oct 20, 2014 00:00:00",5.35,5.35,4.89,5.0,1370236.0
"Oct 21, 2014 00:00:00",4.99,5.2,4.95,4.99,1346333.0
"Oct 22, 2014 00:00:00",5.0,5.18,4.99,5.15,299590.0
"Oct 23, 2014 00:00:00",5.13,5.13,5.0,5.0,374275.0
"Oct 24, 2014 00:00:00",5.0,5.01,4.9,5.0,180030.0
"Oct 27, 2014 00:00:00",4.9,5.0,4.79,4.98,548730.0
