chart_date,open,high,low,close,value
"Aug 03, 2009 00:00:00",4.1,4.15,4.05,4.1,109175050.0
"Aug 04, 2009 00:00:00",4.15,4.15,4.05,4.15,39370650.0
"Aug 06, 2009 00:00:00",4.1,4.1,4.0,4.05,18920300.0
"Aug 07, 2009 00:00:00",4.1,4.1,4.0,4.05,34137350.0
"Aug 10, 2009 00:00:00",4.05,4.05,4.0,4.05,74536650.0
"Aug 11, 2009 00:00:00",4.2,4.35,4.2,4.3,199948850.0
"Aug 12, 2009 00:00:00",4.3,4.35,4.25,4.3,144914350.0
"Aug 13, 2009 00:00:00",4.35,4.55,4.35,4.4,171448300.0
"Aug 14, 2009 00:00:00",4.5,4.5,4.4,4.4,95177700.0
"Aug 17, 2009 00:00:00",4.4,4.4,4.2,4.25,14060250.0
"Aug 18, 2009 00:00:00",4.1,4.2,4.05,4.2,99745050.0
"Aug 19, 2009 00:00:00",4.25,4.35,4.25,4.3,76027700.0
"Aug 20, 2009 00:00:00",4.45,4.45,4.2,4.3,80804500.0
"Aug 24, 2009 00:00:00",4.4,4.7,4.4,4.7,235868000.0
"Aug 25, 2009 00:00:00",4.65,4.8,4.6,4.7,136650050.0
"Aug 26, 2009 00:00:00",4.7,4.85,4.7,4.85,189106050.0
"Sep 03, 2009 00:00:00",4.7,4.7,4.45,4.7,209600650.0
"Sep 04, 2009 00:00:00",4.75,4.8,4.7,4.7,76856250.0
"Sep 16, 2009 00:00:00",4.55,4.55,4.45,4.5,46387400.0
"Sep 17, 2009 00:00:00",4.6,4.65,4.5,4.6,39716400.0
"Sep 18, 2009 00:00:00",4.6,4.75,4.55,4.75,67850400.0
"Sep 22, 2009 00:00:00",4.8,4.8,4.65,4.75,15915400.0
"Sep 23, 2009 00:00:00",4.75,4.8,4.65,4.7,24664350.0
"Sep 30, 2009 00:00:00",4.7,4.8,4.7,4.8,96792400.0
"Oct 01, 2009 00:00:00",4.8,4.8,4.75,4.8,441502600.0
"Oct 02, 2009 00:00:00",4.8,4.8,4.65,4.8,35667900.0
"Oct 05, 2009 00:00:00",4.8,4.8,4.7,4.8,20742200.0
"Oct 06, 2009 00:00:00",4.8,4.85,4.8,4.85,69250750.0
"Oct 07, 2009 00:00:00",5.0,5.0,4.9,4.95,161995550.0
"Oct 08, 2009 00:00:00",4.95,5.0,4.9,4.9,88584100.0
"Oct 09, 2009 00:00:00",4.9,4.95,4.85,4.9,73300350.0
"Oct 12, 2009 00:00:00",4.9,4.95,4.85,4.85,214901200.0
"Oct 13, 2009 00:00:00",4.85,4.85,4.6,4.6,90587950.0
"Oct 14, 2009 00:00:00",4.65,4.7,4.65,4.65,65843000.0
"Oct 15, 2009 00:00:00",4.7,4.8,4.7,4.7,49818350.0
"Oct 16, 2009 00:00:00",4.75,4.75,4.65,4.75,67269450.0
"Oct 19, 2009 00:00:00",4.75,4.75,4.65,4.7,18172100.0
"Oct 20, 2009 00:00:00",4.7,4.7,4.6,4.6,61772100.0
"Oct 21, 2009 00:00:00",4.6,4.6,4.55,4.6,28753100.0
"Oct 22, 2009 00:00:00",4.6,4.6,4.5,4.55,33671350.0
"Oct 23, 2009 00:00:00",4.6,4.65,4.55,4.55,33693350.0
"Oct 26, 2009 00:00:00",4.55,4.6,4.45,4.6,56374850.0
"Oct 27, 2009 00:00:00",4.6,4.6,4.5,4.55,41123750.0
"Oct 28, 2009 00:00:00",4.55,4.55,4.35,4.4,66134950.0
