chart_date,open,high,low,close,value
"Aug 03, 2009 00:00:00",9.3,9.5,9.1,9.4,254125600.0
"Aug 04, 2009 00:00:00",9.7,9.8,9.5,9.6,116671200.0
"Aug 06, 2009 00:00:00",9.6,9.6,9.3,9.4,159657200.0
"Aug 07, 2009 00:00:00",9.3,9.5,9.3,9.5,13096500.0
"Aug 10, 2009 00:00:00",9.4,9.6,9.4,9.5,113562800.0
"Aug 11, 2009 00:00:00",9.7,9.7,9.4,9.5,105853400.0
"Aug 12, 2009 00:00:00",9.4,9.4,9.3,9.4,42901100.0
"Aug 13, 2009 00:00:00",9.4,9.4,9.3,9.4,120189500.0
"Aug 14, 2009 00:00:00",9.4,9.7,9.4,9.6,92369900.0
"Aug 17, 2009 00:00:00",9.5,9.5,9.4,9.4,135203100.0
"Aug 18, 2009 00:00:00",9.3,9.5,9.2,9.4,121762200.0
"Aug 19, 2009 00:00:00",9.5,9.7,9.5,9.7,90795200.0
"Aug 20, 2009 00:00:00",9.7,9.7,9.6,9.7,177291200.0
"Aug 24, 2009 00:00:00",9.9,10.25,9.9,10.0,247379700.0
"Aug 25, 2009 00:00:00",10.0,10.5,10.0,10.0,145312000.0
"Aug 26, 2009 00:00:00",10.5,10.5,10.25,10.25,108114500.0
"Sep 03, 2009 00:00:00",10.25,10.5,10.0,10.5,81738200.0
"Sep 04, 2009 00:00:00",10.5,10.5,10.25,10.5,68275550.0
"Sep 16, 2009 00:00:00",11.0,11.0,10.75,11.0,43889000.0
"Sep 17, 2009 00:00:00",11.0,11.25,10.75,10.75,127957575.0
"Sep 18, 2009 00:00:00",10.75,10.75,10.75,10.75,89233600.0
"Sep 22, 2009 00:00:00",10.75,11.0,10.75,10.75,176858775.0
"Sep 23, 2009 00:00:00",11.0,11.5,11.0,11.25,180508075.0
"Sep 30, 2009 00:00:00",11.75,12.0,11.5,11.5,117245925.0
"Oct 01, 2009 00:00:00",11.75,12.0,11.5,12.0,148576400.0
"Oct 02, 2009 00:00:00",11.5,12.0,11.5,12.0,77011500.0
"Oct 05, 2009 00:00:00",12.0,12.0,11.75,11.75,102119600.0
"Oct 06, 2009 00:00:00",12.25,12.25,11.75,12.0,163787600.0
"Oct 07, 2009 00:00:00",12.0,12.25,12.0,12.25,90766725.0
"Oct 08, 2009 00:00:00",12.5,12.5,12.0,12.5,215855225.0
"Oct 09, 2009 00:00:00",12.5,12.5,12.0,12.0,158678350.0
"Oct 12, 2009 00:00:00",12.0,12.0,11.75,11.75,98878475.0
"Oct 13, 2009 00:00:00",11.75,12.0,11.75,12.0,48284050.0
"Oct 14, 2009 00:00:00",11.75,12.0,11.5,11.5,196491200.0
"Oct 15, 2009 00:00:00",11.75,11.75,11.25,11.25,175825800.0
"Oct 16, 2009 00:00:00",11.5,11.5,11.0,11.0,109735250.0
"Oct 19, 2009 00:00:00",11.0,11.0,10.75,11.0,73241275.0
"Oct 20, 2009 00:00:00",11.25,11.25,11.0,11.0,83644225.0
"Oct 21, 2009 00:00:00",11.25,11.5,11.0,11.25,247516700.0
"Oct 22, 2009 00:00:00",11.5,11.5,11.0,11.25,83298625.0
"Oct 23, 2009 00:00:00",11.25,11.5,11.25,11.5,219794650.0
"Oct 26, 2009 00:00:00",11.5,11.5,11.25,11.5,7871800.0
"Oct 27, 2009 00:00:00",11.5,11.75,11.25,11.5,94800125.0
"Oct 28, 2009 00:00:00",11.5,11.5,11.0,11.0,38968850.0
"Oct 29, 2009 00:00:00",10.5,10.75,10.25,10.5,169011450.0
"Oct 30, 2009 00:00:00",11.0,11.0,10.5,10.5,226470775.0
"Nov 03, 2009 00:00:00",10.5,10.75,10.0,10.25,243801600.0
"Nov 04, 2009 00:00:00",10.25,10.5,10.25,10.25,89070200.0
"Nov 05, 2009 00:00:00",10.5,10.75,10.5,10.75,50041675.0
"Nov 06, 2009 00:00:00",11.0,11.0,10.5,10.75,47454525.0
"Nov 09, 2009 00:00:00",10.75,10.75,10.5,10.5,4587475.0
"Nov 10, 2009 00:00:00",11.0,11.0,10.75,11.0,164003450.0
"Nov 11, 2009 00:00:00",11.0,11.5,11.0,11.5,56836075.0
"Dec 15, 2009 00:00:00",11.75,11.75,11.5,11.5,124033525.0
"Dec 16, 2009 00:00:00",11.5,11.75,11.25,11.75,62385075.0
"Dec 17, 2009 00:00:00",11.75,11.75,11.5,11.75,29995375.0
"Dec 18, 2009 00:00:00",11.75,11.75,11.25,11.25,69386275.0
"Dec 21, 2009 00:00:00",11.25,11.5,11.25,11.5,62017425.0
"Dec 22, 2009 00:00:00",11.25,11.5,11.25,11.5,50225325.0
"Dec 23, 2009 00:00:00",11.5,11.5,11.25,11.5,54384125.0
"Dec 29, 2009 00:00:00",11.25,11.5,11.0,11.25,37475825.0
"Jan 04, 2010 00:00:00",11.25,11.25,10.75,11.0,52167075.0
"Jan 05, 2010 00:00:00",10.75,11.0,10.5,10.75,152408775.0
"Jan 06, 2010 00:00:00",10.75,10.75,10.5,10.75,121575950.0
"Jan 07, 2010 00:00:00",10.75,11.25,10.75,11.25,39098175.0
"Jan 08, 2010 00:00:00",11.25,11.5,11.0,11.5,139631025.0
"Jan 11, 2010 00:00:00",11.5,11.5,11.0,11.25,27653125.0
"Jan 12, 2010 00:00:00",11.5,11.5,11.0,11.25,75847800.0
"Jan 13, 2010 00:00:00",11.25,11.5,11.0,11.5,61029625.0
"Jan 14, 2010 00:00:00",11.5,11.75,11.25,11.75,119934600.0
"Jan 15, 2010 00:00:00",11.75,11.75,11.25,11.25,213391150.0
"Jan 18, 2010 00:00:00",11.25,11.25,11.0,11.25,117525675.0
"Jan 19, 2010 00:00:00",11.0,11.25,10.75,11.0,147066650.0
"Jan 20, 2010 00:00:00",11.25,11.25,10.75,11.0,82665025.0
"Jan 21, 2010 00:00:00",11.0,11.25,10.75,11.25,161708375.0
"Jan 22, 2010 00:00:00",10.75,11.25,10.75,11.0,95889700.0
"Jan 25, 2010 00:00:00",10.75,10.75,10.5,10.75,67588800.0
"Jan 26, 2010 00:00:00",10.75,10.75,10.5,10.75,48546550.0
"Jan 27, 2010 00:00:00",10.75,10.75,10.25,10.5,55260300.0
"Jan 28, 2010 00:00:00",10.5,11.0,10.5,10.75,87384150.0
"Jan 29, 2010 00:00:00",10.75,10.75,10.5,10.5,101043600.0
"Feb 01, 2010 00:00:00",10.75,10.75,10.25,10.5,58600775.0
"Feb 02, 2010 00:00:00",10.5,10.75,10.25,10.5,131907225.0
"Feb 03, 2010 00:00:00",10.5,10.5,10.25,10.25,44367150.0
"Feb 04, 2010 00:00:00",10.5,10.75,10.5,10.5,91424900.0
"Feb 05, 2010 00:00:00",10.0,10.5,10.0,10.25,170158775.0
"Feb 08, 2010 00:00:00",10.25,10.5,10.25,10.5,105477925.0
"Feb 09, 2010 00:00:00",10.25,10.25,9.9,10.0,121264210.0
"Feb 10, 2010 00:00:00",10.25,10.25,10.0,10.25,54177250.0
"Feb 11, 2010 00:00:00",10.25,10.5,10.25,10.25,61998300.0
"Mar 08, 2010 00:00:00",11.25,11.25,11.0,11.0,117734725.0
"Mar 12, 2010 00:00:00",11.25,11.5,11.0,11.25,88719150.0
