chart_date,open,high,low,close,value
"Aug 03, 2009 00:00:00",0.57,0.62,0.57,0.58,11335300.0
"Aug 04, 2009 00:00:00",0.58,0.59,0.54,0.54,3578800.0
"Aug 06, 2009 00:00:00",0.55,0.55,0.53,0.53,1095900.0
"Aug 07, 2009 00:00:00",0.53,0.56,0.52,0.52,5919400.0
"Aug 10, 2009 00:00:00",0.53,0.55,0.53,0.55,1822200.0
"Aug 11, 2009 00:00:00",0.55,0.55,0.54,0.55,857000.0
"Aug 12, 2009 00:00:00",0.55,0.56,0.55,0.56,1223000.0
"Aug 13, 2009 00:00:00",0.55,0.55,0.54,0.54,1142500.0
"Aug 14, 2009 00:00:00",0.54,0.58,0.53,0.56,4453500.0
"Aug 17, 2009 00:00:00",0.55,0.55,0.52,0.52,1569000.0
"Aug 18, 2009 00:00:00",0.52,0.53,0.52,0.52,3107400.0
"Aug 19, 2009 00:00:00",0.53,0.53,0.52,0.52,3855300.0
"Aug 20, 2009 00:00:00",0.52,0.52,0.52,0.52,52000.0
"Aug 24, 2009 00:00:00",0.53,0.53,0.51,0.51,1124800.0
"Aug 25, 2009 00:00:00",0.51,0.51,0.5,0.5,1751200.0
"Aug 26, 2009 00:00:00",0.52,0.54,0.52,0.53,2003100.0
"Sep 03, 2009 00:00:00",0.51,0.51,0.5,0.5,402000.0
"Sep 04, 2009 00:00:00",0.5,0.5,0.5,0.5,90000.0
"Sep 16, 2009 00:00:00",0.45,0.45,0.42,0.42,895600.0
"Sep 17, 2009 00:00:00",0.42,0.42,0.42,0.42,84000.0
"Sep 22, 2009 00:00:00",0.43,0.43,0.43,0.43,43000.0
"Sep 23, 2009 00:00:00",0.43,0.43,0.43,0.43,348300.0
"Oct 01, 2009 00:00:00",0.38,0.41,0.38,0.41,80400.0
"Oct 02, 2009 00:00:00",0.37,0.37,0.36,0.37,377100.0
"Oct 06, 2009 00:00:00",0.37,0.37,0.37,0.37,74000.0
"Oct 07, 2009 00:00:00",0.38,0.39,0.38,0.38,774600.0
"Oct 08, 2009 00:00:00",0.39,0.41,0.39,0.41,1310800.0
"Oct 09, 2009 00:00:00",0.42,0.45,0.41,0.45,7280100.0
"Oct 12, 2009 00:00:00",0.43,0.43,0.42,0.42,841100.0
"Oct 13, 2009 00:00:00",0.42,0.42,0.41,0.41,2093200.0
"Oct 14, 2009 00:00:00",0.41,0.41,0.41,0.41,28700.0
"Oct 15, 2009 00:00:00",0.41,0.41,0.41,0.41,69700.0
"Oct 16, 2009 00:00:00",0.4,0.4,0.4,0.4,480000.0
"Oct 19, 2009 00:00:00",0.41,0.41,0.41,0.41,20500.0
"Oct 21, 2009 00:00:00",0.41,0.42,0.41,0.42,207000.0
"Oct 22, 2009 00:00:00",0.4,0.41,0.4,0.41,76900.0
"Oct 23, 2009 00:00:00",0.41,0.41,0.4,0.4,81000.0
"Oct 28, 2009 00:00:00",0.4,0.41,0.4,0.41,254300.0
"Oct 29, 2009 00:00:00",0.39,0.39,0.38,0.38,196300.0
"Nov 04, 2009 00:00:00",0.38,0.41,0.38,0.41,316900.0
"Nov 05, 2009 00:00:00",0.43,0.43,0.43,0.43,172000.0
"Nov 06, 2009 00:00:00",0.43,0.43,0.43,0.43,344000.0
"Nov 10, 2009 00:00:00",0.43,0.45,0.43,0.45,420500.0
"Nov 11, 2009 00:00:00",0.44,0.44,0.41,0.41,1184600.0
"Dec 15, 2009 00:00:00",0.39,0.39,0.39,0.39,58500.0
"Dec 18, 2009 00:00:00",0.39,0.39,0.39,0.39,46800.0
"Dec 21, 2009 00:00:00",0.39,0.39,0.39,0.39,390000.0
"Dec 22, 2009 00:00:00",0.4,0.4,0.4,0.4,120000.0
"Dec 23, 2009 00:00:00",0.41,0.41,0.41,0.41,348500.0
"Dec 29, 2009 00:00:00",0.41,0.41,0.41,0.41,8200.0
"Jan 05, 2010 00:00:00",0.41,0.42,0.41,0.41,235700.0
"Jan 06, 2010 00:00:00",0.42,0.42,0.42,0.42,210000.0
"Jan 07, 2010 00:00:00",0.42,0.45,0.42,0.45,646900.0
"Jan 08, 2010 00:00:00",0.45,0.51,0.45,0.49,2816500.0
"Jan 12, 2010 00:00:00",0.47,0.47,0.45,0.45,380400.0
"Jan 13, 2010 00:00:00",0.45,0.46,0.44,0.46,498200.0
"Jan 14, 2010 00:00:00",0.45,0.45,0.45,0.45,49500.0
"Jan 15, 2010 00:00:00",0.42,0.42,0.42,0.42,218400.0
"Jan 21, 2010 00:00:00",0.42,0.42,0.42,0.42,155400.0
"Jan 22, 2010 00:00:00",0.42,0.42,0.42,0.42,205800.0
"Jan 25, 2010 00:00:00",0.42,0.49,0.42,0.49,1920200.0
"Jan 26, 2010 00:00:00",0.5,0.52,0.48,0.48,2104500.0
