chart_date,open,high,low,close,value
"Aug 03, 2009 00:00:00",4.85,4.85,4.6,4.7,538000.0
"Aug 04, 2009 00:00:00",4.7,4.7,4.5,4.7,176300.0
"Aug 06, 2009 00:00:00",4.55,4.8,4.55,4.8,1040650.0
"Aug 07, 2009 00:00:00",4.55,4.8,4.55,4.8,1049100.0
"Aug 10, 2009 00:00:00",4.7,4.75,4.4,4.75,2554300.0
"Aug 11, 2009 00:00:00",4.5,4.7,4.4,4.65,1106500.0
"Aug 12, 2009 00:00:00",4.5,4.7,4.3,4.7,2611350.0
"Aug 13, 2009 00:00:00",4.5,4.65,4.5,4.65,848650.0
"Aug 14, 2009 00:00:00",4.4,4.6,4.3,4.6,1297800.0
"Aug 17, 2009 00:00:00",4.3,4.7,4.3,4.7,3012800.0
"Aug 18, 2009 00:00:00",4.5,5.1,4.5,4.9,5741850.0
"Aug 19, 2009 00:00:00",4.85,4.85,4.8,4.85,366100.0
"Aug 20, 2009 00:00:00",4.8,4.8,4.5,4.7,1106050.0
"Aug 24, 2009 00:00:00",4.6,4.75,4.6,4.75,680700.0
"Aug 25, 2009 00:00:00",4.5,4.65,4.45,4.65,3116550.0
"Aug 26, 2009 00:00:00",4.6,4.65,4.45,4.55,649650.0
"Sep 03, 2009 00:00:00",4.25,4.4,4.25,4.35,616050.0
"Sep 04, 2009 00:00:00",4.3,4.45,4.15,4.45,252050.0
"Sep 16, 2009 00:00:00",4.3,4.6,4.0,4.35,11361450.0
"Sep 17, 2009 00:00:00",4.5,4.5,4.45,4.5,102650.0
"Sep 22, 2009 00:00:00",4.25,4.4,4.2,4.4,1358250.0
"Sep 23, 2009 00:00:00",4.35,4.4,4.35,4.4,56600.0
"Sep 30, 2009 00:00:00",4.0,4.2,3.85,4.15,4245800.0
"Oct 01, 2009 00:00:00",4.1,4.3,4.0,4.3,1892650.0
"Oct 02, 2009 00:00:00",4.0,4.5,4.0,4.5,1960100.0
"Oct 05, 2009 00:00:00",4.45,4.75,4.4,4.75,2504550.0
"Oct 06, 2009 00:00:00",4.65,4.75,4.6,4.75,2341500.0
"Oct 07, 2009 00:00:00",4.7,4.8,4.6,4.8,1141900.0
"Oct 08, 2009 00:00:00",4.8,5.0,4.8,5.0,1721750.0
"Oct 09, 2009 00:00:00",4.75,5.1,4.75,5.1,1258100.0
"Oct 12, 2009 00:00:00",4.95,5.7,4.95,5.7,1284150.0
"Oct 13, 2009 00:00:00",5.6,6.0,5.5,6.0,6781900.0
"Oct 14, 2009 00:00:00",5.8,6.0,5.8,6.0,1430500.0
"Oct 15, 2009 00:00:00",5.6,6.2,5.6,6.2,3178400.0
"Oct 16, 2009 00:00:00",5.9,6.2,5.9,6.2,2726400.0
"Oct 19, 2009 00:00:00",6.0,6.2,5.7,5.9,1405400.0
"Oct 20, 2009 00:00:00",5.8,6.1,5.8,6.1,1277300.0
"Oct 21, 2009 00:00:00",5.8,6.2,5.8,6.1,1979300.0
"Oct 22, 2009 00:00:00",6.0,6.2,5.9,6.2,655300.0
