chart_date,open,high,low,close,value
"May 17, 2013 00:00:00",101.5,105.1,101.5,104.0,2063976307.0
"May 20, 2013 00:00:00",105.5,105.5,101.8,102.0,415796405.0
"May 21, 2013 00:00:00",102.2,103.3,102.0,102.8,200491274.0
"May 22, 2013 00:00:00",102.8,103.0,101.5,101.9,128477756.0
"May 23, 2013 00:00:00",101.8,101.8,97.2,97.2,477838349.5
"May 24, 2013 00:00:00",97.55,99.0,97.55,98.7,49218163.0
"May 27, 2013 00:00:00",98.6,98.8,97.0,97.5,59207790.5
"May 28, 2013 00:00:00",97.5,97.8,97.0,97.75,27869795.0
"May 29, 2013 00:00:00",98.0,98.9,97.1,97.55,67192017.5
"May 30, 2013 00:00:00",97.6,97.6,94.0,94.3,167017848.0
"May 31, 2013 00:00:00",94.5,94.5,92.8,92.85,98568358.0
"Jun 03, 2013 00:00:00",92.85,93.0,91.5,91.55,114165946.5
"Jun 04, 2013 00:00:00",91.55,92.7,91.15,91.15,55466039.5
"Jun 05, 2013 00:00:00",91.15,91.5,90.25,90.25,87332029.0
"Jun 06, 2013 00:00:00",90.2,94.0,90.0,90.05,93177852.5
"Jun 07, 2013 00:00:00",90.25,91.0,90.25,90.8,31482736.5
"Jun 10, 2013 00:00:00",90.9,92.0,90.8,91.2,105784969.5
"Jun 11, 2013 00:00:00",91.1,91.2,88.2,89.5,60940018.0
"Jun 13, 2013 00:00:00",88.5,88.5,86.4,86.5,153933587.5
"Jun 14, 2013 00:00:00",87.5,88.8,87.5,88.7,63507871.0
"Jun 17, 2013 00:00:00",89.0,89.5,88.5,89.5,19142748.5
"Jun 18, 2013 00:00:00",89.5,91.0,89.5,89.9,14928666.0
"Jun 19, 2013 00:00:00",90.5,90.5,88.0,89.0,21413749.0
"Jun 20, 2013 00:00:00",87.0,88.0,86.0,87.0,19613769.0
"Jun 21, 2013 00:00:00",85.0,85.0,80.5,81.3,40835503.5
"Jun 24, 2013 00:00:00",80.6,82.5,79.0,79.0,34559125.0
"Jun 25, 2013 00:00:00",78.0,78.5,68.0,75.0,34512904.5
"Jun 26, 2013 00:00:00",75.0,81.5,75.0,79.6,25618498.0
"Jun 27, 2013 00:00:00",81.0,83.0,80.0,80.5,13701319.0
"Jun 28, 2013 00:00:00",82.0,82.0,79.5,80.0,15411395.5
"Jul 01, 2013 00:00:00",80.0,81.0,79.0,79.95,9711145.0
"Jul 02, 2013 00:00:00",79.95,84.0,79.95,79.95,69628683.5
"Jul 03, 2013 00:00:00",79.95,80.1,79.85,79.95,15075749.5
"Jul 04, 2013 00:00:00",79.9,79.9,79.65,79.65,7582614.5
"Jul 05, 2013 00:00:00",79.0,79.75,79.0,79.0,7036307.5
"Jul 08, 2013 00:00:00",79.1,79.1,76.0,77.0,13705851.0
"Jul 09, 2013 00:00:00",77.5,77.5,76.45,77.0,5159334.5
"Jul 10, 2013 00:00:00",77.0,79.0,76.5,77.0,27774816.0
"Jul 11, 2013 00:00:00",79.0,79.0,76.55,77.2,4911322.5
"Jul 12, 2013 00:00:00",77.3,80.0,77.2,80.0,12043821.0
"Jul 15, 2013 00:00:00",80.0,81.0,80.0,81.0,12372357.5
"Jul 16, 2013 00:00:00",80.95,80.95,79.5,80.0,8831338.5
"Jul 17, 2013 00:00:00",80.0,80.0,78.1,79.8,2897488.5
"Jul 18, 2013 00:00:00",78.0,78.4,78.0,78.0,19375974.5
"Jul 19, 2013 00:00:00",78.0,78.2,77.5,78.2,42168601.0
"Jul 22, 2013 00:00:00",78.0,78.0,77.5,77.75,13328408.0
"Jul 23, 2013 00:00:00",78.0,78.9,77.95,78.0,35613450.5
"Jul 24, 2013 00:00:00",78.0,79.2,78.0,79.2,42859292.5
"Jul 25, 2013 00:00:00",79.25,80.25,79.25,79.5,31901270.0
"Jul 26, 2013 00:00:00",79.5,80.2,79.0,79.5,29161591.0
"Jul 29, 2013 00:00:00",79.5,79.5,78.8,79.4,23617772.0
"Jul 30, 2013 00:00:00",78.6,79.0,78.45,79.0,14749042.0
"Jul 31, 2013 00:00:00",78.1,79.0,77.25,77.6,13295671.5
"Aug 01, 2013 00:00:00",77.5,77.5,77.0,77.5,15386680.0
"Aug 02, 2013 00:00:00",77.5,77.5,75.4,76.95,30349921.5
"Aug 05, 2013 00:00:00",75.5,76.9,75.5,76.85,4927254.0
"Aug 06, 2013 00:00:00",75.6,75.6,74.25,75.5,17991144.0
"Aug 07, 2013 00:00:00",75.5,76.45,75.4,75.85,4348358.5
"Aug 08, 2013 00:00:00",75.75,76.75,75.4,76.75,4612609.5
"Aug 12, 2013 00:00:00",76.75,76.85,75.55,76.0,6589950.5
"Aug 13, 2013 00:00:00",76.1,76.4,74.5,74.55,20861773.5
"Aug 14, 2013 00:00:00",74.55,74.55,73.35,73.35,16206556.0
"Aug 15, 2013 00:00:00",73.35,73.4,72.75,73.35,8355114.0
"Aug 16, 2013 00:00:00",73.0,73.7,73.0,73.2,3820527.5
"Aug 22, 2013 00:00:00",72.75,72.75,69.3,70.0,24993118.5
"Aug 23, 2013 00:00:00",70.0,70.0,68.25,69.0,15831090.0
"Aug 27, 2013 00:00:00",69.0,69.0,62.5,63.0,43375707.0
"Aug 28, 2013 00:00:00",61.0,61.0,56.0,56.3,69386483.5
"Aug 29, 2013 00:00:00",61.0,61.0,57.0,58.3,83113368.0
"Aug 30, 2013 00:00:00",62.3,62.8,59.0,60.45,106538777.0
"Sep 02, 2013 00:00:00",60.3,61.35,60.0,60.4,5835387.5
"Sep 03, 2013 00:00:00",61.4,61.4,60.8,61.3,20932344.0
"Sep 04, 2013 00:00:00",61.9,61.9,60.15,60.2,14027942.0
"Sep 05, 2013 00:00:00",61.8,62.0,60.0,62.0,52696750.5
"Sep 06, 2013 00:00:00",61.25,64.0,60.95,64.0,36169582.5
"Sep 09, 2013 00:00:00",63.5,63.95,62.6,63.0,20664798.0
"Sep 10, 2013 00:00:00",63.0,63.1,62.65,62.8,35483468.5
"Sep 11, 2013 00:00:00",63.0,64.95,63.0,64.1,58687464.5
"Sep 12, 2013 00:00:00",63.95,65.0,63.95,64.55,8490864.0
"Sep 13, 2013 00:00:00",63.3,63.9,62.3,63.2,21946168.0
"Sep 16, 2013 00:00:00",63.7,65.6,63.2,65.6,12928839.0
"Sep 17, 2013 00:00:00",65.55,66.8,65.55,66.8,16394979.5
"Sep 18, 2013 00:00:00",66.0,67.7,65.8,67.7,11803211.0
"Sep 19, 2013 00:00:00",67.95,70.0,67.95,69.9,22968947.5
"Sep 20, 2013 00:00:00",69.9,71.0,69.45,71.0,26207452.0
"Sep 23, 2013 00:00:00",70.7,71.0,68.35,71.0,25470942.0
"Sep 24, 2013 00:00:00",70.4,71.95,70.4,71.95,6386286.0
"Sep 25, 2013 00:00:00",73.0,73.0,71.55,72.5,6655312.5
"Sep 26, 2013 00:00:00",72.8,72.9,71.6,72.8,9225156.0
"Sep 27, 2013 00:00:00",72.95,73.5,72.8,73.3,4344137.0
"Sep 30, 2013 00:00:00",73.5,73.5,72.2,72.3,7609992.5
"Oct 01, 2013 00:00:00",72.0,72.8,71.8,72.25,8621690.0
"Oct 02, 2013 00:00:00",70.0,72.2,70.0,72.2,14759491.0
"Oct 03, 2013 00:00:00",72.0,73.3,71.3,73.3,7199490.5
"Oct 04, 2013 00:00:00",72.3,73.5,72.2,73.45,19797726.0
"Oct 07, 2013 00:00:00",73.0,74.0,73.0,73.85,7762673.5
"Oct 08, 2013 00:00:00",73.95,74.45,73.45,74.45,8268133.5
"Oct 09, 2013 00:00:00",74.3,74.5,73.7,74.2,31034913.0
"Oct 10, 2013 00:00:00",74.35,74.45,73.6,74.0,11769946.5
"Oct 11, 2013 00:00:00",74.4,74.55,73.4,73.95,24708256.0
"Oct 14, 2013 00:00:00",73.9,73.9,73.55,73.55,4366351.0
"Oct 16, 2013 00:00:00",73.6,73.6,72.6,73.0,9637287.5
"Oct 17, 2013 00:00:00",73.3,73.3,71.8,73.0,11221543.5
"Oct 18, 2013 00:00:00",71.8,73.0,71.3,72.7,6219244.0
"Oct 21, 2013 00:00:00",72.5,72.95,71.5,72.0,7572337.0
"Oct 22, 2013 00:00:00",72.0,72.7,71.0,71.85,19684403.5
"Oct 23, 2013 00:00:00",71.85,71.85,70.9,70.95,3942233.5
"Oct 24, 2013 00:00:00",71.0,71.0,68.05,68.05,32513256.0
"Oct 25, 2013 00:00:00",69.9,69.95,69.0,69.0,22693586.0
"Oct 29, 2013 00:00:00",69.9,69.9,68.8,69.85,437324.5
"Oct 30, 2013 00:00:00",69.0,69.85,68.5,68.9,2415798.5
"Oct 31, 2013 00:00:00",68.5,69.0,68.5,68.8,7601595.0
"Nov 04, 2013 00:00:00",68.8,69.45,68.0,68.35,34659963.0
"Nov 05, 2013 00:00:00",68.35,68.9,67.8,68.5,25330453.0
"Nov 06, 2013 00:00:00",67.8,68.75,67.8,68.5,2236085.5
"Nov 07, 2013 00:00:00",68.5,68.5,67.6,67.6,10738022.0
"Nov 08, 2013 00:00:00",68.5,69.0,67.9,68.5,6077469.5
"Nov 11, 2013 00:00:00",68.5,68.5,67.5,68.0,26094742.5
"Nov 12, 2013 00:00:00",68.0,68.5,67.55,68.5,1505987.5
"Nov 13, 2013 00:00:00",68.0,68.45,67.8,67.8,2066449.0
