chart_date,open,high,low,close,value
"Aug 03, 2009 00:00:00",8.2,8.3,8.2,8.3,247000.0
"Aug 04, 2009 00:00:00",8.3,8.9,8.3,8.3,67000.0
"Aug 07, 2009 00:00:00",8.9,9.2,8.8,9.0,283500.0
"Aug 10, 2009 00:00:00",8.9,9.0,8.9,9.0,658800.0
"Aug 14, 2009 00:00:00",8.9,9.0,8.9,9.0,321500.0
"Aug 17, 2009 00:00:00",9.0,9.0,8.5,8.5,175000.0
"Aug 20, 2009 00:00:00",8.9,8.9,8.9,8.9,8900.0
"Aug 24, 2009 00:00:00",8.9,8.9,8.9,8.9,8900.0
"Aug 25, 2009 00:00:00",8.3,8.8,8.3,8.3,780900.0
"Aug 26, 2009 00:00:00",8.3,8.3,8.3,8.3,99600.0
"Sep 03, 2009 00:00:00",8.3,8.4,8.2,8.3,438400.0
"Sep 04, 2009 00:00:00",8.3,8.4,8.3,8.4,125100.0
"Sep 16, 2009 00:00:00",8.8,8.8,8.8,8.8,17600.0
"Sep 17, 2009 00:00:00",8.8,8.8,8.7,8.7,148900.0
"Sep 18, 2009 00:00:00",8.9,11.5,8.9,11.25,2455800.0
"Sep 22, 2009 00:00:00",11.25,11.25,10.5,10.75,334550.0
"Sep 23, 2009 00:00:00",10.5,10.5,10.0,10.0,405550.0
"Sep 30, 2009 00:00:00",9.0,10.25,9.0,10.25,583750.0
"Oct 01, 2009 00:00:00",10.0,10.5,10.0,10.5,508075.0
"Oct 02, 2009 00:00:00",8.9,10.0,8.9,10.0,199840.0
"Oct 06, 2009 00:00:00",10.25,10.25,10.0,10.25,211000.0
"Oct 08, 2009 00:00:00",10.25,11.0,10.0,10.75,662475.0
"Oct 09, 2009 00:00:00",10.75,13.5,10.75,12.75,2527975.0
"Oct 12, 2009 00:00:00",12.75,16.5,12.75,15.0,2281675.0
"Oct 13, 2009 00:00:00",15.0,15.25,14.25,14.5,327500.0
"Oct 14, 2009 00:00:00",14.5,14.5,14.5,14.5,29000.0
