chart_date,open,high,low,close,value
"Aug 03, 2009 00:00:00",9.5,9.5,9.5,9.5,9500.0
"Aug 04, 2009 00:00:00",9.5,9.5,9.5,9.5,28500.0
"Aug 06, 2009 00:00:00",8.1,8.1,8.0,8.0,152800.0
"Aug 07, 2009 00:00:00",9.0,9.6,9.0,9.6,189200.0
"Aug 10, 2009 00:00:00",9.7,9.7,9.7,9.7,9700.0
"Aug 14, 2009 00:00:00",9.9,10.25,9.9,10.25,40150.0
"Sep 17, 2009 00:00:00",9.5,9.6,9.5,9.6,124300.0
"Sep 18, 2009 00:00:00",10.25,13.0,10.25,13.0,267750.0
"Sep 22, 2009 00:00:00",10.25,10.25,10.25,10.25,6150.0
"Sep 23, 2009 00:00:00",10.0,10.0,10.0,10.0,12000.0
"Sep 30, 2009 00:00:00",10.0,13.0,10.0,13.0,248775.0
"Oct 08, 2009 00:00:00",10.0,13.5,10.0,12.75,206550.0
"Oct 09, 2009 00:00:00",13.25,14.5,13.25,14.0,734925.0
"Oct 12, 2009 00:00:00",13.5,17.0,13.5,16.0,1224400.0
"Oct 13, 2009 00:00:00",16.5,16.5,15.0,15.5,57300.0
"Oct 14, 2009 00:00:00",15.75,15.75,15.75,15.75,15750.0
"Oct 15, 2009 00:00:00",15.5,16.25,15.5,16.25,1023100.0
"Oct 19, 2009 00:00:00",15.75,16.0,15.25,16.0,54325.0
"Oct 23, 2009 00:00:00",12.0,15.0,12.0,15.0,153750.0
"Oct 27, 2009 00:00:00",15.0,15.0,15.0,15.0,42000.0
"Oct 29, 2009 00:00:00",11.75,11.75,11.75,11.75,11750.0
"Oct 30, 2009 00:00:00",15.0,15.0,15.0,15.0,4500.0
"Nov 03, 2009 00:00:00",15.0,15.0,15.0,15.0,25500.0
"Nov 04, 2009 00:00:00",15.0,15.0,15.0,15.0,30000.0
"Nov 05, 2009 00:00:00",9.2,9.2,9.2,9.2,920.0
"Nov 06, 2009 00:00:00",13.5,13.5,13.5,13.5,13500.0
"Nov 10, 2009 00:00:00",13.5,13.5,12.0,12.0,8850.0
"Nov 11, 2009 00:00:00",13.5,13.5,13.5,13.5,1350.0
"Dec 17, 2009 00:00:00",26.0,26.0,18.0,18.0,313200.0
"Dec 18, 2009 00:00:00",17.5,25.0,17.5,20.0,1561950.0
"Dec 21, 2009 00:00:00",21.0,21.0,21.0,21.0,12600.0
"Dec 23, 2009 00:00:00",21.0,21.5,20.0,20.0,246500.0
"Dec 29, 2009 00:00:00",20.0,20.0,17.5,18.5,7400.0
"Jan 04, 2010 00:00:00",19.0,19.0,18.0,19.0,20000.0
"Jan 05, 2010 00:00:00",19.5,19.5,19.5,19.5,1950.0
"Jan 07, 2010 00:00:00",20.0,20.0,19.5,19.5,3950.0
"Jan 14, 2010 00:00:00",14.0,19.0,14.0,18.75,33975.0
"Jan 15, 2010 00:00:00",18.0,18.75,18.0,18.0,12750.0
"Jan 18, 2010 00:00:00",18.0,18.0,18.0,18.0,1800.0
"Jan 19, 2010 00:00:00",18.5,18.5,18.5,18.5,1850.0
"Jan 20, 2010 00:00:00",15.0,15.0,14.5,15.0,309875.0
"Jan 21, 2010 00:00:00",16.0,16.0,15.0,15.0,62000.0
"Jan 22, 2010 00:00:00",15.0,16.0,15.0,15.0,228100.0
"Jan 26, 2010 00:00:00",13.0,15.0,13.0,15.0,29000.0
"Jan 27, 2010 00:00:00",12.0,15.0,12.0,15.0,38400.0
