chart_date,open,high,low,close,value
"Aug 10, 2009 00:00:00",9.0,9.0,9.0,9.0,9000.0
"Sep 04, 2009 00:00:00",9.5,9.5,9.5,9.5,47500.0
"Sep 30, 2009 00:00:00",13.75,15.75,13.75,15.75,6996625.0
"Oct 01, 2009 00:00:00",14.5,16.5,14.5,16.25,5856550.0
"Oct 02, 2009 00:00:00",16.25,16.25,16.25,16.25,1082250.0
"Oct 05, 2009 00:00:00",16.25,16.75,16.25,16.75,497000.0
"Oct 06, 2009 00:00:00",17.0,17.75,17.0,17.25,4484700.0
"Oct 07, 2009 00:00:00",17.0,17.0,16.25,16.5,1056925.0
"Oct 08, 2009 00:00:00",16.5,17.5,16.5,17.5,2745100.0
"Oct 09, 2009 00:00:00",17.25,17.25,17.0,17.0,35725.0
"Oct 12, 2009 00:00:00",17.0,17.0,16.75,17.0,1604150.0
"Oct 13, 2009 00:00:00",16.75,16.75,16.25,16.25,408950.0
"Oct 14, 2009 00:00:00",16.25,16.75,16.25,16.75,125225.0
"Oct 16, 2009 00:00:00",16.5,16.75,16.5,16.75,627925.0
"Oct 19, 2009 00:00:00",16.75,17.0,16.75,16.75,631975.0
"Oct 20, 2009 00:00:00",16.75,16.75,16.75,16.75,117250.0
"Oct 21, 2009 00:00:00",16.75,16.75,16.75,16.75,23450.0
"Oct 22, 2009 00:00:00",16.75,16.75,16.75,16.75,448900.0
"Oct 23, 2009 00:00:00",16.75,16.75,16.75,16.75,366825.0
"Oct 26, 2009 00:00:00",17.0,17.0,17.0,17.0,1700.0
"Oct 27, 2009 00:00:00",16.75,16.75,16.25,16.25,396750.0
"Oct 28, 2009 00:00:00",16.25,16.5,16.25,16.5,501500.0
"Oct 30, 2009 00:00:00",16.75,17.5,16.75,17.5,728800.0
"Nov 03, 2009 00:00:00",19.0,19.0,18.0,18.5,249800.0
"Nov 04, 2009 00:00:00",18.5,18.75,18.5,18.75,124450.0
"Nov 06, 2009 00:00:00",17.75,19.75,17.75,19.75,52025.0
"Nov 09, 2009 00:00:00",20.0,21.75,19.5,19.75,91850.0
"Nov 10, 2009 00:00:00",19.5,19.5,19.5,19.5,17550.0
"Nov 11, 2009 00:00:00",19.75,19.75,19.5,19.5,70975.0
"Dec 15, 2009 00:00:00",27.0,27.0,27.0,27.0,8100.0
"Dec 21, 2009 00:00:00",24.0,27.5,24.0,27.5,20250.0
"Dec 23, 2009 00:00:00",26.5,26.5,26.5,26.5,7950.0
"Dec 29, 2009 00:00:00",26.5,27.0,26.5,27.0,63950.0
"Jan 04, 2010 00:00:00",27.5,27.5,27.5,27.5,27500.0
"Jan 05, 2010 00:00:00",20.0,27.5,20.0,27.5,402750.0
"Jan 07, 2010 00:00:00",26.5,27.0,26.5,27.0,553250.0
"Jan 21, 2010 00:00:00",20.0,20.25,20.0,20.0,350200.0
"Jan 22, 2010 00:00:00",20.0,20.0,20.0,20.0,26000.0
"Jan 25, 2010 00:00:00",20.0,20.0,20.0,20.0,90000.0
"Jan 27, 2010 00:00:00",20.0,20.0,20.0,20.0,142000.0
"Jan 28, 2010 00:00:00",20.0,20.0,20.0,20.0,40000.0
"Feb 08, 2010 00:00:00",25.5,25.5,25.5,25.5,12750.0
"Mar 08, 2010 00:00:00",30.0,30.0,30.0,30.0,24000.0
"Mar 12, 2010 00:00:00",25.0,25.0,20.25,20.25,218325.0
"Mar 31, 2010 00:00:00",25.0,25.0,25.0,25.0,5000.0
"Apr 20, 2010 00:00:00",20.25,20.25,20.25,20.25,40500.0
"Apr 21, 2010 00:00:00",21.0,21.0,20.25,20.25,109050.0
"May 05, 2010 00:00:00",20.0,20.0,20.0,20.0,194000.0
"May 13, 2010 00:00:00",20.25,20.25,20.25,20.25,10125.0
"May 14, 2010 00:00:00",20.25,20.25,20.25,20.25,10125.0
"May 20, 2010 00:00:00",20.25,20.25,20.25,20.25,10125.0
"May 21, 2010 00:00:00",20.25,20.25,20.25,20.25,121500.0
"Jun 01, 2010 00:00:00",20.0,20.25,20.0,20.25,254025.0
"Jun 03, 2010 00:00:00",20.25,20.25,20.25,20.25,2025.0
"Jun 04, 2010 00:00:00",20.25,20.25,20.25,20.25,81000.0
"Jun 07, 2010 00:00:00",20.0,20.0,20.0,20.0,10000.0
"Jun 22, 2010 00:00:00",20.25,20.25,20.25,20.25,40500.0
"Sep 20, 2010 00:00:00",18.0,18.0,18.0,18.0,756000.0
