chart_date,open,high,low,close,value
"Aug 03, 2009 00:00:00",1.24,1.24,1.24,1.24,297600.0
"Aug 04, 2009 00:00:00",1.24,1.24,1.24,1.24,1984000.0
"Aug 11, 2009 00:00:00",1.28,1.28,1.28,1.28,1280.0
"Aug 14, 2009 00:00:00",1.28,1.28,1.28,1.28,11520.0
"Aug 17, 2009 00:00:00",1.28,1.28,1.2,1.28,477600.0
"Aug 18, 2009 00:00:00",1.28,1.3,1.28,1.3,3860.0
"Aug 24, 2009 00:00:00",1.2,1.24,1.2,1.2,643600.0
"Aug 25, 2009 00:00:00",1.3,1.3,1.2,1.2,576300.0
"Aug 26, 2009 00:00:00",1.2,1.24,1.2,1.24,184000.0
"Sep 03, 2009 00:00:00",1.22,1.22,1.22,1.22,19520.0
"Sep 04, 2009 00:00:00",1.24,1.24,1.24,1.24,406720.0
"Oct 01, 2009 00:00:00",1.18,1.18,1.18,1.18,1180.0
"Oct 02, 2009 00:00:00",1.18,1.18,1.18,1.18,43660.0
"Oct 05, 2009 00:00:00",1.2,1.2,1.2,1.2,2400.0
"Oct 06, 2009 00:00:00",1.2,1.2,1.18,1.18,82620.0
"Oct 08, 2009 00:00:00",1.2,1.2,1.2,1.2,6000.0
"Oct 12, 2009 00:00:00",1.2,1.2,1.2,1.2,26400.0
"Oct 13, 2009 00:00:00",1.2,1.2,1.2,1.2,7200.0
"Oct 14, 2009 00:00:00",1.22,1.24,1.22,1.24,411340.0
"Oct 15, 2009 00:00:00",1.24,1.24,1.2,1.2,634280.0
"Oct 16, 2009 00:00:00",1.18,1.18,1.18,1.18,17700.0
"Oct 20, 2009 00:00:00",1.22,1.24,1.2,1.2,865420.0
"Oct 21, 2009 00:00:00",1.24,1.24,1.18,1.18,1153100.0
"Oct 29, 2009 00:00:00",1.18,1.2,1.18,1.2,25000.0
"Oct 30, 2009 00:00:00",1.18,1.18,1.18,1.18,282020.0
"Nov 03, 2009 00:00:00",1.18,1.18,1.18,1.18,1180.0
"Nov 04, 2009 00:00:00",1.22,1.22,1.18,1.18,357800.0
"Nov 05, 2009 00:00:00",1.2,1.22,1.2,1.22,328440.0
"Nov 11, 2009 00:00:00",1.22,1.22,1.22,1.22,180560.0
"Dec 15, 2009 00:00:00",1.26,1.3,1.24,1.26,46460.0
"Dec 16, 2009 00:00:00",1.26,1.3,1.26,1.3,198340.0
"Dec 17, 2009 00:00:00",1.28,1.28,1.28,1.28,2560.0
"Dec 18, 2009 00:00:00",1.28,1.28,1.28,1.28,6400.0
"Dec 21, 2009 00:00:00",1.38,1.38,1.38,1.38,31740.0
"Dec 22, 2009 00:00:00",1.36,1.36,1.36,1.36,5440.0
"Dec 23, 2009 00:00:00",1.3,1.3,1.3,1.3,1300.0
"Dec 29, 2009 00:00:00",1.32,1.32,1.32,1.32,1320.0
"Jan 05, 2010 00:00:00",1.3,1.3,1.3,1.3,78000.0
"Jan 06, 2010 00:00:00",1.3,1.3,1.3,1.3,19500.0
"Jan 08, 2010 00:00:00",1.34,1.34,1.34,1.34,198320.0
"Jan 12, 2010 00:00:00",1.34,1.34,1.34,1.34,73700.0
"Jan 13, 2010 00:00:00",1.34,1.38,1.34,1.38,296780.0
"Jan 14, 2010 00:00:00",1.38,1.4,1.38,1.4,193600.0
"Jan 15, 2010 00:00:00",1.4,1.4,1.38,1.38,402460.0
"Jan 18, 2010 00:00:00",1.4,1.4,1.38,1.38,176260.0
"Jan 19, 2010 00:00:00",1.38,1.38,1.38,1.38,1380.0
"Jan 21, 2010 00:00:00",1.36,1.36,1.36,1.36,2720.0
"Jan 22, 2010 00:00:00",1.38,1.38,1.36,1.36,525960.0
"Jan 25, 2010 00:00:00",1.36,1.36,1.36,1.36,13600.0
"Jan 26, 2010 00:00:00",1.4,1.4,1.4,1.4,2326800.0
"Jan 27, 2010 00:00:00",1.4,1.4,1.4,1.4,354200.0
"Jan 28, 2010 00:00:00",1.4,1.4,1.4,1.4,309400.0
"Jan 29, 2010 00:00:00",1.4,1.4,1.4,1.4,32200.0
"Feb 02, 2010 00:00:00",1.4,1.4,1.4,1.4,588000.0
"Feb 03, 2010 00:00:00",1.4,1.4,1.4,1.4,285600.0
"Feb 04, 2010 00:00:00",1.4,1.42,1.4,1.42,41160.0
"Feb 05, 2010 00:00:00",1.42,1.42,1.42,1.42,14200.0
"Feb 08, 2010 00:00:00",1.4,1.4,1.4,1.4,457800.0
"Feb 09, 2010 00:00:00",1.4,1.4,1.4,1.4,280000.0
"Mar 08, 2010 00:00:00",1.4,1.4,1.4,1.4,707000.0
"Mar 12, 2010 00:00:00",1.4,1.42,1.4,1.42,85000.0
"Mar 15, 2010 00:00:00",1.4,1.4,1.4,1.4,33600.0
"Mar 16, 2010 00:00:00",1.42,1.42,1.42,1.42,178920.0
"Mar 17, 2010 00:00:00",1.44,1.44,1.44,1.44,158400.0
"Mar 31, 2010 00:00:00",1.48,1.48,1.48,1.48,81400.0
"Apr 21, 2010 00:00:00",1.52,1.52,1.52,1.52,98800.0
"Apr 22, 2010 00:00:00",1.54,1.54,1.54,1.54,1540.0
"Apr 23, 2010 00:00:00",1.54,1.58,1.5,1.5,26380.0
