chart_date,open,high,low,close,value
"Oct 15, 2009 00:00:00",30.0,30.0,30.0,30.0,3000.0
"Dec 22, 2009 00:00:00",30.0,30.0,30.0,30.0,3000.0
"Dec 23, 2009 00:00:00",32.0,32.0,32.0,32.0,3200.0
"Jan 05, 2010 00:00:00",28.0,28.0,28.0,28.0,14000.0
"Jan 06, 2010 00:00:00",28.0,28.0,28.0,28.0,28000.0
"Jan 08, 2010 00:00:00",31.0,31.0,31.0,31.0,15500.0
"Jan 14, 2010 00:00:00",32.5,37.0,32.5,37.0,13900.0
"Jan 15, 2010 00:00:00",42.0,45.0,42.0,45.0,26100.0
"Jan 18, 2010 00:00:00",54.0,67.0,54.0,67.0,174350.0
"Jan 19, 2010 00:00:00",87.0,89.0,87.0,89.0,35300.0
"Jan 20, 2010 00:00:00",82.0,82.0,82.0,82.0,98400.0
"Jan 22, 2010 00:00:00",82.0,100.0,82.0,100.0,92400.0
"Feb 09, 2010 00:00:00",100.0,100.0,100.0,100.0,30000.0
"Apr 23, 2010 00:00:00",63.0,63.0,61.5,61.5,448500.0
"Oct 01, 2010 00:00:00",46.0,92.0,46.0,92.0,345920.0
"Oct 06, 2010 00:00:00",90.0,128.0,90.0,92.0,972000.0
"Oct 07, 2010 00:00:00",90.0,90.0,90.0,90.0,13500.0
"Jan 27, 2011 00:00:00",47.0,72.0,47.0,72.0,49444.5
"Feb 28, 2011 00:00:00",67.0,67.0,67.0,67.0,10050.0
"Apr 12, 2011 00:00:00",60.0,60.0,60.0,60.0,12000.0
"May 09, 2011 00:00:00",53.5,61.5,53.5,61.5,2450380.0
"May 10, 2011 00:00:00",61.5,75.0,61.5,75.0,21660.0
"May 11, 2011 00:00:00",75.0,75.0,75.0,75.0,14250.0
"May 13, 2011 00:00:00",60.0,75.0,60.0,75.0,102050.0
"May 16, 2011 00:00:00",55.5,73.0,55.5,73.0,1285.0
"May 17, 2011 00:00:00",79.0,79.0,79.0,79.0,37920.0
"May 19, 2011 00:00:00",88.0,112.0,81.0,100.0,2700716.0
"May 20, 2011 00:00:00",111.0,138.0,111.0,135.0,5850496.0
"May 23, 2011 00:00:00",120.0,120.0,70.3,70.3,62606.0
"May 24, 2011 00:00:00",100.0,105.0,60.2,60.2,264570.0
"May 25, 2011 00:00:00",89.9,90.0,75.0,75.0,638750.0
"May 27, 2011 00:00:00",75.0,75.0,75.0,75.0,1500.0
"Jun 03, 2011 00:00:00",60.0,60.0,56.5,57.0,75540.0
"Jun 07, 2011 00:00:00",55.8,55.8,55.8,55.8,5022.0
"Jun 08, 2011 00:00:00",68.0,70.0,68.0,70.0,7680.0
"Jun 14, 2011 00:00:00",70.0,70.0,56.2,56.2,4762.0
"Jun 16, 2011 00:00:00",63.0,63.0,63.0,63.0,1890.0
"Jun 17, 2011 00:00:00",56.5,56.5,56.5,56.5,565.0
"Jun 21, 2011 00:00:00",56.2,56.5,56.2,56.2,6762.0
"Jun 27, 2011 00:00:00",63.0,67.0,63.0,67.0,6460.0
"Jul 01, 2011 00:00:00",56.6,56.6,56.6,56.6,566.0
"Jul 04, 2011 00:00:00",65.0,65.0,65.0,65.0,650.0
"Jul 28, 2011 00:00:00",65.0,65.0,65.0,65.0,650.0
"Aug 04, 2011 00:00:00",56.0,56.0,56.0,56.0,560.0
"Aug 05, 2011 00:00:00",65.0,65.0,65.0,65.0,3250.0
"Aug 08, 2011 00:00:00",57.0,57.0,56.0,56.0,28060.0
"Aug 23, 2011 00:00:00",56.5,56.5,56.5,56.5,1695.0
"Sep 26, 2011 00:00:00",45.5,45.5,45.0,45.0,134600.0
"Oct 07, 2011 00:00:00",56.0,56.0,56.0,56.0,33600.0
"Oct 13, 2011 00:00:00",58.5,58.5,58.5,58.5,11700.0
"Oct 25, 2011 00:00:00",61.0,61.0,61.0,61.0,6100.0
"Nov 10, 2011 00:00:00",55.0,55.0,55.0,55.0,550.0
