chart_date,open,high,low,close,value
"Aug 03, 2009 00:00:00",45.5,46.0,45.0,45.0,168503500.0
"Aug 04, 2009 00:00:00",45.5,46.0,45.5,45.5,75974600.0
"Aug 06, 2009 00:00:00",45.5,46.0,45.5,46.0,106933050.0
"Aug 07, 2009 00:00:00",45.5,46.0,45.0,45.0,34279150.0
"Aug 10, 2009 00:00:00",45.5,45.5,45.0,45.5,61747800.0
"Aug 11, 2009 00:00:00",46.0,46.0,45.5,45.5,32776850.0
"Aug 12, 2009 00:00:00",45.0,46.0,45.0,46.0,82708150.0
"Aug 13, 2009 00:00:00",46.0,46.0,45.5,46.0,27669650.0
"Aug 14, 2009 00:00:00",46.0,46.0,45.5,46.0,97061150.0
"Aug 17, 2009 00:00:00",46.0,46.0,45.0,45.5,41584300.0
"Aug 18, 2009 00:00:00",44.5,45.5,43.0,44.5,71225550.0
"Aug 19, 2009 00:00:00",44.0,45.0,43.5,43.5,56495200.0
"Aug 20, 2009 00:00:00",45.0,45.0,43.0,43.5,63976700.0
"Aug 24, 2009 00:00:00",44.0,45.5,44.0,45.5,171197850.0
"Aug 25, 2009 00:00:00",45.5,45.5,44.5,45.0,72329600.0
"Aug 26, 2009 00:00:00",45.0,45.0,44.5,45.0,164618800.0
"Sep 03, 2009 00:00:00",44.0,44.0,43.5,44.0,141028000.0
"Sep 04, 2009 00:00:00",44.0,45.0,44.0,44.5,55192050.0
"Sep 16, 2009 00:00:00",44.0,44.0,43.5,43.5,69625350.0
"Sep 17, 2009 00:00:00",45.0,45.5,44.0,44.5,116226400.0
"Sep 18, 2009 00:00:00",44.5,45.0,44.0,45.0,44766250.0
"Sep 22, 2009 00:00:00",44.5,45.0,44.0,45.0,76556100.0
"Sep 23, 2009 00:00:00",45.5,46.0,45.0,45.5,80879850.0
"Sep 30, 2009 00:00:00",45.0,45.5,45.0,45.0,40102650.0
"Oct 01, 2009 00:00:00",45.0,45.0,45.0,45.0,127737000.0
"Oct 02, 2009 00:00:00",44.5,45.5,44.5,45.0,68639100.0
"Oct 05, 2009 00:00:00",45.0,45.5,45.0,45.0,114954300.0
"Oct 06, 2009 00:00:00",45.5,45.5,45.0,45.5,168158050.0
"Oct 07, 2009 00:00:00",45.5,46.0,45.5,46.0,101044750.0
"Oct 08, 2009 00:00:00",45.5,46.0,45.5,45.5,28611400.0
"Oct 09, 2009 00:00:00",46.0,46.0,45.5,45.5,46433300.0
"Oct 12, 2009 00:00:00",45.5,46.0,45.0,45.0,28009500.0
"Oct 13, 2009 00:00:00",45.5,45.5,45.0,45.5,17092050.0
"Oct 14, 2009 00:00:00",45.5,45.5,45.0,45.5,101261100.0
"Oct 15, 2009 00:00:00",45.5,46.0,45.5,46.0,151787600.0
"Oct 16, 2009 00:00:00",46.0,46.5,45.5,46.0,108643600.0
"Oct 19, 2009 00:00:00",46.0,47.0,46.0,46.5,94712300.0
"Oct 20, 2009 00:00:00",47.0,48.5,47.0,48.0,298622100.0
"Oct 21, 2009 00:00:00",48.0,48.5,48.0,48.0,305368450.0
"Oct 22, 2009 00:00:00",47.5,47.5,46.0,46.5,105148950.0
"Oct 23, 2009 00:00:00",47.0,48.0,47.0,48.0,66231800.0
"Oct 26, 2009 00:00:00",47.5,48.0,47.5,48.0,114175800.0
"Oct 27, 2009 00:00:00",48.0,48.5,47.5,48.0,136292300.0
"Oct 28, 2009 00:00:00",47.5,47.5,46.5,46.5,72782350.0
"Oct 29, 2009 00:00:00",46.5,46.5,45.0,45.5,84510750.0
"Oct 30, 2009 00:00:00",46.5,47.0,46.0,47.0,80162250.0
"Nov 03, 2009 00:00:00",47.0,47.0,45.5,46.0,177324550.0
"Nov 04, 2009 00:00:00",46.0,46.5,45.5,45.5,60316200.0
"Nov 05, 2009 00:00:00",46.0,47.0,45.5,47.0,37139150.0
"Nov 06, 2009 00:00:00",47.0,47.5,46.5,47.0,25166050.0
"Nov 09, 2009 00:00:00",47.0,48.0,46.5,47.0,23388550.0
