chart_date,open,high,low,close,value
"Aug 08, 2017 00:00:00",11.04,11.22,10.56,10.56,1495309274.0
"Aug 09, 2017 00:00:00",10.56,10.62,9.5,10.04,582466294.0
"Aug 10, 2017 00:00:00",10.1,10.38,9.95,9.99,108316225.0
"Aug 11, 2017 00:00:00",9.97,9.97,9.35,9.58,101145253.0
"Aug 14, 2017 00:00:00",9.53,9.8,9.45,9.5,59346225.0
"Aug 15, 2017 00:00:00",9.51,10.14,9.5,10.12,95115684.0
"Aug 16, 2017 00:00:00",10.2,10.46,10.14,10.3,90510032.0
"Aug 17, 2017 00:00:00",10.36,10.54,10.2,10.42,66549790.0
"Aug 18, 2017 00:00:00",10.38,10.48,10.2,10.26,31366450.0
"Aug 22, 2017 00:00:00",10.24,10.24,9.98,10.0,31472144.0
"Aug 23, 2017 00:00:00",10.04,10.34,10.0,10.22,31271768.0
"Aug 24, 2017 00:00:00",10.24,10.5,10.08,10.5,71847884.0
"Aug 25, 2017 00:00:00",10.5,10.76,10.38,10.72,107422412.0
"Aug 29, 2017 00:00:00",10.72,10.76,10.42,10.42,54462826.0
"Aug 30, 2017 00:00:00",10.46,10.54,10.18,10.18,32790930.0
"Aug 31, 2017 00:00:00",10.18,10.32,10.08,10.24,27187288.0
"Sep 04, 2017 00:00:00",10.36,10.4,10.26,10.3,10601936.0
"Sep 05, 2017 00:00:00",10.32,10.68,10.32,10.5,61950234.0
"Sep 06, 2017 00:00:00",10.52,10.68,10.46,10.46,30910096.0
"Sep 07, 2017 00:00:00",10.46,10.6,10.46,10.5,23788304.0
"Sep 08, 2017 00:00:00",10.5,10.64,10.5,10.56,17058572.0
"Sep 11, 2017 00:00:00",10.56,10.84,10.56,10.78,224639254.0
"Sep 13, 2017 00:00:00",10.88,10.9,10.48,10.48,101429830.0
"Sep 14, 2017 00:00:00",10.48,10.64,10.34,10.54,34555048.0
"Sep 15, 2017 00:00:00",10.6,10.62,10.28,10.34,35598706.0
"Sep 18, 2017 00:00:00",10.48,10.54,10.28,10.36,24249488.0
"Sep 19, 2017 00:00:00",10.48,10.7,10.4,10.54,52090642.0
"Sep 20, 2017 00:00:00",10.64,10.64,10.38,10.4,27051590.0
"Sep 21, 2017 00:00:00",10.4,10.5,10.38,10.44,21867248.0
