chart_date,open,high,low,close,value
"Nov 21, 2016 00:00:00",89.0,89.0,89.0,89.0,178000.0
"Nov 22, 2016 00:00:00",120.0,120.0,96.0,98.0,79940.0
"Nov 23, 2016 00:00:00",130.0,130.0,110.0,115.0,173150.0
"Nov 24, 2016 00:00:00",95.0,115.0,95.0,115.0,22470.0
"Nov 24, 2016 00:00:00",95.0,115.0,95.0,115.0,22470.0
"Nov 24, 2016 00:00:00",95.0,115.0,95.0,115.0,22470.0
"Dec 06, 2016 00:00:00",84.0,84.0,84.0,84.0,840.0
"Dec 08, 2016 00:00:00",95.0,120.0,95.0,120.0,66920.0
"Dec 12, 2016 00:00:00",95.0,95.0,95.0,95.0,10450.0
"Dec 13, 2016 00:00:00",99.0,99.0,99.0,99.0,990.0
"Dec 14, 2016 00:00:00",118.0,139.0,102.0,102.0,29615.0
"Dec 15, 2016 00:00:00",120.0,120.0,118.0,119.9,13114.0
"Dec 16, 2016 00:00:00",130.0,138.0,130.0,138.0,65695.0
"Dec 19, 2016 00:00:00",130.0,130.0,130.0,130.0,1300.0
"Dec 20, 2016 00:00:00",120.0,120.0,96.0,99.0,7710.0
"Dec 22, 2016 00:00:00",104.0,104.0,104.0,104.0,1040.0
"Dec 27, 2016 00:00:00",119.0,155.0,119.0,155.0,7940.0
"Dec 28, 2016 00:00:00",155.0,155.0,119.0,120.0,138460.0
"Dec 29, 2016 00:00:00",149.0,149.0,121.0,121.0,76870.0
"Jan 03, 2017 00:00:00",149.0,149.0,120.0,120.0,19542.0
"Jan 05, 2017 00:00:00",95.0,105.0,95.0,104.0,47890.0
"Jan 06, 2017 00:00:00",112.0,120.0,112.0,118.0,35433.0
"Jan 09, 2017 00:00:00",118.0,118.0,97.05,109.0,24189.5
"Jan 10, 2017 00:00:00",109.1,109.1,109.1,109.1,1091.0
"Jan 11, 2017 00:00:00",109.1,109.1,109.1,109.1,1091.0
"Jan 13, 2017 00:00:00",109.0,109.0,105.0,105.0,65390.0
"Jan 17, 2017 00:00:00",102.0,102.0,102.0,102.0,1020.0
"Jan 18, 2017 00:00:00",100.0,100.0,95.05,95.05,11901.0
"Jan 19, 2017 00:00:00",95.15,95.15,95.15,95.15,1903.0
"Jan 23, 2017 00:00:00",96.5,96.5,96.5,96.5,965.0
"Jan 24, 2017 00:00:00",95.05,110.0,95.0,110.0,12504.5
"Jan 25, 2017 00:00:00",115.0,115.0,115.0,115.0,1150.0
"Jan 27, 2017 00:00:00",97.05,97.05,97.05,97.05,1941.0
"Jan 30, 2017 00:00:00",98.0,98.0,98.0,98.0,9800.0
"Jan 31, 2017 00:00:00",97.05,105.0,97.05,105.0,4932.0
"Feb 02, 2017 00:00:00",105.0,105.0,105.0,105.0,9450.0
