chart_date,open,high,low,close,value
"Aug 03, 2009 00:00:00",4.4,4.4,4.4,4.4,4400.0
"Aug 04, 2009 00:00:00",4.4,4.4,4.4,4.4,70400.0
"Aug 20, 2009 00:00:00",2.75,2.75,2.75,2.75,330000.0
"Oct 09, 2009 00:00:00",4.0,4.0,4.0,4.0,40000.0
"Oct 16, 2009 00:00:00",5.9,5.9,5.9,5.9,59000.0
"Oct 23, 2009 00:00:00",8.7,8.7,8.7,8.7,87000.0
"Oct 27, 2009 00:00:00",12.75,12.75,12.75,12.75,127500.0
"Nov 06, 2009 00:00:00",13.0,13.0,13.0,13.0,2600.0
"Dec 22, 2009 00:00:00",9.0,9.0,9.0,9.0,117000.0
"Dec 23, 2009 00:00:00",9.0,9.0,9.0,9.0,90000.0
"Dec 29, 2009 00:00:00",11.0,11.0,11.0,11.0,858000.0
"Jan 08, 2010 00:00:00",8.0,8.0,8.0,8.0,48000.0
"Mar 08, 2010 00:00:00",8.5,8.5,8.5,8.5,17000.0
"May 13, 2010 00:00:00",13.0,16.0,13.0,14.0,530800.0
"May 14, 2010 00:00:00",14.0,14.0,13.0,13.0,175200.0
"May 18, 2010 00:00:00",8.5,8.5,8.5,8.5,8500.0
"May 27, 2010 00:00:00",11.0,11.0,11.0,11.0,22000.0
"Jun 02, 2010 00:00:00",10.0,10.0,9.0,9.0,28000.0
"Jun 03, 2010 00:00:00",9.0,9.0,9.0,9.0,1476000.0
"Jun 04, 2010 00:00:00",10.0,10.0,10.0,10.0,300000.0
"Jun 08, 2010 00:00:00",10.0,10.0,10.0,10.0,20000.0
"Jun 09, 2010 00:00:00",10.0,10.0,10.0,10.0,450000.0
"Jun 11, 2010 00:00:00",12.0,12.0,12.0,12.0,24000.0
"Jun 16, 2010 00:00:00",9.1,11.0,7.3,11.0,808800.0
"Jun 28, 2010 00:00:00",10.0,10.0,10.0,10.0,2000.0
"Jul 06, 2010 00:00:00",10.0,10.0,10.0,10.0,10000.0
"Jul 14, 2010 00:00:00",14.5,14.5,14.5,14.5,29000.0
"Jul 16, 2010 00:00:00",12.5,12.5,12.5,12.5,6250.0
"Jul 19, 2010 00:00:00",11.0,11.0,11.0,11.0,2200.0
"Sep 22, 2010 00:00:00",10.0,10.0,10.0,10.0,8000.0
"Sep 24, 2010 00:00:00",12.5,12.5,12.5,12.5,1250.0
"Sep 27, 2010 00:00:00",12.38,12.38,12.38,12.38,1238.0
"Sep 28, 2010 00:00:00",12.0,12.0,12.0,12.0,12000.0
"Oct 13, 2010 00:00:00",9.0,9.0,9.0,9.0,19800.0
"Oct 14, 2010 00:00:00",7.65,11.0,7.65,11.0,28450.0
"Oct 26, 2010 00:00:00",11.0,11.0,11.0,11.0,66000.0
"Nov 10, 2010 00:00:00",9.5,11.8,9.5,11.8,60380.0
"Nov 03, 2011 00:00:00",17.7,17.7,17.7,17.7,856680.0
"Nov 04, 2011 00:00:00",23.5,26.55,23.0,25.0,5261320.0
"Nov 08, 2011 00:00:00",25.0,25.0,17.0,17.52,1418606.0
"Nov 09, 2011 00:00:00",20.0,20.0,17.0,17.0,500500.0
"Nov 10, 2011 00:00:00",17.1,17.1,16.0,16.5,67730.0
"Nov 11, 2011 00:00:00",13.6,15.8,13.6,15.8,121918.0
"Nov 14, 2011 00:00:00",16.5,18.7,14.52,17.0,85080.0
"Nov 15, 2011 00:00:00",17.0,22.0,15.0,20.75,647920.0
"Nov 16, 2011 00:00:00",20.0,20.5,18.0,18.0,228800.0
"Nov 17, 2011 00:00:00",17.98,17.98,15.2,16.7,240880.0
"Nov 18, 2011 00:00:00",19.0,19.0,17.4,18.5,101800.0
"Nov 21, 2011 00:00:00",18.5,23.0,18.5,19.9,1133465.0
"Nov 22, 2011 00:00:00",18.02,18.26,17.04,17.04,248468.0
"Nov 23, 2011 00:00:00",17.0,17.0,16.6,16.6,83350.0
"Nov 24, 2011 00:00:00",16.04,18.0,16.02,17.96,220288.0
"Nov 25, 2011 00:00:00",17.78,17.78,16.02,16.02,58432.0
"Nov 28, 2011 00:00:00",17.48,17.48,15.0,16.96,100452.0
"Nov 29, 2011 00:00:00",16.94,16.94,14.0,15.0,280498.0
"Dec 01, 2011 00:00:00",16.28,16.28,15.0,15.0,139956.0
"Dec 02, 2011 00:00:00",14.8,15.58,14.8,15.58,13640.0
"Dec 05, 2011 00:00:00",15.0,15.4,14.5,14.5,35870.0
"Dec 06, 2011 00:00:00",15.38,15.88,14.7,14.7,110530.0
"Dec 07, 2011 00:00:00",14.7,15.6,14.7,15.4,99888.0
"Dec 09, 2011 00:00:00",15.58,15.58,15.58,15.58,3116.0
"Dec 12, 2011 00:00:00",14.06,14.52,14.04,14.52,25378.0
"Dec 13, 2011 00:00:00",15.48,15.48,15.48,15.48,1548.0
"Dec 14, 2011 00:00:00",15.0,15.0,15.0,15.0,7500.0
"Dec 15, 2011 00:00:00",13.72,15.28,13.62,15.26,91894.0
"Dec 19, 2011 00:00:00",13.88,13.88,13.88,13.88,63848.0
"Dec 21, 2011 00:00:00",14.18,14.3,14.18,14.2,99400.0
"Dec 22, 2011 00:00:00",14.0,14.2,14.0,14.0,65820.0
"Dec 23, 2011 00:00:00",14.0,14.0,14.0,14.0,14000.0
"Dec 26, 2011 00:00:00",14.0,14.0,14.0,14.0,14000.0
"Dec 28, 2011 00:00:00",14.0,14.0,14.0,14.0,1400.0
"Dec 29, 2011 00:00:00",14.0,14.0,13.08,13.08,72940.0
"Jan 02, 2012 00:00:00",14.18,14.18,14.18,14.18,1418.0
"Jan 04, 2012 00:00:00",13.8,13.8,13.8,13.8,40020.0
"Jan 05, 2012 00:00:00",14.48,14.5,14.48,14.5,2898.0
"Jan 06, 2012 00:00:00",14.78,14.78,13.58,13.58,13700.0
"Jan 09, 2012 00:00:00",13.58,14.0,13.3,13.32,177062.0
"Jan 10, 2012 00:00:00",13.2,13.2,13.08,13.08,95496.0
"Jan 11, 2012 00:00:00",12.6,13.0,12.6,13.0,64500.0
"Jan 12, 2012 00:00:00",12.8,12.8,12.8,12.8,85760.0
"Jan 13, 2012 00:00:00",13.0,13.0,13.0,13.0,15600.0
"Jan 16, 2012 00:00:00",13.96,13.96,13.0,13.0,27396.0
"Jan 17, 2012 00:00:00",12.9,13.0,12.6,13.0,43950.0
"Jan 18, 2012 00:00:00",13.1,13.1,13.1,13.1,2620.0
"Jan 20, 2012 00:00:00",13.1,13.5,13.0,13.5,172460.0
"Jan 24, 2012 00:00:00",14.5,14.5,14.4,14.4,15850.0
"Jan 25, 2012 00:00:00",13.9,13.9,13.5,13.5,13700.0
"Jan 26, 2012 00:00:00",14.0,14.0,13.5,13.9,42950.0
"Jan 27, 2012 00:00:00",13.52,13.52,13.52,13.52,6760.0
"Jan 30, 2012 00:00:00",14.38,14.38,14.38,14.38,4314.0
"Jan 31, 2012 00:00:00",13.4,13.4,13.4,13.4,4020.0
"Feb 01, 2012 00:00:00",13.0,13.9,12.6,13.9,39646.0
"Feb 03, 2012 00:00:00",13.0,13.9,13.0,13.1,27580.0
"Feb 07, 2012 00:00:00",12.8,13.0,12.8,12.8,52500.0
"Feb 08, 2012 00:00:00",13.0,14.62,13.0,14.4,276494.0
"Feb 09, 2012 00:00:00",13.1,13.1,12.6,12.6,94874.0
"Feb 13, 2012 00:00:00",13.76,13.76,12.5,12.5,99212.0
"Feb 14, 2012 00:00:00",14.18,14.18,12.5,12.5,77864.0
"Feb 16, 2012 00:00:00",13.0,13.7,13.0,13.0,106400.0
"Feb 17, 2012 00:00:00",13.0,13.0,13.0,13.0,13000.0
"Feb 23, 2012 00:00:00",13.5,13.5,13.0,13.0,26050.0
"Feb 24, 2012 00:00:00",13.4,14.0,13.0,14.0,95340.0
"Feb 27, 2012 00:00:00",14.0,14.0,14.0,14.0,1400.0
"Feb 28, 2012 00:00:00",13.4,13.4,13.4,13.4,13400.0
"Feb 29, 2012 00:00:00",13.4,13.4,13.4,13.4,120600.0
"Mar 01, 2012 00:00:00",13.4,14.0,13.4,13.4,67300.0
"Mar 06, 2012 00:00:00",14.2,16.0,14.0,14.0,262188.0
"Mar 07, 2012 00:00:00",15.0,15.98,15.0,15.5,52146.0
"Mar 09, 2012 00:00:00",15.78,15.78,15.78,15.78,1578.0
"Mar 12, 2012 00:00:00",16.3,16.3,16.3,16.3,1630.0
"Mar 13, 2012 00:00:00",16.48,18.0,16.4,17.78,321328.0
"Mar 14, 2012 00:00:00",18.8,18.8,17.1,17.1,10548.0
"Mar 15, 2012 00:00:00",17.0,17.1,17.0,17.0,93550.0
"Mar 19, 2012 00:00:00",16.0,16.0,16.0,16.0,6400.0
"Mar 21, 2012 00:00:00",16.0,17.6,16.0,17.6,60800.00000000001
"Mar 22, 2012 00:00:00",17.38,17.38,17.38,17.38,57354.0
"Mar 26, 2012 00:00:00",18.9,18.9,18.9,18.9,3779.9999999999995
"Mar 27, 2012 00:00:00",18.5,18.5,18.5,18.5,1850.0
"Apr 03, 2012 00:00:00",13.1,13.1,13.1,13.1,13100.0
"Apr 04, 2012 00:00:00",17.0,19.64,16.4,19.62,127088.0
"Apr 10, 2012 00:00:00",18.98,19.0,15.4,18.48,229118.0
"Apr 11, 2012 00:00:00",18.5,18.5,18.5,18.5,5550.0
"Apr 13, 2012 00:00:00",15.42,15.42,15.42,15.42,12336.0
"Apr 16, 2012 00:00:00",15.42,15.42,15.42,15.42,4626.0
"Apr 18, 2012 00:00:00",17.0,17.0,16.0,16.0,6500.0
"Apr 19, 2012 00:00:00",17.0,17.0,17.0,17.0,3400.0
"Apr 20, 2012 00:00:00",16.0,16.0,16.0,16.0,4800.0
"Apr 24, 2012 00:00:00",13.98,16.0,13.98,15.0,21680.0
"Apr 25, 2012 00:00:00",13.98,13.98,13.98,13.98,1398.0
"Apr 30, 2012 00:00:00",17.98,20.0,17.98,20.0,195248.0
"May 02, 2012 00:00:00",19.94,19.96,19.94,19.96,19950.0
"May 07, 2012 00:00:00",19.0,19.0,19.0,19.0,1900.0
"May 08, 2012 00:00:00",14.1,14.1,13.0,13.0,118300.0
"May 09, 2012 00:00:00",13.14,16.0,13.1,15.5,80270.0
"May 22, 2012 00:00:00",13.0,13.0,13.0,13.0,6500.0
"May 23, 2012 00:00:00",16.0,16.0,16.0,16.0,11200.0
"May 25, 2012 00:00:00",18.8,18.8,18.8,18.8,1880.0
"May 30, 2012 00:00:00",18.0,18.0,18.0,18.0,792000.0
"May 31, 2012 00:00:00",13.04,13.04,13.04,13.04,573760.0
"Jun 04, 2012 00:00:00",15.0,17.9,15.0,17.8,2691950.0
"Jun 05, 2012 00:00:00",15.0,15.0,15.0,15.0,1842000.0
"Jun 06, 2012 00:00:00",15.0,15.0,15.0,15.0,1842000.0
"Jun 15, 2012 00:00:00",15.0,15.0,15.0,15.0,1500.0
"Jun 20, 2012 00:00:00",17.0,17.0,17.0,17.0,1700.0
"Jun 21, 2012 00:00:00",15.0,15.0,15.0,15.0,9000.0
"Jun 22, 2012 00:00:00",13.52,13.52,13.52,13.52,601640.0
"Jun 26, 2012 00:00:00",17.0,17.0,13.62,13.62,13980.0
"Jun 27, 2012 00:00:00",16.8,17.0,16.8,17.0,418100.0
"Jun 28, 2012 00:00:00",17.0,17.5,17.0,17.5,3450.0
"Jul 02, 2012 00:00:00",17.5,17.5,17.4,17.4,19150.0
"Jul 09, 2012 00:00:00",14.02,14.02,14.02,14.02,4206.0
"Jul 10, 2012 00:00:00",15.0,15.0,15.0,15.0,66000.0
"Jul 12, 2012 00:00:00",17.0,17.0,17.0,17.0,1700.0
"Jul 13, 2012 00:00:00",15.1,15.12,15.1,15.12,33222.0
"Jul 16, 2012 00:00:00",15.14,15.14,15.12,15.12,52940.0
"Jul 18, 2012 00:00:00",15.1,15.1,15.1,15.1,52850.0
"Jul 23, 2012 00:00:00",15.5,15.5,15.5,15.5,1550.0
"Jul 27, 2012 00:00:00",16.5,16.5,16.5,16.5,4950.0
"Aug 01, 2012 00:00:00",13.5,15.0,13.0,15.0,152600.0
"Aug 02, 2012 00:00:00",13.0,15.0,13.0,15.0,69900.0
"Aug 03, 2012 00:00:00",15.0,15.0,15.0,15.0,3000.0
"Aug 13, 2012 00:00:00",13.02,13.02,12.98,12.98,247094.0
"Aug 14, 2012 00:00:00",13.1,14.5,13.0,13.0,58250.0
"Aug 15, 2012 00:00:00",13.0,13.0,13.0,13.0,39000.0
"Aug 23, 2012 00:00:00",12.88,12.88,12.88,12.88,25760.0
"Aug 28, 2012 00:00:00",12.9,12.9,12.9,12.9,56760.0
"Sep 04, 2012 00:00:00",13.02,13.02,13.02,13.02,19530.0
"Sep 07, 2012 00:00:00",13.04,13.04,13.04,13.04,50856.0
"Sep 11, 2012 00:00:00",13.1,13.1,13.1,13.1,17030.0
"Sep 13, 2012 00:00:00",14.0,14.0,14.0,14.0,26600.0
"Sep 19, 2012 00:00:00",14.0,14.0,14.0,14.0,28000.0
"Sep 24, 2012 00:00:00",14.02,14.02,14.02,14.02,1402.0
"Sep 25, 2012 00:00:00",14.02,14.02,14.02,14.02,63090.0
"Sep 28, 2012 00:00:00",14.02,14.02,14.02,14.02,5608.0
"Oct 01, 2012 00:00:00",14.0,14.0,14.0,14.0,1400.0
"Oct 05, 2012 00:00:00",14.0,14.0,14.0,14.0,28000.0
"Oct 12, 2012 00:00:00",13.04,13.04,13.0,13.0,195300.0
"Oct 15, 2012 00:00:00",13.0,13.0,13.0,13.0,5200.0
"Oct 16, 2012 00:00:00",13.5,13.5,13.5,13.5,1350.0
"Oct 17, 2012 00:00:00",13.5,13.5,13.5,13.5,4050.0
