chart_date,open,high,low,close,value
"Aug 03, 2009 00:00:00",0.042,0.042,0.042,0.042,42000.0
"Aug 04, 2009 00:00:00",0.042,0.044,0.042,0.043,435100.0
"Aug 07, 2009 00:00:00",0.043,0.044,0.043,0.044,261000.0
"Aug 10, 2009 00:00:00",0.043,0.043,0.042,0.043,226000.0
"Aug 11, 2009 00:00:00",0.042,0.043,0.042,0.043,63200.0
"Aug 12, 2009 00:00:00",0.042,0.042,0.042,0.042,33600.0
"Aug 13, 2009 00:00:00",0.043,0.043,0.042,0.042,1114900.0
"Aug 14, 2009 00:00:00",0.042,0.042,0.042,0.042,25200.0
"Aug 17, 2009 00:00:00",0.042,0.042,0.042,0.042,4200.0
"Aug 19, 2009 00:00:00",0.042,0.042,0.042,0.042,88200.0
"Aug 24, 2009 00:00:00",0.042,0.048,0.041,0.047,4329400.0
"Aug 25, 2009 00:00:00",0.048,0.0525,0.047,0.049,6800350.0
"Aug 26, 2009 00:00:00",0.048,0.049,0.047,0.048,1774500.0
"Sep 03, 2009 00:00:00",0.044,0.044,0.043,0.043,249600.0
"Sep 04, 2009 00:00:00",0.044,0.046,0.044,0.046,660200.0
"Sep 16, 2009 00:00:00",0.043,0.043,0.043,0.043,283800.0
"Sep 17, 2009 00:00:00",0.043,0.043,0.043,0.043,86000.0
"Sep 18, 2009 00:00:00",0.043,0.043,0.043,0.043,133300.0
"Sep 22, 2009 00:00:00",0.044,0.044,0.044,0.044,52800.0
"Sep 23, 2009 00:00:00",0.044,0.044,0.044,0.044,220000.0
"Sep 30, 2009 00:00:00",0.042,0.042,0.042,0.042,42000.0
"Oct 01, 2009 00:00:00",0.042,0.042,0.042,0.042,58800.0
"Oct 05, 2009 00:00:00",0.041,0.041,0.041,0.041,205000.0
"Oct 07, 2009 00:00:00",0.042,0.044,0.042,0.044,100600.0
"Oct 08, 2009 00:00:00",0.044,0.044,0.044,0.044,17600.0
"Oct 09, 2009 00:00:00",0.045,0.045,0.044,0.045,53000.0
"Oct 12, 2009 00:00:00",0.045,0.047,0.045,0.045,1371100.0
"Oct 13, 2009 00:00:00",0.045,0.045,0.044,0.044,610700.0
"Oct 14, 2009 00:00:00",0.044,0.044,0.044,0.044,66000.0
"Oct 15, 2009 00:00:00",0.044,0.045,0.044,0.045,415300.0
"Oct 16, 2009 00:00:00",0.046,0.046,0.046,0.046,4600.0
"Oct 19, 2009 00:00:00",0.046,0.046,0.044,0.045,62900.0
"Oct 20, 2009 00:00:00",0.044,0.044,0.044,0.044,220000.0
"Oct 21, 2009 00:00:00",0.044,0.044,0.044,0.044,30800.0
"Oct 23, 2009 00:00:00",0.044,0.045,0.044,0.045,40300.0
"Oct 26, 2009 00:00:00",0.045,0.047,0.044,0.047,3943300.0
"Oct 27, 2009 00:00:00",0.05,0.055,0.049,0.05,13922100.0
"Oct 28, 2009 00:00:00",0.048,0.049,0.046,0.048,414400.0
"Oct 29, 2009 00:00:00",0.046,0.046,0.046,0.046,326600.0
"Oct 30, 2009 00:00:00",0.046,0.046,0.046,0.046,915400.0
"Nov 03, 2009 00:00:00",0.045,0.045,0.045,0.045,499500.0
"Nov 04, 2009 00:00:00",0.045,0.046,0.045,0.046,268600.0
"Nov 05, 2009 00:00:00",0.044,0.045,0.044,0.045,332900.0
"Nov 06, 2009 00:00:00",0.045,0.046,0.045,0.046,334600.0
"Nov 09, 2009 00:00:00",0.046,0.046,0.045,0.045,505200.0
"Nov 10, 2009 00:00:00",0.046,0.046,0.046,0.046,151800.0
"Nov 11, 2009 00:00:00",0.046,0.05,0.046,0.048,1464300.0
"Dec 16, 2009 00:00:00",0.044,0.044,0.044,0.044,44000.0
"Dec 17, 2009 00:00:00",0.044,0.044,0.044,0.044,13200.0
"Dec 18, 2009 00:00:00",0.043,0.043,0.043,0.043,98900.0
"Dec 21, 2009 00:00:00",0.043,0.043,0.043,0.043,8600.0
