chart_date,open,high,low,close,value
"Aug 03, 2009 00:00:00",1.82,1.82,1.82,1.82,12740.0
"Aug 04, 2009 00:00:00",1.82,1.84,1.8,1.84,89740.0
"Aug 06, 2009 00:00:00",1.84,1.84,1.84,1.84,92000.0
"Aug 11, 2009 00:00:00",1.82,1.82,1.8,1.82,301920.0
"Aug 13, 2009 00:00:00",1.84,1.84,1.84,1.84,64400.0
"Aug 14, 2009 00:00:00",1.84,1.84,1.82,1.82,152480.0
"Aug 17, 2009 00:00:00",1.8,1.8,1.8,1.8,239400.0
"Aug 18, 2009 00:00:00",1.8,1.8,1.8,1.8,217800.0
"Aug 20, 2009 00:00:00",1.8,1.8,1.8,1.8,5400.0
"Aug 24, 2009 00:00:00",1.82,1.82,1.82,1.82,451360.0
"Aug 25, 2009 00:00:00",1.78,1.78,1.78,1.78,183340.0
"Aug 26, 2009 00:00:00",1.8,1.8,1.8,1.8,1800.0
"Sep 03, 2009 00:00:00",1.8,1.82,1.8,1.82,3698180.0
"Sep 04, 2009 00:00:00",1.98,1.98,1.98,1.98,57420.0
"Sep 16, 2009 00:00:00",1.9,1.9,1.9,1.9,3800.0
"Sep 17, 2009 00:00:00",1.9,1.9,1.9,1.9,3800.0
"Sep 18, 2009 00:00:00",1.88,1.88,1.88,1.88,47000.0
"Sep 22, 2009 00:00:00",1.86,1.88,1.86,1.88,165420.0
"Sep 30, 2009 00:00:00",1.9,2.0,1.9,2.0,287720.0
"Oct 02, 2009 00:00:00",2.0,2.0,2.0,2.0,48000.0
"Oct 05, 2009 00:00:00",2.0,2.0,2.0,2.0,34000.0
"Oct 06, 2009 00:00:00",1.88,2.0,1.8,2.0,306380.0
"Oct 07, 2009 00:00:00",1.9,2.0,1.9,2.0,388800.0
"Oct 08, 2009 00:00:00",2.0,2.0,2.0,2.0,226000.0
"Oct 09, 2009 00:00:00",1.94,1.94,1.94,1.94,194000.0
"Oct 13, 2009 00:00:00",1.9,1.94,1.9,1.94,19360.0
"Oct 14, 2009 00:00:00",1.9,1.9,1.9,1.9,13300.0
"Oct 15, 2009 00:00:00",1.92,1.92,1.92,1.92,5760.0
"Oct 16, 2009 00:00:00",1.92,1.92,1.9,1.9,22880.0
"Oct 19, 2009 00:00:00",1.9,1.9,1.9,1.9,5700.0
"Oct 21, 2009 00:00:00",2.0,2.0,1.9,1.9,43800.0
"Oct 22, 2009 00:00:00",1.9,1.9,1.9,1.9,592800.0
"Oct 23, 2009 00:00:00",1.92,1.92,1.9,1.9,319400.0
"Oct 26, 2009 00:00:00",1.9,1.9,1.9,1.9,22800.0
"Oct 27, 2009 00:00:00",1.88,1.88,1.88,1.88,28200.0
"Oct 28, 2009 00:00:00",1.88,1.88,1.88,1.88,376000.0
"Oct 30, 2009 00:00:00",1.88,1.9,1.88,1.9,98760.0
"Nov 03, 2009 00:00:00",1.88,1.88,1.84,1.84,497040.0
"Nov 05, 2009 00:00:00",1.82,1.82,1.82,1.82,65520.0
"Nov 06, 2009 00:00:00",1.84,1.88,1.84,1.88,103200.0
