chart_date,open,high,low,close,value
"Dec 28, 2011 00:00:00",82.0,82.0,41.0,41.0,42310260.0
"Dec 29, 2011 00:00:00",61.5,61.5,61.5,61.5,30750.0
"Feb 03, 2012 00:00:00",82.0,92.25,82.0,92.25,1834750.0
"Feb 06, 2012 00:00:00",138.3,138.3,135.0,137.0,278500.0
"Mar 05, 2012 00:00:00",140.0,195.0,140.0,145.0,289500.0
"Mar 06, 2012 00:00:00",160.0,199.0,160.0,192.0,85320.0
"Mar 07, 2012 00:00:00",180.0,180.0,180.0,180.0,3600.0
"Mar 08, 2012 00:00:00",121.1,145.0,121.0,145.0,35837.0
"Mar 15, 2012 00:00:00",150.0,150.0,150.0,150.0,3000.0
"Mar 16, 2012 00:00:00",170.0,220.0,170.0,220.0,39900.0
"Mar 19, 2012 00:00:00",250.0,250.0,250.0,250.0,25000.0
"Apr 25, 2012 00:00:00",299.8,299.8,299.8,299.8,59960.0
"Apr 26, 2012 00:00:00",300.0,300.0,290.0,290.0,38700.0
"May 10, 2012 00:00:00",145.0,279.0,145.0,279.0,25990.0
"Jul 10, 2012 00:00:00",250.0,279.0,250.0,279.0,26450.0
"Jul 23, 2012 00:00:00",160.0,180.0,141.0,180.0,94830.0
"Jul 24, 2012 00:00:00",150.1,179.0,150.1,156.0,37736.0
"Jul 25, 2012 00:00:00",156.0,156.0,140.0,140.0,24456.0
"Jul 26, 2012 00:00:00",141.0,141.0,141.0,141.0,8460.0
"Aug 06, 2012 00:00:00",139.5,139.5,139.5,139.5,1395.0
"Aug 13, 2012 00:00:00",169.0,169.0,168.0,169.0,23650.0
"Aug 14, 2012 00:00:00",100.0,100.0,100.0,100.0,14000.0
"Aug 16, 2012 00:00:00",101.1,101.1,90.0,90.0,19821.0
"Aug 24, 2012 00:00:00",120.0,120.0,120.0,120.0,2400.0
"Sep 12, 2012 00:00:00",100.1,100.1,100.0,100.0,11001.0
"Sep 13, 2012 00:00:00",100.0,100.1,100.0,100.0,58005.0
"Oct 03, 2012 00:00:00",80.1,80.1,80.0,80.0,8001.0
"Oct 09, 2012 00:00:00",80.0,80.0,80.0,80.0,1600.0
"Oct 17, 2012 00:00:00",80.0,80.0,80.0,80.0,5600.0
"Oct 31, 2012 00:00:00",99.45,99.45,99.45,99.45,8950.5
"Nov 09, 2012 00:00:00",90.0,90.0,90.0,90.0,2700.0
"Dec 04, 2012 00:00:00",103.0,103.0,103.0,103.0,1030.0
"Dec 19, 2012 00:00:00",100.0,102.9,100.0,102.9,11029.0
"Jan 04, 2013 00:00:00",120.0,125.0,115.0,125.0,20600.0
"Jan 08, 2013 00:00:00",62.5,124.0,62.5,124.0,1865.0
"Jan 10, 2013 00:00:00",73.0,73.0,73.0,73.0,1460.0
"Jan 21, 2013 00:00:00",104.0,104.0,104.0,104.0,2080.0
"Mar 22, 2013 00:00:00",85.0,85.0,85.0,85.0,3400.0
"May 06, 2013 00:00:00",73.05,73.05,73.05,73.05,7305.0
"May 07, 2013 00:00:00",100.0,100.0,100.0,100.0,10000.0
