chart_date,open,high,low,close,value
"Apr 27, 2015 00:00:00",2.11,2.11,2.11,2.11,22910380.0
"Apr 28, 2015 00:00:00",2.8,2.97,2.3,2.82,370741290.0
"Apr 29, 2015 00:00:00",2.83,2.94,2.57,2.63,97682970.0
"Apr 30, 2015 00:00:00",2.6,2.6,2.35,2.43,69388820.0
"May 04, 2015 00:00:00",2.5,2.64,2.42,2.59,36879380.0
"May 05, 2015 00:00:00",2.61,2.66,2.4,2.43,26791920.0
"May 06, 2015 00:00:00",2.43,2.48,2.32,2.38,22557680.0
"May 07, 2015 00:00:00",2.37,2.37,2.21,2.21,24706800.0
"May 08, 2015 00:00:00",2.21,2.41,2.21,2.41,25346000.0
"May 11, 2015 00:00:00",2.45,2.53,2.41,2.41,16104220.0
"May 12, 2015 00:00:00",2.41,2.41,2.28,2.31,11532740.0
"May 13, 2015 00:00:00",2.32,2.33,2.24,2.25,9818330.0
"May 14, 2015 00:00:00",2.25,2.3,1.99,2.0,41001740.0
"May 15, 2015 00:00:00",2.08,2.11,1.91,2.0,25458150.0
"May 18, 2015 00:00:00",2.01,2.05,1.96,2.02,7370330.0
"May 19, 2015 00:00:00",2.02,2.02,1.95,1.95,10544620.0
"May 20, 2015 00:00:00",1.92,1.99,1.79,1.99,22173680.0
"May 21, 2015 00:00:00",2.03,2.04,1.85,1.85,8597190.0
"May 22, 2015 00:00:00",1.86,1.92,1.81,1.84,4318140.0
"May 25, 2015 00:00:00",1.85,1.85,1.7,1.72,13637680.0
"May 26, 2015 00:00:00",1.7,1.71,1.5,1.53,15839000.0
"May 27, 2015 00:00:00",1.53,1.72,1.52,1.63,18335510.0
"May 28, 2015 00:00:00",1.63,1.67,1.5,1.57,7091690.0
"May 29, 2015 00:00:00",1.56,1.65,1.51,1.6,5731660.0
"Jun 01, 2015 00:00:00",1.6,1.66,1.55,1.6,3206790.0
"Jun 02, 2015 00:00:00",1.67,2.02,1.62,2.02,58002070.0
"Jun 03, 2015 00:00:00",2.07,2.23,2.0,2.0,121648020.0
"Jun 04, 2015 00:00:00",2.02,2.08,1.97,1.98,9432560.0
"Jun 05, 2015 00:00:00",1.98,1.98,1.85,1.9,8859900.0
"Jun 08, 2015 00:00:00",1.92,2.07,1.89,1.95,10213600.0
"Jun 09, 2015 00:00:00",2.0,2.0,1.84,1.87,5527990.0
"Jun 10, 2015 00:00:00",1.85,1.96,1.85,1.94,2124820.0
"Jun 11, 2015 00:00:00",1.95,2.03,1.92,2.03,10106180.0
"Jun 15, 2015 00:00:00",2.04,2.21,2.04,2.2,25563580.0
"Jun 16, 2015 00:00:00",2.23,2.27,2.1,2.1,20066590.0
"Jun 17, 2015 00:00:00",2.1,2.2,2.04,2.17,9687670.0
"Jun 18, 2015 00:00:00",2.19,2.3,2.17,2.21,23756620.0
"Jun 19, 2015 00:00:00",2.21,2.25,2.17,2.21,4759300.0
"Jun 22, 2015 00:00:00",2.22,2.22,2.08,2.08,5650140.0
"Jun 23, 2015 00:00:00",2.1,2.17,2.08,2.17,4176690.0
"Jun 24, 2015 00:00:00",2.18,2.38,2.16,2.36,29280620.0
"Jun 25, 2015 00:00:00",2.36,2.48,2.31,2.46,27489140.0
"Jun 25, 2015 00:00:00",2.36,2.48,2.31,2.46,27489140.0
"Jun 26, 2015 00:00:00",2.48,2.5,2.37,2.42,14927470.0
"Jun 29, 2015 00:00:00",2.42,2.52,2.27,2.44,19331510.0
"Jun 30, 2015 00:00:00",2.45,2.57,2.39,2.54,23698220.0
"Jul 01, 2015 00:00:00",2.57,2.58,2.5,2.52,23735990.0
"Jul 02, 2015 00:00:00",2.55,2.58,2.45,2.45,10104640.0
"Jul 03, 2015 00:00:00",2.45,2.51,2.38,2.48,10243160.0
"Jul 06, 2015 00:00:00",2.49,2.52,2.32,2.37,8925530.0
"Jul 07, 2015 00:00:00",2.39,2.45,2.39,2.41,7744120.0
"Jul 08, 2015 00:00:00",2.41,2.41,2.31,2.31,8843600.0
"Jul 09, 2015 00:00:00",2.25,2.39,2.13,2.37,11511990.0
"Jul 10, 2015 00:00:00",2.38,2.38,2.31,2.33,3128270.0
"Jul 13, 2015 00:00:00",2.3,2.37,2.24,2.37,2320070.0
"Jul 13, 2015 00:00:00",2.3,2.37,2.24,2.37,2320070.0
"Jul 14, 2015 00:00:00",2.37,2.48,2.37,2.4,7308740.0
"Jul 15, 2015 00:00:00",2.45,2.45,2.36,2.4,3107170.0
"Jul 16, 2015 00:00:00",2.4,2.47,2.4,2.45,5215540.0
"Jul 20, 2015 00:00:00",2.48,2.5,2.42,2.45,3061460.0
"Jul 21, 2015 00:00:00",2.47,2.69,2.47,2.65,33210490.0
"Jul 22, 2015 00:00:00",2.65,2.75,2.65,2.66,14537830.0
"Jul 23, 2015 00:00:00",2.69,2.69,2.57,2.57,5862490.0
"Jul 23, 2015 00:00:00",2.69,2.69,2.57,2.57,5862490.0
"Jul 23, 2015 00:00:00",2.69,2.69,2.57,2.57,5862490.0
"Jul 24, 2015 00:00:00",2.59,2.64,2.52,2.61,7655360.0
"Jul 27, 2015 00:00:00",2.6,2.67,2.55,2.55,5164470.0
"Jul 28, 2015 00:00:00",2.52,2.59,2.46,2.53,14024600.0
"Jul 29, 2015 00:00:00",2.59,2.64,2.55,2.6,4268710.0
"Jul 30, 2015 00:00:00",2.6,2.73,2.6,2.66,15343430.0
"Jul 31, 2015 00:00:00",2.7,2.83,2.7,2.8,34699560.0
"Aug 03, 2015 00:00:00",2.83,2.97,2.82,2.95,33041070.0
"Aug 04, 2015 00:00:00",2.97,3.05,2.95,2.95,34949030.0
"Aug 05, 2015 00:00:00",2.89,3.0,2.83,3.0,17082830.0
"Aug 06, 2015 00:00:00",3.0,3.03,2.92,2.96,8597550.0
"Aug 07, 2015 00:00:00",2.94,3.07,2.9,3.04,19239200.0
"Aug 10, 2015 00:00:00",3.06,3.2,3.05,3.2,19836130.0
"Aug 11, 2015 00:00:00",3.25,3.33,3.0,3.07,24931130.0
"Aug 12, 2015 00:00:00",3.1,3.2,3.05,3.11,6834830.0
"Aug 13, 2015 00:00:00",3.13,3.17,2.99,2.99,13939030.0
"Aug 14, 2015 00:00:00",2.9,3.0,2.84,2.92,21835110.0
"Aug 17, 2015 00:00:00",2.92,2.92,2.68,2.71,18457940.0
"Aug 18, 2015 00:00:00",2.7,2.93,2.7,2.89,22240950.0
"Aug 19, 2015 00:00:00",2.94,2.95,2.89,2.9,3670690.0
"Aug 20, 2015 00:00:00",2.9,2.93,2.79,2.8,10188420.0
"Aug 24, 2015 00:00:00",2.65,2.65,2.3,2.33,12188860.0
"Aug 25, 2015 00:00:00",2.3,2.46,2.25,2.34,3025110.0
"Aug 26, 2015 00:00:00",2.45,2.55,2.4,2.55,7165350.0
"Aug 27, 2015 00:00:00",2.62,2.72,2.58,2.68,7843950.0
"Aug 28, 2015 00:00:00",2.6,2.75,2.6,2.75,7522970.0
"Sep 01, 2015 00:00:00",2.7,2.74,2.6,2.68,2307990.0
"Sep 02, 2015 00:00:00",2.52,2.75,2.52,2.67,3448220.0
"Sep 03, 2015 00:00:00",2.7,2.75,2.65,2.75,5471340.0
"Sep 04, 2015 00:00:00",2.71,2.88,2.6,2.62,13471400.0
"Sep 07, 2015 00:00:00",2.62,2.65,2.58,2.58,3268960.0
"Sep 08, 2015 00:00:00",2.58,2.62,2.52,2.62,1896340.0
"Sep 09, 2015 00:00:00",2.63,2.7,2.59,2.64,1246020.0
"Sep 10, 2015 00:00:00",2.62,2.67,2.55,2.58,783170.0
"Sep 11, 2015 00:00:00",2.55,2.62,2.55,2.61,2369230.0
"Sep 14, 2015 00:00:00",2.6,2.6,2.57,2.57,1287160.0
"Sep 15, 2015 00:00:00",2.58,2.62,2.56,2.59,2051300.0
"Sep 15, 2015 00:00:00",2.58,2.62,2.56,2.59,2051300.0
"Sep 15, 2015 00:00:00",2.58,2.62,2.56,2.59,2051300.0
"Sep 16, 2015 00:00:00",2.62,2.62,2.5,2.61,5916940.0
"Sep 17, 2015 00:00:00",2.61,2.82,2.56,2.77,15282490.0
"Sep 18, 2015 00:00:00",2.83,2.94,2.82,2.85,9128370.0
