chart_date,open,high,low,close,value
"Aug 11, 2009 00:00:00",27.5,27.5,27.5,27.5,6600000.0
"Oct 14, 2009 00:00:00",27.5,28.0,27.5,28.0,8685000.0
"Oct 20, 2009 00:00:00",27.0,27.5,27.0,27.5,16450.0
"Oct 28, 2009 00:00:00",27.5,28.0,27.5,28.0,8315000.0
"Nov 04, 2009 00:00:00",28.0,28.0,28.0,28.0,8008000.0
"Dec 15, 2009 00:00:00",28.0,28.0,28.0,28.0,9800000.0
"Dec 22, 2009 00:00:00",28.0,28.0,28.0,28.0,9548000.0
"Dec 29, 2009 00:00:00",28.0,28.0,28.0,28.0,9520000.0
"Jan 07, 2010 00:00:00",28.0,28.0,28.0,28.0,9100000.0
"Jan 14, 2010 00:00:00",27.5,28.0,27.5,28.0,8416500.0
"Jan 20, 2010 00:00:00",28.0,28.0,27.5,28.0,8551150.0
"Jan 26, 2010 00:00:00",28.0,28.0,28.0,28.0,8400000.0
"Feb 08, 2010 00:00:00",28.0,28.0,28.0,28.0,14000.0
"May 17, 2010 00:00:00",28.0,28.0,28.0,28.0,14000.0
"May 28, 2010 00:00:00",28.0,28.0,28.0,28.0,14000.0
"Jun 15, 2010 00:00:00",28.0,28.0,28.0,28.0,14000.0
"Jun 23, 2010 00:00:00",28.0,28.0,28.0,28.0,14000.0
"Jul 16, 2010 00:00:00",28.0,28.0,28.0,28.0,9856000.0
"Jul 22, 2010 00:00:00",28.0,28.0,28.0,28.0,9912000.0
"Oct 01, 2010 00:00:00",27.0,28.0,27.0,28.0,16700.0
"Oct 14, 2010 00:00:00",28.0,28.0,28.0,28.0,14000.0
"Oct 28, 2010 00:00:00",28.0,28.0,28.0,28.0,8400000.0
"Nov 04, 2010 00:00:00",28.0,28.0,28.0,28.0,8540000.0
"Nov 11, 2010 00:00:00",28.0,28.0,28.0,28.0,8680000.0
"Nov 18, 2010 00:00:00",28.0,28.0,28.0,28.0,8680000.0
"Nov 26, 2010 00:00:00",28.0,28.0,28.0,28.0,8960000.0
"Jan 05, 2011 00:00:00",28.0,28.0,28.0,28.0,14000.0
"Jan 11, 2011 00:00:00",27.8,27.8,27.8,27.8,41700.0
"Jan 11, 2011 00:00:00",27.8,27.8,27.8,27.8,41700.0
"Feb 21, 2011 00:00:00",28.0,28.0,28.0,28.0,14000.0
"Feb 21, 2011 00:00:00",28.0,28.0,28.0,28.0,14000.0
"Mar 25, 2011 00:00:00",28.0,28.0,28.0,28.0,14000.0
"Jun 30, 2011 00:00:00",28.0,28.0,28.0,28.0,28000.0
"Sep 16, 2011 00:00:00",28.5,28.5,28.5,28.5,14250.0
"Sep 19, 2011 00:00:00",28.5,28.5,28.5,28.5,14250.0
"Oct 10, 2011 00:00:00",28.5,28.5,28.5,28.5,14250.0
"Oct 12, 2011 00:00:00",28.5,28.5,28.5,28.5,14250.0
"Oct 28, 2011 00:00:00",28.5,28.5,28.5,28.5,14250.0
"Nov 02, 2011 00:00:00",28.5,28.5,28.5,28.5,28500.0
"Nov 04, 2011 00:00:00",28.5,28.5,28.5,28.5,28500.0
"Nov 10, 2011 00:00:00",28.5,28.5,28.5,28.5,28500.0
"Nov 23, 2011 00:00:00",28.5,28.5,28.5,28.5,28500.0
"Nov 28, 2011 00:00:00",28.5,28.5,28.5,28.5,28500.0
"Nov 29, 2011 00:00:00",28.5,28.5,28.5,28.5,28500.0
"Dec 29, 2011 00:00:00",28.5,28.5,28.5,28.5,28500.0
"Jan 30, 2012 00:00:00",28.5,28.5,28.5,28.5,2850.0
"Feb 14, 2012 00:00:00",27.0,27.0,27.0,27.0,2700.0
"Jun 01, 2012 00:00:00",27.0,27.0,27.0,27.0,9180000.0
"Jun 04, 2012 00:00:00",28.5,29.5,28.5,29.5,84150.0
"Jun 05, 2012 00:00:00",30.0,31.0,30.0,31.0,21200.0
"Jul 03, 2012 00:00:00",28.0,28.0,28.0,28.0,14000.0
"Jul 23, 2012 00:00:00",28.0,28.0,28.0,28.0,6224400.0
"Jul 24, 2012 00:00:00",28.5,28.5,28.5,28.5,102600.0
"Jul 25, 2012 00:00:00",28.0,28.0,28.0,28.0,28000000.0
"Aug 29, 2012 00:00:00",28.0,28.0,28.0,28.0,10822000.0
"Oct 19, 2012 00:00:00",25.0,25.0,25.0,25.0,25000.0
"Nov 06, 2012 00:00:00",18.0,18.0,18.0,18.0,28800.0
"Dec 07, 2012 00:00:00",19.0,19.0,19.0,19.0,161500.0
"Dec 17, 2012 00:00:00",21.0,21.0,21.0,21.0,10500.0
"Dec 18, 2012 00:00:00",23.0,23.0,23.0,23.0,11500.0
"Dec 19, 2012 00:00:00",25.0,25.0,25.0,25.0,10000.0
"Dec 20, 2012 00:00:00",25.0,27.0,25.0,27.0,13300.0
"Dec 21, 2012 00:00:00",27.0,28.0,27.0,28.0,8300.0
"Dec 28, 2012 00:00:00",28.0,28.0,28.0,28.0,14000.0
"Jan 02, 2013 00:00:00",27.5,27.5,27.5,27.5,13750.0
"Mar 21, 2013 00:00:00",18.0,18.0,18.0,18.0,325800.0
"Mar 22, 2013 00:00:00",18.0,18.0,18.0,18.0,61200.0
"Apr 04, 2013 00:00:00",18.0,18.0,18.0,18.0,5400.0
"Apr 12, 2013 00:00:00",18.0,18.0,18.0,18.0,5400.0
"May 03, 2013 00:00:00",11.0,12.0,11.0,12.0,343600.0
"May 06, 2013 00:00:00",14.0,14.0,10.0,11.0,1330398.0
"May 07, 2013 00:00:00",10.2,11.74,10.2,11.74,516450.0
"May 08, 2013 00:00:00",11.98,11.98,10.52,11.0,662132.0
"May 09, 2013 00:00:00",11.0,11.5,11.0,11.0,580858.0
"May 10, 2013 00:00:00",11.1,11.5,11.1,11.5,183696.0
"May 14, 2013 00:00:00",11.5,11.5,11.5,11.5,724500.0
"May 15, 2013 00:00:00",11.18,11.48,11.18,11.48,131570.0
"May 16, 2013 00:00:00",11.26,11.26,11.22,11.22,232278.0
"May 17, 2013 00:00:00",11.22,11.5,11.22,11.5,976192.0
"May 20, 2013 00:00:00",11.98,11.98,11.5,11.5,146198.0
"May 21, 2013 00:00:00",11.98,11.98,11.98,11.98,70682.0
"May 22, 2013 00:00:00",11.5,11.9,11.5,11.9,26970.0
"May 23, 2013 00:00:00",11.9,11.96,11.9,11.96,10722.0
