chart_date,open,high,low,close,value
"Jun 22, 2010 00:00:00",0.68,0.68,0.68,0.68,6800.0
"Jun 23, 2010 00:00:00",0.99,0.99,0.99,0.99,9900.0
"Sep 28, 2010 00:00:00",0.89,0.89,0.89,0.89,17800.0
"Oct 18, 2010 00:00:00",0.79,0.79,0.79,0.79,23700.0
"Nov 24, 2010 00:00:00",0.7,0.7,0.7,0.7,21000.0
"Nov 26, 2010 00:00:00",0.7,0.7,0.7,0.7,21000.0
"Jan 17, 2011 00:00:00",0.61,0.61,0.6,0.6,66800.0
"Feb 16, 2011 00:00:00",0.51,0.51,0.51,0.51,18870.0
"Feb 16, 2011 00:00:00",0.51,0.51,0.51,0.51,18870.0
"Feb 21, 2011 00:00:00",0.74,0.74,0.74,0.74,7400.0
"Feb 21, 2011 00:00:00",0.74,0.74,0.74,0.74,7400.0
"Mar 17, 2011 00:00:00",0.54,0.54,0.54,0.54,2700.0
"Apr 07, 2011 00:00:00",0.6,0.6,0.6,0.6,1200.0
"May 18, 2011 00:00:00",0.82,0.82,0.82,0.82,4100.0
"May 31, 2011 00:00:00",0.82,0.82,0.82,0.82,820.0
"Jul 15, 2011 00:00:00",0.75,0.75,0.75,0.75,15000.0
"Jul 19, 2011 00:00:00",0.84,1.02,0.84,1.02,54550.0
"Jul 20, 2011 00:00:00",0.84,0.92,0.84,0.92,21040.0
"Aug 01, 2011 00:00:00",1.02,1.04,1.02,1.04,25640.0
"Aug 04, 2011 00:00:00",0.8,1.04,0.75,1.04,118630.0
"Nov 17, 2011 00:00:00",0.82,1.02,0.82,1.02,48740.0
"Nov 24, 2011 00:00:00",1.05,1.1,1.05,1.1,66800.0
"Nov 29, 2011 00:00:00",1.65,1.65,1.65,1.65,265650.0
"Dec 01, 2011 00:00:00",2.47,2.47,2.47,2.47,197600.0
"Dec 02, 2011 00:00:00",3.7,3.7,3.7,3.7,381100.0
"Dec 05, 2011 00:00:00",5.0,5.0,3.01,3.01,1992580.0
"Dec 06, 2011 00:00:00",2.1,2.98,2.1,2.8,424570.0
"Dec 07, 2011 00:00:00",2.24,2.57,2.24,2.57,13770.0
"Dec 08, 2011 00:00:00",2.57,2.88,2.3,2.3,21350.0
"Dec 19, 2011 00:00:00",2.7,2.78,2.7,2.78,10960.0
"Dec 21, 2011 00:00:00",2.47,2.47,2.47,2.47,12350.0
"Dec 27, 2011 00:00:00",1.6,1.6,1.5,1.52,13620.0
"Dec 28, 2011 00:00:00",2.28,2.28,2.0,2.28,383060.0
"Dec 29, 2011 00:00:00",3.2,3.2,3.2,3.2,243200.0
"Jan 02, 2012 00:00:00",3.2,3.2,3.2,3.2,6400.0
"Jan 05, 2012 00:00:00",3.2,3.2,3.2,3.2,6400.0
"Jan 09, 2012 00:00:00",2.0,2.1,2.0,2.1,10300.0
"Jan 10, 2012 00:00:00",2.3,2.3,2.3,2.3,9200.0
"Jan 11, 2012 00:00:00",2.6,3.2,2.6,3.2,92150.0
"Jan 13, 2012 00:00:00",3.19,4.8,3.19,3.99,2331770.0
"Jan 16, 2012 00:00:00",3.5,3.99,2.92,2.93,722670.0
"Jan 17, 2012 00:00:00",3.04,3.04,2.13,2.49,233370.0
"Jan 18, 2012 00:00:00",2.55,2.55,2.13,2.15,61050.0
"Jan 19, 2012 00:00:00",2.75,2.75,2.22,2.41,216590.0
"Jan 24, 2012 00:00:00",2.54,2.54,2.33,2.4,33360.0
"Jan 25, 2012 00:00:00",2.52,2.52,2.52,2.52,2520.0
"Jan 26, 2012 00:00:00",2.22,2.22,2.22,2.22,2220.0
"Jan 27, 2012 00:00:00",2.4,2.99,2.4,2.81,315790.0
"Jan 30, 2012 00:00:00",2.97,3.0,2.8,2.99,229480.0
"Jan 31, 2012 00:00:00",2.99,4.2,2.99,4.05,1402430.0
"Feb 01, 2012 00:00:00",4.25,4.68,4.0,4.5,1414120.0
"Feb 02, 2012 00:00:00",4.65,5.45,4.62,5.41,3848700.0
"Feb 03, 2012 00:00:00",5.7,5.85,4.5,5.0,3039766.0
"Feb 06, 2012 00:00:00",5.0,5.25,4.8,5.0,775245.0
"Feb 07, 2012 00:00:00",5.2,5.3,5.06,5.2,432285.0
"Feb 08, 2012 00:00:00",5.2,5.8,5.2,5.57,1669652.0
"Feb 09, 2012 00:00:00",5.57,6.6,5.0,6.48,2274647.0
"Feb 10, 2012 00:00:00",6.8,6.95,5.2,5.2,2724639.0
"Feb 13, 2012 00:00:00",5.25,5.25,4.3,5.0,1124100.0
"Feb 14, 2012 00:00:00",5.0,5.11,5.0,5.1,42743.0
"Feb 15, 2012 00:00:00",5.1,5.1,4.0,4.4,396814.0
"Feb 16, 2012 00:00:00",4.01,5.45,4.0,5.42,1769980.0
"Feb 17, 2012 00:00:00",5.45,5.68,4.6,5.1,875803.0
"Feb 20, 2012 00:00:00",4.55,5.1,4.55,4.65,102890.0
"Feb 21, 2012 00:00:00",4.65,4.65,4.56,4.57,717870.0
"Feb 22, 2012 00:00:00",4.75,5.05,4.7,4.95,845560.0
"Feb 23, 2012 00:00:00",4.66,5.56,4.65,5.12,1515750.0
"Feb 24, 2012 00:00:00",5.15,5.15,4.8,4.8,602097.0
"Feb 27, 2012 00:00:00",4.51,4.6,4.5,4.53,86060.0
"Feb 28, 2012 00:00:00",4.0,4.84,4.0,4.33,69670.0
"Feb 29, 2012 00:00:00",4.75,4.75,4.51,4.65,630850.0
"Mar 01, 2012 00:00:00",4.77,5.95,4.77,5.86,2737250.0
"Mar 02, 2012 00:00:00",5.89,5.9,5.02,5.45,1196474.0
"Mar 05, 2012 00:00:00",4.95,5.45,4.95,5.42,589786.0
"Mar 06, 2012 00:00:00",5.44,5.75,5.31,5.58,988212.0
"Mar 07, 2012 00:00:00",5.6,5.6,5.27,5.5,96630.0
"Mar 08, 2012 00:00:00",5.6,5.6,4.8,5.36,1391111.0
