chart_date,open,high,low,close,value
"Jun 10, 2013 00:00:00",30.0,30.0,26.55,27.2,159125765.0
"Jun 11, 2013 00:00:00",27.25,28.6,26.4,26.6,49915570.0
"Jun 13, 2013 00:00:00",26.4,26.4,25.4,25.6,138412205.0
"Jun 14, 2013 00:00:00",26.0,26.9,25.9,26.4,18024350.0
"Jun 17, 2013 00:00:00",26.4,26.45,25.95,26.0,74725850.0
"Jun 18, 2013 00:00:00",26.0,26.2,25.7,25.8,4494370.0
"Jun 19, 2013 00:00:00",25.8,25.8,25.0,25.0,22819215.0
"Jun 20, 2013 00:00:00",25.0,25.0,23.0,23.8,32359940.0
"Jun 21, 2013 00:00:00",23.0,24.8,22.3,23.0,44804590.0
"Jun 24, 2013 00:00:00",23.0,23.95,22.9,23.0,3813025.0
"Jun 25, 2013 00:00:00",23.0,23.85,20.0,23.0,32714525.0
"Jun 26, 2013 00:00:00",22.2,23.7,22.2,23.0,10330060.0
"Jun 27, 2013 00:00:00",23.4,23.45,23.3,23.35,640730.0
"Jun 28, 2013 00:00:00",23.35,24.75,23.35,24.0,24571475.0
"Jul 01, 2013 00:00:00",24.0,25.0,23.9,25.0,2368540.0
"Jul 02, 2013 00:00:00",25.0,25.6,25.0,25.35,76499825.0
"Jul 03, 2013 00:00:00",25.1,26.15,25.1,26.0,42959825.0
"Jul 04, 2013 00:00:00",26.0,26.5,25.8,26.0,18134960.0
"Jul 05, 2013 00:00:00",26.5,26.55,26.45,26.5,5578370.0
"Jul 08, 2013 00:00:00",26.0,26.25,26.0,26.1,4028075.0
"Jul 09, 2013 00:00:00",26.1,26.1,26.0,26.0,37682870.0
"Jul 10, 2013 00:00:00",26.0,26.3,26.0,26.0,35513505.0
"Jul 11, 2013 00:00:00",26.4,27.0,26.4,27.0,14770870.0
"Jul 12, 2013 00:00:00",27.0,27.0,26.5,26.5,26317530.0
"Jul 15, 2013 00:00:00",26.6,26.6,26.3,26.5,2400850.0
"Jul 16, 2013 00:00:00",27.0,27.0,26.5,26.5,18881600.0
"Jul 17, 2013 00:00:00",26.0,26.5,26.0,26.5,4013890.0
"Jul 18, 2013 00:00:00",26.7,26.7,26.5,26.5,25089760.0
"Jul 19, 2013 00:00:00",27.0,27.05,26.8,26.8,4648495.0
"Jul 22, 2013 00:00:00",27.0,27.0,26.8,26.8,4646180.0
"Jul 23, 2013 00:00:00",26.8,27.0,26.0,27.0,18546195.0
"Jul 24, 2013 00:00:00",26.95,27.05,26.95,27.05,858800.0
"Jul 25, 2013 00:00:00",27.0,29.0,27.0,28.2,18726225.0
"Jul 26, 2013 00:00:00",28.2,29.9,28.2,29.0,22135765.0
"Jul 29, 2013 00:00:00",29.7,30.25,28.55,28.9,19276310.0
"Jul 30, 2013 00:00:00",28.5,28.85,27.8,28.85,1510720.0
"Jul 31, 2013 00:00:00",28.5,28.5,27.5,27.5,14312495.0
"Aug 01, 2013 00:00:00",28.0,29.0,28.0,28.5,9341935.0
"Aug 02, 2013 00:00:00",28.2,28.5,28.0,28.0,1477410.0
"Aug 05, 2013 00:00:00",28.8,28.8,28.45,28.45,82810.0
"Aug 06, 2013 00:00:00",27.6,29.95,27.5,29.95,3248655.0
"Aug 07, 2013 00:00:00",29.5,29.5,28.5,28.9,3080585.0
"Aug 08, 2013 00:00:00",28.8,29.0,28.8,28.9,5236450.0
"Aug 12, 2013 00:00:00",28.0,29.0,28.0,28.65,4017520.0
"Aug 13, 2013 00:00:00",29.15,29.5,28.65,29.0,61483375.0
"Aug 14, 2013 00:00:00",29.3,30.0,29.3,29.8,23923145.0
"Aug 15, 2013 00:00:00",29.75,29.75,29.4,29.5,19020990.0
"Aug 16, 2013 00:00:00",29.2,29.2,28.0,29.2,9357210.0
"Aug 22, 2013 00:00:00",28.0,28.6,27.5,28.5,5463750.0
"Aug 23, 2013 00:00:00",28.0,28.5,28.0,28.35,24298540.0
"Aug 27, 2013 00:00:00",27.5,28.0,26.5,26.5,16400.0
"Aug 28, 2013 00:00:00",26.7,26.7,25.0,26.5,55874500.0
"Aug 29, 2013 00:00:00",26.5,29.0,26.5,27.5,6722385.0
"Aug 30, 2013 00:00:00",27.5,27.5,27.0,27.0,23720450.0
"Sep 02, 2013 00:00:00",27.5,27.5,27.5,27.5,82500.0
"Sep 03, 2013 00:00:00",27.5,27.5,27.5,27.5,1611500.0
"Sep 04, 2013 00:00:00",27.5,27.95,27.5,27.95,118745.0
"Sep 05, 2013 00:00:00",28.0,28.0,26.5,27.0,1312340.0
"Sep 06, 2013 00:00:00",27.0,27.0,26.95,27.0,1371575.0
"Sep 10, 2013 00:00:00",27.0,27.0,27.0,27.0,37800.0
"Sep 11, 2013 00:00:00",26.5,27.0,26.0,26.5,10177235.0
"Sep 12, 2013 00:00:00",26.5,26.5,25.8,25.8,10511185.0
"Sep 13, 2013 00:00:00",26.0,26.0,26.0,26.0,3055000.0
"Sep 16, 2013 00:00:00",26.0,26.0,25.75,25.75,34217635.0
"Sep 17, 2013 00:00:00",26.0,26.25,26.0,26.0,20551250.0
"Sep 18, 2013 00:00:00",26.5,26.5,26.5,26.5,71550.0
"Sep 19, 2013 00:00:00",28.0,28.1,27.5,28.0,7884275.0
"Sep 20, 2013 00:00:00",28.0,28.1,28.0,28.0,3702350.0
"Sep 23, 2013 00:00:00",27.6,28.0,27.6,28.0,2652630.0
"Sep 24, 2013 00:00:00",28.0,28.0,26.5,26.5,4132200.0
"Sep 25, 2013 00:00:00",27.0,27.0,26.8,27.0,260900.0
"Sep 26, 2013 00:00:00",27.0,27.5,26.5,27.0,1760500.0
"Sep 27, 2013 00:00:00",27.0,27.8,26.0,27.8,209465.0
"Sep 30, 2013 00:00:00",26.2,26.2,26.0,26.0,782310.0
"Oct 01, 2013 00:00:00",26.5,27.15,26.15,26.15,85310.0
"Oct 02, 2013 00:00:00",26.95,27.1,26.1,27.1,346080.0
"Oct 03, 2013 00:00:00",26.95,27.5,26.95,27.1,4834750.0
"Oct 07, 2013 00:00:00",27.1,27.1,27.0,27.0,718760.0
"Oct 08, 2013 00:00:00",27.0,27.0,27.0,27.0,64648800.0
"Oct 09, 2013 00:00:00",27.0,27.0,27.0,27.0,1633500.0
"Oct 11, 2013 00:00:00",30.05,39.5,29.95,30.0,106804505.0
"Oct 14, 2013 00:00:00",31.8,33.9,30.3,33.45,58695430.0
"Oct 16, 2013 00:00:00",33.5,33.5,32.2,32.85,18547775.0
"Oct 17, 2013 00:00:00",32.85,33.0,32.25,32.5,7677305.0
"Oct 18, 2013 00:00:00",32.95,33.4,32.5,32.85,55645315.0
"Oct 21, 2013 00:00:00",33.0,33.0,32.65,32.65,6245870.0
"Oct 22, 2013 00:00:00",32.65,32.8,31.0,31.5,2715565.0
"Oct 23, 2013 00:00:00",31.5,32.0,31.5,31.9,3139230.0
"Oct 24, 2013 00:00:00",32.05,32.05,30.95,31.0,4272900.0
"Oct 25, 2013 00:00:00",31.5,31.5,30.4,30.4,1666660.0
"Oct 29, 2013 00:00:00",30.2,30.4,29.5,29.5,2918965.0
"Oct 30, 2013 00:00:00",29.5,29.7,29.0,29.4,8845370.0
"Oct 31, 2013 00:00:00",29.4,29.4,28.6,28.7,2936230.0
"Nov 04, 2013 00:00:00",28.7,28.8,28.05,28.4,4075560.0
"Nov 05, 2013 00:00:00",28.4,29.0,27.8,28.0,5920565.0
"Nov 06, 2013 00:00:00",28.0,28.0,27.05,27.35,14210560.0
"Nov 07, 2013 00:00:00",27.35,28.0,26.6,28.0,4068375.0
"Nov 08, 2013 00:00:00",26.7,27.05,26.7,26.95,9689565.0
"Nov 11, 2013 00:00:00",27.0,27.0,26.25,26.25,2384100.0
"Nov 12, 2013 00:00:00",26.25,27.0,26.25,27.0,2925740.0
"Nov 13, 2013 00:00:00",26.3,27.0,26.3,27.0,9463315.0
"Nov 14, 2013 00:00:00",26.5,27.0,26.5,27.0,2964755.0
"Nov 15, 2013 00:00:00",27.0,27.0,26.9,27.0,3209940.0
"Nov 18, 2013 00:00:00",27.5,27.5,26.9,27.0,1814535.0
"Nov 19, 2013 00:00:00",27.0,27.0,26.5,26.5,4370550.0
"Nov 20, 2013 00:00:00",26.5,26.9,25.9,26.2,2526980.0
"Nov 21, 2013 00:00:00",26.5,26.5,26.0,26.0,1037950.0
"Nov 22, 2013 00:00:00",26.0,26.0,25.7,26.0,1045060.0
"Nov 25, 2013 00:00:00",26.0,27.0,25.8,27.0,2180285.0
"Nov 26, 2013 00:00:00",26.0,26.0,25.5,26.0,3581385.0
"Nov 27, 2013 00:00:00",25.9,27.0,25.9,27.0,6087960.0
"Nov 28, 2013 00:00:00",26.0,27.0,25.9,27.0,2457710.0
"Nov 29, 2013 00:00:00",26.0,26.0,25.8,25.8,5080895.0
"Dec 02, 2013 00:00:00",25.85,25.85,25.5,25.5,6973745.0
"Dec 03, 2013 00:00:00",25.45,25.5,25.05,25.5,4120105.0
"Dec 04, 2013 00:00:00",25.3,25.3,25.05,25.05,250705.0
"Dec 05, 2013 00:00:00",25.05,25.05,24.65,24.65,1493910.0
"Dec 06, 2013 00:00:00",24.65,24.65,24.35,24.35,1066930.0
