chart_date,open,high,low,close,value
"Aug 03, 2009 00:00:00",0.028,0.028,0.027,0.028,4975800.0
"Aug 04, 2009 00:00:00",0.028,0.029,0.027,0.029,8865200.0
"Aug 06, 2009 00:00:00",0.028,0.029,0.028,0.029,2091300.0
"Aug 07, 2009 00:00:00",0.028,0.029,0.028,0.029,5111100.0
"Aug 10, 2009 00:00:00",0.029,0.03,0.028,0.03,4880300.0
"Aug 11, 2009 00:00:00",0.03,0.031,0.03,0.031,7176500.0
"Aug 12, 2009 00:00:00",0.032,0.039,0.032,0.038,27355200.0
"Aug 13, 2009 00:00:00",0.039,0.04,0.037,0.038,15529500.0
"Aug 14, 2009 00:00:00",0.038,0.041,0.038,0.04,34115500.0
"Aug 17, 2009 00:00:00",0.039,0.04,0.038,0.039,11488800.0
"Aug 18, 2009 00:00:00",0.038,0.038,0.036,0.038,30205600.0
"Aug 19, 2009 00:00:00",0.038,0.039,0.038,0.039,16478600.0
"Aug 20, 2009 00:00:00",0.038,0.039,0.038,0.039,10054000.0
"Aug 24, 2009 00:00:00",0.039,0.04,0.039,0.04,15900700.0
"Aug 25, 2009 00:00:00",0.039,0.04,0.039,0.04,8625300.0
"Aug 26, 2009 00:00:00",0.039,0.04,0.039,0.04,6644100.0
"Sep 03, 2009 00:00:00",0.039,0.04,0.039,0.04,5418900.0
"Sep 04, 2009 00:00:00",0.04,0.041,0.039,0.041,13581300.0
"Sep 16, 2009 00:00:00",0.043,0.043,0.041,0.042,17479800.0
"Sep 17, 2009 00:00:00",0.042,0.043,0.042,0.043,26628300.0
"Sep 18, 2009 00:00:00",0.042,0.042,0.04,0.041,8486600.0
"Sep 22, 2009 00:00:00",0.041,0.041,0.039,0.04,10000900.0
"Sep 23, 2009 00:00:00",0.04,0.04,0.038,0.039,12269200.0
"Sep 30, 2009 00:00:00",0.036,0.039,0.036,0.039,33331700.0
"Oct 01, 2009 00:00:00",0.039,0.039,0.038,0.039,8598000.0
"Oct 02, 2009 00:00:00",0.037,0.039,0.037,0.039,11010600.0
"Oct 05, 2009 00:00:00",0.039,0.039,0.038,0.039,1636900.0
"Oct 06, 2009 00:00:00",0.039,0.039,0.038,0.038,2498000.0
"Oct 07, 2009 00:00:00",0.038,0.038,0.037,0.038,4044300.0
"Oct 08, 2009 00:00:00",0.037,0.038,0.037,0.038,276100.0
"Oct 09, 2009 00:00:00",0.038,0.039,0.037,0.039,7573700.0
"Oct 12, 2009 00:00:00",0.039,0.039,0.038,0.039,4140400.0
"Oct 13, 2009 00:00:00",0.038,0.038,0.037,0.038,287400.0
"Oct 14, 2009 00:00:00",0.037,0.038,0.037,0.038,320700.0
"Oct 15, 2009 00:00:00",0.038,0.038,0.037,0.038,759700.0
"Oct 16, 2009 00:00:00",0.038,0.038,0.036,0.037,862000.0
"Oct 19, 2009 00:00:00",0.037,0.037,0.036,0.037,1234600.0
"Oct 20, 2009 00:00:00",0.037,0.038,0.036,0.038,652500.0
"Oct 21, 2009 00:00:00",0.037,0.038,0.037,0.038,1255800.0
"Oct 22, 2009 00:00:00",0.037,0.038,0.037,0.038,1111100.0
"Oct 23, 2009 00:00:00",0.037,0.038,0.037,0.038,227900.0
"Oct 26, 2009 00:00:00",0.037,0.038,0.037,0.038,2186800.0
"Oct 27, 2009 00:00:00",0.037,0.038,0.037,0.038,794900.0
"Oct 28, 2009 00:00:00",0.038,0.038,0.037,0.038,506200.0
"Oct 29, 2009 00:00:00",0.038,0.038,0.037,0.038,905200.0
"Oct 30, 2009 00:00:00",0.037,0.038,0.037,0.038,511500.0
"Nov 03, 2009 00:00:00",0.038,0.038,0.036,0.038,3073700.0
"Nov 04, 2009 00:00:00",0.038,0.038,0.037,0.038,1745800.0
"Nov 05, 2009 00:00:00",0.038,0.042,0.038,0.04,57557800.0
"Nov 06, 2009 00:00:00",0.04,0.045,0.04,0.045,82872400.0
"Nov 09, 2009 00:00:00",0.045,0.05,0.045,0.05,121288700.0
"Nov 10, 2009 00:00:00",0.0525,0.0525,0.049,0.05,114870500.0
"Nov 11, 2009 00:00:00",0.05,0.0625,0.05,0.0625,157429500.0
"Dec 15, 2009 00:00:00",0.0675,0.0675,0.065,0.0675,34186250.0
"Dec 16, 2009 00:00:00",0.0675,0.0675,0.0625,0.0625,29035000.0
"Dec 17, 2009 00:00:00",0.0625,0.0675,0.0625,0.065,22204000.0
"Dec 18, 2009 00:00:00",0.065,0.065,0.0625,0.0625,7050250.0
"Dec 21, 2009 00:00:00",0.0625,0.065,0.0625,0.0625,4487750.0
"Dec 22, 2009 00:00:00",0.0625,0.065,0.06,0.0625,7546250.0
"Dec 23, 2009 00:00:00",0.065,0.07,0.065,0.065,31802000.0
"Dec 29, 2009 00:00:00",0.065,0.065,0.0625,0.065,11828250.0
"Jan 04, 2010 00:00:00",0.065,0.065,0.0625,0.0625,6144750.0
"Jan 05, 2010 00:00:00",0.0625,0.065,0.0625,0.065,5035250.0
"Jan 06, 2010 00:00:00",0.0625,0.0625,0.0625,0.0625,5925000.0
"Jan 07, 2010 00:00:00",0.0625,0.0675,0.0625,0.0675,24308500.0
"Jan 08, 2010 00:00:00",0.0675,0.0675,0.0625,0.065,7933250.0
"Jan 11, 2010 00:00:00",0.065,0.065,0.0625,0.065,860250.0
"Jan 12, 2010 00:00:00",0.065,0.065,0.0625,0.065,6192250.0
"Jan 13, 2010 00:00:00",0.065,0.065,0.06,0.06,13845000.0
"Jan 14, 2010 00:00:00",0.0625,0.065,0.0625,0.0625,7945000.0
"Jan 15, 2010 00:00:00",0.0625,0.0625,0.06,0.0625,2492500.0
"Jan 18, 2010 00:00:00",0.0625,0.0625,0.06,0.06,577000.0
"Jan 19, 2010 00:00:00",0.0625,0.0625,0.06,0.0625,977500.0
"Jan 20, 2010 00:00:00",0.0625,0.065,0.06,0.0625,17376500.0
"Jan 21, 2010 00:00:00",0.06,0.0625,0.06,0.0625,2767750.0
"Jan 22, 2010 00:00:00",0.0625,0.0625,0.06,0.0625,3327500.0
"Jan 25, 2010 00:00:00",0.06,0.0625,0.0575,0.06,3995500.0
"Jan 26, 2010 00:00:00",0.06,0.06,0.0575,0.06,2773000.0
"Jan 27, 2010 00:00:00",0.06,0.06,0.0525,0.0575,23489000.0
"Jan 28, 2010 00:00:00",0.0525,0.06,0.0525,0.055,16580750.0
"Jan 29, 2010 00:00:00",0.055,0.0575,0.055,0.0575,6622750.0
"Feb 01, 2010 00:00:00",0.055,0.0575,0.055,0.055,2344250.0
"Feb 02, 2010 00:00:00",0.055,0.055,0.0525,0.0525,6778000.0
"Feb 03, 2010 00:00:00",0.05,0.0525,0.05,0.05,7909000.0
"Feb 04, 2010 00:00:00",0.05,0.0525,0.046,0.05,9404200.0
"Feb 05, 2010 00:00:00",0.049,0.049,0.046,0.049,6063300.0
"Feb 08, 2010 00:00:00",0.048,0.05,0.048,0.049,6263800.0
"Feb 09, 2010 00:00:00",0.048,0.048,0.045,0.047,4620800.0
"Feb 10, 2010 00:00:00",0.047,0.049,0.047,0.049,7367600.0
"Feb 11, 2010 00:00:00",0.049,0.0525,0.049,0.0525,19301000.0
"Mar 08, 2010 00:00:00",0.0525,0.0525,0.05,0.0525,11570750.0
"Mar 12, 2010 00:00:00",0.05,0.0525,0.05,0.0525,7664250.0
"Mar 15, 2010 00:00:00",0.05,0.05,0.05,0.05,1335000.0
"Mar 16, 2010 00:00:00",0.05,0.05,0.049,0.049,1782500.0
"Mar 17, 2010 00:00:00",0.055,0.0575,0.0525,0.0525,41585250.0
"Mar 31, 2010 00:00:00",0.0525,0.0525,0.0525,0.0525,1816500.0
"Apr 20, 2010 00:00:00",0.0525,0.0525,0.05,0.0525,2761000.0
"Apr 21, 2010 00:00:00",0.0525,0.0525,0.05,0.0525,1316500.0
"Apr 22, 2010 00:00:00",0.0525,0.0525,0.05,0.0525,1867750.0
"Apr 23, 2010 00:00:00",0.0525,0.0525,0.05,0.0525,1799000.0
"Apr 29, 2010 00:00:00",0.055,0.055,0.0525,0.055,1941500.0
"Apr 30, 2010 00:00:00",0.0525,0.055,0.0525,0.055,339500.0
"May 04, 2010 00:00:00",0.055,0.055,0.0525,0.055,1349750.0
"May 05, 2010 00:00:00",0.0525,0.0525,0.05,0.0525,10551750.0
"May 13, 2010 00:00:00",0.0525,0.0525,0.0525,0.0525,1491000.0
"May 14, 2010 00:00:00",0.05,0.0525,0.05,0.0525,725500.0
"May 17, 2010 00:00:00",0.05,0.0525,0.05,0.0525,1379750.0
"May 18, 2010 00:00:00",0.0525,0.0525,0.05,0.0525,10762500.0
"May 19, 2010 00:00:00",0.05,0.0525,0.05,0.0525,184367250.0
"May 20, 2010 00:00:00",0.05,0.0525,0.05,0.0525,470750.0
"May 21, 2010 00:00:00",0.05,0.0525,0.049,0.0525,6615800.0
"May 24, 2010 00:00:00",0.05,0.0525,0.049,0.05,5102800.0
"May 25, 2010 00:00:00",0.05,0.05,0.048,0.049,1674500.0
"May 26, 2010 00:00:00",0.05,0.05,0.049,0.05,4322500.0
"May 27, 2010 00:00:00",0.05,0.05,0.05,0.05,1720000.0
"May 28, 2010 00:00:00",0.0525,0.0525,0.05,0.0525,2657500.0
"May 31, 2010 00:00:00",0.0525,0.0525,0.05,0.0525,1546000.0
"Jun 01, 2010 00:00:00",0.0525,0.0525,0.049,0.05,1529350.0
"Jun 02, 2010 00:00:00",0.05,0.0525,0.049,0.05,1165150.0
"Jun 03, 2010 00:00:00",0.05,0.0525,0.05,0.05,631000.0
"Jun 04, 2010 00:00:00",0.05,0.05,0.049,0.05,1447400.0
"Jun 07, 2010 00:00:00",0.05,0.05,0.049,0.05,226700.0
"Jun 08, 2010 00:00:00",0.049,0.05,0.049,0.05,3121900.0
"Jun 09, 2010 00:00:00",0.05,0.05,0.049,0.05,4494000.0
"Jun 10, 2010 00:00:00",0.05,0.05,0.049,0.05,456000.0
"Jun 11, 2010 00:00:00",0.05,0.05,0.049,0.05,870600.0
"Jun 15, 2010 00:00:00",0.05,0.05,0.049,0.05,34700.0
"Jun 16, 2010 00:00:00",0.049,0.049,0.048,0.049,3301800.0
