chart_date,open,high,low,close,value
"Aug 03, 2009 00:00:00",4.0,4.5,4.0,4.2,484000.0
"Aug 04, 2009 00:00:00",4.4,4.6,4.25,4.35,694950.0
"Aug 06, 2009 00:00:00",4.35,4.35,4.25,4.25,112650.0
"Aug 07, 2009 00:00:00",4.25,4.5,4.25,4.25,471350.0
"Aug 10, 2009 00:00:00",4.25,4.35,4.2,4.35,409100.0
"Aug 11, 2009 00:00:00",4.3,4.3,4.3,4.3,301000.0
"Aug 12, 2009 00:00:00",4.25,4.25,4.0,4.05,379400.0
"Aug 14, 2009 00:00:00",4.1,4.1,4.05,4.05,251200.0
"Aug 17, 2009 00:00:00",4.05,4.1,3.9,3.9,356750.0
"Aug 18, 2009 00:00:00",3.9,3.9,3.5,3.8,345500.0
"Aug 19, 2009 00:00:00",3.8,3.95,3.6,3.95,270950.0
"Aug 20, 2009 00:00:00",3.8,3.85,3.8,3.8,95500.0
"Aug 25, 2009 00:00:00",3.9,4.0,3.9,3.95,345450.0
"Aug 26, 2009 00:00:00",3.95,4.15,3.95,3.95,221800.0
"Sep 03, 2009 00:00:00",4.0,4.45,4.0,4.45,1193800.0
"Sep 04, 2009 00:00:00",4.5,4.65,4.5,4.5,582050.0
"Sep 16, 2009 00:00:00",4.1,4.1,4.1,4.1,20500.0
"Sep 17, 2009 00:00:00",4.15,4.15,4.15,4.15,41500.0
"Sep 18, 2009 00:00:00",4.1,4.4,4.1,4.4,110550.0
"Sep 30, 2009 00:00:00",3.7,3.8,3.65,3.8,30050.0
"Oct 02, 2009 00:00:00",3.55,3.7,3.55,3.7,105800.0
"Oct 06, 2009 00:00:00",3.7,3.8,3.7,3.8,75000.0
"Oct 08, 2009 00:00:00",3.9,3.9,3.9,3.9,58500.0
"Oct 12, 2009 00:00:00",3.85,3.85,3.85,3.85,26950.0
"Oct 13, 2009 00:00:00",3.85,3.85,3.85,3.85,3850.0
"Oct 14, 2009 00:00:00",3.85,3.85,3.85,3.85,26950.0
"Oct 16, 2009 00:00:00",4.45,4.45,4.1,4.1,84950.0
"Oct 19, 2009 00:00:00",4.0,4.0,4.0,4.0,12000.0
"Oct 20, 2009 00:00:00",4.1,4.1,4.1,4.1,110700.0
"Oct 21, 2009 00:00:00",4.05,4.05,4.0,4.0,28150.0
"Oct 23, 2009 00:00:00",4.0,4.0,4.0,4.0,12000.0
