chart_date,open,high,low,close,value
"Apr 07, 2017 00:00:00",10.0,10.0,10.0,10.0,112000.0
"Apr 20, 2017 00:00:00",10.0,10.9,10.0,10.9,107227.0
"Apr 24, 2017 00:00:00",10.6,10.6,10.6,10.6,15900.0
"Apr 25, 2017 00:00:00",10.8,10.8,10.8,10.8,20520.0
"Apr 26, 2017 00:00:00",10.0,10.0,10.0,10.0,150000.0
"May 08, 2017 00:00:00",10.7,10.7,10.7,10.7,10700.0
"May 09, 2017 00:00:00",10.7,10.7,10.7,10.7,18725.0
"May 10, 2017 00:00:00",10.7,10.78,10.5,10.5,52554.0
"May 12, 2017 00:00:00",10.6,10.6,10.6,10.6,15900.0
"May 15, 2017 00:00:00",10.5,10.66,10.5,10.66,144228.0
"May 16, 2017 00:00:00",10.5,10.5,10.4,10.4,4170.0
"May 17, 2017 00:00:00",10.5,10.5,10.5,10.5,58485.0
"May 18, 2017 00:00:00",10.5,10.5,10.5,10.5,19950.0
"May 19, 2017 00:00:00",10.5,10.5,10.5,10.5,199395.0
"May 23, 2017 00:00:00",10.5,10.5,10.5,10.5,215250.0
"May 26, 2017 00:00:00",10.4,10.4,10.0,10.0,100413.2
"Jun 01, 2017 00:00:00",10.02,10.02,10.0,10.0,20031.0
"Jun 05, 2017 00:00:00",10.5,10.5,10.5,10.5,29295.0
"Jun 09, 2017 00:00:00",10.1,10.24,10.1,10.24,8136.0
"Jun 13, 2017 00:00:00",10.16,10.16,10.16,10.16,39116.0
"Jun 14, 2017 00:00:00",10.16,10.5,10.16,10.5,99608.0
"Jun 16, 2017 00:00:00",10.48,10.48,10.48,10.48,87508.0
"Jun 19, 2017 00:00:00",10.5,10.5,10.48,10.48,133660.0
"Jun 21, 2017 00:00:00",10.48,10.48,10.48,10.48,10480.0
"Jun 22, 2017 00:00:00",10.48,10.48,10.48,10.48,25885.6
"Jun 23, 2017 00:00:00",10.48,10.5,10.48,10.5,159319.4
"Jun 27, 2017 00:00:00",10.5,10.5,10.5,10.5,2100.0
"Jun 29, 2017 00:00:00",10.48,10.48,10.48,10.48,25571.2
"Jul 03, 2017 00:00:00",10.48,10.5,10.48,10.5,20148.8
"Jul 04, 2017 00:00:00",10.66,10.66,10.66,10.66,101270.0
"Jul 07, 2017 00:00:00",10.5,10.5,10.5,10.5,26250.0
"Jul 10, 2017 00:00:00",10.5,10.5,10.5,10.5,157500.0
"Jul 11, 2017 00:00:00",10.66,10.66,10.66,10.66,1066.0
"Jul 17, 2017 00:00:00",10.5,10.5,10.5,10.5,110985.0
"Jul 18, 2017 00:00:00",10.52,10.52,10.5,10.5,105004.0
"Jul 20, 2017 00:00:00",10.5,10.5,10.5,10.5,4200.0
"Jul 25, 2017 00:00:00",10.5,10.5,10.5,10.5,4200.0
"Jul 27, 2017 00:00:00",10.5,10.5,10.5,10.5,146790.0
"Aug 01, 2017 00:00:00",10.5,10.5,10.5,10.5,52500.0
"Aug 02, 2017 00:00:00",10.5,10.5,10.5,10.5,49350.0
"Aug 03, 2017 00:00:00",10.5,10.5,10.5,10.5,160860.0
"Aug 04, 2017 00:00:00",10.5,10.5,10.5,10.5,157500.0
"Aug 08, 2017 00:00:00",10.5,10.5,10.5,10.5,31500.0
"Aug 11, 2017 00:00:00",10.6,10.6,10.6,10.6,42400.0
"Aug 14, 2017 00:00:00",10.5,10.5,10.5,10.5,70350.0
"Aug 17, 2017 00:00:00",10.58,10.58,10.58,10.58,28566.0
"Aug 25, 2017 00:00:00",10.58,10.58,10.58,10.58,19784.6
"Aug 31, 2017 00:00:00",10.58,10.6,10.58,10.6,19919.4
"Sep 04, 2017 00:00:00",10.5,10.5,10.5,10.5,11025.0
"Sep 06, 2017 00:00:00",10.54,10.54,10.5,10.5,105188.0
"Sep 11, 2017 00:00:00",10.52,10.52,10.5,10.5,139129.0
"Sep 13, 2017 00:00:00",10.66,10.8,10.66,10.8,110504.0
"Sep 14, 2017 00:00:00",10.8,10.8,10.8,10.8,21924.0
"Sep 15, 2017 00:00:00",10.8,10.8,10.8,10.8,20736.0
"Sep 18, 2017 00:00:00",10.5,10.5,10.5,10.5,50400.0
"Sep 19, 2017 00:00:00",10.7,11.0,10.7,11.0,353040.0
"Sep 22, 2017 00:00:00",10.9,10.9,10.9,10.9,16350.0
"Sep 25, 2017 00:00:00",10.9,10.9,10.9,10.9,6540.0
"Sep 26, 2017 00:00:00",10.9,10.9,10.9,10.9,4360.0
"Sep 27, 2017 00:00:00",11.0,11.0,11.0,11.0,33000.0
"Sep 28, 2017 00:00:00",11.0,11.0,11.0,11.0,20900.0
"Sep 29, 2017 00:00:00",11.0,11.0,11.0,11.0,5500.0
"Oct 03, 2017 00:00:00",11.0,11.0,11.0,11.0,11000.0
"Oct 04, 2017 00:00:00",11.1,11.1,11.1,11.1,22200.0
"Oct 05, 2017 00:00:00",10.9,10.9,10.9,10.9,9810.0
"Oct 09, 2017 00:00:00",10.7,10.7,10.7,10.7,139100.0
"Oct 11, 2017 00:00:00",10.9,10.9,10.9,10.9,19947.0
"Oct 17, 2017 00:00:00",10.76,10.9,10.76,10.9,236646.0
"Oct 18, 2017 00:00:00",10.76,10.76,10.76,10.76,77472.0
"Oct 19, 2017 00:00:00",10.54,10.54,10.54,10.54,73780.0
"Oct 20, 2017 00:00:00",10.5,10.5,10.5,10.5,46725.0
"Oct 24, 2017 00:00:00",10.5,10.5,10.5,10.5,81690.0
"Oct 25, 2017 00:00:00",10.44,10.44,10.44,10.44,67860.0
"Nov 08, 2017 00:00:00",10.42,10.42,10.42,10.42,52100.0
"Nov 10, 2017 00:00:00",10.4,10.4,10.3,10.3,32230.0
"Nov 14, 2017 00:00:00",10.2,10.2,10.0,10.0,29080.0
"Nov 15, 2017 00:00:00",10.0,10.0,10.0,10.0,10000.0
"Nov 16, 2017 00:00:00",10.2,10.5,10.2,10.5,356594.0
"Nov 17, 2017 00:00:00",10.0,10.0,10.0,10.0,8000.0
"Nov 22, 2017 00:00:00",10.2,10.2,10.2,10.2,51000.0
"Nov 27, 2017 00:00:00",10.0,10.0,10.0,10.0,35000.0
"Dec 04, 2017 00:00:00",10.0,10.0,10.0,10.0,20000.0
"Dec 05, 2017 00:00:00",10.06,10.06,10.0,10.0,40060.0
