chart_date,open,high,low,close,value
"Sep 03, 2009 00:00:00",5.0,5.0,4.5,4.5,428500.0
"Sep 04, 2009 00:00:00",4.55,4.55,4.35,4.35,179050.0
"Sep 16, 2009 00:00:00",4.0,4.0,4.0,4.0,36000.0
"Oct 09, 2009 00:00:00",3.75,4.35,3.75,3.95,249700.0
"Oct 12, 2009 00:00:00",3.95,3.95,3.95,3.95,35550.0
"Oct 13, 2009 00:00:00",3.95,4.0,3.95,3.95,55700.0
"Oct 16, 2009 00:00:00",3.95,3.95,3.95,3.95,47400.0
"Oct 28, 2009 00:00:00",3.0,3.0,3.0,3.0,3000.0
"Nov 06, 2009 00:00:00",3.75,3.75,3.75,3.75,15000.0
"Dec 22, 2009 00:00:00",3.8,3.8,3.8,3.8,26600.0
"Jan 12, 2010 00:00:00",3.05,3.05,3.05,3.05,88450.0
"Feb 08, 2010 00:00:00",4.0,4.0,4.0,4.0,44000.0
"Mar 12, 2010 00:00:00",4.05,4.05,4.05,4.05,4050.0
"Mar 15, 2010 00:00:00",4.05,4.05,4.05,4.05,20250.0
"Mar 16, 2010 00:00:00",4.15,4.15,4.1,4.1,37150.0
"Apr 30, 2010 00:00:00",4.4,4.4,4.0,4.0,42800.0
"May 04, 2010 00:00:00",4.0,4.0,4.0,4.0,24000.0
"May 14, 2010 00:00:00",4.1,4.1,4.1,4.1,16400.0
"Jun 01, 2010 00:00:00",4.25,4.3,4.25,4.3,30000.0
"Jun 25, 2010 00:00:00",4.15,4.15,4.15,4.15,41500.0
"Jun 28, 2010 00:00:00",4.15,4.15,4.15,4.15,45650.0
"Jul 02, 2010 00:00:00",4.15,4.15,4.15,4.15,41500.0
"Jul 21, 2010 00:00:00",4.15,4.15,4.15,4.15,20750.0
"Jul 22, 2010 00:00:00",4.0,4.0,4.0,4.0,28000.0
"Sep 22, 2010 00:00:00",4.42,4.42,4.42,4.42,221000.0
"Sep 27, 2010 00:00:00",4.4,4.4,4.4,4.4,22000.0
"Oct 01, 2010 00:00:00",4.4,4.4,4.4,4.4,8800.0
"Oct 05, 2010 00:00:00",3.98,3.98,3.98,3.98,27860.0
