chart_date,open,high,low,close,value
"Dec 12, 2012 00:00:00",4.38,4.51,4.34,4.36,302139650.0
"Dec 13, 2012 00:00:00",4.34,4.45,4.32,4.44,123384870.0
"Dec 14, 2012 00:00:00",4.44,4.55,4.41,4.47,125578630.0
"Dec 17, 2012 00:00:00",4.5,4.5,4.41,4.42,37910000.0
"Dec 18, 2012 00:00:00",4.45,4.5,4.38,4.43,54612610.0
"Dec 19, 2012 00:00:00",4.42,4.44,4.4,4.4,16867790.0
"Dec 20, 2012 00:00:00",4.4,4.45,4.39,4.4,14370180.0
"Dec 21, 2012 00:00:00",4.4,4.45,4.39,4.4,19457820.0
"Dec 26, 2012 00:00:00",4.4,4.44,4.38,4.41,11485150.0
"Dec 27, 2012 00:00:00",4.4,4.41,4.39,4.41,11530900.0
"Dec 28, 2012 00:00:00",4.41,4.42,4.36,4.4,36847480.0
"Jan 02, 2013 00:00:00",4.37,4.4,4.37,4.37,14835210.0
"Jan 03, 2013 00:00:00",4.38,4.44,4.37,4.38,26132060.0
"Jan 04, 2013 00:00:00",4.38,4.4,4.36,4.36,15057810.0
"Jan 07, 2013 00:00:00",4.38,4.45,4.38,4.42,61644090.0
"Jan 08, 2013 00:00:00",4.42,4.46,4.41,4.44,20243730.0
"Jan 09, 2013 00:00:00",4.41,4.47,4.41,4.45,41611130.0
"Jan 10, 2013 00:00:00",4.48,4.7,4.48,4.61,160285120.0
"Jan 11, 2013 00:00:00",4.64,4.99,4.61,4.98,185475320.0
"Jan 14, 2013 00:00:00",4.99,5.15,4.85,5.01,155327590.0
"Jan 15, 2013 00:00:00",5.01,5.15,4.88,4.98,144438044.0
"Jan 16, 2013 00:00:00",5.0,5.05,4.88,4.98,74905820.0
"Jan 17, 2013 00:00:00",4.99,5.34,4.99,5.31,148329780.0
"Jan 18, 2013 00:00:00",5.32,5.4,5.25,5.37,163943313.0
"Jan 21, 2013 00:00:00",5.39,5.45,5.3,5.4,41670570.0
"Jan 22, 2013 00:00:00",5.4,5.43,5.25,5.34,74129992.0
"Jan 23, 2013 00:00:00",5.34,5.4,5.24,5.31,28011782.0
"Jan 24, 2013 00:00:00",5.29,5.54,5.28,5.48,97534384.0
"Jan 25, 2013 00:00:00",5.49,5.8,5.49,5.8,157519790.0
"Jan 28, 2013 00:00:00",5.84,5.9,5.71,5.83,90728379.0
"Jan 29, 2013 00:00:00",5.85,5.9,5.84,5.86,90640959.0
"Jan 30, 2013 00:00:00",5.85,5.9,5.74,5.79,96998976.0
"Jan 31, 2013 00:00:00",5.8,5.83,5.72,5.8,56602177.0
