chart_date,open,high,low,close,value
"Aug 13, 2013 00:00:00",2.2,2.24,2.12,2.2,12263990.0
"Aug 14, 2013 00:00:00",2.2,2.28,2.17,2.26,5538140.0
"Aug 15, 2013 00:00:00",2.18,2.47,2.18,2.4,6467580.0
"Aug 16, 2013 00:00:00",2.4,2.65,2.4,2.55,7710830.0
"Aug 22, 2013 00:00:00",2.55,2.56,2.3,2.55,4085940.0
"Aug 23, 2013 00:00:00",2.6,2.75,2.5,2.6,1268810.0
"Aug 27, 2013 00:00:00",2.6,2.6,2.42,2.42,10055870.0
"Aug 28, 2013 00:00:00",2.33,2.42,2.25,2.42,3543320.0
"Aug 29, 2013 00:00:00",2.45,2.45,2.35,2.35,766460.0
"Aug 30, 2013 00:00:00",2.36,2.36,2.26,2.32,999560.0
"Sep 02, 2013 00:00:00",2.27,2.33,2.27,2.32,212700.0
"Sep 03, 2013 00:00:00",2.32,2.54,2.32,2.47,2141010.0
"Sep 04, 2013 00:00:00",2.55,2.55,2.31,2.55,3716760.0
"Sep 05, 2013 00:00:00",2.59,2.59,2.51,2.55,102050.0
"Sep 06, 2013 00:00:00",2.5,2.65,2.5,2.55,809510.0
"Sep 09, 2013 00:00:00",2.62,2.67,2.6,2.6,73410.0
"Sep 10, 2013 00:00:00",2.51,2.58,2.41,2.43,450730.0
"Sep 11, 2013 00:00:00",2.42,2.5,2.42,2.47,50950.0
"Sep 12, 2013 00:00:00",2.45,2.47,2.38,2.39,137090.0
"Sep 13, 2013 00:00:00",2.38,2.6,2.31,2.6,3048620.0
"Sep 16, 2013 00:00:00",2.57,2.86,2.5,2.81,2807310.0
"Sep 17, 2013 00:00:00",2.8,2.93,2.79,2.85,2234940.0
"Sep 18, 2013 00:00:00",2.8,2.85,2.75,2.75,683300.0
"Sep 19, 2013 00:00:00",2.8,2.88,2.78,2.8,409540.0
"Sep 20, 2013 00:00:00",2.67,3.47,2.67,3.2,10737380.0
"Sep 23, 2013 00:00:00",3.2,3.29,3.15,3.15,2154280.0
"Sep 24, 2013 00:00:00",3.25,3.25,3.07,3.07,1170980.0
"Sep 25, 2013 00:00:00",3.07,3.16,3.03,3.05,264010.0
"Sep 26, 2013 00:00:00",3.15,3.33,3.12,3.3,3032620.0
"Sep 27, 2013 00:00:00",3.34,3.57,3.34,3.48,3700450.0
"Sep 30, 2013 00:00:00",3.49,3.57,3.26,3.39,1770220.0
"Oct 01, 2013 00:00:00",3.32,3.41,3.32,3.39,623760.0
"Oct 02, 2013 00:00:00",3.53,3.53,3.37,3.4,695060.0
"Oct 03, 2013 00:00:00",3.43,3.57,3.43,3.49,1501120.0
"Oct 04, 2013 00:00:00",3.51,3.73,3.51,3.57,2656820.0
"Oct 07, 2013 00:00:00",3.6,3.7,3.57,3.69,549670.0
"Oct 08, 2013 00:00:00",3.74,3.74,3.62,3.62,547640.0
"Oct 09, 2013 00:00:00",3.7,3.7,3.58,3.58,1416790.0
"Oct 10, 2013 00:00:00",3.6,3.63,3.5,3.52,1225470.0
"Oct 11, 2013 00:00:00",3.58,3.7,3.39,3.45,2260170.0
"Oct 14, 2013 00:00:00",3.45,3.54,3.34,3.54,515610.0
"Oct 16, 2013 00:00:00",3.42,3.58,3.42,3.55,294590.0
"Oct 17, 2013 00:00:00",3.57,3.6,3.52,3.52,969720.0
"Oct 18, 2013 00:00:00",3.42,3.55,3.42,3.5,704040.0
"Oct 21, 2013 00:00:00",3.55,3.55,3.5,3.5,197360.0
"Oct 22, 2013 00:00:00",3.55,3.55,3.45,3.45,459200.0
"Oct 23, 2013 00:00:00",3.45,3.45,3.34,3.45,289930.0
"Oct 24, 2013 00:00:00",3.36,3.4,3.3,3.3,720920.0
"Oct 25, 2013 00:00:00",3.3,3.3,3.1,3.27,422810.0
"Oct 29, 2013 00:00:00",3.25,3.3,3.15,3.19,216700.0
"Oct 30, 2013 00:00:00",3.13,3.13,3.0,3.02,406290.0
"Oct 31, 2013 00:00:00",3.01,3.01,2.73,2.82,1048150.0
"Nov 04, 2013 00:00:00",2.77,2.77,2.67,2.67,357360.0
"Nov 05, 2013 00:00:00",2.6,2.95,2.6,2.94,260320.0
"Nov 06, 2013 00:00:00",2.9,2.9,2.75,2.75,174090.0
"Nov 07, 2013 00:00:00",2.75,2.75,2.67,2.7,444110.0
"Nov 08, 2013 00:00:00",2.75,2.94,2.75,2.93,1182900.0
"Nov 11, 2013 00:00:00",2.9,2.91,2.81,2.9,1065060.0
"Nov 12, 2013 00:00:00",2.9,3.05,2.86,3.0,546370.0
"Nov 13, 2013 00:00:00",3.01,3.12,3.01,3.08,295560.0
"Nov 14, 2013 00:00:00",3.08,3.4,3.08,3.38,1815540.0
"Nov 15, 2013 00:00:00",3.41,3.5,3.38,3.5,5616460.0
"Nov 18, 2013 00:00:00",3.52,3.57,3.46,3.46,934220.0
"Nov 19, 2013 00:00:00",3.36,3.4,3.26,3.39,577080.0
"Nov 20, 2013 00:00:00",3.35,3.37,3.0,3.0,463600.0
"Nov 21, 2013 00:00:00",3.1,3.4,3.1,3.34,283340.0
"Nov 22, 2013 00:00:00",3.45,3.46,3.25,3.45,979070.0
"Nov 25, 2013 00:00:00",3.63,3.63,3.39,3.39,308750.0
"Nov 26, 2013 00:00:00",3.06,3.38,3.0,3.28,206200.0
"Nov 27, 2013 00:00:00",3.04,3.24,3.04,3.1,216800.0
"Nov 28, 2013 00:00:00",3.1,3.1,3.0,3.07,231420.0
"Nov 29, 2013 00:00:00",3.24,3.25,3.24,3.25,19480.0
"Dec 02, 2013 00:00:00",3.03,3.03,3.0,3.03,204780.0
"Dec 03, 2013 00:00:00",3.17,3.17,3.1,3.1,145770.0
"Dec 04, 2013 00:00:00",3.08,3.1,3.08,3.1,49480.0
"Dec 05, 2013 00:00:00",3.0,3.01,3.0,3.01,90100.0
"Dec 06, 2013 00:00:00",3.1,3.1,3.0,3.0,150200.0
"Dec 09, 2013 00:00:00",3.09,3.09,3.09,3.09,6180.0
"Dec 10, 2013 00:00:00",2.96,3.09,2.96,3.0,108480.0
"Dec 11, 2013 00:00:00",3.08,3.08,3.0,3.0,69240.0
"Dec 12, 2013 00:00:00",2.98,3.0,2.85,2.85,159680.0
"Dec 13, 2013 00:00:00",2.8,2.93,2.65,2.93,77500.0
"Dec 16, 2013 00:00:00",2.93,2.99,2.93,2.99,26540.0
