chart_date,open,high,low,close,value
"Sep 03, 2009 00:00:00",1.08,1.08,1.08,1.08,70200.0
"Sep 30, 2009 00:00:00",1.04,1.04,1.02,1.02,20420.0
"Oct 08, 2009 00:00:00",1.02,1.02,1.02,1.02,20400.0
"Oct 12, 2009 00:00:00",1.02,1.02,1.02,1.02,30600.0
"Oct 13, 2009 00:00:00",1.02,1.02,1.0,1.0,210200.0
"Oct 16, 2009 00:00:00",1.0,1.0,1.0,1.0,100000.0
"Oct 19, 2009 00:00:00",1.0,1.0,1.0,1.0,10000.0
"Oct 20, 2009 00:00:00",1.0,1.0,1.0,1.0,100000.0
"Oct 21, 2009 00:00:00",1.0,1.0,1.0,1.0,10000.0
"Oct 26, 2009 00:00:00",1.0,1.1,1.0,1.1,52000.0
"Oct 27, 2009 00:00:00",1.0,1.0,1.0,1.0,130000.0
"Oct 28, 2009 00:00:00",1.0,1.0,1.0,1.0,110000.0
"Nov 06, 2009 00:00:00",1.0,1.0,1.0,1.0,100000.0
"Nov 09, 2009 00:00:00",1.0,1.0,1.0,1.0,50000.0
"Nov 10, 2009 00:00:00",1.0,1.0,1.0,1.0,20000.0
"Nov 11, 2009 00:00:00",1.0,1.0,0.98,0.98,78600.0
"Dec 29, 2009 00:00:00",1.02,1.1,1.0,1.08,115400.0
"Jan 07, 2010 00:00:00",1.3,1.3,1.26,1.26,29180.0
"Jan 13, 2010 00:00:00",1.0,1.0,1.0,1.0,45000.0
"Jan 15, 2010 00:00:00",1.02,1.02,1.02,1.02,10200.0
"Jan 19, 2010 00:00:00",1.02,1.02,1.02,1.02,11220.0
"Mar 16, 2010 00:00:00",1.0,1.0,1.0,1.0,50000.0
"Mar 17, 2010 00:00:00",1.0,1.0,1.0,1.0,80000.0
"Jul 23, 2010 00:00:00",1.0,1.0,1.0,1.0,100000.0
"Sep 23, 2010 00:00:00",1.0,1.0,1.0,1.0,1000.0
"Sep 27, 2010 00:00:00",1.1,1.1,1.1,1.1,319000.0
"Oct 01, 2010 00:00:00",1.0,1.0,1.0,1.0,40000.0
"Oct 07, 2010 00:00:00",1.0,1.0,1.0,1.0,10000.0
"Oct 14, 2010 00:00:00",0.94,1.0,0.93,1.0,227360.0
"Oct 19, 2010 00:00:00",1.0,1.0,1.0,1.0,20000.0
"Oct 20, 2010 00:00:00",1.0,1.0,1.0,1.0,5000.0
"Oct 27, 2010 00:00:00",1.0,1.0,1.0,1.0,137000.0
"Nov 08, 2010 00:00:00",1.0,1.0,1.0,1.0,200000.0
"Nov 09, 2010 00:00:00",1.0,1.0,1.0,1.0,44000.0
"Nov 15, 2010 00:00:00",1.0,1.0,1.0,1.0,100000.0
"Nov 17, 2010 00:00:00",1.0,1.0,1.0,1.0,171000.0
"Dec 22, 2010 00:00:00",1.25,1.25,1.25,1.25,18750.0
"Dec 23, 2010 00:00:00",1.25,1.25,1.25,1.25,25000.0
"Dec 29, 2010 00:00:00",1.25,1.25,1.05,1.05,34450.0
"Dec 29, 2010 00:00:00",1.25,1.25,1.05,1.05,34450.0
