chart_date,open,high,low,close,value
"Aug 03, 2009 00:00:00",0.87,0.89,0.87,0.87,5972300.0
"Aug 04, 2009 00:00:00",0.88,0.9,0.88,0.9,8081900.0
"Aug 06, 2009 00:00:00",0.88,0.89,0.87,0.89,990500.0
"Aug 07, 2009 00:00:00",0.88,0.88,0.86,0.88,1977000.0
"Aug 10, 2009 00:00:00",0.87,0.89,0.87,0.89,1757900.0
"Aug 11, 2009 00:00:00",0.9,0.9,0.87,0.88,5518000.0
"Aug 12, 2009 00:00:00",0.87,0.88,0.87,0.88,2727400.0
"Aug 13, 2009 00:00:00",0.88,0.98,0.88,0.98,50545300.0
"Aug 14, 2009 00:00:00",1.0,1.06,0.98,1.06,66115600.0
"Aug 17, 2009 00:00:00",1.02,1.02,0.93,0.97,28919930.0
"Aug 18, 2009 00:00:00",0.92,0.99,0.91,0.98,14202700.0
"Aug 19, 2009 00:00:00",1.0,1.14,1.0,1.1,61215000.0
"Aug 20, 2009 00:00:00",1.14,1.14,1.0,1.0,38057660.0
"Aug 24, 2009 00:00:00",1.06,1.1,1.06,1.08,22093200.0
"Aug 25, 2009 00:00:00",1.04,1.08,1.02,1.06,5081000.0
"Aug 26, 2009 00:00:00",1.06,1.12,1.06,1.08,21158300.0
"Sep 03, 2009 00:00:00",1.14,1.14,1.12,1.14,9275480.0
"Sep 04, 2009 00:00:00",1.14,1.18,1.12,1.14,10897380.0
"Sep 16, 2009 00:00:00",1.06,1.08,1.04,1.08,3157540.0
"Sep 17, 2009 00:00:00",1.08,1.1,1.08,1.08,3017220.0
"Sep 18, 2009 00:00:00",1.1,1.12,1.06,1.12,3117420.0
"Sep 22, 2009 00:00:00",1.1,1.1,1.08,1.1,422600.0
"Sep 23, 2009 00:00:00",1.1,1.12,1.08,1.12,2507300.0
"Oct 01, 2009 00:00:00",1.04,1.06,1.04,1.06,554360.0
"Oct 02, 2009 00:00:00",1.04,1.04,1.02,1.04,1760080.0
"Oct 05, 2009 00:00:00",1.04,1.04,1.02,1.04,1149980.0
"Oct 06, 2009 00:00:00",1.04,1.12,1.04,1.1,4829560.0
"Oct 07, 2009 00:00:00",1.12,1.14,1.1,1.12,10293480.0
"Oct 08, 2009 00:00:00",1.12,1.12,1.1,1.12,6304760.0
"Oct 09, 2009 00:00:00",1.14,1.14,1.1,1.12,5258900.0
"Oct 12, 2009 00:00:00",1.12,1.12,1.08,1.08,1124600.0
"Oct 13, 2009 00:00:00",1.06,1.1,1.06,1.1,1541220.0
"Oct 14, 2009 00:00:00",1.06,1.1,1.06,1.1,1008600.0
"Oct 15, 2009 00:00:00",1.1,1.16,1.08,1.14,12517680.0
"Oct 16, 2009 00:00:00",1.14,1.16,1.1,1.12,3482680.0
"Oct 19, 2009 00:00:00",1.1,1.14,1.1,1.14,1386060.0
"Oct 20, 2009 00:00:00",1.16,1.16,1.1,1.12,2893240.0
"Oct 21, 2009 00:00:00",1.12,1.12,1.08,1.1,368300.0
"Oct 22, 2009 00:00:00",1.08,1.1,1.04,1.1,5402560.0
"Oct 23, 2009 00:00:00",1.08,1.1,1.06,1.1,288900.0
"Oct 26, 2009 00:00:00",1.04,1.04,0.84,0.98,38558100.0
"Oct 27, 2009 00:00:00",0.96,0.96,0.91,0.93,11692200.0
"Oct 28, 2009 00:00:00",0.9,0.93,0.89,0.9,5275200.0
"Oct 29, 2009 00:00:00",0.9,0.91,0.89,0.91,2916600.0
"Oct 30, 2009 00:00:00",0.91,0.93,0.91,0.92,961100.0
"Nov 03, 2009 00:00:00",0.95,0.95,0.87,0.89,1993100.0
"Nov 04, 2009 00:00:00",0.89,0.89,0.84,0.87,2332000.0
"Nov 05, 2009 00:00:00",0.87,0.87,0.85,0.85,2050500.0
"Nov 06, 2009 00:00:00",0.87,0.88,0.86,0.88,1702700.0
"Nov 09, 2009 00:00:00",0.87,0.88,0.86,0.87,1620000.0
"Nov 10, 2009 00:00:00",0.88,0.9,0.87,0.9,2517500.0
"Nov 11, 2009 00:00:00",0.9,0.91,0.9,0.9,3960300.0
"Dec 15, 2009 00:00:00",0.78,0.79,0.78,0.79,110200.0
"Dec 16, 2009 00:00:00",0.77,0.77,0.76,0.76,1004200.0
"Dec 17, 2009 00:00:00",0.76,0.8,0.74,0.8,3170400.0
"Dec 18, 2009 00:00:00",0.8,0.85,0.8,0.83,1416700.0
"Dec 21, 2009 00:00:00",0.82,0.82,0.8,0.82,1170400.0
"Dec 22, 2009 00:00:00",0.82,0.82,0.81,0.81,980500.0
"Dec 23, 2009 00:00:00",0.82,0.82,0.82,0.82,1672800.0
"Dec 29, 2009 00:00:00",0.83,0.86,0.83,0.86,3153400.0
"Jan 04, 2010 00:00:00",0.85,0.86,0.85,0.86,93900.0
"Jan 05, 2010 00:00:00",0.85,0.87,0.85,0.87,496500.0
"Jan 06, 2010 00:00:00",0.83,0.91,0.83,0.88,2046600.0
"Jan 07, 2010 00:00:00",0.87,0.9,0.87,0.9,4310200.0
"Jan 08, 2010 00:00:00",0.9,0.91,0.89,0.91,2224500.0
"Jan 11, 2010 00:00:00",0.88,0.93,0.88,0.93,5254100.0
"Jan 12, 2010 00:00:00",0.88,0.9,0.84,0.9,5731300.0
"Jan 13, 2010 00:00:00",0.87,0.9,0.86,0.9,227000.0
"Jan 14, 2010 00:00:00",0.87,0.91,0.87,0.91,551900.0
"Jan 15, 2010 00:00:00",0.89,0.89,0.89,0.89,106800.0
"Jan 18, 2010 00:00:00",0.88,0.89,0.88,0.89,256100.0
"Jan 19, 2010 00:00:00",0.87,0.89,0.87,0.89,358200.0
"Jan 20, 2010 00:00:00",0.89,0.89,0.89,0.89,26700.0
"Jan 22, 2010 00:00:00",0.86,0.88,0.86,0.88,1044200.0
"Jan 25, 2010 00:00:00",0.83,0.89,0.83,0.89,971300.0
"Jan 26, 2010 00:00:00",0.85,0.87,0.85,0.87,613200.0
"Jan 27, 2010 00:00:00",0.83,0.87,0.83,0.87,734500.0
"Jan 28, 2010 00:00:00",0.85,0.85,0.84,0.85,2879200.0
"Jan 29, 2010 00:00:00",0.84,0.87,0.84,0.86,1869100.0
"Feb 01, 2010 00:00:00",0.83,0.84,0.81,0.84,1655900.0
"Feb 02, 2010 00:00:00",0.84,0.84,0.84,0.84,67200.0
"Feb 03, 2010 00:00:00",0.8,0.85,0.8,0.85,1592000.0
"Feb 04, 2010 00:00:00",0.82,0.86,0.82,0.86,711800.0
"Feb 05, 2010 00:00:00",0.81,0.83,0.8,0.83,2466900.0
"Feb 08, 2010 00:00:00",0.8,0.83,0.8,0.83,301900.0
"Feb 09, 2010 00:00:00",0.79,0.8,0.78,0.8,1246800.0
"Feb 10, 2010 00:00:00",0.76,0.82,0.76,0.82,289300.0
"Feb 11, 2010 00:00:00",0.8,0.83,0.8,0.83,456200.0
"Mar 08, 2010 00:00:00",0.77,0.77,0.77,0.77,138600.0
"Mar 12, 2010 00:00:00",0.76,0.76,0.76,0.76,106400.0
"Mar 15, 2010 00:00:00",0.76,0.76,0.75,0.75,572600.0
"Mar 16, 2010 00:00:00",0.75,0.76,0.74,0.75,1087500.0
"Mar 17, 2010 00:00:00",0.75,0.75,0.75,0.75,1612500.0
"Mar 31, 2010 00:00:00",0.75,0.77,0.75,0.77,274400.0
"Apr 20, 2010 00:00:00",0.88,0.89,0.86,0.87,2845400.0
"Apr 21, 2010 00:00:00",0.86,0.9,0.86,0.9,978900.0
"Apr 22, 2010 00:00:00",0.91,0.93,0.88,0.91,3675800.0
"Apr 23, 2010 00:00:00",0.92,0.95,0.92,0.94,9776100.0
"Apr 29, 2010 00:00:00",0.92,0.94,0.92,0.94,2579400.0
"Apr 30, 2010 00:00:00",0.92,0.93,0.92,0.93,1196100.0
"May 04, 2010 00:00:00",0.92,0.93,0.91,0.93,558100.0
"May 05, 2010 00:00:00",0.93,0.93,0.89,0.92,709300.0
"May 13, 2010 00:00:00",0.96,0.97,0.96,0.96,4101100.0
"May 14, 2010 00:00:00",0.96,0.96,0.95,0.96,1660600.0
"May 17, 2010 00:00:00",0.96,0.96,0.96,0.96,288000.0
