chart_date,open,high,low,close,value
"Aug 03, 2009 00:00:00",1.52,1.54,1.5,1.52,10231060.0
"Aug 04, 2009 00:00:00",1.54,1.56,1.5,1.52,13503520.0
"Aug 06, 2009 00:00:00",1.52,1.52,1.5,1.5,2454200.0
"Aug 07, 2009 00:00:00",1.5,1.52,1.5,1.5,6693000.0
"Aug 10, 2009 00:00:00",1.5,1.52,1.5,1.5,7428100.0
"Aug 11, 2009 00:00:00",1.52,1.52,1.5,1.5,11743560.0
"Aug 12, 2009 00:00:00",1.5,1.54,1.5,1.52,6006400.0
"Aug 13, 2009 00:00:00",1.54,1.64,1.54,1.58,14121700.0
"Aug 14, 2009 00:00:00",1.62,1.64,1.58,1.58,8168340.0
"Aug 17, 2009 00:00:00",1.58,1.58,1.54,1.54,5362640.0
"Aug 18, 2009 00:00:00",1.52,1.54,1.48,1.52,5709400.0
"Aug 19, 2009 00:00:00",1.54,1.58,1.52,1.54,6001880.0
"Aug 20, 2009 00:00:00",1.56,1.56,1.52,1.52,1846940.0
"Aug 24, 2009 00:00:00",1.58,1.58,1.52,1.56,7151780.0
"Aug 25, 2009 00:00:00",1.56,1.56,1.52,1.56,3239200.0
"Aug 26, 2009 00:00:00",1.56,1.66,1.56,1.64,32353380.0
"Sep 03, 2009 00:00:00",1.86,2.0,1.86,1.96,47129960.0
"Sep 04, 2009 00:00:00",1.96,1.98,1.9,1.92,31109520.0
"Sep 16, 2009 00:00:00",2.04,2.1,1.98,2.0,33145580.0
"Sep 17, 2009 00:00:00",2.1,2.14,2.06,2.08,58586900.0
"Sep 18, 2009 00:00:00",2.1,2.1,2.06,2.08,11641580.0
"Sep 22, 2009 00:00:00",2.08,2.1,2.0,2.02,12285320.0
"Sep 23, 2009 00:00:00",2.0,2.06,1.98,2.02,40264760.0
"Sep 30, 2009 00:00:00",1.9,1.94,1.84,1.86,29570560.0
"Oct 01, 2009 00:00:00",1.88,1.88,1.8,1.84,17693560.0
"Oct 02, 2009 00:00:00",1.78,1.82,1.76,1.82,7001340.0
"Oct 05, 2009 00:00:00",1.82,1.82,1.78,1.8,12491980.0
"Oct 06, 2009 00:00:00",1.8,1.94,1.8,1.94,35161980.0
"Oct 07, 2009 00:00:00",1.98,2.06,1.96,1.96,30090440.0
"Oct 08, 2009 00:00:00",1.98,2.0,1.94,1.94,4763580.0
"Oct 09, 2009 00:00:00",1.98,2.0,1.92,1.94,13350120.0
