chart_date,open,high,low,close,value
"Aug 03, 2009 00:00:00",0.38,0.39,0.35,0.37,4158100.0
"Aug 04, 2009 00:00:00",0.38,0.38,0.37,0.37,1047400.0
"Aug 06, 2009 00:00:00",0.36,0.36,0.35,0.35,1287500.0
"Aug 07, 2009 00:00:00",0.34,0.35,0.34,0.34,1029400.0
"Aug 10, 2009 00:00:00",0.36,0.36,0.35,0.35,24700.0
"Aug 11, 2009 00:00:00",0.36,0.36,0.34,0.34,2289700.0
"Aug 12, 2009 00:00:00",0.32,0.34,0.32,0.33,855200.0
"Aug 13, 2009 00:00:00",0.34,0.34,0.32,0.32,1704900.0
"Aug 14, 2009 00:00:00",0.33,0.35,0.33,0.33,4131200.0
"Aug 17, 2009 00:00:00",0.33,0.33,0.31,0.31,2266800.0
"Aug 18, 2009 00:00:00",0.3,0.32,0.3,0.32,859000.0
"Aug 19, 2009 00:00:00",0.33,0.33,0.31,0.32,1167700.0
"Aug 20, 2009 00:00:00",0.33,0.33,0.31,0.32,2236300.0
"Aug 24, 2009 00:00:00",0.33,0.35,0.33,0.34,1223600.0
"Aug 25, 2009 00:00:00",0.35,0.35,0.33,0.33,1693200.0
"Aug 26, 2009 00:00:00",0.35,0.38,0.35,0.35,10791500.0
"Sep 03, 2009 00:00:00",0.34,0.35,0.34,0.34,2046800.0
"Sep 04, 2009 00:00:00",0.35,0.36,0.35,0.35,1616900.0
"Sep 16, 2009 00:00:00",0.35,0.35,0.34,0.34,1156200.0
"Sep 17, 2009 00:00:00",0.34,0.34,0.34,0.34,319600.0
"Sep 18, 2009 00:00:00",0.34,0.34,0.34,0.34,292400.0
"Sep 22, 2009 00:00:00",0.34,0.34,0.34,0.34,302600.0
"Sep 23, 2009 00:00:00",0.34,0.35,0.34,0.34,627200.0
"Sep 30, 2009 00:00:00",0.33,0.33,0.32,0.32,2291000.0
"Oct 01, 2009 00:00:00",0.32,0.32,0.32,0.32,384000.0
"Oct 02, 2009 00:00:00",0.31,0.32,0.31,0.32,748900.0
"Oct 05, 2009 00:00:00",0.31,0.31,0.31,0.31,3100.0
"Oct 06, 2009 00:00:00",0.32,0.33,0.32,0.33,209800.0
"Oct 07, 2009 00:00:00",0.33,0.34,0.33,0.33,1780400.0
"Oct 08, 2009 00:00:00",0.33,0.34,0.33,0.33,2195300.0
"Oct 09, 2009 00:00:00",0.34,0.35,0.34,0.34,5436900.0
"Oct 12, 2009 00:00:00",0.34,0.35,0.34,0.34,2733400.0
"Oct 13, 2009 00:00:00",0.33,0.33,0.33,0.33,135300.0
"Oct 14, 2009 00:00:00",0.34,0.34,0.34,0.34,1489200.0
"Oct 15, 2009 00:00:00",0.34,0.35,0.34,0.34,1047500.0
"Oct 16, 2009 00:00:00",0.35,0.36,0.34,0.34,594200.0
"Oct 19, 2009 00:00:00",0.34,0.34,0.34,0.34,27200.0
"Oct 20, 2009 00:00:00",0.34,0.34,0.34,0.34,394400.0
"Oct 21, 2009 00:00:00",0.34,0.34,0.34,0.34,1247800.0
"Oct 22, 2009 00:00:00",0.34,0.34,0.34,0.34,340000.0
"Oct 23, 2009 00:00:00",0.34,0.34,0.33,0.34,1279000.0
"Oct 26, 2009 00:00:00",0.32,0.34,0.32,0.34,574700.0
"Oct 27, 2009 00:00:00",0.33,0.33,0.33,0.33,290400.0
"Oct 28, 2009 00:00:00",0.33,0.33,0.33,0.33,108900.0
"Oct 29, 2009 00:00:00",0.33,0.33,0.33,0.33,33000.0
"Oct 30, 2009 00:00:00",0.33,0.33,0.32,0.33,1106700.0
"Nov 04, 2009 00:00:00",0.32,0.32,0.32,0.32,1136000.0
"Nov 05, 2009 00:00:00",0.32,0.33,0.32,0.32,305300.0
"Nov 06, 2009 00:00:00",0.33,0.33,0.33,0.33,287100.0
"Nov 10, 2009 00:00:00",0.34,0.34,0.34,0.34,153000.0
"Nov 11, 2009 00:00:00",0.33,0.34,0.33,0.34,182000.0
"Dec 15, 2009 00:00:00",0.32,0.33,0.32,0.32,19300.0
"Dec 16, 2009 00:00:00",0.31,0.31,0.31,0.31,809100.0
"Dec 17, 2009 00:00:00",0.31,0.31,0.31,0.31,430900.0
"Dec 18, 2009 00:00:00",0.31,0.31,0.31,0.31,40300.0
"Dec 21, 2009 00:00:00",0.31,0.31,0.29,0.3,128300.0
"Dec 22, 2009 00:00:00",0.3,0.3,0.3,0.3,387000.0
"Jan 05, 2010 00:00:00",0.32,0.32,0.3,0.32,405400.0
"Jan 06, 2010 00:00:00",0.32,0.32,0.31,0.31,283000.0
"Jan 07, 2010 00:00:00",0.32,0.34,0.32,0.34,234400.0
"Jan 08, 2010 00:00:00",0.34,0.34,0.32,0.34,924200.0
"Jan 11, 2010 00:00:00",0.33,0.34,0.33,0.34,87000.0
"Jan 12, 2010 00:00:00",0.33,0.33,0.33,0.33,99000.0
