chart_date,open,high,low,close,value
"Sep 28, 2011 00:00:00",30.0,30.0,30.0,30.0,51000.0
"Oct 24, 2011 00:00:00",33.0,33.0,33.0,33.0,33000.0
"Jan 05, 2012 00:00:00",48.0,48.0,48.0,48.0,4800.0
"Jan 06, 2012 00:00:00",70.0,70.0,31.0,48.0,30500.0
"Jan 09, 2012 00:00:00",26.0,35.4,26.0,35.4,9680.0
"Jan 12, 2012 00:00:00",30.0,30.0,30.0,30.0,6000.0
"Mar 22, 2012 00:00:00",44.85,45.0,44.85,45.0,17975.0
"Apr 13, 2012 00:00:00",26.8,26.8,26.8,26.8,5360.0
"May 31, 2012 00:00:00",33.0,33.0,33.0,33.0,33000.0
"Jun 05, 2012 00:00:00",33.0,33.0,33.0,33.0,13018500.0
"Jul 09, 2012 00:00:00",40.0,40.0,40.0,40.0,12000.0
"Aug 01, 2012 00:00:00",43.0,44.0,43.0,44.0,43500.0
"Aug 10, 2012 00:00:00",45.0,45.0,45.0,45.0,135000.0
"Oct 04, 2012 00:00:00",45.0,45.0,45.0,45.0,45000.0
"Apr 14, 2014 00:00:00",45.0,45.0,45.0,45.0,13500.0
"May 14, 2014 00:00:00",45.0,45.0,45.0,45.0,4500.0
"May 15, 2014 00:00:00",45.0,45.0,45.0,45.0,9000.0
"May 19, 2014 00:00:00",40.0,40.0,40.0,40.0,4000.0
"Jun 19, 2014 00:00:00",40.0,40.0,38.0,38.0,11600.0
"Jun 24, 2014 00:00:00",47.0,47.0,47.0,47.0,9400.0
"Jun 26, 2014 00:00:00",49.5,70.5,49.5,50.0,184285.0
"Jun 27, 2014 00:00:00",70.0,70.0,49.0,49.1,114524.0
"Jul 17, 2014 00:00:00",51.95,51.95,51.95,51.95,5195.0
"Jul 21, 2014 00:00:00",42.0,46.5,41.0,46.5,38767.0
"Oct 13, 2014 00:00:00",35.5,35.5,35.5,35.5,7100.0
"Oct 14, 2014 00:00:00",35.5,35.5,35.5,35.5,28400.0
"Oct 23, 2014 00:00:00",30.0,30.0,30.0,30.0,6000.0
"Dec 11, 2014 00:00:00",25.0,25.0,25.0,25.0,5000.0
"Jan 07, 2015 00:00:00",20.2,24.0,20.2,24.0,22845.0
"Jan 08, 2015 00:00:00",24.0,24.0,24.0,24.0,7200.0
"Jan 14, 2015 00:00:00",24.0,24.0,24.0,24.0,19200.0
"Jan 19, 2015 00:00:00",24.0,24.0,24.0,24.0,7200.0
"Jan 23, 2015 00:00:00",24.0,24.0,24.0,24.0,2400.0
"Jan 27, 2015 00:00:00",24.05,24.05,24.05,24.05,2405.0
"Mar 05, 2015 00:00:00",24.2,24.2,24.2,24.2,9680.0
"Mar 16, 2015 00:00:00",29.95,29.95,29.95,29.95,2995.0
"May 04, 2015 00:00:00",30.0,44.9,30.0,44.9,762180.0
"May 05, 2015 00:00:00",50.0,59.0,38.0,45.9,997430.0
"May 06, 2015 00:00:00",46.9,46.9,32.0,39.0,760930.0
"May 07, 2015 00:00:00",40.5,44.0,28.0,32.0,521360.0
"May 08, 2015 00:00:00",23.5,30.4,23.5,30.4,56470.0
"May 11, 2015 00:00:00",30.4,30.4,22.0,22.0,34950.0
"May 12, 2015 00:00:00",22.0,25.5,22.0,24.0,81140.0
"May 13, 2015 00:00:00",27.0,29.9,27.0,28.5,19980.0
"May 14, 2015 00:00:00",28.0,28.0,26.0,28.0,31600.0
"May 15, 2015 00:00:00",27.0,27.0,25.0,27.0,28500.0
"May 19, 2015 00:00:00",27.5,27.5,27.5,27.5,11000.0
"May 20, 2015 00:00:00",39.0,39.0,27.5,27.5,69450.0
"May 21, 2015 00:00:00",27.0,27.0,23.0,25.0,9815.0
"May 22, 2015 00:00:00",25.0,26.0,25.0,26.0,5100.0
"May 29, 2015 00:00:00",24.05,24.05,24.05,24.05,4810.0
"Jun 05, 2015 00:00:00",24.05,24.05,22.2,23.0,99850.0
"Jun 08, 2015 00:00:00",22.25,22.25,21.0,21.2,116855.0
"Jun 09, 2015 00:00:00",21.0,23.0,21.0,21.0,133780.0
"Jun 10, 2015 00:00:00",21.0,21.0,21.0,21.0,10500.0
"Jun 22, 2015 00:00:00",21.0,28.0,21.0,21.95,79105.0
"Jun 23, 2015 00:00:00",19.0,20.0,17.02,17.02,109118.0
"Jun 29, 2015 00:00:00",17.04,17.04,17.02,17.02,35752.0
"Jul 24, 2015 00:00:00",17.04,17.04,17.04,17.04,1704.0
"Aug 17, 2015 00:00:00",17.04,17.04,17.04,17.04,3408.0
"Aug 20, 2015 00:00:00",17.2,17.2,17.2,17.2,1720.0
"Aug 28, 2015 00:00:00",17.1,17.1,17.1,17.1,6840.000000000001
"Sep 01, 2015 00:00:00",17.2,17.2,17.2,17.2,15480.0
"Sep 10, 2015 00:00:00",19.8,19.8,19.8,19.8,3960.0
"Oct 05, 2015 00:00:00",16.9,16.9,16.9,16.9,25350.0
"Oct 16, 2015 00:00:00",21.0,21.0,21.0,21.0,2100.0
"Oct 20, 2015 00:00:00",21.5,21.5,21.5,21.5,4300.0
"Nov 02, 2015 00:00:00",21.5,21.5,21.5,21.5,2150.0
"Nov 26, 2015 00:00:00",21.5,21.5,21.5,21.5,3788300.0
"Dec 07, 2015 00:00:00",21.5,21.5,21.5,21.5,2900350.0
"Dec 09, 2015 00:00:00",21.45,21.45,21.45,21.45,2809950.0
"Dec 23, 2015 00:00:00",21.0,21.0,17.8,17.8,1364250.0
"Dec 29, 2015 00:00:00",17.8,17.8,17.8,17.8,923820.0
"Jan 07, 2016 00:00:00",17.8,17.8,17.8,17.8,3560.0
"Jan 08, 2016 00:00:00",21.45,21.45,21.45,21.45,8580.0
"Jan 11, 2016 00:00:00",21.0,21.0,21.0,21.0,663600.0
"Jan 25, 2016 00:00:00",21.0,21.0,21.0,21.0,3507000.0
"Feb 03, 2016 00:00:00",17.58,17.58,17.58,17.58,1757.9999999999998
"Feb 04, 2016 00:00:00",17.58,17.58,17.58,17.58,3515.9999999999995
"Feb 05, 2016 00:00:00",17.56,17.56,17.56,17.56,1074672.0
"Mar 01, 2016 00:00:00",21.4,21.4,21.25,21.25,14905.0
"Mar 02, 2016 00:00:00",21.35,21.35,21.35,21.35,8540.0
"Mar 08, 2016 00:00:00",18.26,18.26,18.26,18.26,5478.0
"Mar 09, 2016 00:00:00",18.26,18.26,18.26,18.26,1826.0
"Mar 15, 2016 00:00:00",18.14,18.14,18.14,18.14,9070.0
"Mar 18, 2016 00:00:00",18.14,18.14,18.14,18.14,3628.0
"Mar 23, 2016 00:00:00",20.75,20.8,20.75,20.8,985900.0
"Mar 28, 2016 00:00:00",22.5,23.5,22.5,23.5,6950.0
"Mar 29, 2016 00:00:00",28.95,35.25,28.95,35.25,252455.0
"Mar 30, 2016 00:00:00",38.0,52.0,21.0,28.45,1350230.0
"Mar 31, 2016 00:00:00",28.45,28.45,26.5,26.5,63875.0
"Apr 01, 2016 00:00:00",20.0,20.55,20.0,20.55,18230.0
"Apr 04, 2016 00:00:00",29.0,29.0,25.0,27.5,1591630.0
"Apr 05, 2016 00:00:00",27.5,27.5,25.0,25.0,12750.0
"Apr 06, 2016 00:00:00",24.05,24.05,24.05,24.05,12025.0
"Apr 07, 2016 00:00:00",27.25,27.25,24.0,24.0,114215.0
"Apr 12, 2016 00:00:00",26.8,29.0,26.8,29.0,158660.0
"Apr 13, 2016 00:00:00",28.0,28.0,28.0,28.0,19600.0
"Apr 15, 2016 00:00:00",24.05,24.05,24.05,24.05,9620.0
"Apr 18, 2016 00:00:00",24.35,24.35,24.05,24.05,101370.0
"Apr 20, 2016 00:00:00",24.05,24.05,24.05,24.05,16835.0
"Apr 22, 2016 00:00:00",24.05,24.05,24.05,24.05,7215.0
"Apr 26, 2016 00:00:00",24.05,24.05,24.05,24.05,2898025.0
"Apr 29, 2016 00:00:00",24.05,24.05,24.05,24.05,536315.0
"May 02, 2016 00:00:00",24.0,24.0,24.0,24.0,9600.0
"May 03, 2016 00:00:00",24.0,24.0,24.0,24.0,2400.0
"May 04, 2016 00:00:00",24.0,24.0,24.0,24.0,4800.0
"May 10, 2016 00:00:00",23.55,23.55,23.55,23.55,2355.0
"May 13, 2016 00:00:00",23.65,23.65,23.5,23.5,70720.0
"May 16, 2016 00:00:00",22.5,22.5,21.0,21.0,65250.0
"May 18, 2016 00:00:00",21.15,21.15,21.15,21.15,4230.0
"May 20, 2016 00:00:00",21.2,21.2,21.2,21.2,2120.0
"May 25, 2016 00:00:00",21.1,21.2,21.1,21.2,2211150.0
"May 26, 2016 00:00:00",21.2,21.2,21.2,21.2,3033720.0
"May 31, 2016 00:00:00",21.2,21.2,21.2,21.2,606320.0
"Jun 02, 2016 00:00:00",21.2,23.3,21.2,23.3,2961440.0
"Jun 03, 2016 00:00:00",24.0,24.0,24.0,24.0,2400.0
"Jun 06, 2016 00:00:00",21.05,21.05,21.05,21.05,6315.0
"Jun 07, 2016 00:00:00",21.6,21.6,21.6,21.6,6480.0
"Jun 08, 2016 00:00:00",21.6,21.6,21.6,21.6,1429920.0
"Jun 09, 2016 00:00:00",21.55,21.55,21.55,21.55,8620.0
"Jun 17, 2016 00:00:00",21.55,21.55,21.55,21.55,1803735.0
"Jun 20, 2016 00:00:00",23.9,27.0,23.0,26.0,82170.0
"Jun 23, 2016 00:00:00",21.15,21.25,21.15,21.25,19085.0
"Jun 28, 2016 00:00:00",21.25,21.25,21.25,21.25,153000.0
"Jun 30, 2016 00:00:00",21.25,21.25,21.25,21.25,1094375.0
"Jul 05, 2016 00:00:00",21.25,24.35,21.25,24.05,2133095.0
"Jul 11, 2016 00:00:00",21.1,21.1,21.0,21.0,8410.0
"Jul 12, 2016 00:00:00",21.1,22.0,21.1,21.1,1196550.0
"Jul 13, 2016 00:00:00",21.1,21.1,21.0,21.0,50500.0
"Jul 14, 2016 00:00:00",21.0,21.0,21.0,21.0,764400.0
"Jul 18, 2016 00:00:00",21.5,22.0,21.5,22.0,6550.0
"Jul 19, 2016 00:00:00",20.1,20.1,20.0,20.0,6010.0
"Jul 20, 2016 00:00:00",20.15,22.0,20.15,22.0,30430.0
"Jul 21, 2016 00:00:00",20.25,22.0,20.25,22.0,19450.0
"Jul 22, 2016 00:00:00",20.2,20.3,20.2,20.3,6070.0
"Jul 25, 2016 00:00:00",22.0,25.0,20.3,20.3,3111660.0
"Jul 26, 2016 00:00:00",20.45,21.95,20.4,20.4,1045290.0
"Jul 27, 2016 00:00:00",20.45,20.45,20.3,20.35,101740.0
"Jul 29, 2016 00:00:00",22.0,22.0,22.0,22.0,693000.0
"Aug 01, 2016 00:00:00",21.95,21.95,20.3,20.3,26770.0
"Aug 02, 2016 00:00:00",20.3,20.3,20.3,20.3,8120.0
"Aug 03, 2016 00:00:00",20.3,20.3,20.3,20.3,219240.0
"Aug 04, 2016 00:00:00",20.3,20.3,20.3,20.3,8120.0
"Aug 09, 2016 00:00:00",20.3,20.3,20.3,20.3,2030.0
"Aug 11, 2016 00:00:00",21.7,21.8,21.7,21.8,19580.0
"Aug 12, 2016 00:00:00",21.8,21.8,21.8,21.8,6540.0
"Aug 15, 2016 00:00:00",20.3,20.3,20.3,20.3,8120.0
"Aug 16, 2016 00:00:00",20.35,20.4,20.35,20.4,1011400.0
"Aug 19, 2016 00:00:00",20.4,20.4,20.4,20.4,18360.0
"Aug 24, 2016 00:00:00",20.4,20.4,20.4,20.4,6120.0
"Aug 26, 2016 00:00:00",20.4,20.4,20.4,20.4,497760.0
"Aug 31, 2016 00:00:00",20.45,20.45,20.4,20.4,30610.0
"Sep 05, 2016 00:00:00",20.4,20.4,20.4,20.4,259080.0
"Sep 05, 2016 00:00:00",20.4,20.4,20.4,20.4,259080.0
"Sep 07, 2016 00:00:00",20.4,20.4,20.4,20.4,20400.0
"Sep 08, 2016 00:00:00",20.4,20.4,20.4,20.4,344760.0
"Sep 09, 2016 00:00:00",20.35,20.35,20.3,20.3,101600.0
"Sep 14, 2016 00:00:00",20.3,20.3,20.3,20.3,2030.0
"Sep 16, 2016 00:00:00",20.3,20.3,20.3,20.3,1053570.0
"Sep 20, 2016 00:00:00",20.3,20.3,20.3,20.3,16240.0
"Sep 23, 2016 00:00:00",20.2,20.2,20.2,20.2,10100.0
"Sep 26, 2016 00:00:00",21.55,21.55,21.55,21.55,10775.0
"Sep 30, 2016 00:00:00",21.55,21.55,21.55,21.55,633570.0
"Oct 03, 2016 00:00:00",20.05,20.05,20.0,20.0,16005.0
"Oct 04, 2016 00:00:00",21.6,21.6,20.05,20.05,4165.0
"Oct 06, 2016 00:00:00",20.0,20.0,20.0,20.0,6000.0
"Oct 17, 2016 00:00:00",17.5,17.5,16.2,17.5,52814.0
"Oct 19, 2016 00:00:00",17.02,17.02,17.02,17.02,5106.0
