chart_date,open,high,low,close,value
"Aug 03, 2009 00:00:00",17.25,17.25,17.25,17.25,25875.0
"Aug 04, 2009 00:00:00",17.25,17.25,17.25,17.25,70725.0
"Aug 06, 2009 00:00:00",17.5,18.5,17.5,18.0,2682275.0
"Aug 07, 2009 00:00:00",18.25,18.75,18.0,18.75,14393400.0
"Aug 10, 2009 00:00:00",18.75,18.75,18.25,18.25,1937450.0
"Aug 11, 2009 00:00:00",18.25,18.25,18.25,18.25,1757475.0
"Aug 12, 2009 00:00:00",18.25,18.25,18.25,18.25,3432825.0
"Aug 13, 2009 00:00:00",18.25,18.25,18.25,18.25,4515050.0
"Aug 14, 2009 00:00:00",18.25,18.5,18.25,18.5,12509600.0
"Aug 17, 2009 00:00:00",18.5,18.5,18.25,18.25,3664725.0
"Aug 18, 2009 00:00:00",17.75,17.75,17.5,17.75,1687325.0
"Aug 19, 2009 00:00:00",18.0,18.0,18.0,18.0,126000.0
"Aug 20, 2009 00:00:00",18.0,18.0,18.0,18.0,160200.0
"Aug 24, 2009 00:00:00",18.25,18.25,18.0,18.0,1278075.0
"Aug 25, 2009 00:00:00",18.0,18.25,18.0,18.0,1005600.0
"Aug 26, 2009 00:00:00",18.0,18.0,17.75,17.75,2038375.0
"Sep 03, 2009 00:00:00",18.0,18.0,18.0,18.0,340200.0
"Sep 04, 2009 00:00:00",18.25,18.5,18.25,18.25,1775350.0
"Sep 16, 2009 00:00:00",18.5,18.5,18.5,18.5,51800.0
"Sep 17, 2009 00:00:00",18.75,19.25,18.75,19.0,4787925.0
"Sep 18, 2009 00:00:00",19.0,19.0,18.75,19.0,1455350.0
"Sep 22, 2009 00:00:00",19.0,19.0,18.75,18.75,470000.0
"Sep 23, 2009 00:00:00",18.75,19.0,18.75,18.75,1022950.0
"Sep 30, 2009 00:00:00",18.5,18.5,18.25,18.25,1226475.0
"Oct 01, 2009 00:00:00",18.25,18.5,18.25,18.25,500500.0
"Oct 02, 2009 00:00:00",18.25,18.25,18.25,18.25,452600.0
"Oct 05, 2009 00:00:00",18.5,19.0,18.5,19.0,543000.0
"Oct 06, 2009 00:00:00",19.0,19.25,18.5,18.5,157250.0
"Oct 07, 2009 00:00:00",19.0,19.0,18.5,19.0,109600.0
"Oct 08, 2009 00:00:00",18.75,18.75,18.75,18.75,131250.0
"Oct 09, 2009 00:00:00",18.75,18.75,18.5,18.75,137500.0
"Oct 12, 2009 00:00:00",19.0,19.0,18.75,19.0,5015400.0
"Oct 13, 2009 00:00:00",19.0,19.0,18.75,19.0,496550.0
"Oct 14, 2009 00:00:00",19.0,19.0,18.75,19.0,8536200.0
"Oct 15, 2009 00:00:00",19.0,19.0,19.0,19.0,703000.0
"Oct 16, 2009 00:00:00",19.0,19.0,19.0,19.0,1805000.0
"Oct 19, 2009 00:00:00",19.0,19.0,19.0,19.0,904400.0
"Oct 20, 2009 00:00:00",19.0,19.0,19.0,19.0,4997000.0
"Oct 21, 2009 00:00:00",19.0,20.25,19.0,20.0,7447025.0
"Oct 22, 2009 00:00:00",20.5,21.75,20.25,21.5,3368075.0
"Oct 23, 2009 00:00:00",22.0,23.75,22.0,23.0,7356550.0
"Oct 26, 2009 00:00:00",23.0,23.5,22.25,22.25,2159200.0
"Oct 27, 2009 00:00:00",22.0,22.5,21.5,22.25,3272625.0
"Oct 28, 2009 00:00:00",22.0,22.25,21.5,21.5,4543250.0
"Oct 29, 2009 00:00:00",21.75,21.75,21.5,21.5,472775.0
"Oct 30, 2009 00:00:00",21.5,22.5,21.5,22.5,1827625.0
"Nov 03, 2009 00:00:00",22.25,22.25,21.5,22.0,3232425.0
"Nov 04, 2009 00:00:00",22.5,23.25,22.5,22.75,1953175.0
"Nov 05, 2009 00:00:00",22.75,23.0,22.75,23.0,1720375.0
"Nov 06, 2009 00:00:00",22.75,22.75,22.5,22.5,1482825.0
"Nov 09, 2009 00:00:00",22.5,22.5,21.75,22.0,835700.0
"Nov 10, 2009 00:00:00",22.0,22.0,22.0,22.0,649000.0
"Nov 11, 2009 00:00:00",22.25,22.25,22.0,22.0,773425.0
"Dec 15, 2009 00:00:00",21.75,21.75,21.5,21.5,86500.0
"Dec 16, 2009 00:00:00",21.5,21.5,20.5,21.5,250150.0
"Dec 17, 2009 00:00:00",21.25,21.75,21.0,21.75,366800.0
"Dec 18, 2009 00:00:00",21.75,21.75,21.0,21.0,164850.0
"Dec 21, 2009 00:00:00",21.5,21.5,21.5,21.5,105350.0
"Dec 22, 2009 00:00:00",21.75,21.75,21.75,21.75,213150.0
"Dec 23, 2009 00:00:00",21.75,21.75,21.5,21.75,551150.0
"Dec 29, 2009 00:00:00",21.75,21.75,21.75,21.75,87000.0
"Jan 04, 2010 00:00:00",21.75,21.75,21.75,21.75,76125.0
"Jan 05, 2010 00:00:00",21.75,22.25,21.75,22.25,626125.0
"Jan 06, 2010 00:00:00",22.5,22.5,22.5,22.5,2250.0
"Jan 07, 2010 00:00:00",22.0,22.0,21.75,21.75,924025.0
"Jan 08, 2010 00:00:00",21.75,22.0,21.75,22.0,239500.0
"Jan 11, 2010 00:00:00",21.75,22.0,21.75,22.0,331150.0
"Jan 12, 2010 00:00:00",22.0,22.0,21.75,22.0,447100.0
"Jan 13, 2010 00:00:00",21.75,22.0,21.75,21.75,126250.0
"Jan 14, 2010 00:00:00",22.0,22.0,21.75,21.75,919175.0
