chart_date,open,high,low,close,value
"Oct 10, 2019 00:00:00",11.62,11.62,11.42,11.56,2844636664.0
"Oct 11, 2019 00:00:00",11.52,11.54,11.48,11.54,342197856.0
"Oct 14, 2019 00:00:00",11.56,11.72,11.54,11.56,199514336.0
"Oct 15, 2019 00:00:00",11.56,11.56,11.48,11.5,219309470.0
"Oct 16, 2019 00:00:00",11.5,11.56,11.46,11.56,182794484.0
"Oct 17, 2019 00:00:00",11.54,11.56,11.48,11.5,174547824.0
"Oct 18, 2019 00:00:00",11.5,11.58,11.48,11.58,149807328.0
"Oct 21, 2019 00:00:00",11.52,11.58,11.52,11.58,66100800.0
"Oct 22, 2019 00:00:00",11.54,11.58,11.52,11.56,77489928.0
"Oct 23, 2019 00:00:00",11.56,11.56,11.52,11.56,67191816.0
"Oct 24, 2019 00:00:00",11.54,11.58,11.5,11.5,190800734.0
"Oct 25, 2019 00:00:00",11.52,11.52,11.48,11.5,66750864.0
"Oct 28, 2019 00:00:00",11.5,11.52,11.46,11.5,177564444.0
"Oct 29, 2019 00:00:00",11.5,11.5,11.46,11.5,182609724.0
"Oct 30, 2019 00:00:00",11.5,11.5,11.48,11.5,147651446.0
"Oct 31, 2019 00:00:00",11.5,11.5,11.48,11.48,138170220.0
"Nov 04, 2019 00:00:00",11.5,11.5,11.46,11.48,128942086.0
"Nov 05, 2019 00:00:00",11.48,11.48,11.38,11.48,307986732.0
"Nov 06, 2019 00:00:00",11.48,11.48,11.4,11.42,131711078.0
"Nov 07, 2019 00:00:00",11.42,11.44,11.3,11.38,146116132.0
"Nov 08, 2019 00:00:00",11.4,11.42,11.3,11.38,109209732.0
"Nov 11, 2019 00:00:00",11.38,11.38,11.2,11.3,78193760.0
"Nov 12, 2019 00:00:00",11.34,11.36,11.2,11.36,104080100.0
"Nov 13, 2019 00:00:00",11.34,11.34,11.24,11.34,60678518.0
"Nov 14, 2019 00:00:00",11.3,11.38,11.3,11.38,60647986.0
"Nov 15, 2019 00:00:00",11.36,11.48,11.36,11.48,369336050.0
"Nov 18, 2019 00:00:00",11.48,11.54,11.46,11.52,102786484.0
"Nov 19, 2019 00:00:00",11.54,11.6,11.5,11.6,95345070.0
"Nov 20, 2019 00:00:00",11.6,11.82,11.6,11.66,185771970.0
"Nov 21, 2019 00:00:00",11.64,11.64,11.46,11.5,91069402.0
"Nov 22, 2019 00:00:00",11.5,11.56,11.48,11.56,67403528.0
"Nov 25, 2019 00:00:00",11.56,11.56,11.5,11.54,31551088.0
"Nov 26, 2019 00:00:00",11.56,11.56,11.46,11.5,32430288.0
"Nov 27, 2019 00:00:00",11.5,11.54,11.46,11.54,23726194.0
"Nov 28, 2019 00:00:00",11.5,11.52,11.44,11.52,17117754.0
"Nov 29, 2019 00:00:00",11.52,11.52,11.4,11.52,39712274.0
"Dec 02, 2019 00:00:00",11.5,11.5,11.4,11.48,36660078.0
"Dec 03, 2019 00:00:00",11.48,11.5,11.42,11.5,41422724.0
"Dec 04, 2019 00:00:00",11.5,11.5,11.46,11.5,63222392.0
"Dec 05, 2019 00:00:00",11.46,11.52,11.46,11.52,50091692.0
"Dec 06, 2019 00:00:00",11.52,11.52,11.48,11.52,29616704.0
"Dec 09, 2019 00:00:00",11.46,11.5,11.46,11.5,32902128.0
"Dec 10, 2019 00:00:00",11.5,11.5,11.44,11.5,31405822.0
"Dec 11, 2019 00:00:00",11.44,11.5,11.44,11.48,38667760.0
"Dec 12, 2019 00:00:00",11.46,11.5,11.44,11.5,26504066.0
"Dec 13, 2019 00:00:00",11.46,11.5,11.46,11.48,21747622.0
"Dec 16, 2019 00:00:00",11.46,11.48,11.42,11.48,28005244.0
"Dec 17, 2019 00:00:00",11.48,11.48,11.4,11.48,27383472.0
