chart_date,open,high,low,close,value
"Jan 21, 2010 00:00:00",9.3,9.3,9.3,9.3,65100.0
"Jan 22, 2010 00:00:00",13.75,13.75,13.75,13.75,27500.0
"Jan 25, 2010 00:00:00",20.5,20.5,20.5,20.5,1543650.0
"Jan 26, 2010 00:00:00",30.5,30.5,30.5,30.5,3095750.0
"Jan 27, 2010 00:00:00",45.5,45.5,45.5,45.5,4850300.0
"Jan 28, 2010 00:00:00",68.0,68.0,34.0,36.0,12729750.0
"Jan 29, 2010 00:00:00",36.0,37.0,30.0,36.0,2710650.0
"Feb 01, 2010 00:00:00",36.0,36.0,33.5,35.0,647550.0
"Feb 02, 2010 00:00:00",33.5,33.5,25.0,28.5,1242500.0
"Feb 03, 2010 00:00:00",25.0,25.0,20.0,20.5,1498350.0
"Feb 04, 2010 00:00:00",19.0,19.0,16.0,18.0,1669450.0
"Feb 05, 2010 00:00:00",15.25,27.0,15.0,22.0,6643250.0
"Feb 08, 2010 00:00:00",22.25,25.0,22.0,22.25,3856125.0
"Feb 09, 2010 00:00:00",22.0,22.0,20.5,20.5,211900.0
"Feb 10, 2010 00:00:00",21.0,21.25,18.0,18.0,3177100.0
"Feb 11, 2010 00:00:00",18.0,19.75,18.0,18.75,383400.0
"Mar 08, 2010 00:00:00",13.5,14.5,13.25,13.5,11964250.0
"Mar 12, 2010 00:00:00",12.25,12.5,12.25,12.5,2142075.0
"Mar 15, 2010 00:00:00",12.75,12.75,12.25,12.25,428150.0
"Mar 16, 2010 00:00:00",12.5,12.5,12.0,12.0,993400.0
"Mar 17, 2010 00:00:00",11.5,12.0,11.0,11.75,1585500.0
"Mar 31, 2010 00:00:00",11.0,11.0,11.0,11.0,760100.0
"Apr 20, 2010 00:00:00",14.25,14.5,14.25,14.25,4804900.0
"Apr 21, 2010 00:00:00",14.25,14.25,13.75,13.75,3309025.0
"Apr 22, 2010 00:00:00",14.0,14.5,14.0,14.5,11174725.0
"Apr 23, 2010 00:00:00",14.5,15.75,14.5,15.5,29167275.0
"Apr 29, 2010 00:00:00",14.5,15.0,14.25,14.5,10658425.0
"Apr 30, 2010 00:00:00",14.5,14.5,14.5,14.5,874350.0
"May 04, 2010 00:00:00",14.5,14.5,14.0,14.25,4821825.0
"May 05, 2010 00:00:00",14.0,14.0,13.5,13.75,6024250.0
"May 13, 2010 00:00:00",14.5,14.5,14.25,14.25,1948975.0
"May 14, 2010 00:00:00",14.5,14.5,14.25,14.25,1634675.0
"May 17, 2010 00:00:00",14.25,14.25,13.75,14.0,818000.0
"May 18, 2010 00:00:00",14.0,14.0,13.75,14.0,368150.0
"May 19, 2010 00:00:00",13.75,13.75,13.5,13.5,1299500.0
"May 20, 2010 00:00:00",13.75,13.75,13.75,13.75,45375.0
