chart_date,open,high,low,close,value
"Aug 03, 2009 00:00:00",1.34,1.34,1.32,1.32,146840.0
"Aug 04, 2009 00:00:00",1.4,1.4,1.32,1.36,91160.0
"Aug 06, 2009 00:00:00",1.36,1.36,1.36,1.36,4080.0
"Aug 07, 2009 00:00:00",1.3,1.36,1.28,1.36,168360.0
"Aug 10, 2009 00:00:00",1.28,1.28,1.28,1.28,64000.0
"Aug 11, 2009 00:00:00",1.28,1.3,1.28,1.3,75720.0
"Aug 12, 2009 00:00:00",1.38,1.38,1.28,1.3,462180.0
"Aug 14, 2009 00:00:00",1.26,1.26,1.26,1.26,63000.0
"Aug 17, 2009 00:00:00",1.26,1.26,1.26,1.26,3780.0
"Aug 18, 2009 00:00:00",1.26,1.36,1.26,1.34,2242680.0
"Aug 19, 2009 00:00:00",1.26,1.32,1.24,1.32,79060.0
"Aug 20, 2009 00:00:00",1.28,1.28,1.28,1.28,194560.0
"Aug 24, 2009 00:00:00",1.38,1.38,1.24,1.32,244480.0
"Aug 25, 2009 00:00:00",1.28,1.32,1.28,1.3,493240.0
"Aug 26, 2009 00:00:00",1.26,1.36,1.26,1.36,139960.0
"Sep 03, 2009 00:00:00",1.22,1.22,1.22,1.22,36600.0
"Sep 04, 2009 00:00:00",1.34,1.34,1.2,1.34,41560.0
"Sep 17, 2009 00:00:00",1.28,1.28,1.2,1.28,93060.0
"Sep 18, 2009 00:00:00",1.2,1.2,1.2,1.2,1200.0
"Sep 22, 2009 00:00:00",1.2,1.2,1.2,1.2,24000.0
"Sep 23, 2009 00:00:00",1.3,1.32,1.3,1.32,9180.0
"Sep 30, 2009 00:00:00",1.32,1.32,1.22,1.3,197280.0
"Oct 01, 2009 00:00:00",1.32,1.4,1.3,1.4,1526160.0
"Oct 02, 2009 00:00:00",1.34,1.4,1.34,1.4,1091180.0
"Oct 05, 2009 00:00:00",1.42,1.42,1.4,1.4,177400.0
"Oct 06, 2009 00:00:00",1.36,1.42,1.36,1.42,238960.0
"Oct 07, 2009 00:00:00",1.42,1.42,1.42,1.42,7100.0
"Oct 09, 2009 00:00:00",1.4,1.58,1.4,1.54,1663440.0
"Oct 12, 2009 00:00:00",1.54,1.58,1.5,1.5,590720.0
"Oct 13, 2009 00:00:00",1.5,1.52,1.46,1.52,541080.0
"Oct 14, 2009 00:00:00",1.5,1.76,1.5,1.76,4984880.0
"Oct 15, 2009 00:00:00",1.8,1.82,1.72,1.76,2265580.0
"Oct 16, 2009 00:00:00",1.76,2.26,1.76,2.08,9001620.0
"Oct 19, 2009 00:00:00",2.08,2.1,1.92,2.0,1142060.0
"Oct 20, 2009 00:00:00",2.0,2.08,1.94,1.98,1143680.0
"Oct 21, 2009 00:00:00",1.98,1.98,1.9,1.9,1354880.0
"Oct 22, 2009 00:00:00",1.84,1.9,1.82,1.84,362600.0
"Oct 23, 2009 00:00:00",1.84,1.88,1.7,1.88,41400.0
"Oct 26, 2009 00:00:00",1.84,1.84,1.72,1.84,8960.0
"Oct 28, 2009 00:00:00",1.68,1.68,1.68,1.68,95760.0
"Oct 29, 2009 00:00:00",1.6,1.8,1.6,1.8,81800.0
"Oct 30, 2009 00:00:00",1.74,1.78,1.72,1.78,455980.0
"Nov 04, 2009 00:00:00",1.62,1.72,1.62,1.72,27740.0
"Nov 05, 2009 00:00:00",1.72,1.72,1.72,1.72,68800.0
"Dec 15, 2009 00:00:00",1.3,1.3,1.3,1.3,65000.0
"Dec 16, 2009 00:00:00",1.3,1.34,1.3,1.34,119000.0
"Dec 18, 2009 00:00:00",1.3,1.3,1.3,1.3,78000.0
"Dec 22, 2009 00:00:00",1.3,1.3,1.3,1.3,78000.0
"Jan 05, 2010 00:00:00",1.26,1.26,1.26,1.26,114660.0
"Jan 06, 2010 00:00:00",1.24,1.24,1.24,1.24,42160.0
