chart_date,open,high,low,close,value
"Aug 03, 2009 00:00:00",3.25,3.3,3.15,3.25,2006500.0
"Aug 04, 2009 00:00:00",3.3,3.35,3.15,3.2,1187750.0
"Aug 06, 2009 00:00:00",3.15,3.2,3.15,3.2,581300.0
"Aug 07, 2009 00:00:00",3.15,3.2,3.1,3.15,1439950.0
"Aug 10, 2009 00:00:00",3.05,3.1,3.0,3.1,705950.0
"Aug 11, 2009 00:00:00",3.1,3.2,3.05,3.2,1261700.0
"Aug 12, 2009 00:00:00",3.1,3.2,3.1,3.2,1096450.0
"Aug 13, 2009 00:00:00",3.25,3.4,3.2,3.2,3623450.0
"Aug 14, 2009 00:00:00",3.2,3.2,3.1,3.1,900300.0
"Aug 17, 2009 00:00:00",3.15,3.15,3.05,3.15,420700.0
"Aug 18, 2009 00:00:00",3.05,3.15,3.0,3.15,805950.0
"Aug 19, 2009 00:00:00",3.2,3.2,3.1,3.1,573050.0
"Aug 20, 2009 00:00:00",3.15,3.15,3.0,3.1,977650.0
"Aug 24, 2009 00:00:00",3.15,3.15,3.1,3.15,741850.0
"Aug 25, 2009 00:00:00",3.15,3.15,3.0,3.0,583300.0
"Aug 26, 2009 00:00:00",3.1,3.15,3.05,3.1,1064150.0
"Sep 03, 2009 00:00:00",3.55,3.85,3.45,3.85,23452700.0
"Sep 04, 2009 00:00:00",3.9,4.4,3.9,4.35,38326050.0
"Sep 16, 2009 00:00:00",5.1,5.1,4.8,4.9,6235550.0
"Sep 17, 2009 00:00:00",5.0,5.1,4.85,4.85,7294900.0
"Sep 18, 2009 00:00:00",4.9,4.95,4.8,4.85,6679500.0
"Sep 22, 2009 00:00:00",4.95,5.1,4.85,4.9,11382450.0
"Sep 23, 2009 00:00:00",5.0,5.0,4.7,4.8,5063750.0
"Sep 30, 2009 00:00:00",4.35,4.35,4.25,4.25,115550.0
"Oct 01, 2009 00:00:00",4.35,4.4,4.1,4.1,3222250.0
"Oct 02, 2009 00:00:00",3.95,4.1,3.85,4.1,2971700.0
"Oct 05, 2009 00:00:00",4.3,4.3,4.05,4.05,1070750.0
"Oct 06, 2009 00:00:00",4.15,4.6,4.1,4.3,14417300.0
"Oct 07, 2009 00:00:00",4.4,4.5,4.3,4.45,10596600.0
"Oct 08, 2009 00:00:00",4.45,4.5,4.25,4.25,2699200.0
"Oct 09, 2009 00:00:00",4.35,4.35,4.2,4.2,3493250.0
"Oct 12, 2009 00:00:00",4.3,4.3,4.0,4.05,4597750.0
"Oct 13, 2009 00:00:00",4.15,4.2,4.0,4.1,2727750.0
"Oct 14, 2009 00:00:00",4.05,4.2,4.05,4.15,2696400.0
