chart_date,open,high,low,close,value
"Aug 03, 2009 00:00:00",0.07,0.0725,0.07,0.0725,113500.0
"Aug 04, 2009 00:00:00",0.07,0.07,0.07,0.07,140000.0
"Aug 06, 2009 00:00:00",0.07,0.07,0.0675,0.0675,136500.0
"Aug 07, 2009 00:00:00",0.07,0.0725,0.0675,0.0725,872750.0
"Aug 10, 2009 00:00:00",0.07,0.07,0.07,0.07,539000.0
"Aug 11, 2009 00:00:00",0.07,0.07,0.07,0.07,98000.0
"Aug 12, 2009 00:00:00",0.07,0.075,0.07,0.075,356750.0
"Aug 13, 2009 00:00:00",0.08,0.08,0.075,0.075,210000.0
"Aug 14, 2009 00:00:00",0.075,0.0775,0.075,0.0775,301250.0
"Aug 17, 2009 00:00:00",0.075,0.075,0.075,0.075,82500.0
"Aug 18, 2009 00:00:00",0.0725,0.0725,0.0725,0.0725,29000.0
"Aug 19, 2009 00:00:00",0.0725,0.0725,0.0725,0.0725,43500.0
"Aug 20, 2009 00:00:00",0.07,0.07,0.0675,0.0675,179000.0
"Aug 24, 2009 00:00:00",0.0675,0.07,0.0675,0.07,69250.0
"Aug 26, 2009 00:00:00",0.07,0.0725,0.07,0.0725,191500.0
"Sep 03, 2009 00:00:00",0.0725,0.0725,0.0725,0.0725,145000.0
"Sep 04, 2009 00:00:00",0.07,0.07,0.07,0.07,70000.0
"Sep 16, 2009 00:00:00",0.0775,0.0775,0.0775,0.0775,77500.0
"Sep 18, 2009 00:00:00",0.0775,0.0775,0.0775,0.0775,23250.0
"Sep 23, 2009 00:00:00",0.08,0.08,0.08,0.08,80000.0
"Oct 01, 2009 00:00:00",0.0825,0.0825,0.08,0.08,326500.0
"Oct 06, 2009 00:00:00",0.08,0.085,0.08,0.08,375250.0
"Oct 07, 2009 00:00:00",0.0775,0.0775,0.0775,0.0775,240250.0
"Oct 08, 2009 00:00:00",0.07,0.0725,0.07,0.0725,483250.0
"Oct 09, 2009 00:00:00",0.075,0.075,0.075,0.075,172500.0
"Oct 12, 2009 00:00:00",0.075,0.0775,0.075,0.0775,379250.0
"Oct 13, 2009 00:00:00",0.08,0.0825,0.08,0.08,944750.0
"Oct 14, 2009 00:00:00",0.08,0.08,0.08,0.08,24000.0
"Oct 15, 2009 00:00:00",0.08,0.08,0.08,0.08,16000.0
"Oct 16, 2009 00:00:00",0.0825,0.0825,0.08,0.08,681250.0
"Oct 20, 2009 00:00:00",0.075,0.085,0.075,0.0825,384000.0
"Oct 21, 2009 00:00:00",0.08,0.0825,0.0775,0.0825,703500.0
"Oct 22, 2009 00:00:00",0.08,0.08,0.08,0.08,80000.0
"Oct 23, 2009 00:00:00",0.085,0.085,0.085,0.085,8500.0
"Oct 26, 2009 00:00:00",0.0825,0.0825,0.0825,0.0825,24750.0
"Oct 27, 2009 00:00:00",0.0825,0.0825,0.0825,0.0825,41250.0
"Oct 28, 2009 00:00:00",0.0775,0.0775,0.0775,0.0775,23250.0
"Oct 30, 2009 00:00:00",0.08,0.08,0.08,0.08,32000.0
"Nov 05, 2009 00:00:00",0.0725,0.075,0.0725,0.075,29500.0
"Nov 09, 2009 00:00:00",0.08,0.0825,0.08,0.08,658250.0
"Nov 10, 2009 00:00:00",0.08,0.08,0.08,0.08,64000.0
"Nov 11, 2009 00:00:00",0.08,0.09,0.08,0.0825,1586000.0
"Dec 15, 2009 00:00:00",0.0725,0.0725,0.0725,0.0725,203000.0
"Dec 16, 2009 00:00:00",0.07,0.0725,0.07,0.0725,86500.0
"Dec 17, 2009 00:00:00",0.0725,0.0725,0.07,0.07,347750.0
"Dec 18, 2009 00:00:00",0.075,0.075,0.075,0.075,75000.0
"Dec 23, 2009 00:00:00",0.0725,0.0725,0.0725,0.0725,7250.0
"Jan 05, 2010 00:00:00",0.0775,0.0775,0.0775,0.0775,31000.0
"Jan 06, 2010 00:00:00",0.075,0.0775,0.075,0.0775,82750.0
"Jan 07, 2010 00:00:00",0.0775,0.0825,0.0775,0.08,1596500.0
"Jan 08, 2010 00:00:00",0.0825,0.085,0.0775,0.08,1135250.0
"Jan 11, 2010 00:00:00",0.0825,0.0825,0.07,0.07,2969500.0
"Jan 12, 2010 00:00:00",0.0775,0.0775,0.0725,0.0725,446250.0
"Jan 13, 2010 00:00:00",0.075,0.075,0.0725,0.0725,235000.0
"Jan 14, 2010 00:00:00",0.0725,0.0725,0.07,0.07,539750.0
"Jan 18, 2010 00:00:00",0.07,0.07,0.07,0.07,112000.0
"Jan 19, 2010 00:00:00",0.07,0.07,0.07,0.07,70000.0
"Jan 20, 2010 00:00:00",0.0725,0.08,0.0725,0.08,1332000.0
"Jan 21, 2010 00:00:00",0.08,0.0825,0.0775,0.0775,637000.0
"Jan 22, 2010 00:00:00",0.08,0.08,0.08,0.08,32000.0
"Jan 25, 2010 00:00:00",0.08,0.08,0.0725,0.075,178250.0
"Jan 26, 2010 00:00:00",0.0725,0.0725,0.07,0.0725,564250.0
"Jan 27, 2010 00:00:00",0.07,0.07,0.0575,0.0625,789000.0
"Jan 28, 2010 00:00:00",0.0625,0.065,0.06,0.065,1486000.0
"Jan 29, 2010 00:00:00",0.07,0.075,0.0675,0.075,434250.0
"Feb 01, 2010 00:00:00",0.07,0.07,0.0625,0.0625,2850000.0
"Feb 02, 2010 00:00:00",0.0625,0.065,0.06,0.06,826500.0
"Feb 03, 2010 00:00:00",0.0625,0.0625,0.0625,0.0625,31250.0
"Feb 04, 2010 00:00:00",0.0575,0.0575,0.0575,0.0575,201250.0
"Feb 05, 2010 00:00:00",0.055,0.06,0.055,0.06,45500.0
"Feb 08, 2010 00:00:00",0.055,0.065,0.055,0.065,84000.0
"Feb 09, 2010 00:00:00",0.0625,0.0625,0.0625,0.0625,25000.0
"Feb 10, 2010 00:00:00",0.0575,0.0575,0.0575,0.0575,57500.0
"Feb 11, 2010 00:00:00",0.06,0.06,0.06,0.06,78000.0
"Mar 08, 2010 00:00:00",0.0625,0.0625,0.0625,0.0625,31250.0
"Mar 12, 2010 00:00:00",0.06,0.06,0.06,0.06,60000.0
"Mar 16, 2010 00:00:00",0.06,0.06,0.06,0.06,120000.0
"Mar 17, 2010 00:00:00",0.06,0.0625,0.06,0.0625,155000.0
"May 04, 2010 00:00:00",0.0575,0.0575,0.0575,0.0575,5750.0
"May 14, 2010 00:00:00",0.0575,0.0575,0.0575,0.0575,5750.0
"May 21, 2010 00:00:00",0.06,0.06,0.06,0.06,1818000.0
"May 25, 2010 00:00:00",0.06,0.06,0.06,0.06,18000.0
"May 27, 2010 00:00:00",0.0575,0.0575,0.0575,0.0575,57500.0
"May 28, 2010 00:00:00",0.0525,0.0525,0.0525,0.0525,5250.0
"May 31, 2010 00:00:00",0.0575,0.0575,0.055,0.055,120000.0
"Jun 02, 2010 00:00:00",0.06,0.07,0.06,0.065,1588750.0
"Jun 03, 2010 00:00:00",0.065,0.065,0.0625,0.065,321500.0
"Jun 04, 2010 00:00:00",0.0675,0.0675,0.065,0.065,66250.0
"Jun 07, 2010 00:00:00",0.0625,0.0625,0.06,0.06,104500.0
"Jun 09, 2010 00:00:00",0.06,0.06,0.06,0.06,264000.0
