chart_date,open,high,low,close,value
"Jan 22, 2010 00:00:00",2.0,2.0,2.0,2.0,2000.0
"Jan 25, 2010 00:00:00",1.8,1.8,1.8,1.8,108000.0
"Mar 12, 2010 00:00:00",2.44,2.44,2.44,2.44,12200.0
"Jun 04, 2010 00:00:00",1.84,1.84,1.84,1.84,55200.0
"Jun 11, 2010 00:00:00",2.1,2.4,2.1,2.28,279340.0
"Jun 16, 2010 00:00:00",2.4,2.55,2.3,2.44,352290.0
"Jun 21, 2010 00:00:00",2.34,2.34,2.34,2.34,4680.0
"Jun 23, 2010 00:00:00",2.8,2.9,2.8,2.9,34200.0
"Jun 24, 2010 00:00:00",3.0,3.0,3.0,3.0,180000.0
"Jun 25, 2010 00:00:00",3.0,3.35,3.0,3.35,35100.0
"Jul 01, 2010 00:00:00",3.3,3.3,3.3,3.3,6600.0
"Oct 14, 2010 00:00:00",3.2,3.2,2.8,2.8,145610.0
"Oct 20, 2010 00:00:00",2.8,2.8,2.8,2.8,19600.0
"Oct 21, 2010 00:00:00",2.85,2.85,2.85,2.85,171000.0
"Oct 22, 2010 00:00:00",2.85,2.85,2.85,2.85,418950.0
"Nov 03, 2010 00:00:00",3.0,3.0,3.0,3.0,9000.0
"Nov 10, 2010 00:00:00",2.9,2.9,2.85,2.85,232350.0
"Dec 01, 2010 00:00:00",2.6,2.6,2.6,2.6,52000.0
"Dec 07, 2010 00:00:00",2.6,2.6,2.6,2.6,104000.0
"Dec 16, 2010 00:00:00",2.55,2.55,2.55,2.55,63750.0
"Jan 05, 2011 00:00:00",2.55,2.55,2.55,2.55,89250.0
"Jan 26, 2011 00:00:00",2.4,2.4,2.4,2.4,19200.0
"Jan 28, 2011 00:00:00",2.45,2.5,2.45,2.5,4950.0
"Jan 28, 2011 00:00:00",2.45,2.5,2.45,2.5,4950.0
"Feb 02, 2011 00:00:00",2.5,2.5,2.5,2.5,7500.0
"Mar 17, 2011 00:00:00",2.46,2.46,2.46,2.46,34440.0
"Mar 21, 2011 00:00:00",2.48,2.48,2.48,2.48,24800.0
"Mar 22, 2011 00:00:00",2.44,2.44,2.44,2.44,73200.0
"Mar 23, 2011 00:00:00",2.44,2.44,2.44,2.44,24400.0
"Mar 25, 2011 00:00:00",2.42,2.42,2.42,2.42,2420.0
"Mar 28, 2011 00:00:00",2.44,2.44,2.44,2.44,24400.0
"Mar 30, 2011 00:00:00",2.44,2.48,2.44,2.48,51840.0
"Apr 07, 2011 00:00:00",2.5,2.5,2.5,2.5,25000.0
"Apr 29, 2011 00:00:00",2.32,2.32,2.32,2.32,55680.0
"May 10, 2011 00:00:00",2.3,2.3,2.3,2.3,20700.0
"May 30, 2011 00:00:00",2.5,2.5,2.5,2.5,50000.0
"May 31, 2011 00:00:00",2.6,2.6,2.6,2.6,52000.0
"Jun 03, 2011 00:00:00",2.7,2.7,2.3,2.3,50000.0
"Jun 08, 2011 00:00:00",2.7,2.8,2.7,2.8,116900.0
"Jul 22, 2011 00:00:00",2.5,2.5,2.5,2.5,80000.0
"Aug 01, 2011 00:00:00",2.75,3.4,2.75,3.4,220540.0
"Aug 02, 2011 00:00:00",2.8,3.4,2.8,3.4,94300.0
"Aug 12, 2011 00:00:00",3.25,3.5,3.25,3.5,206430.0
"Aug 15, 2011 00:00:00",3.5,3.99,3.5,3.8,91990.0
"Aug 26, 2011 00:00:00",3.3,3.3,3.3,3.3,16500.0
"Sep 01, 2011 00:00:00",3.3,3.3,3.3,3.3,29700.0
"Sep 02, 2011 00:00:00",3.2,3.2,3.2,3.2,32000.0
"Sep 08, 2011 00:00:00",3.4,3.45,3.4,3.45,34450.0
"Sep 09, 2011 00:00:00",3.45,3.45,3.45,3.45,34500.0
"Sep 12, 2011 00:00:00",3.45,3.5,3.45,3.5,108200.0
"Sep 14, 2011 00:00:00",3.3,3.5,3.3,3.5,221000.0
"Sep 15, 2011 00:00:00",3.5,3.5,3.5,3.5,70000.0
"Sep 16, 2011 00:00:00",3.21,3.21,3.21,3.21,3210.0
"Sep 19, 2011 00:00:00",3.3,3.8,3.3,3.8,82480.0
"Sep 20, 2011 00:00:00",3.8,3.8,3.8,3.8,7600.0
"Oct 05, 2011 00:00:00",3.25,3.25,3.25,3.25,97500.0
"Oct 11, 2011 00:00:00",3.6,3.6,3.6,3.6,28800.0
"Oct 14, 2011 00:00:00",3.25,3.25,3.25,3.25,549250.0
"Oct 21, 2011 00:00:00",3.3,3.3,3.3,3.3,33000.0
"Oct 26, 2011 00:00:00",3.28,3.28,3.27,3.27,65500.0
"Oct 27, 2011 00:00:00",3.3,3.3,3.3,3.3,33000.0
"Nov 16, 2011 00:00:00",3.59,3.59,3.59,3.59,35900.0
"Nov 17, 2011 00:00:00",3.6,3.6,3.6,3.6,25200.0
"Nov 29, 2011 00:00:00",3.27,3.27,3.27,3.27,35970.0
"Dec 01, 2011 00:00:00",3.29,3.29,3.29,3.29,9870.0
"Dec 06, 2011 00:00:00",3.45,3.45,3.45,3.45,10350.0
"Dec 13, 2011 00:00:00",3.33,3.33,3.3,3.3,53040.0
"Dec 16, 2011 00:00:00",3.3,3.31,3.3,3.31,62790.0
"Dec 19, 2011 00:00:00",3.3,3.3,3.3,3.3,3300.0
"Dec 22, 2011 00:00:00",3.3,3.3,3.3,3.3,3300.0
"Dec 23, 2011 00:00:00",3.4,3.49,3.4,3.49,27460.0
"Dec 26, 2011 00:00:00",3.29,3.29,3.29,3.29,32900.0
"Dec 29, 2011 00:00:00",3.29,3.32,3.29,3.32,72740.0
"Jan 03, 2012 00:00:00",3.32,3.32,3.29,3.29,56170.0
"Jan 06, 2012 00:00:00",3.35,3.35,3.35,3.35,16750.0
"Jan 09, 2012 00:00:00",3.34,3.35,3.34,3.35,23420.0
"Jan 13, 2012 00:00:00",3.44,3.45,3.44,3.45,17220.0
"Jan 16, 2012 00:00:00",3.45,3.68,3.45,3.68,94060.0
"Jan 17, 2012 00:00:00",3.65,3.88,3.65,3.8,334930.0
"Jan 24, 2012 00:00:00",3.84,3.85,3.84,3.85,19220.0
"Jan 25, 2012 00:00:00",3.85,3.9,3.85,3.9,96700.0
"Jan 30, 2012 00:00:00",3.45,3.45,3.45,3.45,3450.0
"Jan 31, 2012 00:00:00",3.6,3.6,3.6,3.6,18000.0
"Feb 01, 2012 00:00:00",3.6,3.6,3.45,3.45,35550.0
"Feb 03, 2012 00:00:00",3.8,5.17,3.8,4.6,279990.0
"Feb 06, 2012 00:00:00",5.1,5.1,4.6,4.6,72200.0
"Feb 07, 2012 00:00:00",4.8,4.8,4.7,4.7,47600.0
"Feb 15, 2012 00:00:00",4.2,4.2,4.2,4.2,16800.0
"Feb 17, 2012 00:00:00",3.3,3.3,3.3,3.3,13200.0
"Feb 22, 2012 00:00:00",3.36,3.75,3.36,3.75,14310.0
"Mar 05, 2012 00:00:00",3.33,3.33,3.33,3.33,9990.0
"Mar 06, 2012 00:00:00",3.38,3.38,3.38,3.38,3380.0
"Mar 08, 2012 00:00:00",3.38,3.38,3.38,3.38,3380.0
"Mar 12, 2012 00:00:00",3.5,3.5,3.5,3.5,7000.0
"Mar 14, 2012 00:00:00",3.8,3.8,3.8,3.8,19000.0
"Mar 15, 2012 00:00:00",3.85,3.85,3.85,3.85,3850.0
"Mar 19, 2012 00:00:00",4.0,4.0,4.0,4.0,8000.0
"Mar 22, 2012 00:00:00",4.09,4.1,4.09,4.1,20470.0
"Mar 28, 2012 00:00:00",4.0,4.26,4.0,4.26,25140.0
"Mar 30, 2012 00:00:00",3.8,4.25,3.8,4.25,11850.0
"Apr 11, 2012 00:00:00",4.25,4.26,4.25,4.26,25510.0
"Apr 17, 2012 00:00:00",4.65,4.69,4.65,4.68,46720.0
"Apr 20, 2012 00:00:00",4.0,4.0,4.0,4.0,40000.0
"May 04, 2012 00:00:00",4.0,4.0,4.0,4.0,32000.0
"May 07, 2012 00:00:00",3.5,3.5,3.5,3.5,3500.0
"May 08, 2012 00:00:00",4.0,4.0,4.0,4.0,16000.0
"May 17, 2012 00:00:00",3.95,3.95,3.95,3.95,47400.0
"May 18, 2012 00:00:00",3.8,3.8,3.8,3.8,3800.0
"Jun 25, 2012 00:00:00",3.8,3.8,3.8,3.8,11400.0
"Jul 03, 2012 00:00:00",4.8,4.8,4.8,4.8,4800.0
"Jul 11, 2012 00:00:00",4.2,4.2,4.2,4.2,42000.0
"Aug 06, 2012 00:00:00",4.6,4.6,4.6,4.6,27599.999999999996
"Aug 08, 2012 00:00:00",4.6,4.6,4.6,4.6,18400.0
"Sep 03, 2012 00:00:00",3.31,3.99,3.31,3.99,7300.0
"Nov 07, 2012 00:00:00",4.56,4.58,4.56,4.58,36580.0
"Nov 09, 2012 00:00:00",4.68,4.68,4.68,4.68,14040.0
"Dec 12, 2012 00:00:00",5.6,5.6,5.6,5.6,11200.0
"Jan 02, 2013 00:00:00",4.6,4.6,4.6,4.6,9200.0
"Jan 04, 2013 00:00:00",4.5,4.5,4.5,4.5,4500.0
"Jan 07, 2013 00:00:00",4.5,4.5,4.5,4.5,31500.0
"Jan 08, 2013 00:00:00",3.25,4.5,3.25,4.5,37000.0
"Jan 11, 2013 00:00:00",4.8,4.8,4.8,4.8,9600.0
"Jan 14, 2013 00:00:00",4.7,5.16,4.7,5.16,40810.0
"Jan 15, 2013 00:00:00",5.0,5.0,5.0,5.0,1399500.0
"Jan 17, 2013 00:00:00",5.0,5.0,5.0,5.0,50500.0
