chart_date,open,high,low,close,value
"Aug 07, 2009 00:00:00",1.92,1.92,1.9,1.9,26620.0
"Aug 12, 2009 00:00:00",2.04,2.04,2.04,2.04,6120.0
"Sep 17, 2009 00:00:00",1.9,1.9,1.9,1.9,19000.0
"Feb 08, 2010 00:00:00",1.92,1.92,1.92,1.92,3840.0
"Mar 15, 2010 00:00:00",2.4,2.4,2.4,2.4,24000.0
"Jun 16, 2010 00:00:00",2.48,2.6,2.48,2.6,50660.0
"Jun 21, 2010 00:00:00",2.65,3.0,2.65,3.0,391500.0
"Jun 22, 2010 00:00:00",3.25,3.25,3.0,3.0,31250.0
"Jun 23, 2010 00:00:00",3.25,3.25,2.85,2.85,18300.0
"Jun 24, 2010 00:00:00",2.85,2.85,2.85,2.85,11400.0
"Jul 09, 2010 00:00:00",2.6,2.9,2.6,2.9,145550.0
"Jul 16, 2010 00:00:00",3.2,3.2,3.2,3.2,96000.0
"Oct 14, 2010 00:00:00",3.2,3.2,3.2,3.2,387200.0
"Nov 10, 2010 00:00:00",3.0,3.0,2.85,2.85,223950.0
"Nov 17, 2010 00:00:00",3.34,3.34,3.34,3.34,3340.0
"Nov 19, 2010 00:00:00",2.8,2.8,2.8,2.8,89600.0
"Nov 23, 2010 00:00:00",2.7,2.7,2.7,2.7,5400.0
"Dec 01, 2010 00:00:00",2.7,2.7,2.7,2.7,121500.0
"Dec 03, 2010 00:00:00",2.72,2.72,2.72,2.72,81600.0
"Dec 06, 2010 00:00:00",2.7,2.7,2.7,2.7,54000.0
"Dec 07, 2010 00:00:00",2.65,2.65,2.65,2.65,13250.0
"Dec 16, 2010 00:00:00",2.65,2.65,2.65,2.65,34450.0
"Jan 20, 2011 00:00:00",2.55,2.55,2.55,2.55,51000.0
"Jan 20, 2011 00:00:00",2.55,2.55,2.55,2.55,51000.0
"Feb 16, 2011 00:00:00",2.55,2.55,2.5,2.5,80100.0
"Feb 16, 2011 00:00:00",2.55,2.55,2.5,2.5,80100.0
"Mar 16, 2011 00:00:00",2.5,2.5,2.5,2.5,67500.0
"Mar 21, 2011 00:00:00",2.46,2.46,2.44,2.44,142320.0
"Apr 13, 2011 00:00:00",2.46,2.46,2.4,2.4,207480.0
"Apr 15, 2011 00:00:00",2.4,2.4,2.4,2.4,48000.0
"May 05, 2011 00:00:00",2.3,2.3,2.3,2.3,27600.0
"May 12, 2011 00:00:00",2.3,2.3,2.3,2.3,18400.0
"Jun 06, 2011 00:00:00",2.35,2.35,2.35,2.35,152750.0
"Jun 07, 2011 00:00:00",2.6,2.7,2.6,2.7,26500.0
"Jun 08, 2011 00:00:00",2.7,2.7,2.7,2.7,54000.0
"Jun 28, 2011 00:00:00",2.5,2.5,2.5,2.5,125000.0
"Jul 07, 2011 00:00:00",2.85,2.9,2.85,2.9,48500.0
"Jul 26, 2011 00:00:00",2.31,2.31,2.31,2.31,4620.0
"Jul 28, 2011 00:00:00",2.31,2.31,2.31,2.31,57750.0
"Aug 01, 2011 00:00:00",2.9,3.32,2.9,3.32,132900.0
"Aug 02, 2011 00:00:00",3.4,3.4,3.4,3.4,34000.0
"Aug 12, 2011 00:00:00",3.3,3.5,3.3,3.5,96800.0
"Aug 15, 2011 00:00:00",3.0,3.69,3.0,3.69,93850.0
"Aug 16, 2011 00:00:00",3.85,3.9,3.85,3.9,81350.0
"Sep 09, 2011 00:00:00",3.7,3.7,3.7,3.7,29600.0
"Sep 13, 2011 00:00:00",3.09,3.47,3.02,3.02,190640.0
"Sep 16, 2011 00:00:00",3.65,3.68,3.65,3.68,32880.0
"Sep 19, 2011 00:00:00",3.65,3.8,3.65,3.8,178800.0
"Sep 20, 2011 00:00:00",3.8,3.8,3.8,3.8,45600.0
"Sep 26, 2011 00:00:00",3.3,3.3,3.3,3.3,3300.0
"Sep 28, 2011 00:00:00",3.24,3.24,3.24,3.24,3240.0
"Sep 29, 2011 00:00:00",3.8,3.8,3.8,3.8,95000.0
"Oct 06, 2011 00:00:00",3.5,3.5,3.5,3.5,350000.0
"Oct 10, 2011 00:00:00",3.5,3.5,3.5,3.5,24500.0
"Oct 12, 2011 00:00:00",3.6,3.6,3.6,3.6,126000.0
"Oct 20, 2011 00:00:00",3.25,3.4,3.25,3.4,233000.0
"Oct 21, 2011 00:00:00",3.35,3.35,3.3,3.3,50000.0
"Nov 15, 2011 00:00:00",3.69,3.69,3.5,3.5,141900.0
"Nov 16, 2011 00:00:00",3.5,3.6,3.5,3.6,35800.0
"Nov 17, 2011 00:00:00",3.6,3.6,3.6,3.6,36000.0
"Dec 05, 2011 00:00:00",3.46,3.46,3.46,3.46,51900.0
"Dec 09, 2011 00:00:00",3.45,3.45,3.42,3.42,75510.0
"Dec 13, 2011 00:00:00",3.45,3.45,3.3,3.3,54540.0
"Dec 19, 2011 00:00:00",3.35,3.35,3.35,3.35,3350.0
"Jan 02, 2012 00:00:00",3.6,3.6,3.5,3.5,45900.0
"Jan 17, 2012 00:00:00",3.6,3.8,3.6,3.8,155790.0
"Jan 19, 2012 00:00:00",3.8,3.85,3.8,3.85,114880.0
"Jan 24, 2012 00:00:00",3.85,3.92,3.85,3.9,11670.0
"Jan 25, 2012 00:00:00",3.92,4.02,3.92,4.02,98200.0
"Feb 03, 2012 00:00:00",4.0,5.7,4.0,4.5,384680.0
"Feb 06, 2012 00:00:00",5.3,5.3,4.5,4.5,27800.0
"Feb 07, 2012 00:00:00",4.95,4.95,4.5,4.5,261450.0
"Feb 08, 2012 00:00:00",4.95,4.95,4.95,4.95,4950.0
"Feb 09, 2012 00:00:00",3.55,3.55,3.55,3.55,53250.0
"Feb 10, 2012 00:00:00",3.5,4.0,3.32,4.0,659470.0
"Feb 13, 2012 00:00:00",3.36,3.36,3.36,3.36,10080.0
"Feb 17, 2012 00:00:00",3.4,3.4,3.4,3.4,3400.0
"Feb 20, 2012 00:00:00",3.43,3.43,3.43,3.43,17150.0
"Feb 21, 2012 00:00:00",3.6,3.6,3.6,3.6,3600.0
"Feb 22, 2012 00:00:00",3.8,3.8,3.7,3.7,7500.0
"Feb 23, 2012 00:00:00",3.8,3.8,3.7,3.7,14900.0
"Feb 24, 2012 00:00:00",3.75,3.75,3.71,3.71,11180.0
"Mar 01, 2012 00:00:00",3.7,3.7,3.61,3.61,7310.0
"Mar 07, 2012 00:00:00",3.61,3.61,3.6,3.6,39610.0
"Mar 09, 2012 00:00:00",3.61,3.61,3.61,3.61,7220.0
"Mar 14, 2012 00:00:00",3.62,3.62,3.62,3.62,3620.0
"Mar 15, 2012 00:00:00",3.85,3.85,3.85,3.85,3850.0
"Mar 16, 2012 00:00:00",3.85,3.85,3.85,3.85,3850.0
"Apr 03, 2012 00:00:00",4.25,4.25,4.25,4.25,4250.0
"Apr 11, 2012 00:00:00",4.25,4.25,4.25,4.25,21250.0
"Apr 12, 2012 00:00:00",4.35,4.35,4.35,4.35,8700.0
"Apr 17, 2012 00:00:00",4.7,4.75,4.7,4.75,37700.0
