chart_date,open,high,low,close,value
"Aug 19, 2019 00:00:00",5.87,8.49,5.84,8.15,226950557.0
"Aug 20, 2019 00:00:00",8.2,12.22,8.2,12.22,454007176.0
"Aug 22, 2019 00:00:00",13.0,18.32,13.0,18.32,559954752.0
"Aug 23, 2019 00:00:00",23.0,27.35,13.02,15.0,892328393.0
"Aug 27, 2019 00:00:00",14.5,17.36,12.0,12.66,187589752.0
"Aug 28, 2019 00:00:00",12.52,14.8,11.8,14.0,132067912.0
"Aug 29, 2019 00:00:00",14.5,15.58,12.0,12.56,115937408.0
"Aug 30, 2019 00:00:00",12.82,13.04,10.58,10.92,45226246.0
"Sep 02, 2019 00:00:00",11.08,11.9,10.44,11.6,36009488.0
"Sep 03, 2019 00:00:00",11.7,11.8,10.9,11.22,10062720.0
"Sep 04, 2019 00:00:00",11.3,11.3,10.2,10.5,9454990.0
"Sep 05, 2019 00:00:00",10.5,11.2,9.7,11.06,31232702.0
"Sep 06, 2019 00:00:00",11.16,11.4,9.82,9.9,14953419.0
"Sep 09, 2019 00:00:00",9.99,10.64,9.54,10.1,10767498.0
"Sep 10, 2019 00:00:00",10.16,11.56,9.5,11.4,34897614.0
"Sep 11, 2019 00:00:00",11.3,11.78,10.7,10.88,21795206.0
"Sep 12, 2019 00:00:00",10.9,11.44,10.6,11.02,7348410.0
"Sep 13, 2019 00:00:00",11.2,12.46,11.02,12.3,37125826.0
"Sep 16, 2019 00:00:00",12.44,13.36,12.4,12.76,47308664.0
"Sep 17, 2019 00:00:00",13.0,13.18,11.06,11.2,46567136.0
"Sep 18, 2019 00:00:00",11.1,11.56,11.06,11.34,4408602.0
"Sep 19, 2019 00:00:00",11.36,12.0,11.36,11.36,10348932.0
"Sep 20, 2019 00:00:00",11.7,11.7,10.7,10.88,10861058.0
"Sep 23, 2019 00:00:00",10.88,10.92,10.5,10.5,7101428.0
"Sep 24, 2019 00:00:00",10.54,10.86,10.14,10.22,3318022.0
"Sep 25, 2019 00:00:00",10.22,10.4,9.9,9.94,4486795.0
"Sep 26, 2019 00:00:00",10.0,10.8,10.0,10.6,11273652.0
"Sep 27, 2019 00:00:00",10.78,10.78,10.1,10.14,3416054.0
"Sep 30, 2019 00:00:00",10.14,10.4,9.95,10.1,1875791.0
"Oct 01, 2019 00:00:00",10.06,10.06,9.58,9.6,5320338.0
"Oct 02, 2019 00:00:00",9.62,10.0,9.62,9.8,3298732.0
"Oct 03, 2019 00:00:00",9.7,9.7,9.51,9.58,1645899.0
"Oct 04, 2019 00:00:00",9.7,9.8,9.52,9.55,1261213.0
"Oct 07, 2019 00:00:00",9.5,9.5,8.88,9.1,8308846.0
"Oct 08, 2019 00:00:00",9.1,9.1,8.9,9.0,1891003.0
"Oct 09, 2019 00:00:00",9.1,9.1,8.92,9.1,1070375.0
"Oct 10, 2019 00:00:00",8.93,10.3,8.93,10.24,13135440.0
"Oct 11, 2019 00:00:00",10.28,11.52,10.28,11.4,39849526.0
"Oct 14, 2019 00:00:00",11.6,12.2,11.6,12.1,44076638.0
"Oct 15, 2019 00:00:00",12.0,12.0,11.3,11.32,14503852.0
"Oct 16, 2019 00:00:00",11.34,11.98,11.34,11.7,12062586.0
"Oct 17, 2019 00:00:00",11.8,12.86,11.62,12.8,47213772.0
"Oct 18, 2019 00:00:00",12.84,13.1,11.7,11.7,63121802.0
"Oct 21, 2019 00:00:00",11.64,11.86,11.22,11.78,11327134.0
"Oct 22, 2019 00:00:00",11.8,11.8,11.38,11.38,7681530.0
"Oct 23, 2019 00:00:00",11.38,11.96,11.38,11.66,9432990.0
"Oct 24, 2019 00:00:00",11.84,11.92,11.46,11.52,5268126.0
"Oct 25, 2019 00:00:00",11.5,11.62,11.28,11.4,3363036.0
"Oct 28, 2019 00:00:00",11.4,11.4,11.1,11.1,6340188.0
"Oct 29, 2019 00:00:00",11.06,11.3,10.82,11.24,4600778.0
"Oct 30, 2019 00:00:00",11.24,11.64,11.24,11.46,4370816.0
"Oct 31, 2019 00:00:00",11.58,11.62,11.1,11.3,2954612.0
"Nov 04, 2019 00:00:00",11.3,12.2,11.3,11.98,12607352.0
"Nov 05, 2019 00:00:00",12.12,12.12,11.62,11.8,4007548.0
"Nov 06, 2019 00:00:00",11.8,12.02,11.7,11.78,3097792.0
"Nov 07, 2019 00:00:00",11.7,12.34,11.54,12.16,17050898.0
"Nov 08, 2019 00:00:00",12.3,12.5,12.04,12.48,11757092.0
"Nov 11, 2019 00:00:00",12.48,13.92,12.3,13.92,54129392.0
"Nov 12, 2019 00:00:00",14.0,15.4,13.58,14.12,113387356.0
"Nov 13, 2019 00:00:00",13.88,14.3,13.28,13.28,27827236.0
"Nov 14, 2019 00:00:00",13.4,14.26,13.3,14.1,27771394.0
"Nov 15, 2019 00:00:00",14.02,15.02,13.26,13.26,59041256.0
"Nov 18, 2019 00:00:00",13.34,13.76,12.3,12.62,24894538.0
"Nov 19, 2019 00:00:00",12.5,12.88,12.1,12.42,9850572.0
"Nov 20, 2019 00:00:00",12.52,12.52,11.82,11.96,18124170.0
"Nov 21, 2019 00:00:00",11.82,12.16,11.52,11.6,8761116.0
"Nov 22, 2019 00:00:00",11.54,12.28,11.54,12.18,19607600.0
"Nov 25, 2019 00:00:00",12.2,12.9,12.2,12.48,22397052.0
"Nov 26, 2019 00:00:00",12.48,12.66,12.02,12.2,9312306.0
"Nov 27, 2019 00:00:00",12.4,12.4,12.06,12.08,3808712.0
"Nov 28, 2019 00:00:00",12.04,12.2,11.64,11.7,9513418.0
"Nov 29, 2019 00:00:00",11.62,11.62,10.84,11.0,16053672.0
"Dec 02, 2019 00:00:00",11.3,11.3,10.88,11.06,2568552.0
"Dec 03, 2019 00:00:00",11.06,11.5,11.04,11.48,3737824.0
"Dec 04, 2019 00:00:00",11.5,11.78,11.28,11.5,4632754.0
"Dec 05, 2019 00:00:00",11.5,11.74,11.0,11.0,5437340.0
"Dec 06, 2019 00:00:00",11.02,11.2,10.32,10.6,6688962.0
"Dec 09, 2019 00:00:00",10.46,10.6,10.0,10.22,6220746.0
"Dec 10, 2019 00:00:00",10.2,10.22,9.48,9.73,5347394.0
"Dec 11, 2019 00:00:00",9.71,10.38,9.71,10.0,2668222.0
"Dec 12, 2019 00:00:00",10.16,10.18,9.62,9.79,2310481.0
"Dec 13, 2019 00:00:00",9.76,10.04,9.76,9.9,366972.0
"Dec 16, 2019 00:00:00",9.7,10.0,9.69,9.86,1327966.0
"Dec 17, 2019 00:00:00",9.98,9.99,9.51,9.6,2477479.0
"Dec 18, 2019 00:00:00",9.6,9.8,9.33,9.4,2783960.0
"Dec 19, 2019 00:00:00",9.33,9.9,8.94,9.76,6273280.0
"Dec 20, 2019 00:00:00",9.78,9.9,9.76,9.8,815412.0
