chart_date,open,high,low,close,value
"Aug 06, 2009 00:00:00",5.8,5.8,5.1,5.2,3007100.0
"Aug 10, 2009 00:00:00",6.1,6.1,6.1,6.1,61000.0
"Aug 13, 2009 00:00:00",5.4,5.4,5.4,5.4,5940000.0
"Aug 20, 2009 00:00:00",7.7,7.7,7.5,7.6,113900.0
"Aug 24, 2009 00:00:00",7.6,7.6,7.6,7.6,7600.0
"Aug 25, 2009 00:00:00",7.6,7.6,7.6,7.6,7600.0
"Sep 04, 2009 00:00:00",6.0,6.0,6.0,6.0,24000.0
"Sep 17, 2009 00:00:00",5.8,5.8,5.8,5.8,1160000.0
"Oct 02, 2009 00:00:00",5.8,8.6,5.8,8.6,1223600.0
"Oct 06, 2009 00:00:00",8.6,8.6,8.6,8.6,51600.0
"Oct 09, 2009 00:00:00",8.0,8.0,8.0,8.0,8000.0
"Oct 16, 2009 00:00:00",8.5,8.6,8.5,8.6,94100.0
"Oct 26, 2009 00:00:00",8.0,8.8,8.0,8.8,51400.0
"Oct 27, 2009 00:00:00",9.0,9.0,9.0,9.0,45000.0
"Nov 09, 2009 00:00:00",9.2,11.75,9.2,11.75,187150.0
"Nov 10, 2009 00:00:00",13.0,17.0,11.75,14.75,1419875.0
"Nov 11, 2009 00:00:00",13.0,13.0,12.75,12.75,359500.0
"Dec 15, 2009 00:00:00",13.0,13.0,13.0,13.0,13000.0
"Dec 18, 2009 00:00:00",11.0,11.0,11.0,11.0,22000.0
"Jan 12, 2010 00:00:00",12.0,12.25,12.0,12.25,112100.0
"Jan 27, 2010 00:00:00",10.0,10.0,10.0,10.0,4000.0
"Jan 29, 2010 00:00:00",10.0,10.0,8.1,9.0,67100.0
"Feb 01, 2010 00:00:00",8.0,8.0,8.0,8.0,8000.0
"Apr 29, 2010 00:00:00",8.0,9.5,8.0,9.5,78100.0
"Apr 30, 2010 00:00:00",9.0,9.0,9.0,9.0,45000.0
"Jun 03, 2010 00:00:00",6.8,6.8,6.8,6.8,27200.0
"Jun 04, 2010 00:00:00",6.8,7.0,6.8,7.0,27600.0
"Jun 16, 2010 00:00:00",7.1,9.0,7.1,9.0,76100.0
"Jun 21, 2010 00:00:00",10.0,11.75,10.0,10.5,459000.0
"Jun 28, 2010 00:00:00",10.5,10.5,10.5,10.5,10500.0
"Jul 19, 2010 00:00:00",8.0,8.0,8.0,8.0,6400.0
"Sep 21, 2010 00:00:00",6.1,6.1,6.0,6.0,30100.0
"Sep 30, 2010 00:00:00",6.75,6.75,6.75,6.75,33750.0
"Oct 06, 2010 00:00:00",6.12,6.12,6.12,6.12,612.0
"Oct 20, 2010 00:00:00",6.15,7.0,6.15,7.0,18804.0
"Nov 04, 2010 00:00:00",7.0,7.0,7.0,7.0,3500.0
"Jan 26, 2011 00:00:00",8.5,8.5,8.5,8.5,1700.0
"Feb 23, 2011 00:00:00",7.0,7.0,7.0,7.0,10500.0
"Feb 23, 2011 00:00:00",7.0,7.0,7.0,7.0,10500.0
"Mar 23, 2011 00:00:00",6.12,6.12,6.12,6.12,5508.0
"Apr 13, 2011 00:00:00",6.12,6.12,6.12,6.12,6120.0
"Apr 15, 2011 00:00:00",6.13,6.13,6.13,6.13,4291.0
"May 12, 2011 00:00:00",6.12,6.12,6.12,6.12,15912.0
"Jul 21, 2011 00:00:00",8.5,9.1,8.0,9.1,338600.0
"Jul 22, 2011 00:00:00",9.16,9.16,9.16,9.16,18320.0
"Jul 25, 2011 00:00:00",6.12,6.12,6.12,6.12,12240.0
"Jul 28, 2011 00:00:00",9.1,9.1,9.1,9.1,9100.0
"Jul 29, 2011 00:00:00",9.1,9.1,9.1,9.1,3640.0
"Aug 01, 2011 00:00:00",13.0,13.0,13.0,13.0,63700.0
"Aug 02, 2011 00:00:00",13.0,13.0,12.0,12.0,9652100.0
"Aug 22, 2011 00:00:00",6.31,6.31,6.31,6.31,27133.0
"Sep 07, 2011 00:00:00",9.0,9.0,9.0,9.0,900.0
"Sep 09, 2011 00:00:00",9.0,9.0,9.0,9.0,34200.0
"Sep 23, 2011 00:00:00",6.56,6.56,6.52,6.52,42500.0
"Oct 04, 2011 00:00:00",6.56,6.56,6.52,6.52,45760.0
"Oct 19, 2011 00:00:00",6.54,6.54,5.8,5.8,65096.0
"Nov 15, 2011 00:00:00",8.7,8.7,8.7,8.7,133110.0
"Nov 16, 2011 00:00:00",8.7,13.04,8.7,11.9,1965139.0
"Nov 17, 2011 00:00:00",11.92,11.92,8.37,9.4,527244.0
"Nov 18, 2011 00:00:00",9.9,13.9,9.9,12.0,3002566.0
"Nov 21, 2011 00:00:00",12.4,18.0,12.4,18.0,13713184.0
"Nov 22, 2011 00:00:00",20.3,25.0,12.0,12.5,8627207.0
"Nov 23, 2011 00:00:00",13.7,15.0,11.0,11.1,1475952.0
"Nov 24, 2011 00:00:00",11.0,12.0,9.41,11.28,643399.0
"Nov 25, 2011 00:00:00",10.04,11.28,9.5,9.9,321770.0
"Nov 28, 2011 00:00:00",10.0,10.98,9.7,10.0,195080.0
"Nov 29, 2011 00:00:00",10.0,10.0,9.4,9.44,204869.0
"Dec 01, 2011 00:00:00",9.9,10.0,9.0,9.5,179503.0
"Dec 02, 2011 00:00:00",9.0,9.55,8.95,9.2,125551.0
"Dec 05, 2011 00:00:00",8.81,9.9,8.7,8.74,132169.0
"Dec 06, 2011 00:00:00",9.7,9.7,8.6,8.7,641345.0
"Dec 07, 2011 00:00:00",8.62,8.9,8.61,8.61,201515.0
"Dec 08, 2011 00:00:00",8.71,10.26,8.62,10.0,1000615.0
"Dec 09, 2011 00:00:00",10.0,10.0,8.79,9.0,98584.0
"Dec 12, 2011 00:00:00",9.9,9.9,8.8,8.8,47960.0
"Dec 13, 2011 00:00:00",8.8,8.82,8.79,8.82,37903.0
"Dec 14, 2011 00:00:00",9.0,9.2,8.8,8.8,88268.0
"Dec 15, 2011 00:00:00",8.88,8.88,8.79,8.79,164401.0
"Dec 16, 2011 00:00:00",8.85,9.85,8.85,8.92,114404.0
"Dec 19, 2011 00:00:00",8.9,8.9,8.9,8.9,15130.0
"Dec 20, 2011 00:00:00",8.94,9.0,8.94,8.97,42138.0
"Dec 21, 2011 00:00:00",9.0,9.5,9.0,9.1,95706.0
"Dec 22, 2011 00:00:00",9.12,9.12,9.0,9.0,29952.0
"Dec 23, 2011 00:00:00",8.79,8.9,8.79,8.9,5318.0
"Dec 26, 2011 00:00:00",8.96,8.96,8.95,8.96,8957.0
"Dec 27, 2011 00:00:00",9.0,9.0,8.92,8.92,35761.0
