chart_date,open,high,low,close,value
"Aug 03, 2009 00:00:00",0.27,0.32,0.27,0.31,22411000.0
"Aug 04, 2009 00:00:00",0.32,0.33,0.29,0.29,18527400.0
"Aug 06, 2009 00:00:00",0.29,0.3,0.28,0.29,9802600.0
"Aug 07, 2009 00:00:00",0.3,0.3,0.29,0.3,10581700.0
"Aug 10, 2009 00:00:00",0.3,0.31,0.29,0.31,5764100.0
"Aug 11, 2009 00:00:00",0.31,0.33,0.3,0.33,23449300.0
"Aug 12, 2009 00:00:00",0.32,0.33,0.3,0.31,21073200.0
"Aug 13, 2009 00:00:00",0.31,0.32,0.3,0.31,12319300.0
"Aug 14, 2009 00:00:00",0.31,0.31,0.31,0.31,403000.0
"Aug 17, 2009 00:00:00",0.3,0.3,0.29,0.29,1422900.0
"Aug 18, 2009 00:00:00",0.28,0.28,0.27,0.28,2547900.0
"Aug 19, 2009 00:00:00",0.29,0.3,0.29,0.29,10079000.0
"Aug 20, 2009 00:00:00",0.29,0.29,0.28,0.28,2448800.0
"Aug 24, 2009 00:00:00",0.28,0.28,0.28,0.28,2800000.0
"Aug 25, 2009 00:00:00",0.28,0.28,0.27,0.28,4728200.0
"Aug 26, 2009 00:00:00",0.28,0.29,0.28,0.28,4330000.0
"Sep 03, 2009 00:00:00",0.27,0.28,0.27,0.27,1222600.0
"Sep 04, 2009 00:00:00",0.28,0.3,0.28,0.29,14961100.0
"Sep 16, 2009 00:00:00",0.29,0.29,0.28,0.28,4041900.0
"Sep 17, 2009 00:00:00",0.28,0.31,0.28,0.28,14409500.0
"Sep 18, 2009 00:00:00",0.29,0.3,0.29,0.29,6317300.0
"Sep 22, 2009 00:00:00",0.29,0.3,0.29,0.3,3136800.0
"Sep 23, 2009 00:00:00",0.3,0.3,0.29,0.29,2163700.0
"Sep 30, 2009 00:00:00",0.27,0.27,0.26,0.26,5918500.0
"Oct 01, 2009 00:00:00",0.26,0.26,0.25,0.25,7229000.0
"Oct 02, 2009 00:00:00",0.24,0.24,0.24,0.24,460800.0
"Oct 05, 2009 00:00:00",0.25,0.26,0.25,0.25,1989000.0
"Oct 06, 2009 00:00:00",0.25,0.26,0.25,0.26,2379400.0
"Oct 07, 2009 00:00:00",0.27,0.28,0.27,0.27,8574500.0
"Oct 08, 2009 00:00:00",0.26,0.26,0.26,0.26,59800.0
"Oct 09, 2009 00:00:00",0.26,0.26,0.26,0.26,538200.0
"Oct 12, 2009 00:00:00",0.26,0.26,0.26,0.26,977600.0
"Oct 14, 2009 00:00:00",0.25,0.25,0.245,0.25,4719800.0
"Oct 15, 2009 00:00:00",0.25,0.26,0.25,0.26,1363500.0
"Oct 16, 2009 00:00:00",0.25,0.25,0.25,0.25,2455000.0
"Oct 19, 2009 00:00:00",0.25,0.25,0.25,0.25,1502500.0
"Oct 20, 2009 00:00:00",0.25,0.25,0.24,0.24,1348150.0
"Oct 21, 2009 00:00:00",0.24,0.24,0.24,0.24,1360800.0
"Oct 22, 2009 00:00:00",0.24,0.25,0.24,0.25,1673900.0
"Oct 23, 2009 00:00:00",0.25,0.25,0.25,0.25,2325000.0
"Oct 26, 2009 00:00:00",0.25,0.26,0.25,0.26,265600.0
"Oct 27, 2009 00:00:00",0.245,0.25,0.245,0.25,342250.0
"Oct 28, 2009 00:00:00",0.245,0.25,0.24,0.25,1272300.0
"Oct 29, 2009 00:00:00",0.245,0.245,0.24,0.24,608200.0
"Oct 30, 2009 00:00:00",0.245,0.25,0.245,0.245,2003400.0
"Nov 03, 2009 00:00:00",0.24,0.24,0.235,0.235,1037250.0
"Nov 04, 2009 00:00:00",0.235,0.235,0.23,0.23,426150.0
"Nov 05, 2009 00:00:00",0.23,0.23,0.22,0.22,4607200.0
"Nov 06, 2009 00:00:00",0.225,0.235,0.225,0.235,4967550.0
"Nov 09, 2009 00:00:00",0.24,0.245,0.235,0.245,6171000.0
"Nov 10, 2009 00:00:00",0.25,0.27,0.25,0.25,10073700.0
"Nov 11, 2009 00:00:00",0.25,0.25,0.25,0.25,2005000.0
"Dec 15, 2009 00:00:00",0.26,0.26,0.26,0.26,4100200.0
"Dec 16, 2009 00:00:00",0.26,0.26,0.26,0.26,1898000.0
"Dec 17, 2009 00:00:00",0.26,0.27,0.25,0.26,1204800.0
"Dec 18, 2009 00:00:00",0.25,0.25,0.25,0.25,32500.0
"Dec 21, 2009 00:00:00",0.25,0.26,0.25,0.26,859000.0
"Dec 22, 2009 00:00:00",0.25,0.25,0.245,0.25,472500.0
"Dec 23, 2009 00:00:00",0.245,0.25,0.245,0.25,1733850.0
"Dec 29, 2009 00:00:00",0.245,0.25,0.245,0.25,242450.0
"Jan 04, 2010 00:00:00",0.25,0.25,0.25,0.25,560000.0
"Jan 05, 2010 00:00:00",0.25,0.26,0.25,0.26,42700.0
"Jan 06, 2010 00:00:00",0.25,0.25,0.25,0.25,50000.0
"Jan 07, 2010 00:00:00",0.26,0.27,0.26,0.26,3595400.0
"Jan 08, 2010 00:00:00",0.26,0.26,0.26,0.26,260000.0
"Jan 11, 2010 00:00:00",0.26,0.27,0.26,0.27,3170400.0
"Jan 12, 2010 00:00:00",0.27,0.27,0.26,0.26,836700.0
"Jan 13, 2010 00:00:00",0.26,0.28,0.26,0.28,7025700.0
"Jan 14, 2010 00:00:00",0.27,0.28,0.27,0.27,2920100.0
"Jan 15, 2010 00:00:00",0.27,0.27,0.26,0.27,3383000.0
"Jan 18, 2010 00:00:00",0.27,0.27,0.26,0.26,2235100.0
"Jan 19, 2010 00:00:00",0.26,0.27,0.26,0.27,174500.0
"Jan 20, 2010 00:00:00",0.27,0.27,0.27,0.27,3958200.0
"Jan 21, 2010 00:00:00",0.26,0.27,0.26,0.27,356300.0
"Jan 22, 2010 00:00:00",0.26,0.26,0.26,0.26,2132000.0
"Jan 25, 2010 00:00:00",0.25,0.26,0.25,0.26,77600.0
"Jan 26, 2010 00:00:00",0.25,0.25,0.25,0.25,1625000.0
"Jan 27, 2010 00:00:00",0.25,0.25,0.245,0.25,2045000.0
"Jan 28, 2010 00:00:00",0.25,0.25,0.25,0.25,125000.0
"Jan 29, 2010 00:00:00",0.25,0.25,0.245,0.25,1889000.0
"Feb 01, 2010 00:00:00",0.25,0.25,0.24,0.245,440800.0
"Feb 02, 2010 00:00:00",0.245,0.245,0.235,0.235,1580300.0
"Feb 03, 2010 00:00:00",0.24,0.245,0.235,0.24,793450.0
"Feb 04, 2010 00:00:00",0.235,0.245,0.235,0.245,1273850.0
"Feb 05, 2010 00:00:00",0.235,0.235,0.23,0.23,941100.0
"Feb 08, 2010 00:00:00",0.235,0.24,0.235,0.24,177350.0
"Feb 09, 2010 00:00:00",0.23,0.23,0.23,0.23,455400.0
"Feb 10, 2010 00:00:00",0.235,0.24,0.235,0.24,142000.0
"Feb 11, 2010 00:00:00",0.24,0.24,0.235,0.24,1395050.0
"Mar 08, 2010 00:00:00",0.23,0.23,0.225,0.23,450300.0
"Mar 12, 2010 00:00:00",0.225,0.235,0.225,0.23,346750.0
"Mar 15, 2010 00:00:00",0.23,0.23,0.23,0.23,23000.0
"Mar 17, 2010 00:00:00",0.23,0.235,0.23,0.23,883400.0
"Mar 31, 2010 00:00:00",0.22,0.22,0.22,0.22,675400.0
"Apr 20, 2010 00:00:00",0.23,0.23,0.23,0.23,25300.0
"Apr 21, 2010 00:00:00",0.23,0.23,0.23,0.23,556600.0
"Apr 22, 2010 00:00:00",0.23,0.23,0.23,0.23,4600.0
"Apr 23, 2010 00:00:00",0.225,0.23,0.225,0.225,383750.0
"Apr 30, 2010 00:00:00",0.225,0.225,0.225,0.225,373500.0
"May 04, 2010 00:00:00",0.225,0.225,0.225,0.225,479250.0
"May 05, 2010 00:00:00",0.225,0.225,0.225,0.225,1030500.0
"May 13, 2010 00:00:00",0.24,0.26,0.24,0.25,3380450.0
"May 14, 2010 00:00:00",0.25,0.25,0.24,0.24,693500.0
"May 17, 2010 00:00:00",0.24,0.25,0.24,0.25,1082850.0
"May 18, 2010 00:00:00",0.24,0.25,0.24,0.25,325850.0
"May 19, 2010 00:00:00",0.24,0.24,0.235,0.235,2339000.0
"May 21, 2010 00:00:00",0.235,0.235,0.225,0.225,3113150.0
"May 24, 2010 00:00:00",0.225,0.225,0.225,0.225,479250.0
"May 25, 2010 00:00:00",0.225,0.225,0.225,0.225,497250.0
"May 26, 2010 00:00:00",0.235,0.245,0.225,0.23,2299500.0
"May 27, 2010 00:00:00",0.23,0.23,0.23,0.23,1228200.0
"May 28, 2010 00:00:00",0.235,0.24,0.235,0.24,12636000.0
"May 31, 2010 00:00:00",0.235,0.235,0.235,0.235,1125650.0
"Jun 01, 2010 00:00:00",0.23,0.23,0.225,0.225,1407500.0
"Jun 02, 2010 00:00:00",0.225,0.225,0.22,0.22,1880400.0
"Jun 03, 2010 00:00:00",0.225,0.23,0.225,0.23,100400.0
"Jun 07, 2010 00:00:00",0.225,0.225,0.225,0.225,189000.0
"Jun 08, 2010 00:00:00",0.225,0.225,0.225,0.225,47250.0
"Jun 09, 2010 00:00:00",0.22,0.23,0.22,0.23,468450.0
"Jun 10, 2010 00:00:00",0.225,0.225,0.225,0.225,261000.0
"Jun 11, 2010 00:00:00",0.225,0.225,0.225,0.225,114750.0
