chart_date,open,high,low,close,value
"Aug 03, 2009 00:00:00",1.36,1.36,1.3,1.32,3189060.0
"Aug 04, 2009 00:00:00",1.32,1.34,1.22,1.28,2764680.0
"Aug 06, 2009 00:00:00",1.28,1.28,1.24,1.26,258920.0
"Aug 07, 2009 00:00:00",1.3,1.3,1.24,1.26,1109980.0
"Aug 10, 2009 00:00:00",1.28,1.4,1.28,1.4,4429200.0
"Aug 11, 2009 00:00:00",1.42,1.42,1.36,1.4,2062380.0
"Aug 12, 2009 00:00:00",1.4,1.42,1.4,1.4,1530420.0
"Aug 13, 2009 00:00:00",1.4,1.42,1.4,1.4,2238620.0
"Aug 14, 2009 00:00:00",1.42,1.46,1.38,1.38,4386820.0
"Aug 17, 2009 00:00:00",1.44,1.46,1.4,1.42,3925380.0
"Aug 18, 2009 00:00:00",1.42,1.44,1.4,1.44,940460.0
"Aug 19, 2009 00:00:00",1.48,1.56,1.48,1.56,4158000.0
"Aug 20, 2009 00:00:00",1.6,1.66,1.56,1.62,5618400.0
"Aug 24, 2009 00:00:00",1.64,1.64,1.58,1.64,4219900.0
"Aug 25, 2009 00:00:00",1.56,1.58,1.52,1.56,1698120.0
"Aug 26, 2009 00:00:00",1.54,1.58,1.52,1.58,1010800.0
"Sep 03, 2009 00:00:00",1.48,1.52,1.48,1.52,527880.0
"Sep 04, 2009 00:00:00",1.54,1.54,1.52,1.54,568160.0
"Sep 16, 2009 00:00:00",1.8,1.8,1.74,1.74,281000.0
"Sep 17, 2009 00:00:00",1.72,1.74,1.6,1.66,1387860.0
"Sep 18, 2009 00:00:00",1.6,1.62,1.58,1.62,635640.0
"Sep 22, 2009 00:00:00",1.62,1.62,1.62,1.62,140940.0
"Sep 23, 2009 00:00:00",1.62,1.72,1.62,1.72,1901660.0
"Sep 30, 2009 00:00:00",1.68,1.68,1.64,1.64,271720.0
"Oct 01, 2009 00:00:00",1.66,1.66,1.6,1.6,965540.0
"Oct 02, 2009 00:00:00",1.58,1.58,1.54,1.58,547360.0
"Oct 05, 2009 00:00:00",1.58,1.6,1.56,1.56,229940.0
"Oct 06, 2009 00:00:00",1.56,1.66,1.56,1.62,358440.0
"Oct 07, 2009 00:00:00",1.6,1.64,1.6,1.64,340280.0
"Oct 08, 2009 00:00:00",1.62,1.64,1.56,1.58,986280.0
"Oct 09, 2009 00:00:00",1.6,1.6,1.6,1.6,70400.0
"Oct 12, 2009 00:00:00",1.6,1.62,1.6,1.6,395400.0
"Oct 13, 2009 00:00:00",1.6,1.6,1.58,1.58,376700.0
"Oct 14, 2009 00:00:00",1.58,1.6,1.58,1.6,9540.0
"Oct 15, 2009 00:00:00",1.62,1.62,1.58,1.58,99620.0
"Oct 16, 2009 00:00:00",1.64,1.64,1.62,1.62,163200.0
"Oct 19, 2009 00:00:00",1.6,1.6,1.6,1.6,67200.0
"Oct 20, 2009 00:00:00",1.58,1.6,1.58,1.58,224380.0
"Oct 21, 2009 00:00:00",1.58,1.58,1.56,1.56,298200.0
"Oct 22, 2009 00:00:00",1.54,1.54,1.5,1.5,517000.0
"Oct 23, 2009 00:00:00",1.52,1.52,1.48,1.48,928140.0
"Oct 26, 2009 00:00:00",1.48,1.48,1.42,1.44,893420.0
"Oct 27, 2009 00:00:00",1.4,1.42,1.4,1.4,1345500.0
"Oct 28, 2009 00:00:00",1.38,1.44,1.38,1.42,1661280.0
"Oct 29, 2009 00:00:00",1.44,1.5,1.4,1.44,754480.0
"Oct 30, 2009 00:00:00",1.48,1.5,1.46,1.48,231300.0
"Nov 03, 2009 00:00:00",1.48,1.48,1.44,1.44,109200.0
"Nov 04, 2009 00:00:00",1.44,1.44,1.42,1.44,645880.0
"Nov 05, 2009 00:00:00",1.44,1.46,1.42,1.44,736140.0
"Nov 06, 2009 00:00:00",1.44,1.48,1.44,1.46,281380.0
"Nov 09, 2009 00:00:00",1.46,1.46,1.44,1.44,227080.0
"Nov 10, 2009 00:00:00",1.44,1.44,1.42,1.44,1538720.0
"Nov 11, 2009 00:00:00",1.44,1.46,1.44,1.46,900380.0
"Dec 15, 2009 00:00:00",1.52,1.52,1.46,1.46,703460.0
"Dec 16, 2009 00:00:00",1.46,1.46,1.44,1.44,870000.0
"Dec 17, 2009 00:00:00",1.42,1.42,1.4,1.4,1169120.0
"Dec 18, 2009 00:00:00",1.38,1.4,1.38,1.4,216400.0
"Dec 21, 2009 00:00:00",1.42,1.42,1.42,1.42,14200.0
"Dec 23, 2009 00:00:00",1.42,1.42,1.38,1.38,252660.0
"Jan 04, 2010 00:00:00",1.36,1.36,1.36,1.36,869040.0
"Jan 05, 2010 00:00:00",1.4,1.4,1.4,1.4,1400.0
"Jan 06, 2010 00:00:00",1.38,1.44,1.38,1.42,1075860.0
"Jan 11, 2010 00:00:00",1.4,1.4,1.38,1.4,20980.0
"Jan 12, 2010 00:00:00",1.36,1.42,1.36,1.4,605960.0
"Jan 13, 2010 00:00:00",1.4,1.44,1.4,1.44,43000.0
"Jan 14, 2010 00:00:00",1.38,1.44,1.38,1.44,29040.0
"Jan 15, 2010 00:00:00",1.42,1.46,1.42,1.44,318760.0
"Jan 18, 2010 00:00:00",1.4,1.4,1.4,1.4,919800.0
"Jan 20, 2010 00:00:00",1.4,1.4,1.4,1.4,109200.0
"Jan 25, 2010 00:00:00",1.36,1.36,1.36,1.36,156400.0
"Jan 26, 2010 00:00:00",1.36,1.36,1.34,1.34,982400.0
"Jan 27, 2010 00:00:00",1.32,1.32,1.3,1.32,457920.0
"Jan 29, 2010 00:00:00",1.32,1.36,1.32,1.34,801300.0
"Feb 01, 2010 00:00:00",1.36,1.36,1.28,1.28,76240.0
"Feb 02, 2010 00:00:00",1.28,1.28,1.26,1.26,241680.0
"Feb 03, 2010 00:00:00",1.24,1.24,1.2,1.2,751060.0
"Feb 04, 2010 00:00:00",1.2,1.2,1.16,1.18,305640.0
"Feb 05, 2010 00:00:00",1.16,1.16,1.12,1.12,37080.0
"Feb 08, 2010 00:00:00",1.18,1.18,1.14,1.16,362500.0
"Feb 09, 2010 00:00:00",1.14,1.14,1.1,1.1,618360.0
"Feb 10, 2010 00:00:00",1.14,1.14,1.1,1.1,937080.0
"Feb 11, 2010 00:00:00",1.14,1.14,1.14,1.14,448020.0
"Mar 08, 2010 00:00:00",1.4,1.4,1.38,1.4,154900.0
"Mar 12, 2010 00:00:00",1.5,1.52,1.44,1.52,1358040.0
"Mar 15, 2010 00:00:00",1.52,1.62,1.52,1.6,3026620.0
"Mar 16, 2010 00:00:00",1.58,1.64,1.56,1.62,4709860.0
"Mar 17, 2010 00:00:00",1.64,1.66,1.62,1.64,2302480.0
"Mar 31, 2010 00:00:00",2.04,2.04,2.02,2.02,620720.0
"Apr 20, 2010 00:00:00",1.9,1.9,1.8,1.86,40900.0
"Apr 21, 2010 00:00:00",1.9,1.94,1.9,1.94,298600.0
"Apr 22, 2010 00:00:00",1.96,1.96,1.96,1.96,98000.0
"Apr 23, 2010 00:00:00",1.96,1.96,1.96,1.96,1960.0
"Apr 29, 2010 00:00:00",1.86,1.88,1.86,1.86,535880.0
"Apr 30, 2010 00:00:00",1.88,1.88,1.84,1.88,209820.0
"May 04, 2010 00:00:00",1.88,1.88,1.88,1.88,63920.0
"May 13, 2010 00:00:00",1.82,1.84,1.8,1.8,542840.0
"May 14, 2010 00:00:00",1.78,1.8,1.78,1.8,1238380.0
"May 17, 2010 00:00:00",1.84,1.84,1.76,1.76,573700.0
"May 18, 2010 00:00:00",1.84,1.86,1.76,1.78,440400.0
"May 19, 2010 00:00:00",1.82,1.82,1.7,1.7,741560.0
"May 20, 2010 00:00:00",1.7,1.76,1.7,1.72,190260.0
"May 21, 2010 00:00:00",1.64,1.66,1.6,1.62,630020.0
"May 24, 2010 00:00:00",1.58,1.58,1.58,1.58,15800.0
"May 25, 2010 00:00:00",1.52,1.56,1.46,1.56,401780.0
"May 27, 2010 00:00:00",1.56,1.62,1.56,1.58,58380.0
"May 28, 2010 00:00:00",1.6,1.6,1.6,1.6,140800.0
"May 31, 2010 00:00:00",1.6,1.6,1.6,1.6,52800.0
"Jun 01, 2010 00:00:00",1.58,1.58,1.56,1.56,231840.0
"Jun 02, 2010 00:00:00",1.56,1.56,1.56,1.56,719160.0
"Jun 03, 2010 00:00:00",1.6,1.68,1.58,1.58,200520.0
"Jun 04, 2010 00:00:00",1.6,1.66,1.58,1.66,1768460.0
"Jun 07, 2010 00:00:00",1.6,1.6,1.54,1.56,594940.0
"Jun 08, 2010 00:00:00",1.56,1.58,1.56,1.56,225620.0
"Jun 09, 2010 00:00:00",1.56,1.6,1.54,1.54,282560.0
"Jun 10, 2010 00:00:00",1.52,1.58,1.52,1.52,326860.0
"Jun 11, 2010 00:00:00",1.5,1.54,1.5,1.54,301980.0
"Jun 15, 2010 00:00:00",1.54,1.54,1.52,1.52,105260.0
"Jun 21, 2010 00:00:00",1.62,1.66,1.62,1.64,344880.0
"Jun 22, 2010 00:00:00",1.64,1.64,1.58,1.6,1151040.0
"Jun 23, 2010 00:00:00",1.58,1.6,1.58,1.6,579520.0
"Jun 24, 2010 00:00:00",1.62,1.62,1.58,1.58,244960.0
"Jun 25, 2010 00:00:00",1.6,1.66,1.6,1.66,297540.0
"Jun 28, 2010 00:00:00",1.66,1.66,1.66,1.66,87980.0
"Jun 29, 2010 00:00:00",1.62,1.62,1.58,1.6,328180.0
"Jul 01, 2010 00:00:00",1.58,1.62,1.58,1.58,192000.0
"Jul 02, 2010 00:00:00",1.6,1.6,1.58,1.58,386720.0
"Jul 06, 2010 00:00:00",1.58,1.58,1.58,1.58,396580.0
