chart_date,open,high,low,close,value
"Dec 23, 2013 00:00:00",1.0,1.2,1.0,1.14,163597330.0
"Dec 26, 2013 00:00:00",1.13,1.3,1.09,1.14,1996160.0
"Dec 27, 2013 00:00:00",1.09,1.09,1.02,1.02,7546880.0
"Jan 02, 2014 00:00:00",1.09,1.09,1.02,1.02,62930.0
"Jan 03, 2014 00:00:00",1.02,1.02,1.01,1.01,2087950.0
"Jan 06, 2014 00:00:00",1.01,1.02,1.01,1.02,842310.0
"Jan 07, 2014 00:00:00",1.01,1.01,1.01,1.01,1161500.0
"Jan 08, 2014 00:00:00",1.02,1.03,1.02,1.03,31630.0
"Jan 09, 2014 00:00:00",1.03,1.03,1.01,1.01,361080.0
"Jan 10, 2014 00:00:00",1.02,1.03,1.02,1.03,51090.0
"Jan 13, 2014 00:00:00",1.02,1.02,1.01,1.01,3612400.0
"Jan 14, 2014 00:00:00",1.01,1.02,1.01,1.02,123420.0
"Jan 15, 2014 00:00:00",1.02,1.02,1.02,1.02,255000.0
"Jan 16, 2014 00:00:00",1.01,1.02,1.01,1.01,4985470.0
"Jan 17, 2014 00:00:00",1.01,1.02,1.01,1.01,2389180.0
"Jan 20, 2014 00:00:00",1.01,1.01,1.01,1.01,531260.0
"Jan 21, 2014 00:00:00",1.02,1.02,1.02,1.02,1020.0
"Jan 22, 2014 00:00:00",1.01,1.02,1.01,1.02,35620.0
"Jan 23, 2014 00:00:00",1.02,1.02,1.0,1.0,11020.0
"Jan 24, 2014 00:00:00",1.01,1.01,1.0,1.0,5112110.0
"Jan 27, 2014 00:00:00",1.0,1.0,1.0,1.0,49000.0
"Jan 28, 2014 00:00:00",1.0,1.0,1.0,1.0,7000.0
"Jan 29, 2014 00:00:00",1.01,1.01,1.0,1.0,54530.0
"Jan 30, 2014 00:00:00",1.01,1.02,1.01,1.01,719670.0
"Feb 03, 2014 00:00:00",1.02,1.02,1.01,1.02,286460.0
"Feb 04, 2014 00:00:00",1.01,1.01,1.0,1.0,2620050.0
"Feb 05, 2014 00:00:00",1.01,1.01,1.0,1.0,907500.0
"Feb 06, 2014 00:00:00",1.01,1.01,1.01,1.01,9090.0
"Feb 07, 2014 00:00:00",1.01,1.01,1.0,1.0,68130.0
"Feb 10, 2014 00:00:00",1.01,1.01,1.01,1.01,313100.0
"Feb 11, 2014 00:00:00",1.02,1.02,1.01,1.01,60700.0
"Feb 12, 2014 00:00:00",1.01,1.01,1.01,1.01,620140.0
"Feb 13, 2014 00:00:00",1.01,1.02,1.01,1.02,387160.0
"Feb 14, 2014 00:00:00",1.0,1.0,1.0,1.0,2500000.0
"Feb 17, 2014 00:00:00",1.01,1.01,1.01,1.01,252500.0
"Feb 18, 2014 00:00:00",1.01,1.01,1.0,1.0,61500.0
"Feb 19, 2014 00:00:00",1.0,1.0,1.0,1.0,500000.0
"Feb 20, 2014 00:00:00",1.0,1.0,1.0,1.0,500000.0
"Feb 21, 2014 00:00:00",1.0,1.04,1.0,1.01,3237070.0
"Feb 24, 2014 00:00:00",1.01,1.02,1.0,1.02,300300.0
"Feb 25, 2014 00:00:00",1.02,1.04,1.01,1.01,1238730.0
"Feb 26, 2014 00:00:00",1.02,1.03,1.01,1.02,204530.0
"Feb 27, 2014 00:00:00",1.02,1.03,1.01,1.03,42750.0
"Feb 28, 2014 00:00:00",1.03,1.03,1.03,1.03,19570.0
"Mar 03, 2014 00:00:00",1.02,1.03,1.02,1.03,90980.0
"Mar 04, 2014 00:00:00",1.02,1.02,1.02,1.02,843540.0
"Mar 05, 2014 00:00:00",1.03,1.03,1.03,1.03,341960.0
"Mar 06, 2014 00:00:00",1.03,1.03,1.02,1.02,243140.0
"Mar 07, 2014 00:00:00",1.02,1.02,1.02,1.02,561000.0
"Mar 10, 2014 00:00:00",1.03,1.03,1.02,1.02,12310.0
"Mar 11, 2014 00:00:00",1.03,1.03,1.03,1.03,210120.0
"Mar 13, 2014 00:00:00",1.02,1.03,1.02,1.03,15350.0
"Mar 14, 2014 00:00:00",1.03,1.03,1.03,1.03,108150.0
"Mar 17, 2014 00:00:00",1.02,1.02,1.02,1.02,1224000.0
"Mar 18, 2014 00:00:00",1.02,1.02,1.02,1.02,550800.0
"Mar 19, 2014 00:00:00",1.02,1.03,1.02,1.02,535600.0
"Mar 20, 2014 00:00:00",1.03,1.03,1.03,1.03,20600.0
"Mar 21, 2014 00:00:00",1.02,1.03,1.02,1.03,919030.0
"Mar 24, 2014 00:00:00",1.02,1.03,1.02,1.02,2785920.0
"Mar 25, 2014 00:00:00",1.02,1.02,1.02,1.02,1744200.0
"Mar 26, 2014 00:00:00",1.02,1.02,1.02,1.02,5304000.0
"Mar 27, 2014 00:00:00",1.02,1.03,1.02,1.03,51080.0
"Mar 28, 2014 00:00:00",1.02,1.02,1.02,1.02,255000.0
"Mar 31, 2014 00:00:00",1.03,1.03,1.02,1.02,305690.0
"Apr 01, 2014 00:00:00",1.02,1.02,1.01,1.01,2244400.0
"Apr 02, 2014 00:00:00",1.02,1.02,1.01,1.01,6061300.0
"Apr 03, 2014 00:00:00",1.01,1.01,1.01,1.01,2424000.0
"Apr 04, 2014 00:00:00",1.01,1.02,1.01,1.02,5071420.0
"Apr 07, 2014 00:00:00",1.01,1.01,1.01,1.01,808000.0
