chart_date,open,high,low,close,value
"Dec 23, 2013 00:00:00",0.001,0.08,0.001,0.08,62500.0
"Dec 26, 2013 00:00:00",0.105,1.6,0.105,0.64,1853700.0
"Dec 27, 2013 00:00:00",0.99,0.99,0.5,0.5,5683070.0
"Jan 02, 2014 00:00:00",0.49,0.55,0.4,0.4,640530.0
"Jan 03, 2014 00:00:00",0.245,0.45,0.245,0.4,116450.0
"Jan 06, 2014 00:00:00",0.43,0.43,0.28,0.28,397400.0
"Jan 07, 2014 00:00:00",0.29,0.3,0.28,0.3,818000.0000000001
"Jan 08, 2014 00:00:00",0.28,0.29,0.26,0.28,47250.0
"Jan 09, 2014 00:00:00",0.28,0.32,0.28,0.32,11600.000000000002
"Jan 10, 2014 00:00:00",0.32,0.32,0.29,0.305,45350.0
"Jan 13, 2014 00:00:00",0.28,0.28,0.26,0.28,71400.0
"Jan 15, 2014 00:00:00",0.28,0.28,0.24,0.265,66200.0
"Jan 16, 2014 00:00:00",0.28,0.44,0.28,0.38,1043950.0
"Jan 17, 2014 00:00:00",0.38,0.385,0.38,0.385,41900.0
"Jan 20, 2014 00:00:00",0.39,0.39,0.305,0.335,79350.0
"Jan 21, 2014 00:00:00",0.32,0.38,0.315,0.35,85900.0
"Jan 22, 2014 00:00:00",0.365,0.365,0.335,0.365,28550.0
"Jan 23, 2014 00:00:00",0.36,0.365,0.34,0.34,55650.0
"Jan 24, 2014 00:00:00",0.33,0.355,0.325,0.35,870400.0
"Jan 27, 2014 00:00:00",0.32,0.345,0.32,0.345,6650.0
"Jan 28, 2014 00:00:00",0.35,0.355,0.325,0.34,20500.0
"Jan 29, 2014 00:00:00",0.325,0.34,0.315,0.34,25900.0
"Jan 30, 2014 00:00:00",0.325,0.335,0.325,0.335,42450.0
"Feb 03, 2014 00:00:00",0.34,0.34,0.33,0.33,10050.0
"Feb 04, 2014 00:00:00",0.32,0.32,0.3,0.315,84450.0
"Feb 05, 2014 00:00:00",0.32,0.335,0.32,0.335,48750.0
"Feb 06, 2014 00:00:00",0.33,0.33,0.33,0.33,3300.0
"Feb 07, 2014 00:00:00",0.305,0.335,0.305,0.335,40600.0
"Feb 10, 2014 00:00:00",0.33,0.33,0.305,0.33,16150.0
"Feb 11, 2014 00:00:00",0.33,0.33,0.31,0.33,64400.0
"Feb 17, 2014 00:00:00",0.31,0.31,0.31,0.31,15500.0
"Feb 18, 2014 00:00:00",0.315,0.32,0.315,0.315,50850.0
"Feb 19, 2014 00:00:00",0.31,0.32,0.31,0.32,31350.0
"Feb 20, 2014 00:00:00",0.32,0.32,0.3,0.32,187300.0
"Feb 21, 2014 00:00:00",0.32,0.415,0.32,0.34,4517400.0
"Feb 24, 2014 00:00:00",0.385,0.44,0.37,0.44,3722400.0
"Feb 25, 2014 00:00:00",0.44,0.98,0.44,0.9,49745600.0
"Feb 26, 2014 00:00:00",0.94,1.02,0.79,0.88,28795500.0
"Feb 27, 2014 00:00:00",0.86,0.86,0.79,0.8,5551970.0
"Feb 28, 2014 00:00:00",0.8,0.94,0.79,0.94,12254000.0
"Mar 03, 2014 00:00:00",0.96,1.1,0.96,1.05,21555960.0
"Mar 04, 2014 00:00:00",1.05,1.08,0.96,0.99,7892160.0
"Mar 05, 2014 00:00:00",1.01,1.02,0.9,0.91,4031730.0
"Mar 06, 2014 00:00:00",0.97,0.97,0.9,0.92,1217160.0
"Mar 07, 2014 00:00:00",0.95,0.95,0.89,0.89,1554300.0
"Mar 10, 2014 00:00:00",0.93,0.93,0.89,0.89,971040.0
"Mar 11, 2014 00:00:00",0.89,0.91,0.88,0.88,1238120.0
"Mar 12, 2014 00:00:00",0.87,0.88,0.83,0.83,976510.0
"Mar 13, 2014 00:00:00",0.86,1.01,0.85,0.97,10246650.0
"Mar 14, 2014 00:00:00",0.97,1.01,0.92,0.92,1905500.0
"Mar 17, 2014 00:00:00",0.95,0.97,0.93,0.93,432180.0
"Mar 18, 2014 00:00:00",0.94,0.97,0.92,0.92,990250.0
"Mar 19, 2014 00:00:00",0.92,0.97,0.92,0.95,338040.0
"Mar 20, 2014 00:00:00",0.96,0.97,0.94,0.94,116490.0
"Mar 21, 2014 00:00:00",0.95,1.03,0.94,0.98,3529470.0
"Mar 24, 2014 00:00:00",0.98,1.25,0.95,1.22,23908010.0
"Mar 25, 2014 00:00:00",1.28,1.34,1.16,1.25,18883940.0
"Mar 26, 2014 00:00:00",1.25,1.26,1.19,1.24,1262570.0
"Mar 27, 2014 00:00:00",1.24,1.26,1.18,1.19,663040.0
"Mar 28, 2014 00:00:00",1.23,1.23,1.19,1.19,639230.0
"Mar 31, 2014 00:00:00",1.2,1.23,1.18,1.22,913250.0
"Apr 01, 2014 00:00:00",1.24,1.4,1.21,1.32,14703170.0
"Apr 02, 2014 00:00:00",1.37,1.4,1.27,1.3,9130500.0
"Apr 03, 2014 00:00:00",1.31,1.34,1.25,1.28,1832050.0
"Apr 04, 2014 00:00:00",1.27,1.35,1.23,1.28,5726090.0
"Apr 07, 2014 00:00:00",1.28,1.33,1.25,1.27,2044490.0
"Apr 08, 2014 00:00:00",1.3,1.31,1.23,1.24,3501160.0
"Apr 10, 2014 00:00:00",1.27,1.28,1.17,1.19,5233620.0
"Apr 11, 2014 00:00:00",1.18,1.21,1.14,1.16,2520610.0
"Apr 14, 2014 00:00:00",1.17,1.21,1.13,1.13,1883700.0
"Apr 15, 2014 00:00:00",1.14,1.24,1.14,1.16,2833330.0
"Apr 16, 2014 00:00:00",1.23,1.3,1.19,1.22,8702610.0
"Apr 21, 2014 00:00:00",1.28,1.29,1.24,1.24,2484920.0
"Apr 22, 2014 00:00:00",1.26,1.27,1.22,1.24,1280210.0
"Apr 23, 2014 00:00:00",1.25,1.31,1.21,1.23,4386520.0
"Apr 24, 2014 00:00:00",1.26,1.26,1.21,1.22,1750910.0
"Apr 25, 2014 00:00:00",1.22,1.25,1.18,1.2,1409330.0
"Apr 28, 2014 00:00:00",1.24,1.24,1.15,1.15,3098410.0
"Apr 29, 2014 00:00:00",1.2,1.2,1.15,1.16,956090.0
"Apr 30, 2014 00:00:00",1.2,1.2,1.12,1.17,1512630.0
"May 02, 2014 00:00:00",1.19,1.19,1.15,1.17,635180.0
"May 05, 2014 00:00:00",1.15,1.19,1.15,1.17,644520.0
"May 06, 2014 00:00:00",1.15,1.22,1.14,1.2,1787250.0
"May 07, 2014 00:00:00",1.2,1.22,1.19,1.19,504720.0
"May 08, 2014 00:00:00",1.19,1.2,1.17,1.18,604120.0
"May 09, 2014 00:00:00",1.18,1.18,1.13,1.18,1879630.0
"May 12, 2014 00:00:00",1.2,1.2,1.15,1.16,663740.0
"May 13, 2014 00:00:00",1.14,1.17,1.14,1.16,974150.0
"May 14, 2014 00:00:00",1.18,1.18,1.14,1.14,1038960.0
"May 15, 2014 00:00:00",1.16,1.17,1.12,1.15,849990.0
"May 16, 2014 00:00:00",1.13,1.15,1.13,1.13,669180.0
"May 19, 2014 00:00:00",1.16,1.16,1.12,1.12,421550.0
"May 20, 2014 00:00:00",1.12,1.15,1.11,1.12,492220.0
"May 21, 2014 00:00:00",1.14,1.15,1.12,1.12,694299.9999999999
"May 22, 2014 00:00:00",1.13,1.15,1.06,1.1,815020.0
"May 23, 2014 00:00:00",1.14,1.14,1.08,1.08,431240.0
"May 26, 2014 00:00:00",1.1,1.1,1.0,1.08,532260.0
"May 27, 2014 00:00:00",1.05,1.08,1.01,1.03,733360.0
"May 28, 2014 00:00:00",1.01,1.02,0.99,0.99,502330.0
"May 29, 2014 00:00:00",0.96,1.26,0.92,1.13,7300900.0
"May 30, 2014 00:00:00",1.1,1.22,1.03,1.14,4156730.0
"Jun 02, 2014 00:00:00",1.17,1.17,1.08,1.11,335930.0
"Jun 03, 2014 00:00:00",1.11,1.13,1.07,1.09,541900.0
"Jun 04, 2014 00:00:00",1.09,1.14,1.04,1.07,1478950.0
"Jun 05, 2014 00:00:00",1.08,1.16,1.04,1.05,2058450.0
"Jun 06, 2014 00:00:00",1.09,1.09,1.05,1.05,809180.0
"Jun 09, 2014 00:00:00",1.05,1.06,1.04,1.04,225680.0
"Jun 10, 2014 00:00:00",1.04,1.11,1.03,1.05,414110.0
"Jun 11, 2014 00:00:00",1.04,1.07,1.03,1.05,348310.0
"Jun 13, 2014 00:00:00",1.06,1.08,1.04,1.05,328450.0
"Jun 16, 2014 00:00:00",1.04,1.06,1.03,1.06,155290.0
"Jun 17, 2014 00:00:00",1.07,1.07,1.03,1.03,136650.0
"Jun 18, 2014 00:00:00",1.06,1.07,1.03,1.03,534020.0
"Jun 19, 2014 00:00:00",1.07,1.07,1.0,1.03,220240.0
"Jun 20, 2014 00:00:00",1.03,1.03,1.01,1.01,329720.0
"Jun 23, 2014 00:00:00",1.03,1.03,1.0,1.02,90400.0
"Jun 24, 2014 00:00:00",1.05,1.05,1.01,1.05,123950.0
"Jun 25, 2014 00:00:00",1.05,1.06,1.04,1.04,393530.0
"Jun 26, 2014 00:00:00",1.05,1.06,1.02,1.02,145030.0
"Jun 27, 2014 00:00:00",1.05,1.05,1.0,1.02,89170.0
"Jun 30, 2014 00:00:00",1.06,1.06,1.0,1.0,249750.0
"Jul 01, 2014 00:00:00",1.02,1.02,0.99,1.01,344710.0
"Jul 02, 2014 00:00:00",1.0,1.02,1.0,1.01,163560.0
