chart_date,open,high,low,close,value
"Aug 03, 2009 00:00:00",0.021,0.027,0.021,0.027,25232800.0
"Aug 04, 2009 00:00:00",0.029,0.03,0.024,0.025,26095500.0
"Aug 06, 2009 00:00:00",0.026,0.029,0.025,0.029,26514300.0
"Aug 07, 2009 00:00:00",0.029,0.029,0.027,0.028,12877400.0
"Aug 10, 2009 00:00:00",0.028,0.03,0.028,0.029,19946100.0
"Aug 11, 2009 00:00:00",0.029,0.031,0.028,0.031,26032600.0
"Aug 12, 2009 00:00:00",0.03,0.03,0.029,0.03,13537000.0
"Aug 13, 2009 00:00:00",0.03,0.03,0.029,0.029,8777400.0
"Aug 14, 2009 00:00:00",0.029,0.029,0.028,0.028,7962200.0
"Aug 17, 2009 00:00:00",0.027,0.028,0.026,0.027,3757200.0
"Aug 18, 2009 00:00:00",0.026,0.027,0.025,0.027,9559600.0
"Aug 19, 2009 00:00:00",0.027,0.027,0.026,0.027,4156100.0
"Aug 20, 2009 00:00:00",0.027,0.027,0.026,0.026,3592800.0
"Aug 24, 2009 00:00:00",0.027,0.027,0.027,0.027,2427300.0
"Aug 25, 2009 00:00:00",0.027,0.027,0.027,0.027,280800.0
"Aug 26, 2009 00:00:00",0.027,0.028,0.026,0.028,4975200.0
"Sep 03, 2009 00:00:00",0.026,0.026,0.025,0.025,7557000.0
"Sep 04, 2009 00:00:00",0.026,0.026,0.025,0.025,13675600.0
"Sep 16, 2009 00:00:00",0.025,0.026,0.025,0.025,102600.0
"Sep 17, 2009 00:00:00",0.026,0.027,0.026,0.026,4990500.0
"Sep 18, 2009 00:00:00",0.027,0.027,0.026,0.026,3319400.0
"Sep 22, 2009 00:00:00",0.027,0.028,0.027,0.027,7096300.0
"Sep 23, 2009 00:00:00",0.028,0.028,0.027,0.028,6193800.0
"Sep 30, 2009 00:00:00",0.027,0.027,0.026,0.027,4301500.0
"Oct 01, 2009 00:00:00",0.026,0.026,0.026,0.026,2441400.0
"Oct 02, 2009 00:00:00",0.025,0.026,0.025,0.026,1649600.0
"Oct 05, 2009 00:00:00",0.025,0.027,0.025,0.027,2407300.0
"Oct 06, 2009 00:00:00",0.027,0.028,0.027,0.028,7370600.0
"Oct 07, 2009 00:00:00",0.028,0.028,0.027,0.027,4450700.0
"Oct 08, 2009 00:00:00",0.027,0.027,0.027,0.027,75600.0
"Oct 09, 2009 00:00:00",0.027,0.027,0.027,0.027,8100.0
"Oct 12, 2009 00:00:00",0.027,0.027,0.026,0.026,1490800.0
"Oct 13, 2009 00:00:00",0.026,0.026,0.026,0.026,231400.0
"Oct 14, 2009 00:00:00",0.026,0.026,0.025,0.025,6842500.0
"Oct 15, 2009 00:00:00",0.025,0.025,0.025,0.025,1045000.0
"Oct 16, 2009 00:00:00",0.025,0.025,0.025,0.025,750000.0
"Oct 19, 2009 00:00:00",0.025,0.025,0.025,0.025,40000.0
"Oct 20, 2009 00:00:00",0.025,0.025,0.024,0.025,1909800.0
"Oct 21, 2009 00:00:00",0.024,0.024,0.024,0.024,4092000.0
"Oct 22, 2009 00:00:00",0.024,0.025,0.024,0.025,269500.0
"Oct 23, 2009 00:00:00",0.025,0.026,0.025,0.026,1670000.0
"Oct 26, 2009 00:00:00",0.025,0.027,0.025,0.027,3860600.0
"Oct 27, 2009 00:00:00",0.026,0.026,0.025,0.025,546600.0
"Oct 28, 2009 00:00:00",0.026,0.028,0.026,0.027,10756600.0
"Oct 29, 2009 00:00:00",0.027,0.027,0.026,0.026,2556200.0
"Oct 30, 2009 00:00:00",0.026,0.026,0.024,0.026,12629600.0
"Nov 03, 2009 00:00:00",0.026,0.026,0.024,0.024,10786100.0
"Nov 04, 2009 00:00:00",0.024,0.024,0.023,0.023,6419700.0
"Nov 05, 2009 00:00:00",0.023,0.023,0.023,0.023,995900.0
"Nov 06, 2009 00:00:00",0.023,0.023,0.021,0.023,7707400.0
"Nov 09, 2009 00:00:00",0.022,0.024,0.022,0.024,4516000.0
"Nov 10, 2009 00:00:00",0.024,0.024,0.023,0.023,7801600.0
"Nov 11, 2009 00:00:00",0.024,0.024,0.022,0.022,3520400.0
"Dec 15, 2009 00:00:00",0.026,0.028,0.026,0.027,32725000.0
"Dec 16, 2009 00:00:00",0.027,0.028,0.027,0.027,8291200.0
"Dec 17, 2009 00:00:00",0.027,0.027,0.026,0.026,2901700.0
"Dec 18, 2009 00:00:00",0.026,0.027,0.026,0.026,2707600.0
"Dec 21, 2009 00:00:00",0.026,0.026,0.026,0.026,319800.0
"Dec 22, 2009 00:00:00",0.025,0.026,0.025,0.026,1419500.0
"Dec 23, 2009 00:00:00",0.026,0.026,0.026,0.026,1622400.0
"Dec 29, 2009 00:00:00",0.026,0.027,0.026,0.026,1244700.0
"Jan 04, 2010 00:00:00",0.026,0.026,0.026,0.026,663000.0
"Jan 05, 2010 00:00:00",0.026,0.027,0.026,0.027,770600.0
"Jan 06, 2010 00:00:00",0.027,0.027,0.026,0.027,3911300.0
"Jan 07, 2010 00:00:00",0.028,0.028,0.027,0.028,10701000.0
"Jan 08, 2010 00:00:00",0.027,0.028,0.027,0.027,1288000.0
"Jan 11, 2010 00:00:00",0.027,0.028,0.027,0.027,1681100.0
"Jan 12, 2010 00:00:00",0.028,0.028,0.027,0.027,8750800.0
"Jan 13, 2010 00:00:00",0.027,0.027,0.027,0.027,4860000.0
"Jan 14, 2010 00:00:00",0.026,0.027,0.026,0.027,12830100.0
"Jan 15, 2010 00:00:00",0.027,0.027,0.027,0.027,810000.0
"Jan 18, 2010 00:00:00",0.027,0.027,0.026,0.026,213400.0
"Jan 20, 2010 00:00:00",0.027,0.028,0.027,0.028,3544800.0
"Jan 21, 2010 00:00:00",0.027,0.027,0.027,0.027,2133000.0
"Jan 22, 2010 00:00:00",0.027,0.027,0.027,0.027,6450300.0
"Jan 25, 2010 00:00:00",0.026,0.026,0.026,0.026,28600.0
"Jan 26, 2010 00:00:00",0.026,0.026,0.026,0.026,1170000.0
"Jan 27, 2010 00:00:00",0.026,0.027,0.026,0.027,2036200.0
"Jan 28, 2010 00:00:00",0.026,0.027,0.026,0.026,3139200.0
"Jan 29, 2010 00:00:00",0.026,0.027,0.025,0.025,7629700.0
"Feb 01, 2010 00:00:00",0.025,0.026,0.024,0.024,2607300.0
"Feb 02, 2010 00:00:00",0.025,0.025,0.024,0.024,1802000.0
"Feb 03, 2010 00:00:00",0.024,0.024,0.024,0.024,432000.0
"Feb 04, 2010 00:00:00",0.024,0.024,0.024,0.024,960000.0
"Feb 05, 2010 00:00:00",0.023,0.024,0.023,0.024,1266700.0
"Feb 09, 2010 00:00:00",0.023,0.023,0.023,0.023,862500.0
"Feb 10, 2010 00:00:00",0.023,0.023,0.023,0.023,2578300.0
"Feb 11, 2010 00:00:00",0.023,0.023,0.023,0.023,126500.0
"Mar 08, 2010 00:00:00",0.021,0.021,0.02,0.021,655800.0
"Mar 12, 2010 00:00:00",0.02,0.02,0.019,0.019,4036000.0
"Mar 15, 2010 00:00:00",0.019,0.02,0.019,0.019,1161000.0
"Mar 16, 2010 00:00:00",0.019,0.02,0.019,0.019,987100.0
