chart_date,open,high,low,close,value
"Aug 04, 2009 00:00:00",9.0,9.0,9.0,9.0,18000.0
"Dec 15, 2009 00:00:00",8.5,8.5,8.5,8.5,552500.0
"Jan 06, 2010 00:00:00",8.5,8.5,8.5,8.5,8500.0
"Jan 13, 2010 00:00:00",9.0,9.0,9.0,9.0,90000.0
"Jan 14, 2010 00:00:00",8.5,8.5,8.5,8.5,8500.0
"Jan 15, 2010 00:00:00",8.5,9.0,8.5,9.0,136500.0
"Feb 03, 2010 00:00:00",9.0,9.3,9.0,9.3,82500.0
"Feb 04, 2010 00:00:00",9.5,9.8,9.5,9.8,28800.0
"Feb 08, 2010 00:00:00",10.0,10.0,10.0,10.0,20000.0
"Oct 05, 2010 00:00:00",12.0,12.0,12.0,12.0,1200.0
"Oct 06, 2010 00:00:00",11.0,11.0,11.0,11.0,11000.0
"Oct 07, 2010 00:00:00",11.0,11.0,11.0,11.0,11000.0
"Oct 08, 2010 00:00:00",11.5,11.5,11.5,11.5,149500.0
"Oct 12, 2010 00:00:00",11.2,11.2,11.2,11.2,132160.0
"Oct 14, 2010 00:00:00",11.5,11.5,11.5,11.5,103500.0
"Oct 18, 2010 00:00:00",11.5,11.5,11.5,11.5,5750.0
"Oct 19, 2010 00:00:00",11.5,11.5,11.5,11.5,115000.0
"Nov 03, 2010 00:00:00",9.5,9.5,9.3,9.3,123300.0
"Nov 17, 2010 00:00:00",9.0,9.0,9.0,9.0,18000.0
"Jan 20, 2011 00:00:00",8.0,8.0,8.0,8.0,8000.0
"Jan 20, 2011 00:00:00",8.0,8.0,8.0,8.0,8000.0
"Jan 24, 2011 00:00:00",8.0,8.0,8.0,8.0,16000.0
"Feb 02, 2011 00:00:00",8.0,8.0,8.0,8.0,17600.0
"Mar 07, 2011 00:00:00",8.0,8.0,8.0,8.0,9600.0
"Mar 22, 2011 00:00:00",7.0,7.0,7.0,7.0,7700.0
"Mar 31, 2011 00:00:00",7.0,7.0,7.0,7.0,8400.0
"Apr 15, 2011 00:00:00",7.0,7.0,7.0,7.0,2800.0
"Apr 28, 2011 00:00:00",8.83,8.83,8.83,8.83,17660.0
"May 03, 2011 00:00:00",8.83,10.0,8.83,10.0,107417.0
"May 30, 2011 00:00:00",9.5,10.0,9.5,10.0,84650.0
"Jun 17, 2011 00:00:00",10.0,10.0,10.0,10.0,80000.0
"Jun 21, 2011 00:00:00",9.5,9.5,9.5,9.5,33250.0
"Jun 28, 2011 00:00:00",9.5,9.5,9.5,9.5,19000.0
"Jul 01, 2011 00:00:00",9.5,9.5,9.5,9.5,2850.0
"Jul 06, 2011 00:00:00",9.5,9.5,9.5,9.5,9500.0
"Jul 25, 2011 00:00:00",9.0,9.0,9.0,9.0,10800.0
"Aug 15, 2011 00:00:00",9.0,9.0,9.0,9.0,7200.0
"Sep 01, 2011 00:00:00",10.5,10.5,10.5,10.5,60900.0
"Sep 02, 2011 00:00:00",11.0,11.0,11.0,11.0,34100.0
"Sep 08, 2011 00:00:00",11.0,11.0,11.0,11.0,3300.0
"Sep 09, 2011 00:00:00",11.0,11.0,11.0,11.0,1100.0
"Sep 12, 2011 00:00:00",11.0,11.0,11.0,11.0,15400.0
"Sep 14, 2011 00:00:00",11.0,11.0,11.0,11.0,1100.0
"Oct 05, 2011 00:00:00",7.72,7.72,7.72,7.72,772.0
"Oct 06, 2011 00:00:00",7.73,7.73,7.73,7.73,3865.0
"Oct 11, 2011 00:00:00",10.0,10.0,10.0,10.0,1000.0
"Oct 14, 2011 00:00:00",9.0,9.0,8.5,8.5,1750.0
"Oct 17, 2011 00:00:00",9.0,9.4,8.7,8.7,15160.0
"Oct 20, 2011 00:00:00",8.0,8.0,8.0,8.0,16000.0
"Oct 21, 2011 00:00:00",8.0,9.4,8.0,8.01,22682.0
"Oct 25, 2011 00:00:00",9.72,9.72,9.72,9.72,972.0
"Nov 09, 2011 00:00:00",7.8,7.8,7.5,7.5,6030.0
"Nov 10, 2011 00:00:00",7.7,7.7,7.7,7.7,3850.0
"Nov 14, 2011 00:00:00",10.0,10.0,10.0,10.0,2000.0
"Nov 16, 2011 00:00:00",10.0,10.0,10.0,10.0,408000.0
"Dec 05, 2011 00:00:00",10.0,10.0,10.0,10.0,2000.0
"Dec 09, 2011 00:00:00",10.0,10.0,10.0,10.0,1000.0
"Dec 12, 2011 00:00:00",10.0,10.0,9.96,9.96,18960.0
"Dec 13, 2011 00:00:00",10.0,10.0,10.0,10.0,1000.0
"Dec 19, 2011 00:00:00",10.0,10.0,10.0,10.0,2000.0
"Dec 20, 2011 00:00:00",10.0,10.0,10.0,10.0,2000.0
"Dec 28, 2011 00:00:00",10.0,10.0,10.0,10.0,70000000.0
"Jan 27, 2012 00:00:00",10.0,10.0,10.0,10.0,1000.0
"Feb 09, 2012 00:00:00",8.0,11.0,8.0,11.0,123000.0
"Feb 21, 2012 00:00:00",10.9,10.9,10.9,10.9,1090.0
"Feb 24, 2012 00:00:00",9.0,11.0,9.0,11.0,19100.0
"Mar 22, 2012 00:00:00",10.0,10.54,10.0,10.2,43722.0
"Mar 23, 2012 00:00:00",10.54,10.54,10.3,10.54,10372.0
"Mar 26, 2012 00:00:00",11.0,12.0,11.0,11.0,25400.0
"Mar 27, 2012 00:00:00",11.0,11.0,11.0,11.0,1100.0
"Mar 28, 2012 00:00:00",10.5,10.5,10.5,10.5,1050.0
"Mar 29, 2012 00:00:00",11.0,11.0,11.0,11.0,1100.0
"Apr 13, 2012 00:00:00",9.0,9.32,9.0,9.32,17548.0
"Apr 16, 2012 00:00:00",9.5,9.5,9.5,9.5,3800.0
"Apr 27, 2012 00:00:00",10.86,10.86,10.86,10.86,5430.0
"May 02, 2012 00:00:00",12.0,12.0,12.0,12.0,2400.0
"May 08, 2012 00:00:00",9.0,9.0,9.0,9.0,900.0
"May 10, 2012 00:00:00",11.9,11.9,11.9,11.9,1190.0
"May 11, 2012 00:00:00",10.0,11.7,10.0,11.7,15830.0
"May 14, 2012 00:00:00",11.98,12.0,11.5,11.98,9490.0
"May 15, 2012 00:00:00",12.2,12.2,12.2,12.2,1220.0
"May 16, 2012 00:00:00",12.2,12.2,9.5,9.5,26190.0
"May 18, 2012 00:00:00",10.94,10.94,9.25,9.25,33835.0
"May 22, 2012 00:00:00",9.1,9.5,9.0,9.5,55610.0
"May 23, 2012 00:00:00",11.0,11.0,10.96,10.96,3294.0
"May 24, 2012 00:00:00",10.96,10.96,10.96,10.96,44936.0
"May 25, 2012 00:00:00",12.0,12.0,12.0,12.0,1200.0
"May 28, 2012 00:00:00",12.0,12.0,12.0,12.0,1200.0
"May 29, 2012 00:00:00",12.0,12.0,12.0,12.0,1200.0
"May 31, 2012 00:00:00",9.5,9.99,9.06,9.06,23855.0
"Jun 01, 2012 00:00:00",11.48,11.48,9.13,9.13,39438.0
"Jun 04, 2012 00:00:00",10.98,10.98,10.98,10.98,1098.0
"Jun 07, 2012 00:00:00",10.2,10.2,10.1,10.1,28306.0
"Jun 21, 2012 00:00:00",10.0,10.0,10.0,10.0,2000.0
"Jun 22, 2012 00:00:00",10.5,10.5,10.5,10.5,1050.0
"Jun 27, 2012 00:00:00",10.0,10.0,10.0,10.0,10000.0
"Jun 28, 2012 00:00:00",10.0,10.0,10.0,10.0,1000.0
"Jul 02, 2012 00:00:00",10.5,10.5,10.5,10.5,15750.0
"Jul 03, 2012 00:00:00",10.5,10.5,10.5,10.5,5250.0
"Jul 05, 2012 00:00:00",10.6,10.6,10.5,10.5,61980.0
"Jul 06, 2012 00:00:00",11.36,11.36,11.36,11.36,2272.0
"Jul 17, 2012 00:00:00",10.0,10.0,10.0,10.0,2000.0
"Jul 18, 2012 00:00:00",11.0,11.0,11.0,11.0,11000.0
"Jul 19, 2012 00:00:00",11.0,11.0,11.0,11.0,11000.0
"Jul 20, 2012 00:00:00",11.0,11.0,11.0,11.0,11000.0
"Jul 23, 2012 00:00:00",11.0,11.0,11.0,11.0,4400.0
"Jul 27, 2012 00:00:00",11.0,11.0,11.0,11.0,11000.0
"Jul 31, 2012 00:00:00",10.88,10.88,10.88,10.88,5440.0
"Aug 01, 2012 00:00:00",10.88,10.88,10.88,10.88,10880.0
"Aug 02, 2012 00:00:00",10.5,10.5,10.5,10.5,17850.0
"Aug 06, 2012 00:00:00",10.2,10.2,10.2,10.2,10200.0
"Aug 10, 2012 00:00:00",10.5,10.5,10.5,10.5,105000.0
"Aug 16, 2012 00:00:00",10.5,10.5,10.5,10.5,82950.0
"Aug 22, 2012 00:00:00",10.5,10.5,10.5,10.5,37800.0
"Aug 23, 2012 00:00:00",10.9,10.9,10.9,10.9,1090.0
"Aug 24, 2012 00:00:00",10.9,10.9,10.9,10.9,1090.0
"Aug 28, 2012 00:00:00",10.5,10.5,9.3,9.3,557440.0
"Aug 29, 2012 00:00:00",9.31,9.31,8.2,8.2,458054.0
"Aug 30, 2012 00:00:00",8.93,8.93,7.8,7.8,600838.0
"Aug 31, 2012 00:00:00",8.3,8.3,6.9,7.73,207718.0
"Sep 03, 2012 00:00:00",7.7,7.7,7.7,7.7,1540.0
"Sep 04, 2012 00:00:00",7.3,7.5,7.0,7.3,148150.0
"Sep 05, 2012 00:00:00",7.1,7.1,7.1,7.1,124250.0
"Sep 06, 2012 00:00:00",7.05,7.05,6.95,7.0,664275.0
"Sep 07, 2012 00:00:00",7.0,7.0,6.95,7.0,163065.0
"Sep 10, 2012 00:00:00",7.0,7.0,6.9,6.9,235700.0
"Sep 11, 2012 00:00:00",6.9,6.9,6.9,6.9,534060.0
"Sep 12, 2012 00:00:00",7.2,7.2,6.9,6.9,292060.0
"Sep 13, 2012 00:00:00",6.9,6.9,6.88,6.88,64820.0
"Sep 14, 2012 00:00:00",6.88,6.88,6.8,6.8,595492.0
"Sep 17, 2012 00:00:00",7.0,7.0,6.8,6.8,140730.0
"Sep 18, 2012 00:00:00",6.8,6.95,6.8,6.81,722120.0
"Sep 19, 2012 00:00:00",7.1,7.95,7.0,7.0,788760.0
"Sep 20, 2012 00:00:00",7.5,7.6,7.0,7.0,800030.0
"Sep 21, 2012 00:00:00",7.05,7.05,7.01,7.01,144325.0
"Sep 24, 2012 00:00:00",7.01,7.23,7.01,7.1,35057.0
"Sep 25, 2012 00:00:00",7.05,7.05,7.04,7.05,77548.0
"Sep 26, 2012 00:00:00",7.06,7.06,7.03,7.03,30314.0
"Sep 27, 2012 00:00:00",7.05,8.0,7.05,7.75,24537392.0
"Sep 28, 2012 00:00:00",7.75,8.49,7.75,7.95,635406.0
"Oct 01, 2012 00:00:00",8.0,8.05,8.0,8.0,165695.0
"Oct 02, 2012 00:00:00",7.75,7.8,7.75,7.8,7005.0
"Oct 03, 2012 00:00:00",7.8,7.99,7.7,7.8,536468.0
"Oct 04, 2012 00:00:00",7.85,7.95,7.78,7.78,302840.0
"Oct 05, 2012 00:00:00",7.88,7.88,7.5,7.8,151610.0
"Oct 08, 2012 00:00:00",7.65,7.74,7.6,7.65,149049.0
"Oct 09, 2012 00:00:00",7.6,7.6,7.6,7.6,83600.0
"Oct 10, 2012 00:00:00",7.5,7.5,7.44,7.45,18670.0
"Oct 11, 2012 00:00:00",7.44,7.46,7.35,7.4,82168.0
"Oct 12, 2012 00:00:00",7.61,7.65,7.61,7.65,55659.0
"Oct 15, 2012 00:00:00",7.65,8.2,7.46,8.2,158265.0
"Oct 16, 2012 00:00:00",8.1,8.1,8.1,8.1,48600.0
"Oct 19, 2012 00:00:00",7.55,8.1,7.55,8.1,38293.0
"Oct 22, 2012 00:00:00",7.55,7.55,7.36,7.36,37655.0
"Oct 23, 2012 00:00:00",7.4,8.0,7.4,8.0,53000.0
"Oct 25, 2012 00:00:00",8.0,8.0,7.54,7.54,53508.0
"Oct 29, 2012 00:00:00",7.54,7.7,7.5,7.7,83212.0
"Oct 30, 2012 00:00:00",8.0,8.0,8.0,8.0,38400.0
"Oct 31, 2012 00:00:00",7.9,7.9,7.9,7.9,52140.0
"Nov 05, 2012 00:00:00",7.8,7.96,7.7,7.96,39536.0
"Nov 08, 2012 00:00:00",7.7,7.7,7.6,7.7,222070.0
"Nov 09, 2012 00:00:00",7.6,7.6,7.5,7.5,53760.0
"Nov 12, 2012 00:00:00",7.6,7.6,7.6,7.6,18240.0
"Nov 14, 2012 00:00:00",7.56,7.56,7.56,7.56,1512.0
"Nov 15, 2012 00:00:00",7.55,8.5,7.55,8.5,484192.0
"Nov 19, 2012 00:00:00",8.3,8.3,8.0,8.0,26430.0
"Nov 20, 2012 00:00:00",7.6,8.0,7.6,8.0,1560.0
"Nov 21, 2012 00:00:00",7.6,8.0,7.6,8.0,9160.0
"Nov 23, 2012 00:00:00",7.62,7.65,7.6,7.6,53340.0
"Nov 26, 2012 00:00:00",7.7,8.5,7.7,8.2,381055.0
"Dec 03, 2012 00:00:00",8.2,8.29,8.2,8.29,20545.0
"Dec 04, 2012 00:00:00",8.2,8.2,8.2,8.2,4920.0
"Dec 05, 2012 00:00:00",8.0,8.0,7.8,8.0,68880.0
"Dec 06, 2012 00:00:00",8.15,8.15,8.15,8.15,8150.0
"Dec 07, 2012 00:00:00",7.9,7.9,7.8,7.8,140546.0
"Dec 12, 2012 00:00:00",7.8,7.8,7.8,7.8,7800.0
"Dec 14, 2012 00:00:00",7.9,7.9,7.9,7.9,39500.0
