chart_date,open,high,low,close,value
"Aug 03, 2009 00:00:00",38.5,39.0,37.5,38.5,233299350.0
"Aug 04, 2009 00:00:00",39.5,40.0,38.5,39.0,148144100.0
"Aug 06, 2009 00:00:00",39.5,39.5,38.5,39.0,97831550.0
"Aug 07, 2009 00:00:00",39.0,39.0,38.5,39.0,127303850.0
"Aug 10, 2009 00:00:00",39.0,39.5,38.0,38.5,75346600.0
"Aug 11, 2009 00:00:00",39.0,39.0,38.0,38.5,31341000.0
"Aug 12, 2009 00:00:00",38.5,38.5,38.0,38.5,49113700.0
"Aug 13, 2009 00:00:00",38.5,38.5,38.0,38.0,41077350.0
"Aug 14, 2009 00:00:00",38.5,38.5,38.0,38.0,85402500.0
"Aug 17, 2009 00:00:00",38.0,38.0,37.0,37.0,56466950.0
"Aug 18, 2009 00:00:00",36.5,37.5,36.0,37.0,60183400.0
"Aug 19, 2009 00:00:00",38.0,38.5,37.5,37.5,71233800.0
"Aug 20, 2009 00:00:00",37.5,38.0,37.0,37.0,63410150.0
"Aug 24, 2009 00:00:00",38.0,40.5,38.0,39.5,179644550.0
"Aug 25, 2009 00:00:00",39.5,39.5,38.5,38.5,73305450.0
"Aug 26, 2009 00:00:00",39.0,39.5,38.5,39.0,152304700.0
"Sep 03, 2009 00:00:00",38.0,38.0,37.5,37.5,97923200.0
"Sep 04, 2009 00:00:00",38.0,38.5,37.5,38.0,105708000.0
"Sep 16, 2009 00:00:00",37.5,37.5,37.5,37.5,81041250.0
"Sep 17, 2009 00:00:00",38.0,38.5,37.5,37.5,99647100.0
"Sep 18, 2009 00:00:00",38.0,38.5,38.0,38.5,57177350.0
"Sep 22, 2009 00:00:00",38.5,38.5,37.5,38.0,41595400.0
"Sep 23, 2009 00:00:00",38.5,39.0,38.5,38.5,82660650.0
"Sep 30, 2009 00:00:00",38.0,38.5,37.5,38.5,106519500.0
"Oct 01, 2009 00:00:00",38.5,39.5,38.5,39.0,201262050.0
"Oct 02, 2009 00:00:00",38.5,39.5,38.0,39.0,61733700.0
"Oct 05, 2009 00:00:00",39.0,39.0,38.5,39.0,46503250.0
"Oct 06, 2009 00:00:00",39.0,40.0,39.0,39.0,99082400.0
"Oct 07, 2009 00:00:00",39.5,42.0,39.5,41.5,366772300.0
"Oct 08, 2009 00:00:00",42.0,42.5,41.5,42.0,233786850.0
"Oct 09, 2009 00:00:00",41.5,42.5,41.5,42.0,132385250.0
"Oct 12, 2009 00:00:00",42.5,42.5,41.0,41.0,107330500.0
"Oct 13, 2009 00:00:00",41.0,42.0,40.5,40.5,102156900.0
"Oct 14, 2009 00:00:00",41.0,42.0,41.0,42.0,117910050.0
"Oct 15, 2009 00:00:00",42.0,42.0,41.5,42.0,61789900.0
"Oct 16, 2009 00:00:00",41.5,41.5,41.0,41.0,55527150.0
"Oct 19, 2009 00:00:00",41.0,42.0,41.0,42.0,45029650.0
"Oct 20, 2009 00:00:00",42.0,43.0,41.5,42.5,103707450.0
"Oct 21, 2009 00:00:00",42.5,42.5,41.0,41.5,76146350.0
"Oct 22, 2009 00:00:00",41.5,41.5,40.0,40.0,167868500.0
"Oct 23, 2009 00:00:00",40.5,41.0,40.0,40.5,71377850.0
"Oct 26, 2009 00:00:00",41.0,41.5,41.0,41.0,44068300.0
"Oct 27, 2009 00:00:00",41.0,41.5,40.5,41.0,107977100.0
"Oct 28, 2009 00:00:00",40.5,40.5,38.5,39.5,250681000.0
"Oct 29, 2009 00:00:00",39.5,40.0,38.5,40.0,79200750.0
"Oct 30, 2009 00:00:00",40.5,41.0,40.5,41.0,155954900.0
"Nov 03, 2009 00:00:00",40.5,41.0,40.0,41.0,152807550.0
"Nov 04, 2009 00:00:00",40.5,41.0,40.0,40.0,47502750.0
"Nov 05, 2009 00:00:00",40.0,41.0,40.0,41.0,32205750.0
"Nov 06, 2009 00:00:00",41.0,41.5,41.0,41.5,74470450.0
"Nov 09, 2009 00:00:00",41.5,41.5,40.0,41.0,22419050.0
"Nov 10, 2009 00:00:00",41.0,44.0,41.0,44.0,155432100.0
"Nov 11, 2009 00:00:00",44.0,44.0,42.5,43.5,46007150.0
"Dec 15, 2009 00:00:00",46.5,46.5,46.0,46.5,73686650.0
"Dec 16, 2009 00:00:00",46.5,46.5,46.0,46.0,57456150.0
"Dec 17, 2009 00:00:00",45.5,46.5,45.5,46.5,48715850.0
"Dec 18, 2009 00:00:00",46.0,46.0,45.5,45.5,67740800.0
"Dec 21, 2009 00:00:00",45.5,45.5,45.0,45.5,46449600.0
"Dec 22, 2009 00:00:00",45.5,45.5,43.5,44.0,62298050.0
"Dec 23, 2009 00:00:00",44.0,45.0,44.0,44.5,41199750.0
"Dec 29, 2009 00:00:00",45.0,45.0,44.5,45.0,49849000.0
"Jan 04, 2010 00:00:00",44.0,44.0,43.5,44.0,23129800.0
"Jan 05, 2010 00:00:00",44.0,44.0,43.5,43.5,56072850.0
"Jan 06, 2010 00:00:00",43.5,44.5,43.5,44.5,65081350.0
"Jan 07, 2010 00:00:00",44.5,45.0,44.0,45.0,54897050.0
"Jan 08, 2010 00:00:00",44.5,45.5,44.5,45.0,44930750.0
"Jan 11, 2010 00:00:00",45.0,45.5,44.5,45.5,64671900.0
"Jan 12, 2010 00:00:00",45.5,46.5,45.5,46.5,65657300.0
"Jan 13, 2010 00:00:00",46.0,46.5,46.0,46.5,46813900.0
"Jan 14, 2010 00:00:00",46.5,46.5,46.0,46.0,131566700.0
"Jan 15, 2010 00:00:00",46.0,46.0,44.5,44.5,99790700.0
"Jan 18, 2010 00:00:00",44.5,45.0,44.5,45.0,44546950.0
"Jan 19, 2010 00:00:00",44.5,44.5,44.0,44.0,130174350.0
"Jan 20, 2010 00:00:00",45.0,45.0,44.0,44.5,55325500.0
"Jan 21, 2010 00:00:00",44.0,44.5,44.0,44.5,110315100.0
"Jan 22, 2010 00:00:00",44.5,44.5,43.0,43.0,92938750.0
"Jan 25, 2010 00:00:00",43.0,43.0,41.5,42.0,90739450.0
"Jan 26, 2010 00:00:00",42.0,42.5,41.0,41.5,75350650.0
"Jan 27, 2010 00:00:00",41.5,42.0,40.5,41.0,65654200.0
"Jan 28, 2010 00:00:00",41.0,42.0,41.0,42.0,59743900.0
"Jan 29, 2010 00:00:00",41.5,42.0,41.5,42.0,82042100.0
"Feb 01, 2010 00:00:00",41.5,41.5,40.0,40.5,37617550.0
"Feb 02, 2010 00:00:00",41.0,41.5,39.5,39.5,87735700.0
"Feb 03, 2010 00:00:00",40.0,40.5,38.5,39.0,63189050.0
"Feb 04, 2010 00:00:00",39.0,40.5,39.0,39.5,112614350.0
"Feb 05, 2010 00:00:00",38.5,38.5,37.0,37.5,182704200.0
"Feb 08, 2010 00:00:00",38.0,38.0,36.5,36.5,57993200.0
"Feb 09, 2010 00:00:00",36.0,36.5,36.0,36.5,107902100.0
"Feb 10, 2010 00:00:00",38.0,38.5,37.5,38.0,242434100.0
"Feb 11, 2010 00:00:00",38.5,39.0,38.0,39.0,91346100.0
"Mar 08, 2010 00:00:00",44.5,45.5,44.5,45.5,84076200.0
"Mar 12, 2010 00:00:00",45.0,45.5,45.0,45.5,188392600.0
"Mar 15, 2010 00:00:00",45.5,46.0,45.5,45.5,98862450.0
"Mar 16, 2010 00:00:00",45.5,46.0,45.5,45.5,278385750.0
