chart_date,open,high,low,close,value
"Aug 03, 2009 00:00:00",1.4,1.46,1.38,1.44,211901500.0
"Aug 04, 2009 00:00:00",1.48,1.48,1.36,1.36,282862540.0
"Aug 06, 2009 00:00:00",1.34,1.38,1.3,1.34,199770280.0
"Aug 07, 2009 00:00:00",1.34,1.36,1.32,1.34,112200540.0
"Aug 10, 2009 00:00:00",1.36,1.4,1.34,1.38,136745700.0
"Aug 11, 2009 00:00:00",1.38,1.4,1.34,1.36,70286820.0
"Aug 12, 2009 00:00:00",1.34,1.36,1.32,1.34,113217860.0
"Aug 13, 2009 00:00:00",1.36,1.42,1.36,1.38,168227200.0
"Aug 14, 2009 00:00:00",1.4,1.4,1.36,1.38,63077520.0
"Aug 17, 2009 00:00:00",1.34,1.36,1.28,1.28,240914560.0
"Aug 18, 2009 00:00:00",1.22,1.28,1.22,1.26,196406200.0
"Aug 19, 2009 00:00:00",1.3,1.32,1.28,1.28,86890000.0
"Aug 20, 2009 00:00:00",1.32,1.32,1.24,1.24,70751720.0
"Aug 24, 2009 00:00:00",1.32,1.42,1.32,1.42,292387500.0
"Aug 25, 2009 00:00:00",1.4,1.54,1.4,1.5,479758960.0
"Aug 26, 2009 00:00:00",1.52,1.58,1.52,1.54,311129700.0
"Sep 03, 2009 00:00:00",1.48,1.52,1.44,1.48,357283640.0
"Sep 04, 2009 00:00:00",1.52,1.54,1.52,1.54,191193300.0
"Sep 16, 2009 00:00:00",1.52,1.52,1.48,1.5,109736840.0
"Sep 17, 2009 00:00:00",1.54,1.54,1.5,1.52,152744080.0
"Sep 18, 2009 00:00:00",1.5,1.56,1.48,1.56,126935720.0
"Sep 22, 2009 00:00:00",1.54,1.54,1.52,1.54,105694320.0
"Sep 23, 2009 00:00:00",1.56,1.58,1.52,1.54,132526260.0
"Sep 30, 2009 00:00:00",1.48,1.5,1.48,1.5,20699900.0
"Oct 01, 2009 00:00:00",1.5,1.54,1.5,1.52,32370120.0
"Oct 02, 2009 00:00:00",1.48,1.5,1.46,1.5,29694620.0
"Oct 05, 2009 00:00:00",1.5,1.52,1.48,1.52,41394580.0
"Oct 06, 2009 00:00:00",1.52,1.6,1.52,1.6,300392280.0
"Oct 07, 2009 00:00:00",1.64,1.68,1.64,1.68,241247660.0
"Oct 08, 2009 00:00:00",1.68,1.74,1.68,1.72,213680620.0
"Oct 09, 2009 00:00:00",1.72,1.72,1.64,1.66,123866120.0
"Oct 12, 2009 00:00:00",1.68,1.7,1.62,1.64,69338000.0
"Oct 13, 2009 00:00:00",1.64,1.68,1.62,1.64,75988560.0
"Oct 14, 2009 00:00:00",1.64,1.68,1.64,1.66,44294120.0
"Oct 15, 2009 00:00:00",1.68,1.74,1.68,1.72,257242180.0
"Oct 16, 2009 00:00:00",1.72,1.72,1.66,1.66,42234660.0
"Oct 19, 2009 00:00:00",1.66,1.7,1.66,1.68,42073580.0
"Oct 20, 2009 00:00:00",1.68,1.7,1.66,1.68,56683980.0
"Oct 21, 2009 00:00:00",1.68,1.68,1.64,1.64,106606300.0
"Oct 22, 2009 00:00:00",1.64,1.66,1.62,1.64,112286540.0
"Oct 23, 2009 00:00:00",1.66,1.66,1.64,1.66,84368560.0
"Oct 26, 2009 00:00:00",1.64,1.66,1.64,1.64,30438700.0
"Oct 27, 2009 00:00:00",1.64,1.64,1.6,1.64,86646760.0
"Oct 28, 2009 00:00:00",1.64,1.64,1.56,1.58,105913520.0
"Oct 29, 2009 00:00:00",1.54,1.54,1.5,1.52,202522560.0
"Oct 30, 2009 00:00:00",1.56,1.56,1.52,1.54,77035920.0
"Nov 03, 2009 00:00:00",1.5,1.52,1.46,1.48,133138440.0
"Nov 04, 2009 00:00:00",1.48,1.52,1.44,1.5,131533940.0
"Nov 05, 2009 00:00:00",1.5,1.54,1.48,1.52,42050260.0
"Nov 06, 2009 00:00:00",1.56,1.56,1.52,1.54,66267240.0
"Nov 09, 2009 00:00:00",1.54,1.54,1.48,1.5,30140000.0
"Nov 10, 2009 00:00:00",1.54,1.56,1.52,1.56,86085720.0
"Nov 11, 2009 00:00:00",1.56,1.64,1.52,1.62,173988420.0
"Dec 15, 2009 00:00:00",1.42,1.44,1.42,1.44,47999740.0
"Dec 16, 2009 00:00:00",1.44,1.48,1.42,1.46,65188780.0
"Dec 17, 2009 00:00:00",1.48,1.48,1.4,1.42,64810880.0
"Dec 18, 2009 00:00:00",1.4,1.42,1.38,1.38,48101900.0
"Dec 21, 2009 00:00:00",1.4,1.4,1.38,1.38,37281520.0
"Dec 22, 2009 00:00:00",1.4,1.4,1.32,1.38,59511960.0
"Dec 23, 2009 00:00:00",1.38,1.38,1.34,1.36,19659400.0
"Dec 29, 2009 00:00:00",1.4,1.48,1.4,1.48,183005660.0
"Jan 04, 2010 00:00:00",1.46,1.46,1.42,1.46,82315780.0
"Jan 05, 2010 00:00:00",1.46,1.46,1.44,1.44,53781640.0
"Jan 06, 2010 00:00:00",1.44,1.44,1.42,1.44,27384540.0
"Jan 07, 2010 00:00:00",1.44,1.46,1.42,1.42,115084000.0
"Jan 08, 2010 00:00:00",1.42,1.46,1.42,1.42,69832500.0
"Jan 11, 2010 00:00:00",1.42,1.42,1.38,1.4,54999700.0
"Jan 12, 2010 00:00:00",1.4,1.44,1.38,1.44,88395020.0
"Jan 13, 2010 00:00:00",1.42,1.42,1.38,1.4,53226200.0
"Jan 14, 2010 00:00:00",1.4,1.42,1.4,1.42,65072340.0
"Jan 15, 2010 00:00:00",1.4,1.4,1.38,1.4,71481920.0
"Jan 18, 2010 00:00:00",1.38,1.38,1.34,1.36,147219560.0
"Jan 19, 2010 00:00:00",1.38,1.38,1.34,1.36,68709400.0
"Jan 20, 2010 00:00:00",1.36,1.36,1.28,1.3,148499580.0
"Jan 21, 2010 00:00:00",1.26,1.3,1.24,1.28,156324160.0
"Jan 22, 2010 00:00:00",1.24,1.26,1.22,1.26,129083840.0
"Jan 25, 2010 00:00:00",1.24,1.28,1.22,1.28,58910920.0
"Jan 26, 2010 00:00:00",1.28,1.28,1.22,1.22,92721220.0
"Jan 27, 2010 00:00:00",1.2,1.22,1.16,1.2,109977640.0
"Jan 28, 2010 00:00:00",1.2,1.24,1.16,1.22,124351000.0
