chart_date,open,high,low,close,value
"Aug 03, 2009 00:00:00",220.0,237.0,212.0,220.0,238651540.0
"Aug 04, 2009 00:00:00",222.0,243.0,222.0,240.0,211978430.0
"Aug 06, 2009 00:00:00",242.0,257.5,242.0,246.0,113696985.0
"Aug 07, 2009 00:00:00",250.0,250.0,234.0,235.0,99331820.0
"Aug 10, 2009 00:00:00",255.0,270.0,255.0,262.5,252942925.0
"Aug 11, 2009 00:00:00",267.5,272.5,262.5,262.5,201808775.0
"Aug 12, 2009 00:00:00",255.0,257.5,242.0,250.0,163426255.0
"Aug 13, 2009 00:00:00",260.0,260.0,243.0,244.0,75715490.0
"Aug 14, 2009 00:00:00",243.0,244.0,220.0,223.0,144621070.0
"Aug 17, 2009 00:00:00",220.0,220.0,202.0,215.0,307912520.0
"Aug 18, 2009 00:00:00",206.0,210.0,202.0,207.0,154211580.0
"Aug 19, 2009 00:00:00",210.0,218.0,202.0,207.0,161642210.0
"Aug 20, 2009 00:00:00",210.0,211.0,193.0,196.0,146462340.0
"Aug 24, 2009 00:00:00",205.0,221.0,200.0,220.0,338436890.0
"Aug 25, 2009 00:00:00",222.0,230.0,207.0,214.0,167957620.0
"Aug 26, 2009 00:00:00",214.0,214.0,203.0,204.0,80398240.0
"Sep 03, 2009 00:00:00",197.0,197.0,190.0,194.0,69288770.0
"Sep 04, 2009 00:00:00",194.0,194.0,191.0,192.0,62981500.0
"Sep 16, 2009 00:00:00",183.0,183.0,177.0,180.0,95412670.0
"Sep 17, 2009 00:00:00",182.0,183.0,170.0,174.0,104910650.0
"Sep 18, 2009 00:00:00",170.0,172.0,163.0,170.0,163351430.0
"Sep 22, 2009 00:00:00",168.0,171.0,166.0,171.0,97832750.0
"Sep 23, 2009 00:00:00",175.0,190.0,175.0,188.0,134988540.0
"Sep 30, 2009 00:00:00",172.0,172.0,168.0,170.0,51952810.0
"Oct 01, 2009 00:00:00",173.0,176.0,169.0,172.0,54561780.0
"Oct 02, 2009 00:00:00",169.0,173.0,168.0,173.0,26187040.0
"Oct 05, 2009 00:00:00",173.0,175.0,166.0,166.0,62564190.0
"Oct 06, 2009 00:00:00",170.0,179.0,168.0,176.0,80482670.0
"Oct 07, 2009 00:00:00",179.0,183.0,176.0,181.0,50793490.0
"Oct 08, 2009 00:00:00",180.0,185.0,178.0,183.0,43810990.0
"Oct 09, 2009 00:00:00",183.0,192.0,182.0,188.0,87495000.0
"Oct 12, 2009 00:00:00",190.0,198.0,189.0,195.0,118673140.0
"Oct 13, 2009 00:00:00",198.0,200.0,189.0,190.0,80420810.0
"Oct 14, 2009 00:00:00",192.0,200.0,192.0,196.0,177226680.0
"Oct 15, 2009 00:00:00",199.0,200.0,193.0,197.0,61960670.0
"Oct 16, 2009 00:00:00",195.0,198.0,194.0,198.0,46252780.0
"Oct 19, 2009 00:00:00",198.0,217.0,197.0,211.0,338852880.0
"Oct 20, 2009 00:00:00",218.0,226.0,213.0,216.0,200572260.0
"Oct 21, 2009 00:00:00",218.0,223.0,212.0,212.0,215452530.0
"Oct 22, 2009 00:00:00",210.0,210.0,199.0,201.0,82392510.0
"Oct 23, 2009 00:00:00",203.0,205.0,199.0,203.0,29169970.0
"Oct 26, 2009 00:00:00",210.0,210.0,203.0,203.0,27492450.0
"Oct 27, 2009 00:00:00",199.0,200.0,192.0,194.0,151932850.0
"Oct 28, 2009 00:00:00",195.0,197.0,192.0,194.0,11231730.0
"Oct 29, 2009 00:00:00",190.0,191.0,186.0,186.0,30532410.0
"Oct 30, 2009 00:00:00",195.0,197.0,187.0,188.0,103569760.0
"Nov 03, 2009 00:00:00",220.0,223.0,213.0,213.0,329449280.0
"Nov 04, 2009 00:00:00",220.0,226.0,215.0,217.0,214714260.0
"Nov 05, 2009 00:00:00",220.0,222.0,216.0,221.0,120673600.0
"Nov 06, 2009 00:00:00",216.0,216.0,194.0,194.0,213452980.0
"Nov 09, 2009 00:00:00",194.0,204.0,192.0,197.0,72260750.0
"Nov 10, 2009 00:00:00",198.0,211.0,198.0,210.0,103910730.0
"Nov 11, 2009 00:00:00",210.0,211.0,203.0,211.0,60997170.0
"Dec 15, 2009 00:00:00",210.0,212.0,208.0,209.0,52767690.0
"Dec 16, 2009 00:00:00",208.0,210.0,202.0,210.0,30010730.0
"Dec 17, 2009 00:00:00",210.0,210.0,206.0,208.0,13062810.0
"Dec 18, 2009 00:00:00",206.0,206.0,203.0,206.0,28304740.0
"Dec 21, 2009 00:00:00",206.0,206.0,199.0,200.0,31858320.0
"Dec 22, 2009 00:00:00",198.0,199.0,194.0,196.0,44649650.0
"Dec 23, 2009 00:00:00",198.0,199.0,197.0,198.0,14634090.0
"Dec 29, 2009 00:00:00",197.0,208.0,197.0,205.0,49360700.0
"Jan 04, 2010 00:00:00",206.0,208.0,200.0,200.0,25893350.0
"Jan 05, 2010 00:00:00",201.0,207.0,200.0,206.0,80251960.0
"Jan 06, 2010 00:00:00",206.0,212.0,205.0,205.0,54071020.0
"Jan 07, 2010 00:00:00",205.0,209.0,205.0,208.0,28257070.0
"Jan 08, 2010 00:00:00",207.0,207.0,203.0,204.0,14994090.0
"Jan 11, 2010 00:00:00",202.0,205.0,202.0,205.0,17739510.0
"Jan 12, 2010 00:00:00",205.0,207.0,202.0,202.0,30972370.0
"Jan 13, 2010 00:00:00",203.0,203.0,198.0,198.0,28666600.0
"Jan 14, 2010 00:00:00",198.0,200.0,198.0,198.0,10663260.0
"Jan 15, 2010 00:00:00",198.0,199.0,196.0,197.0,29129860.0
"Jan 18, 2010 00:00:00",197.0,199.0,193.0,193.0,33548400.0
"Jan 19, 2010 00:00:00",193.0,193.0,191.0,192.0,24811910.0
"Jan 20, 2010 00:00:00",192.0,195.0,190.0,193.0,28254030.0
"Jan 21, 2010 00:00:00",190.0,192.0,190.0,192.0,18653540.0
"Jan 22, 2010 00:00:00",191.0,191.0,176.0,176.0,101236070.0
"Jan 25, 2010 00:00:00",178.0,178.0,166.0,169.0,98377950.0
"Jan 26, 2010 00:00:00",171.0,174.0,166.0,166.0,46056450.0
"Jan 27, 2010 00:00:00",166.0,169.0,163.0,165.0,44440270.0
"Jan 28, 2010 00:00:00",166.0,167.0,158.0,164.0,62276410.0
"Jan 29, 2010 00:00:00",164.0,164.0,159.0,162.0,53677370.0
"Feb 01, 2010 00:00:00",159.0,161.0,145.0,152.0,75280280.0
"Feb 02, 2010 00:00:00",155.0,158.0,148.0,154.0,62072330.0
"Feb 03, 2010 00:00:00",154.0,159.0,154.0,159.0,36773420.0
"Feb 04, 2010 00:00:00",159.0,172.0,159.0,168.0,62797500.0
"Feb 05, 2010 00:00:00",163.0,163.0,156.0,160.0,66171830.0
"Feb 08, 2010 00:00:00",165.0,166.0,160.0,163.0,55077950.0
"Feb 09, 2010 00:00:00",163.0,163.0,155.0,157.0,38091790.0
"Feb 10, 2010 00:00:00",160.0,164.0,160.0,164.0,31169730.0
"Feb 11, 2010 00:00:00",164.0,171.0,163.0,170.0,28856780.0
"Mar 08, 2010 00:00:00",181.0,184.0,180.0,184.0,39596730.0
"Mar 12, 2010 00:00:00",180.0,180.0,173.0,173.0,20725400.0
"Mar 15, 2010 00:00:00",176.0,178.0,175.0,175.0,12984590.0
"Mar 16, 2010 00:00:00",175.0,180.0,175.0,180.0,12574160.0
"Mar 17, 2010 00:00:00",180.0,180.0,176.0,178.0,69620070.0
"Mar 31, 2010 00:00:00",182.0,182.0,176.0,176.0,90539420.0
"Apr 20, 2010 00:00:00",169.0,169.0,165.0,165.0,56115030.0
"Apr 21, 2010 00:00:00",166.0,172.0,166.0,171.0,37569480.0
"Apr 22, 2010 00:00:00",172.0,172.0,168.0,169.0,9366010.0
"Apr 23, 2010 00:00:00",170.0,174.0,170.0,174.0,26357710.0
"Apr 29, 2010 00:00:00",176.0,176.0,173.0,173.0,4766750.0
"Apr 30, 2010 00:00:00",176.0,178.0,173.0,176.0,69264720.0
"May 04, 2010 00:00:00",175.0,175.0,171.0,171.0,41478850.0
"May 05, 2010 00:00:00",169.0,170.0,165.0,167.0,58144060.0
"May 13, 2010 00:00:00",171.0,174.0,171.0,172.0,7797750.0
"May 14, 2010 00:00:00",172.0,172.0,167.0,167.0,16344860.0
"May 17, 2010 00:00:00",168.0,171.0,166.0,167.0,52161900.0
"May 18, 2010 00:00:00",167.0,170.0,164.0,166.0,23276280.0
"May 19, 2010 00:00:00",166.0,166.0,164.0,165.0,6234770.0
"May 20, 2010 00:00:00",160.0,166.0,160.0,164.0,37312050.0
"May 21, 2010 00:00:00",162.0,163.0,162.0,163.0,20338900.0
"May 24, 2010 00:00:00",163.0,169.0,163.0,169.0,83675300.0
"May 25, 2010 00:00:00",169.0,171.0,165.0,168.0,16892470.0
"May 26, 2010 00:00:00",168.0,176.0,168.0,176.0,59558780.0
"May 27, 2010 00:00:00",172.0,174.0,170.0,170.0,28060040.0
"May 28, 2010 00:00:00",174.0,176.0,172.0,174.0,64742190.0
"May 31, 2010 00:00:00",170.0,180.0,170.0,179.0,81294780.0
"Jun 01, 2010 00:00:00",179.0,181.0,176.0,179.0,51495940.0
"Jun 02, 2010 00:00:00",177.0,182.0,177.0,177.0,44366620.0
"Jun 03, 2010 00:00:00",180.0,192.0,177.0,192.0,149767270.0
"Jun 04, 2010 00:00:00",192.0,197.0,192.0,192.0,206663170.0
"Jun 07, 2010 00:00:00",188.0,188.0,185.0,185.0,119393910.0
"Jun 08, 2010 00:00:00",185.0,194.0,183.0,193.0,114917950.0
"Jun 09, 2010 00:00:00",195.0,195.0,189.0,191.0,108246500.0
"Jun 10, 2010 00:00:00",189.0,189.0,188.0,189.0,67390360.0
"Jun 11, 2010 00:00:00",192.0,194.0,189.0,189.0,56272770.0
"Jun 15, 2010 00:00:00",190.0,192.0,189.0,189.0,41204030.0
"Jun 16, 2010 00:00:00",190.0,192.0,188.0,189.0,20340070.0
"Jun 21, 2010 00:00:00",187.0,190.0,187.0,188.0,23627910.0
"Jun 22, 2010 00:00:00",188.0,188.0,186.0,186.0,31400050.0
"Jun 23, 2010 00:00:00",185.0,190.0,184.0,189.0,52088070.0
"Jun 24, 2010 00:00:00",187.0,188.0,187.0,187.0,9049430.0
"Jun 25, 2010 00:00:00",189.0,190.0,186.0,189.0,44258240.0
"Jun 28, 2010 00:00:00",189.0,190.0,188.0,188.0,9651390.0
"Jun 29, 2010 00:00:00",188.0,189.0,186.0,186.0,30925570.0
"Jul 01, 2010 00:00:00",186.0,186.0,183.0,183.0,36154460.0
"Jul 02, 2010 00:00:00",183.0,186.0,181.0,181.0,49265190.0
"Jul 06, 2010 00:00:00",181.0,185.0,179.0,185.0,20672480.0
"Jul 07, 2010 00:00:00",182.0,186.0,182.0,185.0,21283330.0
"Jul 08, 2010 00:00:00",185.0,194.0,185.0,190.0,75790360.0
"Jul 09, 2010 00:00:00",191.0,192.0,189.0,192.0,36687360.0
"Jul 13, 2010 00:00:00",191.0,191.0,189.0,190.0,25361080.0
"Jul 14, 2010 00:00:00",190.0,191.0,190.0,190.0,6845850.0
"Jul 15, 2010 00:00:00",189.0,191.0,189.0,190.0,27593100.0
"Jul 16, 2010 00:00:00",190.0,190.0,188.0,188.0,9621430.0
"Jul 19, 2010 00:00:00",187.0,187.0,185.0,186.0,16442160.0
"Jul 20, 2010 00:00:00",186.0,186.0,184.0,184.0,12649370.0
"Jul 21, 2010 00:00:00",185.0,187.0,184.0,186.0,45098400.0
"Jul 22, 2010 00:00:00",183.0,186.0,183.0,185.0,10333260.0
"Jul 23, 2010 00:00:00",185.0,186.0,182.0,182.0,28105810.0
"Sep 20, 2010 00:00:00",205.0,211.0,205.0,209.2,71305810.0
"Sep 21, 2010 00:00:00",209.2,216.0,209.2,215.0,84568278.0
"Sep 22, 2010 00:00:00",216.0,219.0,208.0,215.0,64718866.0
"Sep 23, 2010 00:00:00",217.0,217.0,211.0,212.0,34424374.0
"Sep 24, 2010 00:00:00",210.0,216.0,208.0,216.0,44364046.0
"Sep 27, 2010 00:00:00",218.0,218.0,214.0,217.8,86962574.0
"Sep 28, 2010 00:00:00",215.0,220.0,215.0,220.0,94960196.0
"Sep 29, 2010 00:00:00",220.0,225.0,220.0,225.0,123560394.0
"Sep 30, 2010 00:00:00",225.0,233.0,219.0,225.0,94039904.0
"Oct 01, 2010 00:00:00",220.0,229.0,220.0,229.0,53318952.0
"Oct 04, 2010 00:00:00",230.0,235.0,229.0,234.8,152809816.0
"Oct 05, 2010 00:00:00",235.0,236.0,230.0,230.0,94359860.0
"Oct 06, 2010 00:00:00",231.0,234.0,228.0,228.0,56456904.0
"Oct 07, 2010 00:00:00",232.0,232.0,224.0,224.6,94446358.0
"Oct 08, 2010 00:00:00",225.0,225.0,222.4,224.6,47809558.0
"Oct 12, 2010 00:00:00",221.8,221.8,214.4,215.0,50848206.0
"Oct 13, 2010 00:00:00",215.0,221.0,215.0,221.0,45562238.0
"Oct 14, 2010 00:00:00",221.4,227.0,221.0,222.0,60897262.0
"Oct 15, 2010 00:00:00",225.0,225.0,217.0,217.0,52088820.0
"Oct 18, 2010 00:00:00",218.0,218.0,215.2,218.0,32468656.0
"Oct 19, 2010 00:00:00",218.0,218.0,209.0,211.0,52044956.0
"Oct 20, 2010 00:00:00",211.0,214.0,206.0,206.0,39914510.0
"Oct 21, 2010 00:00:00",208.6,218.0,208.6,217.8,49457456.0
"Oct 22, 2010 00:00:00",218.0,225.0,218.0,225.0,80434522.0
"Oct 26, 2010 00:00:00",225.0,226.0,220.0,223.8,53057830.0
"Oct 27, 2010 00:00:00",226.0,226.2,223.8,225.0,31051724.0
"Oct 28, 2010 00:00:00",225.0,225.0,217.0,217.0,61449924.0
"Oct 29, 2010 00:00:00",217.0,221.0,213.0,221.0,44870682.0
"Nov 02, 2010 00:00:00",220.0,222.0,219.0,221.0,32134380.0
"Nov 03, 2010 00:00:00",221.0,221.8,220.0,221.8,32870636.0
"Nov 04, 2010 00:00:00",222.0,225.6,221.8,224.6,48293000.0
"Nov 08, 2010 00:00:00",224.0,224.0,220.0,220.0,12603020.0
"Nov 09, 2010 00:00:00",220.0,223.0,220.0,221.4,39758262.0
"Nov 10, 2010 00:00:00",220.0,220.0,211.0,215.0,70981026.0
"Nov 11, 2010 00:00:00",207.0,207.0,197.8,198.0,144030514.0
"Nov 12, 2010 00:00:00",197.0,197.0,193.1,197.0,44356236.0
"Nov 15, 2010 00:00:00",197.0,204.0,195.0,199.8,49572602.0
"Nov 17, 2010 00:00:00",199.7,199.7,190.0,190.1,134871348.0
"Nov 18, 2010 00:00:00",190.5,190.5,186.0,187.0,76250222.0
"Nov 19, 2010 00:00:00",189.0,195.0,187.0,191.0,94250967.0
"Nov 22, 2010 00:00:00",193.0,196.0,192.0,194.0,67413581.0
"Nov 23, 2010 00:00:00",194.0,196.8,191.5,196.8,55388977.0
"Nov 24, 2010 00:00:00",195.4,196.0,194.0,194.0,68566057.0
"Nov 25, 2010 00:00:00",194.0,194.0,187.0,187.0,149920337.0
"Nov 26, 2010 00:00:00",187.5,187.5,170.0,175.0,326711060.0
"Nov 30, 2010 00:00:00",175.0,181.0,174.8,178.7,321336078.0
"Dec 01, 2010 00:00:00",179.0,179.0,176.0,176.0,274985434.0
"Dec 02, 2010 00:00:00",178.9,182.0,178.5,181.0,489879632.0
"Dec 03, 2010 00:00:00",183.0,186.0,181.0,182.2,287800527.0
"Dec 06, 2010 00:00:00",186.0,194.0,183.1,194.0,598097581.0
"Dec 07, 2010 00:00:00",195.0,203.0,195.0,201.8,454748712.0
"Dec 08, 2010 00:00:00",204.0,210.0,203.0,203.0,178774650.0
"Dec 16, 2010 00:00:00",195.0,195.0,188.0,190.8,65104689.0
"Dec 22, 2010 00:00:00",198.0,199.0,195.4,195.5,57124655.0
"Dec 23, 2010 00:00:00",195.7,200.0,195.7,200.0,31059493.0
"Dec 28, 2010 00:00:00",202.0,206.4,202.0,206.0,106420316.0
"Dec 28, 2010 00:00:00",202.0,206.4,202.0,206.0,106420316.0
"Dec 28, 2010 00:00:00",202.0,206.4,202.0,206.0,106420316.0
"Dec 28, 2010 00:00:00",202.0,206.4,202.0,206.0,106420316.0
"Dec 28, 2010 00:00:00",202.0,206.4,202.0,206.0,106420316.0
"Dec 28, 2010 00:00:00",202.0,206.4,202.0,206.0,106420316.0
"Dec 28, 2010 00:00:00",202.0,206.4,202.0,206.0,106420316.0
"Dec 28, 2010 00:00:00",202.0,206.4,202.0,206.0,106420316.0
"Dec 28, 2010 00:00:00",202.0,206.4,202.0,206.0,106420316.0
"Dec 28, 2010 00:00:00",202.0,206.4,202.0,206.0,106420316.0
"Dec 28, 2010 00:00:00",202.0,206.4,202.0,206.0,106420316.0
"Dec 28, 2010 00:00:00",202.0,206.4,202.0,206.0,106420316.0
"Dec 28, 2010 00:00:00",202.0,206.4,202.0,206.0,106420316.0
"Dec 28, 2010 00:00:00",202.0,206.4,202.0,206.0,106420316.0
"Dec 28, 2010 00:00:00",202.0,206.4,202.0,206.0,106420316.0
"Dec 28, 2010 00:00:00",202.0,206.4,202.0,206.0,106420316.0
"Dec 28, 2010 00:00:00",202.0,206.4,202.0,206.0,106420316.0
"Dec 28, 2010 00:00:00",202.0,206.4,202.0,206.0,106420316.0
"Dec 28, 2010 00:00:00",202.0,206.4,202.0,206.0,106420316.0
"Dec 28, 2010 00:00:00",202.0,206.4,202.0,206.0,106420316.0
"Dec 28, 2010 00:00:00",202.0,206.4,202.0,206.0,106420316.0
"Dec 29, 2010 00:00:00",208.4,221.0,208.4,221.0,247664228.0
"Dec 29, 2010 00:00:00",208.4,221.0,208.4,221.0,247664228.0
"Jan 03, 2011 00:00:00",230.0,245.6,230.0,245.0,344265806.0
"Jan 03, 2011 00:00:00",230.0,245.6,230.0,245.0,344265806.0
"Jan 03, 2011 00:00:00",230.0,245.6,230.0,245.0,344265806.0
"Jan 04, 2011 00:00:00",252.0,258.0,240.0,247.0,437522120.0
"Jan 05, 2011 00:00:00",245.0,246.8,235.0,242.0,270245820.0
"Jan 06, 2011 00:00:00",242.0,249.0,242.0,245.6,290150920.0
"Jan 07, 2011 00:00:00",245.0,253.0,242.6,248.0,245442202.0
"Jan 10, 2011 00:00:00",248.0,250.0,243.0,243.4,116790632.0
"Jan 11, 2011 00:00:00",244.6,260.0,239.0,260.0,472481296.0
"Jan 11, 2011 00:00:00",244.6,260.0,239.0,260.0,472481296.0
"Jan 12, 2011 00:00:00",266.0,292.0,266.0,290.0,684665136.0
"Jan 13, 2011 00:00:00",295.0,299.6,274.4,281.6,560506124.0
"Jan 14, 2011 00:00:00",275.0,275.2,260.2,267.4,460289676.0
"Jan 17, 2011 00:00:00",266.0,284.0,260.0,280.0,360150392.0
"Jan 18, 2011 00:00:00",280.0,287.0,264.6,266.0,309516858.0
"Jan 19, 2011 00:00:00",266.0,279.6,252.0,274.0,284047788.0
"Jan 19, 2011 00:00:00",266.0,279.6,252.0,274.0,284047788.0
