chart_date,open,high,low,close,value
"Aug 03, 2009 00:00:00",2.22,2.22,2.18,2.2,5280560.0
"Aug 04, 2009 00:00:00",2.2,2.24,2.2,2.24,3879960.0
"Aug 06, 2009 00:00:00",2.26,2.44,2.26,2.32,30309280.0
"Aug 07, 2009 00:00:00",2.32,2.32,2.24,2.26,7344440.0
"Aug 10, 2009 00:00:00",2.28,2.34,2.22,2.3,23945960.0
"Aug 11, 2009 00:00:00",2.36,2.48,2.34,2.4,39971340.0
"Aug 12, 2009 00:00:00",2.4,2.4,2.32,2.34,12080160.0
"Aug 13, 2009 00:00:00",2.38,2.44,2.36,2.36,18938480.0
"Aug 14, 2009 00:00:00",2.4,2.4,2.32,2.32,7395080.0
"Aug 17, 2009 00:00:00",2.3,2.3,2.2,2.2,11887460.0
"Aug 18, 2009 00:00:00",2.14,2.24,2.12,2.2,4547240.0
"Aug 19, 2009 00:00:00",2.2,2.22,2.18,2.18,4056180.0
"Aug 20, 2009 00:00:00",2.18,2.18,2.12,2.16,4600360.0
"Aug 24, 2009 00:00:00",2.2,2.2,2.18,2.18,3795900.0
"Aug 25, 2009 00:00:00",2.18,2.26,2.18,2.2,10745640.0
"Aug 26, 2009 00:00:00",2.22,2.24,2.2,2.22,1283860.0
"Sep 03, 2009 00:00:00",2.16,2.18,2.14,2.18,2088620.0
"Sep 04, 2009 00:00:00",2.2,2.2,2.16,2.16,6369340.0
"Sep 16, 2009 00:00:00",2.18,2.18,2.14,2.16,2892040.0
"Sep 17, 2009 00:00:00",2.16,2.18,2.14,2.14,2344540.0
"Sep 18, 2009 00:00:00",2.16,2.16,2.14,2.16,1554360.0
"Sep 22, 2009 00:00:00",2.16,2.16,2.14,2.14,327720.0
"Sep 23, 2009 00:00:00",2.14,2.14,2.12,2.12,1538960.0
"Sep 30, 2009 00:00:00",1.9,1.9,1.82,1.86,687440.0
"Oct 01, 2009 00:00:00",1.84,1.84,1.82,1.84,781800.0
"Oct 02, 2009 00:00:00",1.82,1.84,1.8,1.82,843420.0
"Oct 05, 2009 00:00:00",1.86,1.86,1.84,1.86,206240.0
"Oct 06, 2009 00:00:00",1.88,1.9,1.86,1.86,1296260.0
"Oct 07, 2009 00:00:00",1.9,1.92,1.9,1.92,430260.0
"Oct 08, 2009 00:00:00",1.92,1.96,1.92,1.96,600340.0
"Oct 09, 2009 00:00:00",1.96,1.98,1.94,1.94,377320.0
"Oct 12, 2009 00:00:00",1.94,1.94,1.9,1.9,1069760.0
"Oct 13, 2009 00:00:00",1.86,1.86,1.86,1.86,195300.0
"Oct 14, 2009 00:00:00",1.86,1.88,1.86,1.88,31840.0
"Oct 15, 2009 00:00:00",1.86,1.88,1.86,1.88,122100.0
"Oct 19, 2009 00:00:00",1.86,1.86,1.84,1.84,307340.0
"Oct 20, 2009 00:00:00",1.82,1.84,1.82,1.82,739440.0
"Oct 21, 2009 00:00:00",1.8,1.8,1.78,1.8,457000.0
"Oct 22, 2009 00:00:00",1.8,1.8,1.8,1.8,90000.0
"Oct 23, 2009 00:00:00",1.8,1.82,1.8,1.8,474400.0
"Oct 26, 2009 00:00:00",1.8,1.8,1.8,1.8,403200.0
"Oct 27, 2009 00:00:00",1.8,1.8,1.76,1.76,2723020.0
"Oct 28, 2009 00:00:00",1.76,1.76,1.7,1.7,2293380.0
"Oct 29, 2009 00:00:00",1.7,1.7,1.66,1.66,465320.0
"Oct 30, 2009 00:00:00",1.6,1.74,1.6,1.66,2190900.0
"Nov 03, 2009 00:00:00",1.66,1.68,1.62,1.64,127680.0
"Nov 04, 2009 00:00:00",1.64,1.64,1.58,1.6,420760.0
"Nov 05, 2009 00:00:00",1.62,1.7,1.62,1.64,119180.0
"Nov 06, 2009 00:00:00",1.76,1.8,1.7,1.8,2855180.0
"Nov 09, 2009 00:00:00",1.8,1.8,1.7,1.7,904780.0
"Nov 10, 2009 00:00:00",1.7,1.72,1.7,1.7,685020.0
"Nov 11, 2009 00:00:00",1.66,1.68,1.66,1.66,677720.0
"Dec 15, 2009 00:00:00",1.52,1.62,1.52,1.56,1446540.0
"Dec 16, 2009 00:00:00",1.62,1.62,1.56,1.56,15780.0
"Dec 17, 2009 00:00:00",1.54,1.56,1.54,1.54,323600.0
"Dec 18, 2009 00:00:00",1.52,1.54,1.52,1.54,192240.0
"Dec 21, 2009 00:00:00",1.54,1.58,1.54,1.56,205160.0
"Dec 22, 2009 00:00:00",1.58,1.62,1.58,1.62,23780.0
"Dec 23, 2009 00:00:00",1.6,1.6,1.6,1.6,80000.0
"Dec 29, 2009 00:00:00",1.56,1.56,1.56,1.56,358800.0
"Jan 05, 2010 00:00:00",1.56,1.56,1.54,1.54,593480.0
"Jan 06, 2010 00:00:00",1.54,1.54,1.54,1.54,154000.0
"Jan 07, 2010 00:00:00",1.54,1.62,1.54,1.6,991300.0
"Jan 08, 2010 00:00:00",1.58,1.58,1.58,1.58,60040.0
"Jan 11, 2010 00:00:00",1.58,1.58,1.54,1.54,236140.0
"Jan 12, 2010 00:00:00",1.56,1.6,1.56,1.58,195140.0
"Jan 13, 2010 00:00:00",1.6,1.72,1.6,1.7,2001600.0
"Jan 14, 2010 00:00:00",1.74,2.0,1.74,1.88,7441960.0
"Jan 15, 2010 00:00:00",1.86,1.92,1.84,1.84,1400040.0
"Jan 18, 2010 00:00:00",1.94,1.94,1.72,1.8,430300.0
"Jan 19, 2010 00:00:00",1.76,1.82,1.74,1.76,860580.0
"Jan 20, 2010 00:00:00",1.74,1.76,1.7,1.7,239900.0
"Jan 21, 2010 00:00:00",1.7,1.7,1.68,1.7,84420.0
"Jan 22, 2010 00:00:00",1.64,1.66,1.6,1.6,1304020.0
"Jan 25, 2010 00:00:00",1.6,1.62,1.6,1.62,247080.0
"Jan 26, 2010 00:00:00",1.58,1.58,1.58,1.58,7900.0
"Jan 27, 2010 00:00:00",1.58,1.58,1.56,1.56,451680.0
"Jan 28, 2010 00:00:00",1.52,1.6,1.52,1.58,74360.0
"Jan 29, 2010 00:00:00",1.58,1.58,1.58,1.58,347600.0
"Feb 01, 2010 00:00:00",1.66,1.66,1.58,1.6,2011180.0
"Feb 02, 2010 00:00:00",1.62,1.76,1.62,1.66,2885160.0
"Feb 03, 2010 00:00:00",1.74,1.86,1.7,1.8,7192680.0
"Feb 04, 2010 00:00:00",2.0,2.1,1.96,2.0,36966400.0
"Feb 05, 2010 00:00:00",1.9,2.0,1.86,1.94,8514400.0
"Feb 08, 2010 00:00:00",1.98,2.0,1.84,1.84,2653720.0
"Feb 09, 2010 00:00:00",1.82,1.84,1.74,1.76,4153320.0
"Feb 10, 2010 00:00:00",1.84,1.9,1.82,1.86,4024860.0
"Feb 11, 2010 00:00:00",1.86,1.88,1.84,1.84,1418260.0
"Mar 08, 2010 00:00:00",2.1,2.1,1.98,1.98,10345620.0
"Mar 12, 2010 00:00:00",1.94,1.94,1.88,1.9,1141200.0
"Mar 15, 2010 00:00:00",1.9,1.9,1.82,1.84,4359400.0
"Mar 16, 2010 00:00:00",1.84,1.86,1.82,1.86,707660.0
"Mar 17, 2010 00:00:00",1.86,1.88,1.84,1.86,2512240.0
"Mar 31, 2010 00:00:00",1.84,1.86,1.82,1.84,356800.0
