chart_date,open,high,low,close,value
"Aug 04, 2009 00:00:00",0.36,0.36,0.29,0.29,15900.0
"Aug 06, 2009 00:00:00",0.32,0.32,0.32,0.32,6400.0
"Aug 11, 2009 00:00:00",0.31,0.32,0.31,0.32,37300.0
"Aug 18, 2009 00:00:00",0.33,0.36,0.33,0.36,13700.0
"Sep 03, 2009 00:00:00",0.31,0.31,0.31,0.31,3100.0
"Sep 16, 2009 00:00:00",0.25,0.29,0.25,0.29,27900.0
"Oct 01, 2009 00:00:00",0.27,0.27,0.27,0.27,2700.0
"Oct 12, 2009 00:00:00",0.28,0.34,0.28,0.34,29200.0
"Oct 14, 2009 00:00:00",0.32,0.34,0.31,0.33,290400.0
"Oct 15, 2009 00:00:00",0.35,0.39,0.35,0.37,465700.0
"Oct 16, 2009 00:00:00",0.42,0.55,0.41,0.55,4514500.0
"Oct 19, 2009 00:00:00",0.57,0.58,0.41,0.42,1259800.0
"Oct 20, 2009 00:00:00",0.51,0.51,0.48,0.48,38900.0
"Oct 21, 2009 00:00:00",0.46,0.48,0.4,0.4,46000.0
"Oct 22, 2009 00:00:00",0.4,0.48,0.4,0.46,482100.0
"Oct 23, 2009 00:00:00",0.45,0.46,0.41,0.46,642000.0
"Oct 26, 2009 00:00:00",0.44,0.45,0.42,0.45,222100.0
"Oct 27, 2009 00:00:00",0.46,0.5,0.46,0.48,123800.0
"Oct 28, 2009 00:00:00",0.48,0.48,0.41,0.45,18200.0
"Oct 29, 2009 00:00:00",0.47,0.47,0.38,0.38,428800.0
"Oct 30, 2009 00:00:00",0.4,0.45,0.4,0.45,37000.0
"Nov 04, 2009 00:00:00",0.36,0.41,0.36,0.41,32900.0
"Nov 05, 2009 00:00:00",0.42,0.42,0.39,0.42,28400.0
"Nov 10, 2009 00:00:00",0.39,0.42,0.39,0.42,36000.0
"Nov 11, 2009 00:00:00",0.42,0.44,0.42,0.44,12800.0
"Dec 15, 2009 00:00:00",0.43,0.44,0.42,0.44,82500.0
"Dec 16, 2009 00:00:00",0.48,0.48,0.48,0.48,4800.0
"Dec 17, 2009 00:00:00",0.42,0.45,0.42,0.45,46500.0
"Dec 18, 2009 00:00:00",0.47,0.47,0.46,0.46,41500.0
"Dec 23, 2009 00:00:00",0.4,0.4,0.4,0.4,12000.0
"Jan 04, 2010 00:00:00",0.51,0.51,0.51,0.51,5100.0
"Jan 05, 2010 00:00:00",0.42,0.53,0.42,0.49,456000.0
"Jan 06, 2010 00:00:00",0.5,0.5,0.43,0.48,186800.0
"Jan 07, 2010 00:00:00",0.49,0.5,0.49,0.5,9900.0
"Jan 13, 2010 00:00:00",0.43,0.48,0.43,0.48,22000.0
"Jan 14, 2010 00:00:00",0.41,0.48,0.41,0.48,18200.0
"Jan 20, 2010 00:00:00",0.4,0.4,0.4,0.4,40000.0
"Jan 21, 2010 00:00:00",0.47,0.47,0.38,0.38,437200.0
"Jan 26, 2010 00:00:00",0.4,0.4,0.36,0.36,56000.0
"Jan 27, 2010 00:00:00",0.36,0.36,0.36,0.36,36000.0
"Jan 28, 2010 00:00:00",0.4,0.4,0.4,0.4,12000.0
"Jan 29, 2010 00:00:00",0.39,0.4,0.39,0.4,15700.0
"Feb 01, 2010 00:00:00",0.39,0.41,0.37,0.38,102400.0
"Feb 04, 2010 00:00:00",0.36,0.36,0.36,0.36,3600.0
"Feb 08, 2010 00:00:00",0.33,0.33,0.33,0.33,66000.0
"Feb 09, 2010 00:00:00",0.39,0.39,0.39,0.39,11700.0
"Feb 10, 2010 00:00:00",0.39,0.39,0.39,0.39,11700.0
"Mar 12, 2010 00:00:00",0.35,0.35,0.35,0.35,52500.0
"Apr 20, 2010 00:00:00",0.38,0.38,0.38,0.38,3876000.0
"Apr 21, 2010 00:00:00",0.36,0.39,0.36,0.36,21410400.0
"Apr 22, 2010 00:00:00",0.38,0.46,0.38,0.44,18521900.0
"Apr 23, 2010 00:00:00",0.45,0.46,0.44,0.46,452000.0
"Apr 29, 2010 00:00:00",0.38,0.38,0.38,0.38,26607600.0
"Apr 30, 2010 00:00:00",0.44,0.44,0.44,0.44,44000.0
"May 04, 2010 00:00:00",0.43,0.43,0.43,0.43,47300.0
"May 13, 2010 00:00:00",0.52,0.53,0.51,0.51,300100.0
"May 14, 2010 00:00:00",0.5,0.5,0.5,0.5,325000.0
"May 17, 2010 00:00:00",0.51,0.51,0.51,0.51,5100.0
"May 19, 2010 00:00:00",0.44,0.5,0.44,0.5,27000.0
"May 21, 2010 00:00:00",0.44,0.48,0.44,0.45,40600.0
"May 24, 2010 00:00:00",0.49,0.52,0.49,0.52,395900.0
"May 25, 2010 00:00:00",0.53,0.6,0.51,0.54,380900.0
"May 26, 2010 00:00:00",0.55,0.63,0.55,0.62,4718500.0
