chart_date,open,high,low,close,value
"Aug 07, 2009 00:00:00",3.3,3.3,3.0,3.25,55750.0
"Aug 12, 2009 00:00:00",1.98,3.3,1.98,3.3,2000210.0
"Aug 13, 2009 00:00:00",3.35,3.35,3.35,3.35,36850.0
"Oct 05, 2009 00:00:00",2.44,2.44,2.44,2.44,7320.0
"Oct 06, 2009 00:00:00",3.1,3.1,3.1,3.1,43400.0
"Oct 19, 2009 00:00:00",3.1,3.1,3.1,3.1,3100.0
"Oct 28, 2009 00:00:00",3.0,3.8,3.0,3.8,37000.0
"Oct 29, 2009 00:00:00",4.1,4.1,4.1,4.1,20500.0
"Nov 03, 2009 00:00:00",3.0,3.0,3.0,3.0,60000.0
"Dec 29, 2009 00:00:00",1.8,1.8,1.8,1.8,3600.0
"Jan 04, 2010 00:00:00",1.8,1.8,1.8,1.8,5400.0
"Jan 13, 2010 00:00:00",2.65,2.65,2.65,2.65,39750.0
"Jan 21, 2010 00:00:00",2.6,2.6,2.6,2.6,31200.0
"Jan 29, 2010 00:00:00",1.62,1.62,1.6,1.62,22580.0
"Feb 10, 2010 00:00:00",1.2,1.62,1.2,1.62,75480.0
"Feb 11, 2010 00:00:00",1.5,1.62,1.5,1.62,18120.0
"Mar 31, 2010 00:00:00",2.2,2.2,2.2,2.2,8800.0
"Apr 30, 2010 00:00:00",2.0,2.0,2.0,2.0,40000.0
"May 04, 2010 00:00:00",1.82,1.82,1.82,1.82,18200.0
"Jun 21, 2010 00:00:00",1.8,1.8,1.8,1.8,3600.0
"Jun 24, 2010 00:00:00",1.82,1.82,1.82,1.82,9100.0
"Jun 25, 2010 00:00:00",1.8,1.8,1.8,1.8,3600.0
"Jul 01, 2010 00:00:00",1.78,1.78,1.78,1.78,10680.0
"Jul 06, 2010 00:00:00",1.8,1.8,1.8,1.8,7200.0
"Jul 15, 2010 00:00:00",1.7,1.7,1.7,1.7,17000.0
"Jul 20, 2010 00:00:00",1.7,1.7,1.7,1.7,8500.0
"Jul 22, 2010 00:00:00",1.5,1.5,1.5,1.5,7500.0
"Sep 20, 2010 00:00:00",1.4,1.4,1.4,1.4,1400.0
"Sep 22, 2010 00:00:00",1.4,1.4,1.4,1.4,14000.0
"Sep 28, 2010 00:00:00",1.4,1.4,1.4,1.4,14000.0
"Oct 12, 2010 00:00:00",1.48,1.48,1.48,1.48,1480.0
"Oct 14, 2010 00:00:00",1.5,1.5,1.5,1.5,3000.0
"Oct 19, 2010 00:00:00",1.7,1.7,1.7,1.7,1700.0
"Oct 20, 2010 00:00:00",1.56,2.08,1.56,2.08,20800.0
"Oct 21, 2010 00:00:00",2.08,2.08,2.08,2.08,8320.0
"Nov 09, 2010 00:00:00",1.6,1.6,1.6,1.6,9600.0
"Nov 10, 2010 00:00:00",1.6,1.6,1.6,1.6,3200.0
"Nov 24, 2010 00:00:00",1.56,1.56,1.56,1.56,4680.0
"Dec 01, 2010 00:00:00",1.6,1.6,1.54,1.54,48040.0
"Dec 07, 2010 00:00:00",1.5,1.5,1.5,1.5,12000.0
"Dec 23, 2010 00:00:00",1.44,1.44,1.43,1.43,17170.0
"Dec 29, 2010 00:00:00",1.44,1.44,1.44,1.44,1440.0
"Dec 29, 2010 00:00:00",1.44,1.44,1.44,1.44,1440.0
"Jan 05, 2011 00:00:00",1.5,1.5,1.5,1.5,48000.0
"Jan 07, 2011 00:00:00",1.7,1.7,1.7,1.7,11900.0
"Jan 31, 2011 00:00:00",1.64,1.64,1.64,1.64,4920.0
"Jan 31, 2011 00:00:00",1.64,1.64,1.64,1.64,4920.0
"Mar 02, 2011 00:00:00",1.64,1.64,1.64,1.64,4920.0
"Mar 04, 2011 00:00:00",1.65,1.65,1.64,1.64,16440.0
"Mar 04, 2011 00:00:00",1.65,1.65,1.64,1.64,16440.0
"Mar 11, 2011 00:00:00",1.64,1.64,1.64,1.64,1640.0
"Mar 11, 2011 00:00:00",1.64,1.64,1.64,1.64,1640.0
"Mar 17, 2011 00:00:00",1.65,1.65,1.64,1.64,8210.0
"Mar 24, 2011 00:00:00",1.65,1.65,1.64,1.64,11490.0
"Apr 14, 2011 00:00:00",1.67,1.67,1.67,1.67,30060.0
"Apr 29, 2011 00:00:00",1.7,1.7,1.7,1.7,51000.0
"May 17, 2011 00:00:00",1.64,1.64,1.64,1.64,3280.0
"May 31, 2011 00:00:00",1.9,1.9,1.9,1.9,3800.0
"Jun 03, 2011 00:00:00",1.62,1.64,1.6,1.64,16260.0
"Jun 07, 2011 00:00:00",1.66,1.66,1.66,1.66,3320.0
"Jun 08, 2011 00:00:00",1.66,1.66,1.66,1.66,1660.0
"Jun 09, 2011 00:00:00",1.67,1.67,1.66,1.66,8310.0
"Jun 10, 2011 00:00:00",1.66,1.66,1.66,1.66,1660.0
"Jun 16, 2011 00:00:00",1.31,1.31,1.31,1.31,1310.0
"Jun 17, 2011 00:00:00",1.33,1.33,1.33,1.33,6650.0
"Jun 22, 2011 00:00:00",1.5,1.5,1.5,1.5,7500.0
"Jun 24, 2011 00:00:00",1.5,1.5,1.36,1.36,14300.0
"Jul 05, 2011 00:00:00",1.6,1.6,1.6,1.6,1600.0
"Jul 06, 2011 00:00:00",1.4,1.6,1.4,1.6,10000.0
"Jul 18, 2011 00:00:00",1.5,1.72,1.5,1.72,51220.0
"Jul 21, 2011 00:00:00",1.72,1.72,1.72,1.72,27520.0
"Jul 22, 2011 00:00:00",1.72,1.72,1.72,1.72,24080.0
"Aug 18, 2011 00:00:00",1.25,1.25,1.25,1.25,1250.0
"Aug 23, 2011 00:00:00",1.28,1.28,1.28,1.28,2560.0
"Aug 25, 2011 00:00:00",1.8,1.8,1.8,1.8,1800.0
"Sep 06, 2011 00:00:00",1.79,1.79,1.79,1.79,8950.0
"Sep 08, 2011 00:00:00",1.78,1.78,1.78,1.78,3560.0
"Sep 09, 2011 00:00:00",1.79,1.79,1.79,1.79,7160.0
"Sep 14, 2011 00:00:00",1.79,1.8,1.79,1.8,8960.0
"Sep 28, 2011 00:00:00",1.24,1.24,1.23,1.23,7390.0
"Oct 03, 2011 00:00:00",1.23,1.23,1.23,1.23,2460.0
"Oct 06, 2011 00:00:00",1.24,1.24,1.23,1.23,6160.0
"Oct 18, 2011 00:00:00",1.24,1.24,1.24,1.24,1240.0
