chart_date,open,high,low,close,value
"Aug 03, 2009 00:00:00",5.5,5.6,5.5,5.5,5461100.0
"Aug 04, 2009 00:00:00",5.5,5.7,5.5,5.5,9567300.0
"Aug 06, 2009 00:00:00",5.5,5.6,5.5,5.5,2986700.0
"Aug 07, 2009 00:00:00",5.5,5.6,5.5,5.5,2239800.0
"Aug 10, 2009 00:00:00",5.6,5.6,5.5,5.6,5786400.0
"Aug 11, 2009 00:00:00",5.9,6.1,5.7,5.7,36398600.0
"Aug 12, 2009 00:00:00",5.8,6.3,5.7,6.0,89981500.0
"Aug 13, 2009 00:00:00",6.1,6.2,6.0,6.2,47203700.0
"Aug 14, 2009 00:00:00",6.2,6.6,6.2,6.6,111340400.0
"Aug 17, 2009 00:00:00",6.5,6.5,5.9,6.0,54730700.0
"Aug 18, 2009 00:00:00",5.8,6.0,5.7,5.8,29456100.0
"Aug 19, 2009 00:00:00",6.0,6.0,5.8,5.8,14651500.0
"Aug 20, 2009 00:00:00",6.0,6.0,5.7,5.7,11880000.0
"Aug 24, 2009 00:00:00",6.0,6.1,5.9,6.0,19379600.0
"Aug 25, 2009 00:00:00",6.1,6.2,5.9,6.1,17339000.0
"Aug 26, 2009 00:00:00",6.1,6.1,6.0,6.0,11965100.0
"Sep 03, 2009 00:00:00",5.8,5.8,5.6,5.7,30806400.0
"Sep 04, 2009 00:00:00",5.7,5.8,5.7,5.8,8259200.0
"Sep 16, 2009 00:00:00",4.85,4.9,4.75,4.75,7383450.0
"Sep 17, 2009 00:00:00",4.8,4.8,4.75,4.75,1926850.0
"Sep 18, 2009 00:00:00",4.75,4.75,4.7,4.75,1042700.0
"Sep 22, 2009 00:00:00",3.2,3.4,3.1,3.25,1048369150.0
"Sep 23, 2009 00:00:00",3.3,3.4,3.3,3.3,328973950.0
"Sep 30, 2009 00:00:00",3.35,3.35,3.25,3.3,24138450.0
"Oct 01, 2009 00:00:00",3.3,3.35,3.25,3.3,37775650.0
"Oct 02, 2009 00:00:00",3.2,3.25,3.15,3.25,91796500.0
"Oct 05, 2009 00:00:00",3.25,3.3,3.2,3.25,25816400.0
"Oct 06, 2009 00:00:00",3.25,3.3,3.25,3.3,56348550.0
"Oct 07, 2009 00:00:00",3.35,3.65,3.3,3.55,542227100.0
"Oct 08, 2009 00:00:00",3.65,3.8,3.55,3.75,516859600.0
"Oct 09, 2009 00:00:00",3.8,3.8,3.65,3.65,194601500.0
"Oct 12, 2009 00:00:00",3.75,3.75,3.6,3.6,135387250.0
"Oct 13, 2009 00:00:00",3.6,3.65,3.45,3.5,94220650.0
"Oct 14, 2009 00:00:00",3.5,3.65,3.5,3.65,97451650.0
"Oct 15, 2009 00:00:00",3.7,3.7,3.6,3.65,58506700.0
"Oct 16, 2009 00:00:00",3.65,3.65,3.55,3.65,45057900.0
"Oct 19, 2009 00:00:00",3.6,3.65,3.55,3.55,19085850.0
"Oct 20, 2009 00:00:00",3.6,3.6,3.45,3.5,133955400.0
"Oct 21, 2009 00:00:00",3.45,3.45,3.35,3.4,55737850.0
"Oct 22, 2009 00:00:00",3.4,3.45,3.35,3.4,15770800.0
"Oct 23, 2009 00:00:00",3.45,3.55,3.45,3.55,81435400.0
"Oct 26, 2009 00:00:00",3.5,3.6,3.5,3.55,23487200.0
"Oct 27, 2009 00:00:00",3.55,3.55,3.45,3.45,76593900.0
"Oct 28, 2009 00:00:00",3.35,3.45,3.35,3.4,40332650.0
"Oct 29, 2009 00:00:00",3.35,3.35,3.3,3.35,46018450.0
"Oct 30, 2009 00:00:00",3.4,3.45,3.35,3.4,21880900.0
"Nov 03, 2009 00:00:00",3.4,3.4,3.2,3.2,73295400.0
"Nov 04, 2009 00:00:00",3.2,3.25,2.95,3.05,227093750.0
"Nov 05, 2009 00:00:00",3.1,3.15,3.05,3.15,201499500.0
"Nov 06, 2009 00:00:00",3.15,3.15,2.95,3.0,339765150.0
"Nov 09, 2009 00:00:00",2.95,2.95,2.7,2.8,199395250.0
"Nov 10, 2009 00:00:00",2.75,2.8,2.6,2.6,183946600.0
"Nov 11, 2009 00:00:00",2.65,2.65,2.5,2.55,156423000.0
"Dec 15, 2009 00:00:00",2.55,2.6,2.5,2.55,24320950.0
"Dec 16, 2009 00:00:00",2.55,2.65,2.55,2.65,19485650.0
"Dec 17, 2009 00:00:00",2.7,2.7,2.65,2.65,16363100.0
"Dec 18, 2009 00:00:00",2.65,2.65,2.6,2.65,17534100.0
"Dec 21, 2009 00:00:00",2.65,2.65,2.6,2.6,3772850.0
"Dec 22, 2009 00:00:00",2.6,2.6,2.55,2.6,14688900.0
"Dec 23, 2009 00:00:00",2.6,2.6,2.55,2.55,6730500.0
"Dec 29, 2009 00:00:00",2.6,2.65,2.6,2.6,14750100.0
"Jan 04, 2010 00:00:00",2.6,2.65,2.55,2.6,28811450.0
"Jan 05, 2010 00:00:00",2.6,2.7,2.6,2.65,31947450.0
"Jan 06, 2010 00:00:00",2.65,2.65,2.6,2.65,25315650.0
"Jan 07, 2010 00:00:00",2.65,2.9,2.65,2.9,188101600.0
"Jan 08, 2010 00:00:00",2.85,2.95,2.8,2.95,154543500.0
"Jan 11, 2010 00:00:00",2.95,3.05,2.85,3.0,226375350.0
"Jan 12, 2010 00:00:00",3.05,3.1,2.9,3.0,113022300.0
"Jan 13, 2010 00:00:00",2.95,2.95,2.85,2.9,46995700.0
"Jan 14, 2010 00:00:00",2.9,2.95,2.9,2.95,36916150.0
"Jan 15, 2010 00:00:00",2.95,2.95,2.85,2.9,28881950.0
"Jan 18, 2010 00:00:00",2.9,2.9,2.85,2.85,10019850.0
"Jan 19, 2010 00:00:00",2.85,3.0,2.85,3.0,103485850.0
"Jan 20, 2010 00:00:00",3.0,3.0,2.9,2.9,66543300.0
"Jan 21, 2010 00:00:00",2.9,2.95,2.85,2.9,35176850.0
"Jan 22, 2010 00:00:00",2.85,2.85,2.8,2.85,49885400.0
"Jan 25, 2010 00:00:00",2.8,2.8,2.7,2.75,29163900.0
"Jan 26, 2010 00:00:00",2.7,2.8,2.7,2.7,16735450.0
"Jan 27, 2010 00:00:00",2.75,2.75,2.6,2.65,25181200.0
"Jan 28, 2010 00:00:00",2.6,2.75,2.6,2.7,28607300.0
"Jan 29, 2010 00:00:00",2.6,2.65,2.55,2.6,71796250.0
"Feb 01, 2010 00:00:00",2.6,2.6,2.5,2.5,71072950.0
"Feb 02, 2010 00:00:00",2.6,2.6,2.26,2.28,186630810.0
"Feb 03, 2010 00:00:00",2.28,2.38,2.28,2.34,95512700.0
"Feb 04, 2010 00:00:00",2.32,2.38,2.3,2.32,41695360.0
"Feb 05, 2010 00:00:00",2.26,2.26,2.2,2.22,56620660.0
