chart_date,open,high,low,close,value
"Nov 24, 2015 00:00:00",4.3,4.49,4.0,4.0,781075810.0
"Nov 25, 2015 00:00:00",4.03,4.07,3.97,4.01,180991610.0
"Nov 26, 2015 00:00:00",4.02,4.03,3.97,3.98,117336380.0
"Nov 27, 2015 00:00:00",3.99,4.0,3.81,3.82,195488290.0
"Dec 01, 2015 00:00:00",3.82,3.89,3.81,3.84,50519750.0
"Dec 02, 2015 00:00:00",3.87,3.96,3.87,3.95,24917220.0
"Dec 03, 2015 00:00:00",3.95,3.95,3.88,3.88,23651590.0
"Dec 04, 2015 00:00:00",3.88,3.88,3.84,3.86,16118750.0
"Dec 07, 2015 00:00:00",3.88,3.95,3.87,3.88,19426390.0
"Dec 08, 2015 00:00:00",3.88,3.89,3.83,3.85,22520000.0
"Dec 09, 2015 00:00:00",3.84,3.86,3.8,3.83,25423560.0
"Dec 10, 2015 00:00:00",3.83,3.87,3.8,3.84,58183830.0
"Dec 11, 2015 00:00:00",3.83,3.85,3.8,3.84,39612030.0
"Dec 14, 2015 00:00:00",3.81,3.81,3.69,3.74,62397570.0
"Dec 15, 2015 00:00:00",3.74,3.75,3.69,3.74,11457510.0
"Dec 16, 2015 00:00:00",3.74,3.77,3.73,3.74,22825040.0
"Dec 17, 2015 00:00:00",3.75,3.79,3.75,3.78,18179870.0
"Dec 18, 2015 00:00:00",3.78,3.78,3.73,3.73,12059780.0
"Dec 21, 2015 00:00:00",3.74,3.75,3.63,3.7,14046670.0
"Dec 22, 2015 00:00:00",3.69,3.7,3.66,3.69,23116760.0
"Dec 23, 2015 00:00:00",3.7,3.85,3.69,3.83,17146780.0
"Dec 28, 2015 00:00:00",3.83,3.9,3.83,3.9,17132230.0
"Dec 29, 2015 00:00:00",3.9,3.98,3.87,3.98,87004900.0
"Jan 04, 2016 00:00:00",3.96,3.96,3.85,3.89,11341780.0
"Jan 05, 2016 00:00:00",3.88,3.88,3.8,3.85,5104570.0
"Jan 06, 2016 00:00:00",3.85,3.94,3.85,3.9,8825020.0
"Jan 07, 2016 00:00:00",3.9,3.9,3.76,3.78,10095350.0
"Jan 08, 2016 00:00:00",3.76,3.79,3.6,3.78,9534870.0
"Jan 11, 2016 00:00:00",3.79,3.79,3.5,3.6,13566090.0
"Jan 12, 2016 00:00:00",3.54,3.62,3.54,3.6,9121410.0
"Jan 13, 2016 00:00:00",3.62,3.67,3.56,3.57,7343350.0
"Jan 14, 2016 00:00:00",3.58,3.58,3.5,3.52,3090750.0
"Jan 15, 2016 00:00:00",3.53,3.56,3.51,3.52,2795050.0
"Jan 18, 2016 00:00:00",3.5,3.5,3.12,3.5,6850330.0
"Jan 19, 2016 00:00:00",3.49,3.5,3.42,3.47,2869460.0
"Jan 20, 2016 00:00:00",3.45,3.48,3.22,3.24,5558060.0
"Jan 21, 2016 00:00:00",3.23,3.23,2.93,3.0,13677640.0
"Jan 22, 2016 00:00:00",3.05,3.05,2.9,2.95,16980120.0
"Jan 25, 2016 00:00:00",2.95,3.19,2.95,3.02,7849550.0
"Jan 26, 2016 00:00:00",3.0,3.11,2.92,3.0,8532870.0
"Jan 27, 2016 00:00:00",3.0,3.09,3.0,3.03,11822150.0
"Jan 28, 2016 00:00:00",3.08,3.16,3.02,3.05,16006050.0
"Jan 29, 2016 00:00:00",3.1,3.35,3.1,3.15,11057070.0
"Feb 01, 2016 00:00:00",3.23,3.4,3.23,3.28,14388620.0
"Feb 02, 2016 00:00:00",3.35,3.44,3.24,3.35,11697070.0
"Feb 03, 2016 00:00:00",3.28,3.35,3.16,3.33,6399780.0
"Feb 04, 2016 00:00:00",3.39,3.5,3.38,3.4,5341980.0
"Feb 05, 2016 00:00:00",3.42,3.52,3.4,3.47,10836000.0
"Feb 09, 2016 00:00:00",3.38,3.4,3.29,3.38,2692870.0
"Feb 10, 2016 00:00:00",3.38,3.4,3.27,3.4,1743040.0
"Feb 11, 2016 00:00:00",3.41,3.41,3.28,3.38,2567990.0
"Feb 12, 2016 00:00:00",3.25,3.38,3.19,3.3,9187660.0
"Feb 15, 2016 00:00:00",3.3,3.41,3.3,3.37,3447870.0
"Feb 16, 2016 00:00:00",3.35,3.45,3.35,3.4,3869320.0
"Feb 17, 2016 00:00:00",3.45,3.5,3.41,3.45,3133260.0
"Feb 18, 2016 00:00:00",3.45,3.57,3.44,3.54,7340140.0
"Feb 19, 2016 00:00:00",3.51,3.54,3.48,3.52,2017830.0
"Feb 22, 2016 00:00:00",3.52,3.53,3.5,3.52,7487260.0
"Feb 23, 2016 00:00:00",3.52,3.63,3.51,3.59,5583230.0
"Feb 24, 2016 00:00:00",3.59,3.59,3.45,3.5,3926950.0
"Feb 26, 2016 00:00:00",3.5,3.51,3.48,3.49,907440.0
"Feb 29, 2016 00:00:00",3.5,3.5,3.32,3.43,3419360.0
"Mar 01, 2016 00:00:00",3.42,3.42,3.3,3.36,2165600.0
"Mar 02, 2016 00:00:00",3.36,3.55,3.36,3.54,4030380.0
"Mar 03, 2016 00:00:00",3.55,3.73,3.55,3.6,7338900.0
"Mar 04, 2016 00:00:00",3.65,3.87,3.6,3.84,19911320.0
"Mar 07, 2016 00:00:00",3.84,3.9,3.7,3.74,19476400.0
"Mar 08, 2016 00:00:00",3.75,3.8,3.6,3.65,5812690.0
"Mar 09, 2016 00:00:00",3.63,3.84,3.6,3.76,7558190.0
"Mar 10, 2016 00:00:00",3.82,3.84,3.66,3.76,6888150.0
"Mar 11, 2016 00:00:00",3.76,3.88,3.71,3.85,10139610.0
"Mar 14, 2016 00:00:00",3.86,3.96,3.77,3.86,22881450.0
"Mar 15, 2016 00:00:00",3.89,3.89,3.8,3.85,3955370.0
"Mar 16, 2016 00:00:00",3.85,4.05,3.81,3.98,104260750.0
"Mar 17, 2016 00:00:00",4.0,4.05,3.98,3.98,42702160.0
"Mar 18, 2016 00:00:00",4.0,4.01,3.89,3.9,7288050.0
"Mar 21, 2016 00:00:00",3.9,3.94,3.87,3.88,6547210.0
"Mar 22, 2016 00:00:00",3.88,3.96,3.86,3.9,4260160.0
"Mar 23, 2016 00:00:00",3.94,3.96,3.9,3.92,2714550.0
"Mar 28, 2016 00:00:00",3.93,3.95,3.92,3.93,3256140.0
"Mar 29, 2016 00:00:00",3.93,3.95,3.9,3.9,6852700.0
"Mar 30, 2016 00:00:00",3.88,3.94,3.86,3.91,4731630.0
"Mar 31, 2016 00:00:00",3.92,3.92,3.85,3.85,4277860.0
"Apr 01, 2016 00:00:00",3.85,3.92,3.84,3.85,4831020.0
"Apr 04, 2016 00:00:00",3.85,3.86,3.8,3.85,6657950.0
"Apr 05, 2016 00:00:00",3.84,3.84,3.79,3.8,7145960.0
"Apr 06, 2016 00:00:00",3.78,3.89,3.78,3.86,5267870.0
"Apr 07, 2016 00:00:00",3.87,3.87,3.83,3.83,1747260.0
"Apr 08, 2016 00:00:00",3.83,3.83,3.77,3.81,2612170.0
"Apr 11, 2016 00:00:00",3.81,3.95,3.81,3.9,4896940.0
"Apr 12, 2016 00:00:00",3.95,4.23,3.91,4.1,185580700.0
"Apr 13, 2016 00:00:00",4.17,4.25,4.14,4.14,64770320.0
"Apr 14, 2016 00:00:00",4.14,4.17,4.05,4.14,28253490.0
"Apr 15, 2016 00:00:00",4.14,4.16,4.07,4.1,5475150.0
"Apr 18, 2016 00:00:00",4.08,4.08,3.95,3.95,13034630.0
"Apr 19, 2016 00:00:00",3.94,4.1,3.94,4.04,8426020.0
"Apr 20, 2016 00:00:00",4.02,4.1,4.01,4.04,12255450.0
"Apr 21, 2016 00:00:00",4.0,4.11,4.0,4.04,10216810.0
"Apr 22, 2016 00:00:00",4.07,4.07,3.97,4.0,4939420.0
"Apr 25, 2016 00:00:00",3.97,4.0,3.82,3.92,16250150.0
"Apr 26, 2016 00:00:00",3.92,3.92,3.85,3.9,4154280.0
"Apr 27, 2016 00:00:00",3.86,3.9,3.7,3.8,16103780.0
"Apr 28, 2016 00:00:00",3.8,3.9,3.8,3.9,1881190.0
"Apr 29, 2016 00:00:00",3.8,3.89,3.8,3.89,1563920.0
"May 02, 2016 00:00:00",3.85,3.85,3.74,3.8,2925420.0
"May 03, 2016 00:00:00",3.8,3.82,3.75,3.82,756000.0
"May 04, 2016 00:00:00",3.82,3.82,3.75,3.82,1806860.0
"May 05, 2016 00:00:00",3.82,3.82,3.73,3.75,2989720.0
"May 06, 2016 00:00:00",3.75,3.78,3.71,3.74,2214050.0
"May 06, 2016 00:00:00",3.75,3.78,3.71,3.74,2214050.0
"May 10, 2016 00:00:00",3.74,4.07,3.7,4.04,19792210.0
"May 11, 2016 00:00:00",4.04,4.1,3.98,4.01,17882770.0
"May 12, 2016 00:00:00",4.0,4.0,3.92,4.0,3591480.0
"May 13, 2016 00:00:00",4.0,4.13,3.98,4.06,56090250.0
"May 16, 2016 00:00:00",4.06,4.1,4.01,4.05,9199790.0
"May 17, 2016 00:00:00",4.08,4.08,4.0,4.0,10763850.0
"May 18, 2016 00:00:00",4.0,4.0,3.93,3.98,5259960.0
