chart_date,open,high,low,close,value
"Aug 03, 2009 00:00:00",0.013,0.014,0.013,0.014,1538700.0
"Aug 04, 2009 00:00:00",0.014,0.014,0.014,0.014,940800.0
"Aug 06, 2009 00:00:00",0.014,0.014,0.014,0.014,1666000.0
"Aug 07, 2009 00:00:00",0.014,0.014,0.014,0.014,428400.0
"Aug 10, 2009 00:00:00",0.014,0.016,0.014,0.015,3573600.0
"Aug 11, 2009 00:00:00",0.015,0.015,0.015,0.015,1617000.0
"Aug 12, 2009 00:00:00",0.015,0.015,0.014,0.014,311400.0
"Aug 13, 2009 00:00:00",0.014,0.014,0.014,0.014,140000.0
"Aug 14, 2009 00:00:00",0.015,0.015,0.015,0.015,60000.0
"Aug 17, 2009 00:00:00",0.015,0.015,0.014,0.014,1390900.0
"Aug 18, 2009 00:00:00",0.014,0.014,0.014,0.014,183400.0
"Aug 19, 2009 00:00:00",0.014,0.014,0.014,0.014,127400.0
"Aug 20, 2009 00:00:00",0.015,0.015,0.014,0.014,282000.0
"Aug 24, 2009 00:00:00",0.014,0.014,0.014,0.014,158200.0
"Aug 25, 2009 00:00:00",0.014,0.015,0.014,0.014,57900.0
"Aug 26, 2009 00:00:00",0.015,0.015,0.014,0.014,161200.0
"Sep 03, 2009 00:00:00",0.016,0.018,0.016,0.018,13202900.0
"Sep 04, 2009 00:00:00",0.018,0.019,0.017,0.018,9512300.0
"Sep 16, 2009 00:00:00",0.016,0.016,0.016,0.016,16000.0
"Sep 17, 2009 00:00:00",0.017,0.017,0.016,0.016,195600.0
"Sep 18, 2009 00:00:00",0.016,0.016,0.016,0.016,60800.0
"Sep 22, 2009 00:00:00",0.016,0.016,0.016,0.016,100800.0
"Sep 23, 2009 00:00:00",0.017,0.017,0.016,0.017,3344800.0
"Sep 30, 2009 00:00:00",0.016,0.016,0.016,0.016,1376000.0
"Oct 01, 2009 00:00:00",0.016,0.016,0.015,0.016,3913600.0
"Oct 02, 2009 00:00:00",0.015,0.016,0.015,0.016,196600.0
"Oct 05, 2009 00:00:00",0.015,0.016,0.015,0.016,470000.0
"Oct 06, 2009 00:00:00",0.016,0.016,0.016,0.016,876800.0
"Oct 07, 2009 00:00:00",0.016,0.016,0.016,0.016,672000.0
"Oct 08, 2009 00:00:00",0.016,0.016,0.015,0.016,256600.0
"Oct 09, 2009 00:00:00",0.015,0.016,0.015,0.016,3237100.0
"Oct 12, 2009 00:00:00",0.015,0.015,0.015,0.015,184500.0
"Oct 13, 2009 00:00:00",0.015,0.015,0.015,0.015,313500.0
"Oct 14, 2009 00:00:00",0.015,0.016,0.015,0.015,498100.0
"Oct 15, 2009 00:00:00",0.015,0.016,0.015,0.015,2721600.0
"Oct 16, 2009 00:00:00",0.016,0.017,0.016,0.016,7145600.0
"Oct 19, 2009 00:00:00",0.016,0.016,0.016,0.016,249600.0
