chart_date,open,high,low,close,value
"Aug 03, 2009 00:00:00",0.013,0.014,0.013,0.013,282600.0
"Aug 04, 2009 00:00:00",0.014,0.014,0.014,0.014,23800.0
"Aug 06, 2009 00:00:00",0.014,0.014,0.014,0.014,228200.0
"Aug 07, 2009 00:00:00",0.014,0.014,0.014,0.014,18200.0
"Aug 10, 2009 00:00:00",0.014,0.016,0.014,0.015,750300.0
"Aug 11, 2009 00:00:00",0.015,0.015,0.015,0.015,402000.0
"Aug 12, 2009 00:00:00",0.014,0.015,0.014,0.015,211400.0
"Aug 13, 2009 00:00:00",0.015,0.015,0.015,0.015,675000.0
"Aug 14, 2009 00:00:00",0.015,0.015,0.015,0.015,720000.0
"Aug 17, 2009 00:00:00",0.015,0.015,0.014,0.014,193300.0
"Aug 18, 2009 00:00:00",0.014,0.014,0.014,0.014,803600.0
"Aug 19, 2009 00:00:00",0.014,0.015,0.014,0.015,187500.0
"Aug 20, 2009 00:00:00",0.015,0.015,0.015,0.015,558000.0
"Aug 25, 2009 00:00:00",0.015,0.015,0.014,0.015,2749900.0
"Aug 26, 2009 00:00:00",0.014,0.015,0.014,0.015,151400.0
"Sep 03, 2009 00:00:00",0.017,0.018,0.017,0.018,2911400.0
"Sep 04, 2009 00:00:00",0.018,0.019,0.018,0.018,2097800.0
"Sep 16, 2009 00:00:00",0.017,0.017,0.017,0.017,1037000.0
"Sep 17, 2009 00:00:00",0.017,0.017,0.017,0.017,595000.0
"Sep 18, 2009 00:00:00",0.017,0.017,0.017,0.017,1292000.0
"Sep 22, 2009 00:00:00",0.017,0.017,0.017,0.017,746300.0
"Sep 23, 2009 00:00:00",0.017,0.017,0.017,0.017,554200.0
"Sep 30, 2009 00:00:00",0.016,0.017,0.016,0.017,545700.0
"Oct 01, 2009 00:00:00",0.016,0.016,0.016,0.016,2744000.0
"Oct 02, 2009 00:00:00",0.016,0.016,0.016,0.016,560000.0
"Oct 05, 2009 00:00:00",0.016,0.016,0.016,0.016,683200.0
"Oct 06, 2009 00:00:00",0.016,0.016,0.016,0.016,224000.0
"Oct 07, 2009 00:00:00",0.016,0.016,0.016,0.016,369600.0
"Oct 08, 2009 00:00:00",0.016,0.016,0.016,0.016,352000.0
"Oct 09, 2009 00:00:00",0.016,0.016,0.016,0.016,590400.0
"Oct 12, 2009 00:00:00",0.017,0.017,0.015,0.015,337000.0
"Oct 13, 2009 00:00:00",0.016,0.016,0.016,0.016,32000.0
"Oct 14, 2009 00:00:00",0.016,0.016,0.015,0.016,177100.0
"Oct 15, 2009 00:00:00",0.016,0.017,0.016,0.017,320300.0
"Oct 16, 2009 00:00:00",0.017,0.017,0.017,0.017,824500.0
"Oct 21, 2009 00:00:00",0.016,0.016,0.016,0.016,336000.0
"Oct 22, 2009 00:00:00",0.016,0.016,0.015,0.016,179000.0
"Oct 23, 2009 00:00:00",0.016,0.016,0.015,0.016,2637600.0
"Oct 26, 2009 00:00:00",0.015,0.016,0.015,0.016,35000.0
"Oct 27, 2009 00:00:00",0.015,0.016,0.015,0.016,1288500.0
"Oct 28, 2009 00:00:00",0.015,0.015,0.015,0.015,2142000.0
"Oct 29, 2009 00:00:00",0.015,0.015,0.015,0.015,214500.0
"Oct 30, 2009 00:00:00",0.015,0.015,0.015,0.015,60000.0
"Nov 03, 2009 00:00:00",0.015,0.015,0.015,0.015,255000.0
"Nov 04, 2009 00:00:00",0.015,0.015,0.015,0.015,226500.0
"Nov 05, 2009 00:00:00",0.016,0.016,0.014,0.015,485000.0
"Nov 06, 2009 00:00:00",0.015,0.015,0.015,0.015,334500.0
